id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,268.311,"encounter v",R,33,83,135,1.583,0.016,0.693,1.017,-37.012,1,0,100.935,65.635,-5.836,0,0,0,0,8,R,"양_뭉이",190,95,0.5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.078,-37.535,0,"Pring__",-0.082,-16.789,0,"신과함께1",-19.937,-43.849,0,"Pizzallaris",-13.188,-61.967,0,"Ayu_Yua",24.285,-51.199,0,"Multeinn",11.776,-62.626,0,"甲斐野柊太",36.922,-86.594,0,"それいゆ るな",-0.326,-113.696,0,"눈꽃",-42.433,-87.654,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,282.028,"encounter v",R,33,87,140,1.313,0.012,0.655,1.025,-37.114,0,0,139.274,89.728,-7.507,0,0,0,0,8,R,"양_뭉이",190,95,0.5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.278,-37.865,0,"Pring__",-0.054,-16.82,0,"신과함께1",-19.864,-43.958,0,"Pizzallaris",-13.789,-61.048,0,"Ayu_Yua",24.386,-51.265,0,"Multeinn",10.353,-61.344,0,"甲斐野柊太",41.827,-95.325,0,"それいゆ るな",0.17,-111.516,0,"눈꽃",-42.008,-86.742,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,294.446,"encounter v",R,15,88,130,-0.706,0.658,0.512,1.016,-37.004,0,0,-3.211,-351.983,3.843,0,0,0,0,8,R,"양_뭉이",190,95,0.5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,-37.797,0,"Pring__",-0.024,-16.792,0,"신과함께1",-19.853,-44.087,0,"Pizzallaris",-14.973,-60.689,0,"Ayu_Yua",24.316,-51.181,0,"Multeinn",11.483,-62.103,0,"甲斐野柊太",41.813,-95.552,0,"それいゆ るな",0.174,-111.636,0,"눈꽃",-41.999,-86.754,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,306.434,"encounter v",R,2,83,123,-0.625,0.102,0.598,0.882,-37.33,2,0,-208.706,-400,10.14,0,0,1,0,8,R,"양_뭉이",190,95,0.5,2,43,307.71,163,11,58,72,58,139,37,111.392,36.681,0.94,-0.073,-0.208,0,0.636,0.405,-37.575,0,"Pring__",-0.085,-16.905,111,"신과함께1",-19.707,-44.045,0,"Pizzallaris",-14.729,-60.911,0,"Ayu_Yua",24.367,-51.301,0,"Multeinn",11.374,-62.68,0,"甲斐野柊太",41.817,-95.418,0,"それいゆ るな",0.279,-111.099,0,"눈꽃",-41.853,-86.841,0,0,0,0,311.535,1,"Pring__",7.508,-9.204,0,0,0,0,0,0,0,1
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,330.43,"encounter v",R,0,86,139,1.458,0.118,0.718,1.018,-36.846,2,0,-22.401,0,-3.064,0,0,1,1,4,R,"소솨소솨",190,80,0.2,2,76,331.303,247,14,119,91,27,150,127,26.068,-21.301,0.35,-0.042,-0.134,0,0.47,0.182,-37.157,0,"Pring__",-0.048,-16.904,0,"신과함께1",-20.267,-43.682,85,"Pizzallaris",-15.073,-62.306,0,"Ayu_Yua",24.66,-50.586,0,"Multeinn",11.92,-63.08,0,"甲斐野柊太",44.887,-93.777,0,"それいゆ るな",4.626,-110.083,0,"눈꽃",-42.387,-88.33,0,335.28,33.474,-113.728,340.058,6,"甲斐野柊太",24.549,-116.085,1,0,0,0,0,0,0,2
6,1,1,0,0,0,0,1,0,1,0,255,4,255,5,378.94,"encounter v",R,3,82,125,0.768,1.336,0.764,1.19,-37.096,4,0,-368.607,0,-14.594,0,0,1,2,7,R,"ke ro",166.4,86.267,0.345,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101,-37.184,0,"Pring__",-0.027,-16.886,111,"신과함께1",-20.081,-44.354,0,"Pizzallaris",-13.487,-62.437,0,"Ayu_Yua",25.209,-50.429,0,"Multeinn",10.903,-62.823,0,"甲斐野柊太",42.71,-103.479,0,"それいゆ るな",-6.492,-124.587,0,"눈꽃",-36.289,-89.83,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,1,1,0,1,0,255,4,255,6,392.682,"encounter v",R,33,82,135,3.039,1.133,0.814,1.159,-37.043,2,0,140.751,-4.419,-12.411,0,0,1,2,7,R,"ke ro",166.4,86.267,0.345,3,75,393.723,187,4,75,60,46,146,80,30.162,-13.312,-0.91,0.01,-0.005,0,0.324,0.225,-36.876,0,"Pring__",-0.031,-16.907,111,"신과함께1",-20.003,-44.263,0,"Pizzallaris",-13.636,-62.413,69,"Ayu_Yua",25.128,-50.364,0,"Multeinn",9.563,-63.006,0,"甲斐野柊太",46.395,-105.636,8,"それいゆ るな",-6.492,-124.587,0,"눈꽃",-36.284,-89.82,0,398.413,21.695,-81.929,399.946,6,"甲斐野柊太",24.885,-90.743,1,0,0,0,0,0,0,2
8,1,1,0,0,0,0,1,0,1,1,255,255,4,7,436.971,"encounter v",R,3,91,129,-0.511,0.32,0.638,1.042,-36.82,0,0,-375.334,0,-6.094,0,0,1,3,5,L,"하루（Haru）",170,80,0.549,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.012,-37.272,0,"Pring__",-0.03,-17.096,111,"신과함께1",-20.077,-44.213,0,"Pizzallaris",-7.3,-60.288,0,"Ayu_Yua",19.552,-41.72,0,"Multeinn",13.049,-61.182,0,"甲斐野柊太",40.58,-91.958,0,"それいゆ るな",-3.892,-115.472,0,"눈꽃",-25.06,-85.195,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,0,0,0,1,1,0,1,1,255,255,4,8,450.536,"encounter v",R,2,83,123,0.374,0.064,0.693,0.871,-37.229,2,0,-225.633,-396.531,-1.877,0,0,1,3,5,L,"하루（Haru）",170,80,0.549,2,74,451.684,255,19,78,74,50,150,40,-46.455,44.185,0.65,0.042,-0.011,0,0.359,0.459,-37.027,0,"Pring__",-0.022,-17.226,111,"신과함께1",-20.038,-44.16,99,"Pizzallaris",-7.373,-58.98,0,"Ayu_Yua",19.189,-40.385,0,"Multeinn",12.354,-60.895,0,"甲斐野柊太",40.579,-94.247,0,"それいゆ るな",-3.883,-115.472,0,"눈꽃",-27.323,-83.917,0,451.724,-0.657,-22.491,456.48,2,"신과함께1",-18.862,-41.352,1,0,0,0,0,0,0,2
10,1,1,1,0,0,0,1,1,0,1,5,255,7,9,488.194,"encounter v",R,33,93,140,-2.732,0.6,0.287,1.125,-36.378,1,0,144.296,57.665,-6.587,0,0,0,4,1,R,"Pugeuk",190,86.173,0.45,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.281,0,"Pring__",0.005,-17.034,111,"신과함께1",-19.871,-41.294,0,"Pizzallaris",-1.259,-59.676,0,"Ayu_Yua",19.799,-43.196,0,"Multeinn",6.082,-64.452,0,"甲斐野柊太",47.287,-101.703,0,"それいゆ るな",-3.889,-115.456,0,"눈꽃",-38.754,-89.759,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
