id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,432.855,"Sabo_10",L,26,79,130,1.054,0.001,-0.25,1.921,0.423,1.394,-36.697,2,0,40.043,-188.238,-31.852,0,0,1,0,6,R,"Ayu_Yua",174.4,88.98,0.483,2,79,433.954,136,4,68,44,11,139,122,-30,40.627,0.72,-0.002,-0.007,0,0.283,-0.187,-37.022,0,"bdg06213",-0.028,-17.038,0,"アリアル",-21.846,-47.191,85,"아침땅_",-15.551,-63.04,0,"인생최패망자",13.632,-48.419,0,"소솨소솨",9.733,-61.184,0,"Pugeuk",39.886,-88.373,0,"ke ro",-0.505,-117.663,0,"AI",-40.8,-90.55,0,433.806,-0.814,-19.946,435.317,2,"アリアル",-21.489,-43.842,0,0,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,452.844,"Sabo_10",L,10,79,120,-1.342,-0.548,-0.428,1.948,-0.572,1.644,-36.739,0,0,0,400,-29.231,-0.158,-16.411,0,1,2,L,"Pring__",180.335,95.172,0.477,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.363,-37.519,0,"bdg06213",-0.357,-16.625,120,"アリアル",-22.581,-47.124,0,"아침땅_",-12.537,-65.107,0,"인생최패망자",23.438,-49.233,0,"소솨소솨",17.019,-61.714,0,"Pugeuk",44.287,-100.971,0,"ke ro",-1.811,-124.806,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,532.489,"Sabo_10",L,10,70,114,-2.207,-0.315,-0.548,1.976,-0.965,1.911,-36.792,2,0,11.301,395.305,-10.894,0,0,0,1,2,L,"Pring__",180.335,95.172,0.477,3,81,533.366,199,20,97,113,70,150,94,-52.699,36.349,-0.47,-0.003,-0.015,0,0.483,0.049,-37.075,0,"bdg06213",0.001,-16.846,0,"アリアル",-21.972,-46.514,0,"아침땅_",-12.399,-65.041,0,"인생최패망자",22.836,-48.812,0,"소솨소솨",18.747,-60.734,0,"Pugeuk",43.28,-102.537,0,"ke ro",-9.955,-123.951,0,"AI",-40.8,-90.55,0,533.117,-0.832,-21.585,535.028,2,"アリアル",-17.375,-46.094,0,0,0,0,0,0,0,2
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,551.305,"Sabo_10",L,10,75,117,-1.668,-0.555,-0.538,1.926,-0.711,1.679,-36.783,4,0,0,400,-12.878,-0.264,-16.853,1,2,4,L,"encounter v",190,92.153,0.447,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.371,-37.82,0,"bdg06213",-0.294,-17.066,0,"アリアル",-21.978,-47.012,0,"아침땅_",-11.2,-65.61,0,"인생최패망자",22.976,-49.316,0,"소솨소솨",16.713,-62.276,0,"Pugeuk",39.593,-101.183,0,"ke ro",0.633,-118.233,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,2,0,0,0,255,255,255,4,563.317,"Sabo_10",L,26,78,129,-2.298,0.393,-0.549,1.907,-0.97,1.674,-36.767,2,0,-9.632,-170.104,-13.695,0,0,1,2,4,L,"encounter v",190,92.153,0.447,3,81,564.35,223,17,89,117,57,150,101,1.766,-30.497,-0.31,0.011,-0.086,0,0.583,-0.307,-37.09,0,"bdg06213",-0.036,-16.77,0,"アリアル",-22.052,-47.056,0,"아침땅_",-11.18,-65.667,0,"인생최패망자",23.206,-49.281,95,"소솨소솨",16.025,-62.326,0,"Pugeuk",39.527,-101.304,0,"ke ro",1.259,-114.709,0,"AI",-40.8,-90.55,0,565.117,12.537,-42.5,565.85,4,"인생최패망자",16.867,-49.086,0,0,0,0,0,0,0,2
6,1,0,0,0,0,0,0,0,0,0,255,255,255,0,665.935,"CVPileMaki",R,10,68,101,-1.012,-0.31,-0.077,2.159,-0.438,2.02,-36.743,2,0,0,333.912,3.071,0,0,1,0,4,L,"인생최패망자",160,89.557,0.396,3,80,667.241,25,4,16,4,7,5,32,-87.861,82.021,-0.77,0.03,-0.043,0,0.756,-0.363,-37.092,0,"HANA_ARASHI",-0.132,-17.005,0,"Pring__",-21.112,-46.63,0,"-라후이-",-10.641,-60.831,0,"encounter v",9.77,-35.105,0,"Kr_Luna",16.527,-59.473,0,"Ayu_Yua",52.784,-104.007,0,"_Chun",-9.54,-104.051,0,"ゆっち一",-47.638,-94.581,0,667.061,-0.383,-20.712,0,0,"",0,0,0,0,0,0,0,0,0,3
7,1,0,0,0,0,1,0,0,0,0,255,255,255,1,687.684,"CVPileMaki",R,5,93,138,-1.869,-0.799,-0.158,1.669,-0.734,1.166,-36.587,4,0,-54.878,0,2.353,0,0,1,0,4,L,"인생최패망자",160,89.557,0.396,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171,-37.52,0,"HANA_ARASHI",-0.328,-18.198,0,"Pring__",-19.487,-39.868,0,"-라후이-",-10.417,-51.542,0,"encounter v",3.467,-29.336,0,"Kr_Luna",15.249,-61.388,0,"Ayu_Yua",47.831,-103.286,0,"_Chun",-1.484,-105.12,0,"ゆっち一",-38.953,-86.889,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
8,1,0,0,0,0,2,0,0,0,0,255,255,255,2,701.347,"CVPileMaki",R,12,90,138,-5.027,-2.028,-0.162,1.294,-2.22,-3.375,-36.584,4,0,0,66.326,2.358,-0.515,-29.296,1,0,4,L,"인생최패망자",160,89.557,0.396,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.169,-37.758,0,"HANA_ARASHI",-0.697,-18.946,0,"Pring__",-19.093,-40.465,0,"-라후이-",-4.45,-32.322,0,"encounter v",4.463,-30.171,0,"Kr_Luna",15.353,-61.404,0,"Ayu_Yua",47.875,-102.718,0,"_Chun",-4.896,-106.332,0,"ゆっち一",-47.732,-92.748,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,0,0,0,0,0,1,0,0,0,255,255,255,3,724.645,"CVPileMaki",R,10,69,113,2.273,-2.529,-0.166,1.619,0.89,-0.942,-36.68,1,0,85.837,400,-7.532,0.257,-24.743,0,1,1,R,"bdg06213",190,85.893,0.25,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-38.167,0,"HANA_ARASHI",-0.036,-17.596,0,"Pring__",-20.547,-46.015,0,"-라후이-",-14.085,-62.493,0,"encounter v",21.564,-47.627,0,"Kr_Luna",15.312,-61.383,0,"Ayu_Yua",43.821,-100.917,0,"_Chun",-12.632,-111.064,0,"ゆっち一",-49.403,-95.657,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,1,0,1,0,0,0,255,255,255,4,737.644,"CVPileMaki",R,22,83,128,-0.234,-0.458,0.03,1.744,0.14,1.486,-36.485,2,0,-170.416,185.513,1.847,0,0,1,1,1,R,"bdg06213",190,85.893,0.25,2,79,738.77,255,14,111,112,94,150,92,-39.516,-6.232,-0.75,-0.047,-0.016,0,0.385,-0.27,-37.136,0,"HANA_ARASHI",-0.104,-17.691,0,"Pring__",-20.844,-46.235,0,"-라후이-",-13.953,-61.72,0,"encounter v",19.658,-45.446,0,"Kr_Luna",15.084,-61.449,103,"Ayu_Yua",43.787,-100.886,0,"_Chun",-12.862,-111.307,0,"ゆっち一",-49.25,-95.696,0,738.583,0.067,-21.84,741.506,5,"Kr_Luna",5.028,-63.468,0,0,0,0,0,0,0,2
