id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,218.763,"coder_",R,0,69,109,-1.495,-0.671,-0.208,1.536,-0.645,1.171,-36.483,2,0,0,0.003,26.277,0,0,1,0,1,R,"NABIMan",190,83.361,0.502,2,57,220.136,255,23,128,119,109,150,112,-15.828,24.809,0.17,-0.15,-0.107,0,0.462,0.09,-37.012,0,"IbikiKai_JP",-0.053,-17.196,0,"Kr_Luna",-20.104,-50.587,90,"crani",-13.531,-65.163,86,"Ayu_Yua",23.329,-51.967,0,"버블붐_Bubbleboom",14.918,-63.35,0,"Multeinn",36.918,-84.5,0,"하루（Haru）",-2.613,-107.249,0,"AI",-40.8,-90.55,0,219.937,-1.478,-23.847,221.959,3,"crani",-18.504,-61.17,0,1,0,0,0,0,0,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,251.173,"coder_",R,10,45,83,0.953,1.361,0.134,2.495,0.411,3.099,-36.708,1,0,0,395.908,-0.579,0,0,0,1,4,R,"-라후이-",190,85.74,0.5,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.234,-37.147,0,"IbikiKai_JP",-0.026,-17.214,120,"Kr_Luna",-19.538,-48.991,0,"crani",-13.391,-65.222,0,"Ayu_Yua",25.227,-52.786,0,"버블붐_Bubbleboom",12.442,-65.144,0,"Multeinn",40.102,-90.563,0,"하루（Haru）",-4.63,-109.015,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
3,1,1,0,0,1,0,1,0,0,0,255,255,255,2,266.429,"coder_",R,12,81,116,-2.38,-1.259,-0.324,1.454,-1.005,0.993,-36.346,1,0,-13.425,147.044,23.81,0,0,0,1,4,R,"-라후이-",190,85.74,0.5,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.228,-37.066,0,"IbikiKai_JP",-0.219,-17.26,0,"Kr_Luna",-20.48,-51.131,0,"crani",-13.348,-65.236,0,"Ayu_Yua",25.205,-52.834,0,"버블붐_Bubbleboom",12.428,-65.101,0,"Multeinn",39.787,-89.439,0,"하루（Haru）",-4.267,-108.781,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
4,1,1,0,0,2,0,1,0,0,0,255,255,255,3,276.594,"coder_",R,10,45,83,1.157,1.175,0.161,2.418,0.499,3.074,-36.515,2,0,0,400,6.518,0,0,1,1,4,R,"-라후이-",190,85.74,0.5,3,97,277.643,229,18,115,88,44,150,130,-16.237,-9.076,0.39,0.044,-0.006,0,0.255,0.081,-36.612,0,"IbikiKai_JP",-0.009,-17.131,0,"Kr_Luna",-20.47,-51.112,0,"crani",-13.278,-65.198,0,"Ayu_Yua",25.229,-52.842,0,"버블붐_Bubbleboom",12.439,-65.102,85,"Multeinn",42.864,-91.927,0,"하루（Haru）",-4.345,-108.156,92,"AI",-40.8,-90.55,0,277.47,0.925,-25.951,285.537,7,"하루（Haru）",17.901,-119.291,1,0,0,0,0,0,0,2
5,1,1,0,0,0,0,1,0,1,0,255,4,255,4,310.665,"coder_",R,27,72,125,-0.439,0.959,-0.042,1.895,-0.196,2.091,-36.444,0,0,4.336,-138.567,5.915,-0.165,-18.001,1,2,2,R,"Dοpi",190,85,0.302,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.129,-37.933,0,"IbikiKai_JP",-0.093,-17.362,0,"Kr_Luna",-20.122,-49.556,0,"crani",-13.243,-65.043,0,"Ayu_Yua",24.305,-50.648,0,"버블붐_Bubbleboom",6.866,-66.971,0,"Multeinn",39.364,-87.73,0,"하루（Haru）",-2.716,-115.164,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,0,0,0,1,1,0,1,0,255,4,255,5,321.839,"coder_",R,10,49,85,1.123,0.959,0.156,2.397,0.484,3.03,-36.552,0,0,0,400,-0.813,0,0,0,2,2,R,"Dοpi",190,85,0.302,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104,-37.602,0,"IbikiKai_JP",-0.014,-17.605,0,"Kr_Luna",-20.198,-48.886,0,"crani",-12.897,-64.835,0,"Ayu_Yua",24.287,-50.689,0,"버블붐_Bubbleboom",10.422,-66.066,0,"Multeinn",39.51,-84.12,0,"하루（Haru）",2.185,-115.639,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,0,0,0,2,1,0,1,0,255,4,255,6,350.13,"coder_",R,10,67,98,-1.409,-1.236,-0.131,1.635,-0.397,1.441,-36.531,2,0,-100.642,400,8.279,0,0,1,2,2,R,"Dοpi",190,85,0.302,3,57,351.266,157,13,81,123,77,150,100,-3.172,-5.279,0.94,-0.058,-0.046,0,0.202,0.198,-37.481,0,"IbikiKai_JP",-0.047,-17.571,0,"Kr_Luna",-20.009,-49.682,88,"crani",-13.139,-65.171,0,"Ayu_Yua",24.318,-50.608,0,"버블붐_Bubbleboom",3.316,-64.988,86,"Multeinn",39.939,-84.218,0,"하루（Haru）",0.393,-112.4,0,"AI",-40.8,-90.55,0,351.137,0.262,-26.021,352.881,5,"버블붐_Bubbleboom",4.555,-59.953,0,0,0,0,0,0,0,2
8,1,1,1,0,0,0,2,0,1,0,255,255,255,7,379.493,"coder_",R,10,69,100,0.748,-1.487,0.104,1.619,0.323,1.322,-36.656,4,0,0,400,3.342,0,0,1,3,6,R,"즉석카레",174.6,94.662,0.398,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,-37.366,0,"IbikiKai_JP",0.145,-17.572,0,"Kr_Luna",-19.942,-45.651,0,"crani",-13.438,-65.332,0,"Ayu_Yua",24.726,-50.333,0,"버블붐_Bubbleboom",10.646,-65.951,0,"Multeinn",38.15,-75.448,0,"하루（Haru）",-1.391,-107.194,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,1,2,0,0,0,255,255,255,8,444.95,"coder_",R,11,44,85,3.26,1.338,0.454,2.233,1.409,2.766,-36.635,2,0,-1.157,221.83,13.083,0,0,1,3,6,R,"즉석카레",174.6,94.662,0.398,2,58,446.073,133,18,86,111,84,142,92,13.117,-41.513,-0.37,-0.086,-0.03,0,0.262,0.41,-37.089,0,"IbikiKai_JP",0.012,-17.399,0,"Kr_Luna",-20.799,-50.279,0,"crani",-13.309,-65.335,81,"Ayu_Yua",24.445,-50.876,85,"버블붐_Bubbleboom",11.899,-64.633,0,"Multeinn",38.401,-75.263,95,"하루（Haru）",0.684,-107.82,0,"AI",-40.8,-90.55,0,448.048,33.051,-57.94,456.037,6,"Multeinn",65.867,-97.825,1,0,0,0,0,0,0,2
10,1,1,1,0,0,0,2,0,1,0,255,6,255,9,484.708,"coder_",R,10,42,81,1.139,1.54,0.189,2.518,0.491,3.204,-36.742,1,0,0,400,3.941,0,0,0,4,8,R,"별이__",170.3,90,0.4,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,-37.781,0,"IbikiKai_JP",-0.028,-17.501,0,"Kr_Luna",-19.982,-46.93,0,"crani",-13.385,-65.284,0,"Ayu_Yua",25.503,-51.043,0,"버블붐_Bubbleboom",11.391,-65.649,0,"Multeinn",41.153,-83.124,0,"하루（Haru）",-4.911,-107.133,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
