id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,318.916,"Sabo_10",L,26,88,140,0.19,0.205,0,0,0,0,0,0,0,28.427,-200,-32.162,0,0,0,0,1,L,"HANA_ARASHI",190,85.679,0.254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.351,-36.979,0,"Multeinn",-0.057,-16.657,0,"Ayu_Yua",-21.338,-47.104,0,"눈꽃",10.31,-19.028,0,"Penguin_iDOL",21.76,-50.256,0,"muyang_",12.634,-59.162,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,0,0,0,0,0,255,255,255,0,366.128,"Sabo_10",L,26,88,140,1.415,0.334,-0.256,1.924,0.648,1.563,-36.653,2,0,-29.971,-200,-43.34,0,0,1,0,5,R,"coder_",163.8,85,0.296,3,44,367.195,182,102,137,77,27,145,111,27.467,17.036,0.53,-0.16,-0.08,0,0.344,-0.014,-36.883,0,"Multeinn",-0.079,-16.671,0,"Ayu_Yua",-21.454,-47.135,0,"눈꽃",-12.131,-60.22,88,"Penguin_iDOL",16.326,-39.858,0,"muyang_",14.655,-62.568,75,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,374.35,-23.756,-130.06,378.363,3,"눈꽃",-8.632,-84.613,1,0,0,0,0,0,41,2
3,1,1,0,0,0,0,0,0,0,1,255,255,4,1,403.122,"Sabo_10",L,26,88,140,1.652,-0.014,-0.191,1.828,0.689,1.42,-36.661,2,0,51.327,-200,-53.642,0,0,1,1,1,R,"HANA_ARASHI",190,85.679,0.254,3,43,404.145,243,83,75,6,22,126,79,9.857,-25.503,-0.81,0.021,-0.074,0,0.54,-0.096,-36.976,0,"Multeinn",-0.111,-16.729,0,"Ayu_Yua",-21.695,-47.407,90,"눈꽃",-8.616,-62.707,0,"Penguin_iDOL",19.292,-40.354,0,"muyang_",14.472,-62.667,105,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,404.483,11.263,-43.465,405.59,5,"muyang_",16.211,-54.196,0,0,0,0,0,0,11,2
4,1,1,1,0,0,0,1,0,0,1,255,255,4,2,430.165,"Sabo_10",L,26,78,129,0.409,1.585,-0.413,2.063,0.22,2.277,-36.845,1,0,-25.82,-180.785,-29.976,0.373,-17.509,0,2,3,R,"sano jpn",169.5,93.315,0.32,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.394,-37.597,0,"Multeinn",-0.013,-16.685,120,"Ayu_Yua",-22.796,-48.401,0,"눈꽃",-11.677,-65.085,0,"Penguin_iDOL",22.037,-49.635,0,"muyang_",14.661,-63.031,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,1,0,1,0,1,0,0,0,255,255,255,3,447.152,"Sabo_10",L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,R,"sano jpn",169.5,93.315,0.32,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
6,1,1,1,0,2,0,1,0,0,0,255,255,255,4,461.652,"Sabo_10",L,4,59,112,-0.872,1.542,-0.595,2.041,-0.674,2.462,-37.291,1,0,157.161,0,-1.298,0,0,0,2,3,R,"sano jpn",169.5,93.315,0.32,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.18,-37.398,0,"Multeinn",-0.066,-16.705,0,"Ayu_Yua",-22.609,-48.05,0,"눈꽃",-11.832,-65.118,0,"Penguin_iDOL",21.841,-49.655,0,"muyang_",15.635,-61.695,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
7,1,1,1,0,3,0,1,0,0,0,255,255,255,5,473.999,"Sabo_10",L,26,87,140,-0.55,0.245,-0.367,1.875,-0.128,1.562,-36.594,2,0,-82.142,-169.007,-29.099,0,0,1,2,3,R,"sano jpn",169.5,93.315,0.32,3,43,475.072,169,59,104,73,28,145,98,-30,34.669,0.93,0.024,0.021,0,0.37,0.209,-37.066,0,"Multeinn",-0.072,-16.662,0,"Ayu_Yua",-22.665,-48.092,0,"눈꽃",-11.86,-65.135,0,"Penguin_iDOL",23.286,-49.849,0,"muyang_",14.847,-61.533,82,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,478.177,-38.455,-74.6,481.75,5,"muyang_",-1.65,-59.81,1,0,0,0,0,0,9,2
8,1,1,1,0,0,0,1,1,0,0,3,255,255,6,503.209,"Sabo_10",L,26,82,134,0.485,-0.131,-0.339,1.869,0.216,1.351,-36.769,0,0,3.951,-167.753,-26.417,0,0,0,3,2,R,"아침땅_",180.3,95.405,0.5,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.453,-37.798,0,"Multeinn",0.016,-16.964,0,"Ayu_Yua",-20.285,-43.16,0,"눈꽃",-7.212,-61.308,97,"Penguin_iDOL",18.66,-48.519,0,"muyang_",3.878,-59.881,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
9,1,1,1,0,0,1,1,0,1,0,255,3,255,7,521.134,"Sabo_10",L,10,83,127,-0.598,-1.126,-0.483,1.965,-0.248,1.274,-36.755,2,0,0,311.927,-22.736,0,0,1,3,2,R,"아침땅_",180.3,95.405,0.5,2,38,522.057,147,72,126,101,80,145,124,-28.394,-22.955,0.74,-0.039,-0.056,0.048,0.386,-0.257,-37.218,0,"Multeinn",-0.008,-16.972,0,"Ayu_Yua",-22.237,-48.061,0,"눈꽃",-10.508,-62.039,0,"Penguin_iDOL",22.019,-48.645,0,"muyang_",10.968,-60.188,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,527.243,43.471,-120.144,532.843,3,"눈꽃",0.84,-60.271,1,0,0,0,0,0,33,2
10,1,1,2,0,0,0,1,0,1,0,255,255,255,8,559.419,"Sabo_10",L,26,87,140,-1.108,0.384,-0.449,1.904,-0.508,1.667,-36.731,2,0,48.102,-200,-46.177,0,0,1,4,4,L,"_Chun",190,80,0.445,3,41,560.33,211,106,64,47,27,137,87,46.538,-13.984,-0.76,-0.034,-0.043,0,0.121,-0.286,-37.285,0,"Multeinn",0.019,-17.207,0,"Ayu_Yua",-23.365,-48.744,0,"눈꽃",-6.983,-61.46,0,"Penguin_iDOL",21.777,-46.699,0,"muyang_",15.231,-62.002,105,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,564.737,18.325,-76.237,564.963,5,"muyang_",17.825,-74.761,0,0,0,0,0,0,41,1
11,1,1,2,0,0,0,2,0,1,0,255,255,255,9,587.844,"Sabo_10",L,10,87,128,-0.427,-0.7,-0.402,1.982,0.045,1.677,-36.731,2,0,0,400,-37.09,0,0,1,5,0,R,"하루（Haru）",190,80,0.549,2,41,588.892,255,148,97,68,42,145,127,-28.357,24.361,0.23,-0.019,-0.01,0,0.43,-0.345,-37.081,0,"Multeinn",-0.038,-17.092,0,"Ayu_Yua",-21.218,-46.574,0,"눈꽃",-3.859,-60.748,0,"Penguin_iDOL",22.974,-50.256,0,"muyang_",13.685,-61.659,82,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,594.443,-40.444,-119.417,599.497,5,"muyang_",-1.303,-61.07,1,0,0,0,0,0,9,2
12,1,1,3,0,0,0,2,1,1,0,0,255,255,10,621.806,"Sabo_10",L,10,81,122,0.397,-2.905,-0.3,1.536,0.183,0.287,-36.588,1,0,0,400,-16.751,0.053,-21.371,0,0,5,R,"coder_",163.8,85,0.296,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.576,-37.405,0,"Multeinn",-0.054,-17.163,0,"Ayu_Yua",-21.85,-47.793,0,"눈꽃",-11.038,-63.423,0,"Penguin_iDOL",23.676,-48.101,0,"muyang_",14.473,-62.241,0,"AI",40.902,-90.651,0,"AI",0,-109.84,0,"AI",-40.802,-90.551,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
13,1,1,3,0,1,0,2,0,1,0,255,255,255,11,636.525,"Sabo_10",L,26,83,136,-0.683,-0.413,-0.4,1.779,-0.281,1.199,-36.539,2,0,-3.223,-160.028,-39.992,0,0,1,0,5,R,"coder_",163.8,85,0.296,3,41,637.54,189,101,69,64,23,140,121,26.796,44.006,0.51,-0.078,-0.048,0,0.312,-0.004,-37.287,0,"Multeinn",-0.012,-17.104,0,"Ayu_Yua",-21.875,-47.786,0,"눈꽃",-12.612,-63.612,0,"Penguin_iDOL",23.14,-48.701,0,"muyang_",14.577,-62.296,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,641.563,-78.527,-98.122,0,0,"",0,0,0,0,0,0,0,0,1,3
