id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,286.273,"인생최패망자",R,32,85,140,-0.562,1.247,0.998,1.673,-0.474,2.259,-37.041,59.016,4,0,157.637,-95.895,0,0,0,1,0,3,R,"Penguin_iDOL",180,85.452,0.399,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.079,-37.985,0,"甲斐野柊太",-0.059,-16.301,0,"Kr_Luna",-21.58,-48.703,0,"ke ro",-10.146,-63.877,0,"Sabo_10",18.637,-44.727,0,"소솨소솨",15.33,-63.52,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,298.263,"인생최패망자",R,33,74,140,0.211,0.495,1.078,1.55,-0.101,1.841,-37.156,67.014,2,0,111.328,-65.823,0,0,0,1,0,3,R,"Penguin_iDOL",180,85.452,0.399,3,78,299.42,198,126,90,62,33,145,105,-30,48.449,0.92,0.005,-0.025,0,0.299,0.452,-37.119,0,"甲斐野柊太",-0.038,-16.271,0,"Kr_Luna",-21.437,-49.97,0,"ke ro",-10.021,-63.985,0,"Sabo_10",20.689,-47.992,0,"소솨소솨",15.526,-63.851,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,299.41,-1.942,-20.125,0,0,"",0,0,0,0,,,,,1,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,310.582,"인생최패망자",R,3,70,125,-1.129,-0.383,0.924,1.48,0.084,1.374,-37.305,70.824,2,0,-352.424,0,0,0,0,1,0,3,R,"Penguin_iDOL",180,85.452,0.399,3,77,311.701,232,151,117,86,58,145,118,16.951,-19.183,0.2,0.011,-0.007,0,0.397,0.202,-37.932,0,"甲斐野柊太",-0.058,-16.27,0,"Kr_Luna",-21.879,-49.055,0,"ke ro",-11.613,-64.682,84,"Sabo_10",21.437,-52.97,0,"소솨소솨",14.378,-63.723,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,318.443,12.932,-128.701,322.888,3,"ke ro",1.877,-69.784,1,0,,322.023,,,5,2
4,1,1,0,0,0,0,0,0,1,0,255,3,255,3,368.499,"인생최패망자",R,32,75,140,4.757,1.049,1.084,1.599,1.843,2.197,-37.356,79.913,3,0,161.955,-60.006,0,0.999,-21.23,0,1,1,R,"-라후이-",190,95,0.5,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.561,-37.331,0,"甲斐野柊太",0.782,-17.796,0,"Kr_Luna",-20.558,-49.374,0,"ke ro",-10.395,-64.515,0,"Sabo_10",19.764,-49.02,0,"소솨소솨",15.322,-62.868,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,370.917,,,0,6
5,1,1,0,0,2,0,0,0,1,0,255,3,255,4,388.305,"인생최패망자",R,3,73,108,-4.163,0.16,0.736,1.532,-1.128,1.732,-36.919,37.166,4,0,-360.792,0,0,0,0,1,1,1,R,"-라후이-",190,95,0.5,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.411,-37.803,0,"甲斐野柊太",-2.534,-17.694,120,"Kr_Luna",-21.144,-48.056,0,"ke ro",-10.426,-64.598,0,"Sabo_10",19.352,-46.538,0,"소솨소솨",15.884,-63.046,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,389.621,391.244,,401.323,0,0
6,1,1,0,0,2,1,0,0,1,0,255,3,255,5,411.326,"인생최패망자",R,3,74,112,-4.143,0.335,0.805,1.58,-0.916,1.836,-37.01,48.178,1,0,-470.532,0,0,0,0,0,1,1,R,"-라후이-",190,95,0.5,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.565,-37.608,0,"甲斐野柊太",-2.854,-16.571,0,"Kr_Luna",-20.956,-49.356,0,"ke ro",-10.384,-64.535,0,"Sabo_10",19.043,-48.6,0,"소솨소솨",15.272,-63.392,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,412.599,413.782,,,0,0
7,1,1,0,0,3,1,0,0,1,0,255,3,255,6,426.352,"인생최패망자",R,32,73,140,0.972,0.809,0.96,1.633,0.122,2.039,-37.165,65.616,2,0,186.759,-89.841,0,0,0,1,1,1,R,"-라후이-",190,95,0.5,3,92,427.181,122,70,51,60,52,133,99,25.597,46.196,0.01,0,-0.064,0,0.103,0.253,-37.593,0,"甲斐野柊太",-0.043,-16.42,0,"Kr_Luna",-21.117,-49.271,0,"ke ro",-10.234,-64.555,0,"Sabo_10",20.391,-46.161,0,"소솨소솨",16.145,-62.764,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,436.31,-77.429,-87.73,0,0,"",0,0,0,0,,441.787,434.256,,1,2
8,1,1,0,0,3,2,0,0,1,0,255,3,255,7,452.159,"인생최패망자",R,32,77,140,2.129,-1.182,1.01,1.325,0.622,0.823,-37.146,69.946,2,0,190.172,-55.672,0,0,0,1,1,1,R,"-라후이-",190,95,0.5,3,75,453.004,163,139,97,62,28,145,129,-30,-36.567,0.51,-0.025,-0.107,0,0.297,0.462,-37.55,0,"甲斐野柊太",-0.035,-16.575,0,"Kr_Luna",-21.71,-48.309,78,"ke ro",-12.518,-64.619,0,"Sabo_10",19.843,-51.115,0,"소솨소솨",16.21,-63.903,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,452.932,0.842,-21.072,454.343,4,"Sabo_10",20.341,-47.326,1,0,,457.492,,,49,2
9,1,1,0,0,0,0,0,1,1,0,1,3,255,8,481.842,"인생최패망자",R,32,76,140,0.174,1.016,1.058,1.625,-0.197,2.097,-37.059,59.719,2,0,190.594,-122.745,0,0,0,1,2,4,R,"ゆっち一",180.2,86.105,0.417,3,74,482.944,141,124,87,72,39,141,130,5.423,32.879,0.45,0.006,-0.023,0,0.254,0.57,-37.368,0,"甲斐野柊太",-0.185,-16.299,0,"Kr_Luna",-20.217,-48.847,99,"ke ro",-11.183,-64.927,0,"Sabo_10",19.809,-47.659,0,"소솨소솨",15.445,-62.169,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,493.566,-12.791,-40.458,493.543,2,"Kr_Luna",-15.393,-44.381,1,0,495.432,488.428,488.981,493.854,51,2
10,1,1,1,0,0,0,0,0,1,1,255,255,1,9,517.015,"인생최패망자",R,32,89,140,-3.251,0.606,0.734,1.556,-1.702,1.85,-36.828,33.29,2,0,219.074,-158.637,0,0,0,0,3,2,L,"Pring__",190,94.846,0.477,3,75,517.826,192,71,119,117,48,145,104,37.121,15.783,-0.17,-0.004,-0.036,0,0.424,0.273,-37.332,0,"甲斐野柊太",0.063,-16.507,0,"Kr_Luna",-20.37,-47.566,0,"ke ro",-7.386,-65.171,85,"Sabo_10",19.517,-41.552,0,"소솨소솨",19.28,-59.172,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,526.799,-34.046,-115.047,530.81,3,"ke ro",-6.826,-70.107,1,0,535.277,520.663,528.516,524.098,7,2
