id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,zDist,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,stayCon,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,302.033,"Gonyong",R,33,62,118,1.707,0.545,0.36,2.053,-36.803,4,0,146.43,-88.613,9,0,0,1,0,1,L,"encounter v",185.1,90,0.447,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.373,-37.851,0,"눈꽃",0.012,-16.954,0,"Pring__",-22.378,-48.861,0,"Penguin_iDOL",-9.837,-64.192,0,"magimari",22.367,-48.696,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,317.011,"Gonyong",R,26,72,125,-1.54,-0.68,0.055,1.796,-36.381,2,0,160.72,-200,14.68,0,0,1,0,1,L,"encounter v",185.1,90,0.447,3,91,318.095,255,22,118,152,62,150,130,31.371,-34.513,0.5,0.043,-0.08,0.021,0,0.639,-0.381,-37.087,0,"눈꽃",-0.07,-17.133,0,"Pring__",-22.461,-48.68,0,"Penguin_iDOL",-9.914,-64.337,88,"magimari",22.111,-49.042,0,"AI",12.331,-57.983,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,325.06,48.858,-108.224,330.037,3,"Penguin_iDOL",1.251,-59.654,1,0,0,0,0,0,0,2
3,1,1,0,0,0,0,0,0,1,0,255,1,255,2,348.225,"Gonyong",R,26,69,123,-2.004,-0.326,0.02,1.861,-36.477,2,0,146.499,-200,17.181,0,0,1,1,2,L,"Sabo_10",184.7,90,0.552,3,90,349.257,169,17,113,88,53,150,92,24.706,-0.735,-0.64,0.06,-0.062,0.322,0,0.522,-0.416,-37.266,0,"눈꽃",-0.087,-17.223,0,"Pring__",-22.893,-49.627,0,"Penguin_iDOL",-7.681,-63.405,89,"magimari",22.593,-47.459,0,"AI",12.334,-57.774,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,354.215,12.832,-99.847,358.382,3,"Penguin_iDOL",0.665,-60.489,0,0,0,0,0,0,0,1
4,1,1,0,0,0,0,1,0,1,0,255,1,255,3,379.893,"Gonyong",R,32,63,119,0.08,-0.234,0.185,1.885,-36.517,0,0,234.073,-200,19.445,0,0,0,2,4,R,"coder_",163.9,85.619,0.28,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096,-37.953,0,"눈꽃",0.018,-17.212,120,"Pring__",-20.218,-44.866,0,"Penguin_iDOL",-12.072,-63.218,0,"magimari",22.496,-47.321,0,"AI",12.4,-58.2,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
5,1,1,0,0,0,1,1,0,1,0,255,1,255,4,391.441,"Gonyong",R,32,59,116,2.303,0.671,0.389,2.041,-36.858,2,0,189.547,-110.595,9.315,1.631,-20.525,1,2,4,R,"coder_",163.9,85.619,0.28,3,63,392.674,123,16,93,55,24,140,84,-19.6,-24.86,-0.48,-0.099,-0.031,0.298,0,0.209,-0.593,-37.365,120,"눈꽃",-0.011,-17.189,120,"Pring__",-20.844,-47.316,85,"Penguin_iDOL",-11.587,-63.396,0,"magimari",22.531,-47.333,88,"AI",12.276,-57.766,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,394.682,12.487,-48.712,398.126,2,"Pring__",-17.423,-40.334,1,1,0,0,0,0,0,2
6,1,1,0,0,0,0,2,0,0,1,255,255,4,5,460.24,"Gonyong",R,46,23,90,0.511,0.566,0.252,1.754,-37.506,0,0,108.981,-98.674,0.015,0,0,1,3,5,R,"아침땅_",166.5,94.757,0.5,2,90,461.151,147,7,97,94,61,150,63,-20.946,29.665,1,-0.006,-0.05,0.061,0.048,0.351,-0.521,-37.094,0,"눈꽃",-0.167,-17.412,0,"Pring__",-20.958,-46.024,0,"Penguin_iDOL",-11.939,-64.197,0,"magimari",21.573,-45.463,0,"AI",12.268,-57.405,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,461.115,-0.745,-20.104,463.449,2,"Pring__",-14.854,-44.814,0,0,0,0,0,0,0,2
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,536.87,"HANA_ARASHI",R,32,86,140,0.29,0.452,-0.03,1.487,-36.514,2,0,208.938,-139.058,13.324,0,0,1,0,0,R,"Gonyong",190,80,0.2,3,89,537.944,255,12,145,108,38,150,73,29.168,36.42,0.98,-0.057,-0.02,0.006,0.095,0.301,-0.083,-37.096,0,"encounter v",-0.14,-17.409,0,"AI",-21.386,-49.328,0,"",-13.84,-58.048,0,"coder_",23.313,-50.746,0,"아침땅_",11.625,-65.19,0,"AI",35.702,-81.802,0,"AI",0,-100.603,0,"AI",-35.702,-81.802,0,545.649,-17.053,-33.815,0,0,"",0,0,0,0,0,0,0,0,0,1
8,1,0,0,0,0,0,1,0,0,0,255,255,255,1,561.378,"HANA_ARASHI",R,3,72,113,3.202,0.947,0.418,1.602,-36.667,3,0,-478.837,0,-4.61,0.147,-20.434,0,1,3,R,"Penguin_iDOL",179.7,80,0.397,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.131,-36.747,0,"encounter v",0.059,-18.704,0,"AI",-20.319,-47.573,0,"",-12.4,-58.2,0,"coder_",21.444,-48.572,0,"아침땅_",11.95,-65.047,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,6
9,1,0,0,0,2,0,1,0,0,0,255,255,255,2,580.681,"HANA_ARASHI",R,3,77,117,-2.711,-0.996,-0.122,1.337,-36.308,1,0,-377.063,209.159,8.072,-0.826,-17.659,0,1,3,R,"Penguin_iDOL",179.7,80,0.397,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.286,-37.576,0,"encounter v",-0.906,-17.716,0,"AI",-19.622,-45.975,0,"",-12.4,-58.2,0,"coder_",21.722,-48.702,0,"아침땅_",10.291,-64.404,0,"AI",35.7,-81.8,0,"AI",0,-100.6,0,"AI",-35.7,-81.8,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
10,1,0,0,0,3,0,1,0,0,0,255,255,255,3,592.902,"HANA_ARASHI",R,32,86,139,-0.886,-0.157,-0.142,1.356,-36.395,0,0,209.304,-200,16.757,0,0,1,1,3,R,"Penguin_iDOL",179.7,80,0.397,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.15,-37.15,0,"encounter v",-0.111,-17.259,0,"AI",-20.549,-48.681,0,"",-12.401,-58.201,0,"coder_",21.839,-48.785,0,"아침땅_",12.423,-64.586,0,"AI",35.702,-81.802,0,"AI",0,-100.602,0,"AI",-35.702,-81.802,0,0,0,0,0,0,"",0,0,0,0,0,0,0,0,0,0
