id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,279.074,"_Chun",L,29,76,128,3.408,-0.367,0.248,1.591,1.155,1.27,-36.46,10.127,1,0,250,-116.614,-18.565,0,0,0,0,4,L,"Sabo_10",185.2,90,0.549,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.273,-37.168,0,"-라후이-",0.081,-18.192,0,"encounter v",-20.146,-46.404,0,"ke ro",-13.759,-64.547,0,"ゆっち一",22.765,-47.074,0,"인생최패망자",12.748,-63.792,0,"소솨소솨",47.832,-88.902,0,"하루（Haru）",0.605,-119.095,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,280.119,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,289.654,"_Chun",L,10,83,125,-0.471,-0.534,-0.044,1.716,-0.204,1.687,-36.383,18.394,2,0,0,400,-7.878,0,0,1,0,4,L,"Sabo_10",185.2,90,0.549,3,68,290.707,206,169,91,104,116,145,110,-15,14.331,0.91,0.079,-0.107,0,0.669,0.024,-36.774,0,"-라후이-",0.005,-18.167,0,"encounter v",-20.845,-47.527,95,"ke ro",-13.567,-64.894,98,"ゆっち一",22.766,-47.087,0,"인생최패망자",13.922,-65.048,0,"소솨소솨",46.934,-88.591,0,"하루（Haru）",0.516,-118.656,0,"AI",-40.8,-90.55,0,290.396,-0.842,-24.271,292.152,3,"ke ro",-10.287,-60.713,0,0,,,,,67,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,311.982,"_Chun",L,26,83,136,3.367,0.949,0.165,1.758,0.766,1.82,-36.551,19.969,4,0,-16.616,-165.957,-7.32,-0.095,-20.354,1,1,2,R,"Ayu_Yua",190,89,0.453,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,-37.257,0,"-라후이-",-0.068,-18.956,0,"encounter v",-22.949,-50.349,0,"ke ro",-13.57,-63.313,0,"ゆっち一",22.796,-52.603,0,"인생최패망자",12.177,-64.701,0,"소솨소솨",29.713,-82.187,0,"하루（Haru）",-3.839,-114.131,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,316.063,,,,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,340.531,"_Chun",L,10,54,90,-60.979,-2.529,0.046,2.243,0.335,2.777,-36.7,46.834,2,0,0,386.932,-4.224,0,0,1,1,2,R,"Ayu_Yua",190,89,0.453,3,65,341.862,194,108,94,111,37,145,90,35.039,-40.541,-0.83,0.036,-0.012,0,0.254,0.113,-36.815,0,"-라후이-",-0.042,-18.055,0,"encounter v",-22.991,-50.471,0,"ke ro",-13.012,-64.946,0,"ゆっち一",22.81,-52.615,0,"인생최패망자",11.709,-63.827,0,"소솨소솨",29.828,-82.183,0,"하루（Haru）",-3.413,-114.535,0,"AI",-40.8,-90.55,0,346.174,55.708,-69.082,0,0,"",0,0,0,0,,,,,64,3
5,1,1,0,0,0,2,1,0,0,0,255,255,255,4,359.717,"_Chun",L,6,73,115,-2.726,0.188,-0.086,1.855,-0.42,1.816,-36.709,29.384,4,0,-432.6,72.887,-21.093,-0.894,-18.305,1,1,2,R,"Ayu_Yua",190,89,0.453,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.014,-37.277,0,"-라후이-",-0.782,-18.354,0,"encounter v",-21.379,-47.768,0,"ke ro",-12.61,-64.45,0,"ゆっち一",22.479,-53.04,0,"인생최패망자",12.073,-63.234,0,"소솨소솨",35.385,-82.824,0,"하루（Haru）",2.204,-112.444,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,361.563,,,,0,0
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,382.963,"_Chun",L,3,81,122,2.21,0.566,0.009,1.817,0.392,1.968,-36.74,40.065,1,0,397.869,44.844,-4.285,0,0,0,2,3,L,"신과함께1",173.8,94.814,0.2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,-36.949,0,"-라후이-",0.062,-17.521,0,"encounter v",-21.46,-49.989,0,"ke ro",-11.016,-65.232,0,"ゆっち一",22.899,-50.586,0,"인생최패망자",15.45,-62.028,0,"소솨소솨",40.542,-82.361,0,"하루（Haru）",0.16,-113.666,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,384.03,,,,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,397.447,"_Chun",L,26,85,138,-1.633,0.899,-0.146,1.862,-0.556,1.922,-36.638,35.757,4,0,-108.722,-200,-4.032,-0.641,-18.526,1,2,3,L,"신과함께1",173.8,94.814,0.2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.424,-37.151,0,"-라후이-",-0.293,-17.987,0,"encounter v",-21.845,-49.676,0,"ke ro",-11.261,-65.48,0,"ゆっち一",22.185,-48.832,0,"인생최패망자",15.084,-61.48,0,"소솨소솨",40.529,-82.373,0,"하루（Haru）",0.315,-113.436,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,399.563,,,,0,0
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,411.375,"_Chun",L,6,75,115,1.708,0.46,0.331,1.879,1.554,1.863,-36.792,27.98,1,0,-454.519,0,-21.647,0.245,-18.105,0,2,3,L,"신과함께1",173.8,94.814,0.2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.335,-37.182,0,"-라후이-",0.08,-18.38,0,"encounter v",-22.62,-50.436,0,"ke ro",-10.929,-64.655,0,"ゆっち一",22.195,-48.844,0,"인생최패망자",15.201,-61.74,0,"소솨소솨",38.532,-80.97,0,"하루（Haru）",0.274,-113.628,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,414.296,,,,0,0
9,1,1,0,0,2,1,2,0,0,0,255,255,255,8,426.265,"_Chun",L,10,79,120,-1.159,0.141,-0.108,1.854,-0.501,2.177,-36.573,24.638,0,0,0,400,2.156,0,0,0,2,3,L,"신과함께1",173.8,94.814,0.2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.4,0,"-라후이-",-0.02,-17.314,0,"encounter v",-20.432,-47.9,0,"ke ro",-11.101,-65.094,0,"ゆっち一",22.2,-48.859,0,"인생최패망자",14.986,-61.455,0,"소솨소솨",39.416,-81.317,0,"하루（Haru）",0.327,-113.492,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,427.341,,,,0,0
10,1,1,0,0,2,2,2,0,0,0,255,255,255,9,439.616,"_Chun",L,10,79,120,1.534,-0.731,0.143,1.714,0.663,1.68,-36.535,20.208,2,0,0,400,-5.846,0,0,1,2,3,L,"신과함께1",173.8,94.814,0.2,2,57,440.763,244,98,131,94,14,145,86,-46.887,-47.671,-0.74,0.073,-0.095,0,0.138,0.148,-36.918,0,"-라후이-",-0.003,-17.57,0,"encounter v",-22.859,-51.617,0,"ke ro",-10.806,-65.172,0,"ゆっち一",22.204,-48.843,0,"인생최패망자",15.029,-61.583,0,"소솨소솨",37.958,-81.443,0,"하루（Haru）",0.345,-113.531,0,"AI",-40.803,-90.552,0,440.374,0.946,-19.965,442.652,4,"ゆっち一",24.942,-41.79,0,0,,,,,72,2
