id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,325.061,"Pugeuk",R,32,72,140,0.703,0.955,0.64,1.106,-0.027,2.015,-36.977,50.254,2,0,250,-200,7.696,0,0,1,0,6,R,"magimari",180.7,80,0.452,3,53,326.175,255,58,64,22,18,134,130,-30,19.67,0.42,0.026,-0.023,0,0.457,-0.157,-36.991,0,"Riyaj",-0.118,-16.904,0,"Penguin_iDOL",-22.173,-48.847,85,"Kr_Luna",-14.82,-59.239,90,"Slaris",17.784,-57.859,0,"_이누_",14.202,-60.13,0,"아침땅_",35.796,-83.909,0,"-라후이-",-1.228,-108.029,0,"Ayu_Yua",-35.58,-86.931,0,326.042,-0.65,-20.361,327.664,3,"Kr_Luna",-14.161,-57.428,0,0,,,,,18,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,350.055,"Pugeuk",R,32,75,140,1.418,0.12,0.697,1.023,0.241,1.728,-37.096,58.14,0,0,250,16.315,-3.835,0,0,0,1,3,R,"양_뭉이",190,100,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.307,-37.652,0,"Riyaj",-0.016,-16.859,120,"Penguin_iDOL",-22.722,-47.55,0,"Kr_Luna",-14.942,-59.123,0,"Slaris",16.483,-62.857,0,"_이누_",13.473,-54.546,0,"아침땅_",32.755,-81.269,0,"-라후이-",-1.793,-110.351,0,"Ayu_Yua",-45.988,-83.182,0,0,0,0,0,0,"",0,0,0,0,351.519,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,362.947,"Pugeuk",R,2,52,100,-1.517,0.243,0.711,0.901,0.205,1.441,-37.397,66.112,4,0,-373.761,-284.546,-3.732,-2.507,-5.628,1,1,3,R,"양_뭉이",190,100,0.5,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.204,-37.81,0,"Riyaj",-0.151,-16.873,0,"Penguin_iDOL",-22.283,-47.799,0,"Kr_Luna",-14.918,-59.143,0,"Slaris",13.288,-62.839,0,"_이누_",13.434,-54.579,0,"아침땅_",32.881,-81.369,0,"-라후이-",-2.345,-109.959,0,"Ayu_Yua",-45.966,-83.154,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,378.988,"Pugeuk",R,32,69,136,0.454,0.603,0.608,1.121,-0.174,2.045,-37.049,50.801,2,0,250,32.533,27.128,0,0,1,1,3,R,"양_뭉이",190,100,0.5,2,37,380.072,182,81,76,59,54,142,57,63.659,-48.49,-0.57,-0.086,-0.131,0,0.78,0.315,-37.33,0,"Riyaj",-0.287,-16.819,0,"Penguin_iDOL",-22.225,-47.776,0,"Kr_Luna",-16.331,-59.805,0,"Slaris",19.046,-60.228,0,"_이누_",13.554,-54.764,93,"아침땅_",33.019,-82.078,0,"-라후이-",-1.764,-107.388,0,"Ayu_Yua",-46.161,-83.192,0,384.497,24.075,-40.516,384.719,5,"_이누_",23.313,-39.842,0,0,,,,,32,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,405.516,"Pugeuk",R,3,73,126,-0.176,-0.502,0.754,0.923,0.507,1.357,-37.456,85.998,0,0,-500,0,43.739,-0.508,-17.727,0,2,7,L,"_Chun",160,80,0.445,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.148,-37.596,0,"Riyaj",-0.108,-17.117,0,"Penguin_iDOL",-22.748,-49.332,0,"Kr_Luna",-11.294,-61.346,0,"Slaris",23.943,-54.385,0,"_이누_",14.452,-49.077,0,"아침땅_",40.867,-82.321,0,"-라후이-",-1.774,-105.752,0,"Ayu_Yua",-44.094,-82.297,0,0,0,0,0,0,"",0,0,0,0,408.363,,,,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,420.953,"Pugeuk",R,10,48,100,-0.391,-2.97,0.62,0.998,-0.191,0.571,-37.486,81.234,2,0,0,400,-2.923,-0.038,-21.312,1,2,7,L,"_Chun",160,80,0.445,3,52,422.068,216,158,67,72,44,141,122,-30,-20.408,0.65,-0.038,-0.059,0,0.403,-0.069,-37.3,0,"Riyaj",-0.03,-17.138,0,"Penguin_iDOL",-22.432,-49.342,0,"Kr_Luna",-12.016,-61.174,0,"Slaris",21.132,-46.272,0,"_이누_",19.152,-55.342,97,"아침땅_",40.786,-84.374,0,"-라후이-",-1.833,-106.184,0,"Ayu_Yua",-44.088,-82.284,0,421.797,-0.045,-20.559,423.519,5,"_이누_",12.969,-55.538,0,4,,,,,298,2
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,475.032,"NABIMan",R,3,60,110,0.679,-0.87,0.646,0.938,1.059,1.094,-36.728,40.961,2,0,-486.78,0,6.24,0,0,1,0,4,R,"Slaris",190,85.69,0.452,3,53,476.033,68,54,75,84,83,113,75,-64.36,-50.756,-0.24,-0.004,-0.188,0.857,0.434,0.215,-37.06,0,"coder_",-0.162,-17.436,0,"Pring__",-21.212,-46.575,0,"양_뭉이",-7.992,-61.405,0,"あいくんだよー『아이 군』",20.82,-46.229,92,"소솨소솨",16.924,-63.748,0,"magimari",44.985,-88.066,0,"_Chun",1.661,-111.648,0,"Sabo_10",-45.718,-93.213,0,475.841,0.563,-20.925,478.686,4,"あいくんだよー『아이 군』",20.819,-37.387,0,0,,,,,288,2
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,493.068,"NABIMan",R,17,60,110,0.699,1.959,0.49,1.18,0.29,2.779,-36.585,14.426,1,0,0,-93.154,12.025,0,0,0,0,4,R,"Slaris",190,85.69,0.452,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,-37.745,0,"coder_",-0.1,-17.223,120,"Pring__",-21.913,-47.562,0,"양_뭉이",-6.711,-60.311,0,"あいくんだよー『아이 군』",20.044,-44.868,0,"소솨소솨",17.172,-62.553,0,"magimari",44.371,-84.587,0,"_Chun",2.132,-107.701,0,"Sabo_10",-43.574,-96.074,0,0,0,0,0,0,"",0,0,0,0,494.23,,,,0,0
9,1,0,0,0,1,1,0,0,0,0,255,255,255,2,506.587,"NABIMan",R,15,64,115,0.219,-1.191,0.442,0.718,0.083,0.473,-36.784,40.561,1,0,-0.402,-398.683,9.615,0,0,0,0,4,R,"Slaris",190,85.69,0.452,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165,-37.104,0,"coder_",-0.157,-17.326,0,"Pring__",-21.905,-47.562,0,"양_뭉이",-8.238,-59.995,0,"あいくんだよー『아이 군』",18.876,-43.988,0,"소솨소솨",15.052,-63.604,0,"magimari",44.287,-84.672,0,"_Chun",2.172,-107.723,0,"Sabo_10",-44.588,-93.52,0,0,0,0,0,0,"",0,0,0,0,507.786,,,,0,0
10,1,0,0,0,2,1,0,0,0,0,255,255,255,3,520.326,"NABIMan",R,36,70,117,2.927,0.557,0.51,1.161,1.08,2.004,-36.394,9.768,4,0,62.047,103.857,25.55,0.71,-20.73,1,0,4,R,"Slaris",190,85.69,0.452,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,-37.748,0,"coder_",0.769,-18.694,0,"Pring__",-22.023,-47.518,0,"양_뭉이",-7.575,-59.511,0,"あいくんだよー『아이 군』",18.898,-44.144,0,"소솨소솨",15.068,-63.64,0,"magimari",45.282,-85.964,0,"_Chun",1.475,-107.752,0,"Sabo_10",-44.57,-93.789,0,0,0,0,0,0,"",0,0,0,0,522.808,,,,0,0
