id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,298.133,"Pring__",R,26,87,140,-2.566,-0.399,-0.281,1.413,-1.309,1.203,-36.119,12.19,1,0,173.736,-200,45.396,0,0,0,0,8,R,"Penguin_iDOL",180.2,80,0.397,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301,-37.529,0,"Kr_Luna",-0.054,-17.399,0,"Ayu_Yua",-22.473,-47.698,0,"Yaksok~",-16.439,-62.071,0,"HANA_ARASHI",22.528,-53.18,0,"_송글_",11.798,-63.147,0,"Pugeuk",48.871,-104.069,0,"_Chun",-3.449,-111.626,0,"ʚmingɞ",-44.807,-83.016,0,0,0,0,0,0,"",0,0,0,0,294.7,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,312.876,"Pring__",R,32,77,129,1.947,0.782,0.148,1.601,0.48,1.903,-36.262,42.1,2,0,250,-180.366,4.097,0,0,1,0,8,R,"Penguin_iDOL",180.2,80,0.397,3,80,313.977,255,170,168,86,44,145,86,52.533,-1.205,-0.85,-0.016,0.029,0,0.334,-0.462,-37.019,0,"Kr_Luna",-0.033,-17.353,0,"Ayu_Yua",-22.559,-47.792,85,"Yaksok~",-16.112,-62.222,0,"HANA_ARASHI",21.797,-51.034,0,"_송글_",12.265,-63.081,0,"Pugeuk",48.916,-104.56,0,"_Chun",-5.765,-110.494,95,"ʚmingɞ",-44.764,-82.994,0,315.011,3.889,-70.969,316.711,7,"_Chun",4.406,-77.883,1,0,,,,339.61,274,2
3,1,1,0,0,0,0,0,1,0,0,8,255,255,2,354.996,"Pring__",R,3,73,101,0.32,-0.348,0.277,1.412,0.856,1.437,-36.353,51.824,0,0,-427.931,0,0.168,0,0,1,1,2,R,"Rite_",170.8,95,0.5,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.072,-37.374,0,"Kr_Luna",0.017,-17.388,119,"Ayu_Yua",-18.338,-41.447,0,"Yaksok~",-13.988,-57.387,0,"HANA_ARASHI",21.721,-53.407,0,"_송글_",10.525,-63.302,0,"Pugeuk",42.913,-96.685,0,"_Chun",-11.692,-102.282,0,"ʚmingɞ",-46.893,-84.136,0,0,0,0,0,0,"",0,0,0,0,351.822,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,8,255,255,3,370.593,"Pring__",R,32,79,130,-1.246,-0.598,-0.178,1.385,-0.827,1.075,-36.046,19.255,0,0,211.972,-200,19.086,0,0,1,1,2,R,"Rite_",170.8,95,0.5,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235,-37.637,0,"Kr_Luna",0.02,-17.364,102,"Ayu_Yua",-18.504,-41.659,0,"Yaksok~",-14.995,-58.778,0,"HANA_ARASHI",21.344,-51.571,0,"_송글_",10.584,-63.33,0,"Pugeuk",43.381,-97.889,0,"_Chun",-9.754,-103.385,0,"ʚmingɞ",-46.907,-84.137,0,0,0,0,0,0,"",0,0,0,0,367.257,,,,0,0
5,1,1,0,0,0,2,0,1,0,0,8,255,255,4,385.139,"Pring__",R,26,79,130,0.434,0.379,0.022,1.581,-0.055,1.631,-36.255,34.935,2,0,168.761,-187.023,13.605,0,0,1,1,2,R,"Rite_",170.8,95,0.5,2,65,386.279,101,36,73,75,35,134,123,96.188,-75.235,0.63,0.02,0.001,0.19,0.464,-0.414,-36.804,0,"Kr_Luna",0.038,-17.357,0,"Ayu_Yua",-18.75,-42.745,0,"Yaksok~",-15.036,-58.814,0,"HANA_ARASHI",21.822,-52.123,0,"_송글_",10.508,-63.31,0,"Pugeuk",44.168,-98.291,0,"_Chun",-10.007,-102.804,0,"ʚmingɞ",-46.919,-84.165,0,0,0,0,0,0,"",0,0,0,0,,,,,256,3
6,1,1,0,0,0,2,0,1,0,0,8,255,255,5,405.121,"Pring__",R,13,76,115,0.947,-0.818,0.218,1.522,1.016,1.568,-36.231,47.977,2,0,-372.412,333.631,4.576,0,0,1,1,2,R,"Rite_",170.8,95,0.5,2,65,406.244,97,45,95,90,64,135,128,-12.894,8.054,0.52,0.025,-0.009,0.19,0.454,-0.292,-36.414,0,"Kr_Luna",0.052,-17.354,0,"Ayu_Yua",-19.031,-40.94,0,"Yaksok~",-15.846,-58.956,85,"HANA_ARASHI",21.676,-50.232,0,"_송글_",10.524,-63.308,0,"Pugeuk",44.662,-100.61,0,"_Chun",-13.921,-105.63,0,"ʚmingɞ",-45.253,-81.604,0,401.634,-0.199,-23.159,404.389,7,"_Chun",-9.507,-93.107,1,0,,411.276,,,276,2
7,1,1,0,0,0,0,1,1,0,0,2,255,255,6,439.877,"Pring__",R,26,81,133,-1.735,-0.248,-0.205,1.436,-0.951,1.282,-36.111,21.742,4,0,187.468,-200,23.28,0,0,1,2,3,R,"si_ho",180.2,107,0.5,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338,-37.245,0,"Kr_Luna",-0.008,-17.439,119,"Ayu_Yua",-19.353,-40.312,0,"Yaksok~",-13.876,-57.388,0,"HANA_ARASHI",21.097,-50.037,0,"_송글_",9.511,-64.381,0,"Pugeuk",40.405,-93.393,0,"_Chun",-15.23,-101.046,0,"ʚmingɞ",-45.348,-80.669,0,0,0,0,0,0,"",0,0,0,0,436.545,,,,0,0
8,1,1,0,0,0,1,1,1,0,0,2,255,255,7,454.171,"Pring__",R,32,78,129,0.741,0.674,0.036,1.581,-0.015,1.867,-36.338,46.773,2,0,229.292,-148.245,3.887,0,0,1,2,3,R,"si_ho",180.2,107,0.5,3,69,455.31,155,52,89,106,69,145,85,49.942,-7.269,-0.89,0.006,-0.063,0,0.889,-0.489,-36.578,0,"Kr_Luna",0.043,-17.37,0,"Ayu_Yua",-18.742,-42.995,0,"Yaksok~",-13.614,-59.344,105,"HANA_ARASHI",22.866,-51.304,0,"_송글_",9.557,-64.435,85,"Pugeuk",41.269,-93.856,0,"_Chun",-13.613,-101.216,0,"ʚmingɞ",-47.078,-81.916,0,456.189,11.29,-72.468,456.522,-1,"ByeolBam",11.133,-71.759,0,2,,460.969,,,263,1
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,513.754,"SOM_candy",L,34,40,101,-1.981,0.577,-0.106,1.815,-0.72,1.924,-37.296,54.993,4,0,-69.913,-19.354,0,-0.894,-18.461,1,0,5,R,"_송글_",174.2,90.478,0.316,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,-39.548,0,"NABIMan",-0.224,-18.029,0,"Rite_",-20.539,-45.338,0,"si_ho",-13.527,-64.369,0,"신과함께1",22.676,-48.057,0,"소솨소솨",14.412,-64.064,0,"눈꽃",27.642,-91.041,0,"mungjungh",0.833,-103.922,0,"Penguin_iDOL",-42.908,-88.479,0,0,0,0,0,0,"",0,0,0,0,511.5,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,528.986,"SOM_candy",L,32,46,106,2.248,-0.054,0.088,1.825,1.318,1.493,-36.996,41.311,4,0,-170.436,-65.435,0,0,0,1,0,5,R,"_송글_",174.2,90.478,0.316,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.636,-37.768,0,"NABIMan",0.045,-18.292,0,"Rite_",-19.574,-44.875,0,"si_ho",-13.222,-65.489,0,"신과함께1",23.174,-48.143,0,"소솨소솨",14.833,-62.738,0,"눈꽃",40.144,-80.384,0,"mungjungh",1.054,-103.223,0,"Penguin_iDOL",-41.007,-82.928,0,0,0,0,0,0,"",0,0,0,0,525.811,,,,0,0
