id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,302.567,"encounter v",R,33,81,134,1.111,1.268,0.641,1.772,0.282,2.26,-37.08,63.917,1,0,120.2,-50.365,-4.777,0.56,-19.318,0,1,3,L,"NABIMan",170.5,81.885,0.496,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.407,-37.478,0,"_송글_",-0.019,-19.086,0,"Rite_",-21.093,-49.303,0,"vovopo 보보포",-9.522,-64.7,0,"인생최패망자",22.69,-49.962,0,"Ayu_Yua",10.247,-65.117,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,308.721,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,326.759,"encounter v",R,33,80,132,1.119,1.504,0.633,1.809,0.246,2.391,-37.186,69.908,2,0,141.144,-49.228,-8.071,0,0,1,1,3,L,"NABIMan",170.5,81.885,0.496,3,40,327.863,175,59,77,67,73,145,124,93.01,80.618,0.47,0.128,-0.048,0,0.193,-0.012,-37.174,0,"_송글_",0.017,-18.247,0,"Rite_",-21.093,-46.991,0,"vovopo 보보포",-11.813,-65.021,0,"인생최패망자",23.19,-50.089,0,"Ayu_Yua",10.947,-66.074,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,335.977,44.938,3.35,0,0,"",0,0,0,0,,,,,2,3
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,344.936,"encounter v",R,32,82,134,0.826,1.398,0.601,1.782,0.097,2.293,-36.901,56.463,2,0,166.95,-89.627,-8.274,0,0,1,1,3,L,"NABIMan",170.5,81.885,0.496,3,70,345.833,255,79,102,110,41,145,106,112.931,62.468,0.85,0.065,-0.067,0,0.313,-0.008,-37.171,0,"_송글_",-0.046,-18.501,0,"Rite_",-20.237,-46.834,0,"vovopo 보보포",-10.372,-66.079,0,"인생최패망자",23.673,-49.937,0,"Ayu_Yua",10.707,-65.687,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,362.948,"encounter v",R,32,82,134,1.314,1.051,0.622,1.713,0.195,2.046,-36.808,45.992,2,0,244.84,-138.257,-5.735,0,0,1,1,3,L,"NABIMan",170.5,81.885,0.496,3,40,363.87,255,98,93,77,72,145,95,98.266,-21.811,-0.2,0.076,-0.082,0,0.389,0.069,-37.187,0,"_송글_",0.032,-18.461,0,"Rite_",-20.473,-46.821,0,"vovopo 보보포",-10.636,-65.957,0,"인생최패망자",22.824,-48.982,0,"Ayu_Yua",10.663,-65.965,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,381.875,"encounter v",R,32,73,126,1.558,0.524,0.652,1.647,0.335,1.807,-36.987,57.948,4,0,197.651,-76.49,-11.312,0,0,1,1,3,L,"NABIMan",170.5,81.885,0.496,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,-37.375,0,"_송글_",0.081,-18.028,0,"Rite_",-20.034,-46.614,0,"vovopo 보보포",-8.995,-65.805,0,"인생최패망자",21.915,-48.443,0,"Ayu_Yua",10.123,-65.198,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,383.277,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,405.677,"encounter v",R,32,82,134,-0.344,0.579,0.477,1.664,-0.477,1.852,-36.737,31.135,2,0,250,-111.198,1.897,0,0,1,1,4,L,"Sabo_10",184.6,90,0.549,3,69,406.802,189,52,131,99,54,145,129,21.916,26.203,0.31,0.007,-0.043,0,0.545,0.217,-37.125,0,"_송글_",0.029,-18.373,0,"Rite_",-20.157,-45.13,0,"vovopo 보보포",-9.844,-66.606,97,"인생최패망자",23.978,-50.669,0,"Ayu_Yua",10.407,-65.001,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,412.732,-23.034,-120.297,416.955,3,"vovopo 보보포",-3.739,-69.37,1,0,,416.505,,,18,2
7,1,1,0,0,0,0,1,0,1,0,255,4,255,6,435.057,"encounter v",R,33,76,127,0.989,-0.256,0.743,1.54,0.756,1.787,-36.922,62.117,2,0,122.177,-37.357,-1.742,0,0,1,2,5,R,"ke ro",164.9,80,0.398,2,68,436.171,162,188,53,81,41,136,75,26.75,-24.893,-0.89,-0.025,-0.026,0,0.507,0.146,-36.998,0,"_송글_",-0.052,-18.475,0,"Rite_",-19.257,-46.39,0,"vovopo 보보포",-12.486,-63.665,0,"인생최패망자",16.747,-48.849,100,"Ayu_Yua",1.16,-59.112,85,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,440.255,29.338,-70.967,444.444,4,"인생최패망자",19.234,-42.157,1,0,,445.684,443.187,,11,2
8,1,1,0,0,0,0,1,0,1,1,255,255,4,7,465.47,"encounter v",R,32,90,140,-1.015,0.293,0.433,1.693,-0.683,1.617,-36.694,34.041,2,0,223.344,-200,-28.21,0,0,0,3,2,L,"Pring__",190,94.846,0.477,3,70,466.31,142,155,90,101,83,143,101,41.896,-16.808,-0.25,0.001,-0.05,0,0.593,-0.137,-37.009,0,"_송글_",0.08,-18.516,0,"Rite_",-22.113,-47.705,0,"vovopo 보보포",-8.919,-64.167,0,"인생최패망자",19.309,-41.62,120,"Ayu_Yua",6.181,-64.342,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,471.91,26.003,-93.095,476.377,4,"인생최패망자",20.365,-49.363,0,0,478.566,472.544,470.915,478.162,7,1
9,1,1,1,0,0,0,2,0,1,1,255,255,5,8,507.214,"encounter v",R,32,85,138,1.213,1.28,0.656,1.845,0.352,2.146,-36.901,54.397,2,0,238.767,-200,-63.492,0,0,1,4,1,R,"소솨소솨",175.4,80,0.4,3,49,508.043,255,109,65,0,26,108,64,24.428,16.487,-0.8,0.032,-0.063,0,0.436,0.221,-37.178,0,"_송글_",-0.05,-18.258,0,"Rite_",-20.762,-45.991,0,"vovopo 보보포",-13.952,-64.942,0,"인생최패망자",17.703,-44.26,0,"Ayu_Yua",9.293,-64.959,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,511.444,-12.065,-61.303,511.632,3,"vovopo 보보포",-11.53,-59.469,0,0,533.088,,,,49,1
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,657.282,"SOM_candy",L,33,54,113,-2.916,0.753,-0.235,1.939,-1.073,2.011,-37.145,64.683,4,0,-101.205,-22.215,0.921,0,0,1,0,1,R,"_송글_",175.6,95,0.345,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.085,-38.541,0,"소솨소솨",-0.267,-17.232,0,"Pring__",-20.739,-47.109,0,"NABIMan",-16.001,-61.445,0,"Sabo_10",17.845,-47.367,0,"ke ro",10.333,-64.342,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,656.277,,,,0,0
11,1,0,1,0,0,1,0,0,0,0,255,255,255,1,673.833,"SOM_candy",L,38,39,99,0.356,-0.12,-0.093,1.767,0.265,1.563,-37.404,68.962,0,0,-45.302,6.071,-0.604,0,0,0,0,1,R,"_송글_",175.6,95,0.345,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.026,-38.703,0,"소솨소솨",-0.013,-17.261,0,"Pring__",-20.776,-47.026,0,"NABIMan",-15.717,-60.558,0,"Sabo_10",19.513,-49.037,0,"ke ro",10.84,-63.81,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,672.999,,,,0,0
12,1,0,1,0,0,2,0,0,0,0,255,255,255,2,689.015,"SOM_candy",L,47,39,99,-6.709,2.088,-0.15,2.167,-2.696,2.754,-37.179,69.36,1,0,-96.625,-51.136,8.133,-2.229,-17.132,0,0,1,R,"_송글_",175.6,95,0.345,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-38.737,0,"소솨소솨",-1.092,-17.169,0,"Pring__",-20.789,-46.972,0,"NABIMan",-14.557,-60.291,0,"Sabo_10",20.251,-50.419,0,"ke ro",11.884,-63.148,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,690.132,,,,0,0
13,1,0,1,0,1,2,0,0,0,0,255,255,255,3,707.253,"SOM_candy",L,32,69,123,1.809,0.507,0.118,1.963,1.182,1.662,-36.732,30.994,4,0,-250,-200,-11.002,0,0,1,0,1,R,"_송글_",175.6,95,0.345,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.186,-38.664,0,"소솨소솨",0.005,-17.065,0,"Pring__",-20.805,-46.963,0,"NABIMan",-14.491,-60.295,0,"Sabo_10",19.403,-50.008,0,"ke ro",9.654,-63.59,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,706.255,,,,0,0
14,1,0,1,0,0,0,1,0,0,0,255,255,255,4,728.043,"SOM_candy",L,33,53,112,-0.188,0.704,-0.084,1.967,0.095,1.89,-37.216,49.887,0,0,-101.099,-79.503,2.876,0,0,1,1,2,R,"Rite_",169.8,95,0.5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.079,-40.054,0,"소솨소솨",-0.064,-17.183,0,"Pring__",-22.948,-50.936,0,"NABIMan",-7.029,-64.338,0,"Sabo_10",18.381,-48.424,0,"ke ro",10.349,-65.042,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,726.988,,,,0,0
15,1,0,1,0,0,1,1,0,0,0,255,255,255,5,743.346,"SOM_candy",L,34,54,112,-0.743,2.156,-0.097,2.169,-0.198,2.746,-37.237,67.427,4,0,-62.67,-45.676,-0.81,0,0,1,1,2,R,"Rite_",169.8,95,0.5,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,-39.148,0,"소솨소솨",-0.03,-17.122,0,"Pring__",-22.785,-49.303,0,"NABIMan",-7.817,-64.365,0,"Sabo_10",18.536,-49.184,0,"ke ro",10.125,-64.519,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,742.288,,,,0,0
16,1,0,1,0,0,2,1,0,0,0,255,255,255,6,759.289,"SOM_candy",L,28,56,114,3.376,0.409,0.119,2.059,1.54,1.714,-36.992,44.017,2,0,-40.581,-84.643,-0.583,0,0,1,1,2,R,"Rite_",169.8,95,0.5,2,70,760.457,147,97,81,90,42,145,81,36.635,-35.974,-0.93,0.043,0,0.095,0.361,0.739,-37.872,0,"소솨소솨",-0.049,-17.152,0,"Pring__",-22.927,-50.578,0,"NABIMan",-7.657,-64.348,94,"Sabo_10",20.16,-50.571,0,"ke ro",10.149,-65.153,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,762.521,45.202,-69.547,767.366,3,"NABIMan",2.211,-58.87,1,0,,,,,33,2
