id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,284.074,"SOM_candy",L,0,49,108,-0.584,0.892,-0.15,2.159,-0.25,2.123,-37.182,62.825,0,0,0,0,0,-0.234,-18.196,0,0,3,R,"_송글_",177.6,95,0.315,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.163,-39.85,0,"mungjungh",-0.052,-17.651,0,"CAT tourniquet",-19.843,-46.803,0,"SUGUN",-7.577,-59.386,0,"눈꽃",18.388,-47.865,0,"Rite_",11.683,-65.709,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,287.639,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,299.388,"SOM_candy",L,0,55,113,-0.428,0.842,-0.189,2.164,-0.181,2.086,-37.192,79.679,2,0,0,0,0,0,0,1,0,3,R,"_송글_",177.6,95,0.315,3,88,300.45,122,39,60,51,20,136,90,111.271,-65.832,-0.3,-0.065,-0.043,0,0.202,-0.111,-38.964,0,"mungjungh",-0.105,-17.667,0,"CAT tourniquet",-19.624,-46.494,0,"SUGUN",-7.537,-59.31,0,"눈꽃",18.326,-47.749,0,"Rite_",11.25,-64.615,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,32,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,315.563,"SOM_candy",L,38,20,88,2.758,-0.555,0.028,1.952,1.199,1.295,-37.614,40.564,2,0,0,0,0,0,0,1,0,3,R,"_송글_",177.6,95,0.315,3,34,316.805,105,55,67,68,55,135,80,-6.731,-39.438,-0.83,-0.087,-0.062,0,0.251,0.65,-38.479,0,"mungjungh",-0.115,-18.199,0,"CAT tourniquet",-19.872,-47.033,0,"SUGUN",-8.28,-59.55,87,"눈꽃",18.2,-48.385,0,"Rite_",10.699,-62.938,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,322.661,49.333,-73.158,326.739,3,"SUGUN",1.806,-59.673,1,0,,,,,40,2
4,1,1,0,0,0,0,0,1,0,0,3,255,255,3,348.628,"SOM_candy",L,0,70,124,-2.684,0.967,-0.354,2.114,-1.158,2.08,-37.049,67.621,1,0,0,0,0,0,0,0,1,4,R,"si_ho",160,95,0.5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.037,-39.198,0,"mungjungh",-0.249,-17.666,116,"CAT tourniquet",-19.87,-44.97,0,"SUGUN",-1.564,-61.591,0,"눈꽃",18.887,-45.772,0,"Rite_",13.203,-64.39,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,350.261,,,,0,0
5,1,1,0,0,1,0,0,1,0,0,3,255,255,4,366.658,"SOM_candy",L,0,62,118,1.007,-0.024,-0.101,2.048,0.441,1.562,-36.905,51.22,0,0,0,0,0,0,0,1,1,4,R,"si_ho",160,95,0.5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311,-39.772,0,"mungjungh",-0.029,-17.797,120,"CAT tourniquet",-19.623,-45.384,0,"SUGUN",-1.047,-61.687,0,"눈꽃",18.947,-45.589,0,"Rite_",13.488,-66.326,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,368.284,,,,0,0
6,1,1,0,0,1,1,0,1,0,0,3,255,255,5,383.938,"SOM_candy",L,0,58,116,-1.725,0.118,-0.219,2.004,-0.745,1.643,-37.048,66.925,4,0,0,0,0,0,0,1,1,4,R,"si_ho",160,95,0.5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,-39.673,0,"mungjungh",-0.285,-17.878,119,"CAT tourniquet",-19.418,-44.494,0,"SUGUN",-1.455,-61.628,0,"눈꽃",20.395,-46.802,0,"Rite_",13.647,-64.787,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,385.584,,,,0,0
7,1,1,0,0,1,2,0,1,0,0,3,255,255,6,403.135,"SOM_candy",L,0,56,114,-1.162,0.561,-0.275,2.088,-0.498,1.879,-37.194,45.67,0,0,0,0,0,0,0,1,1,4,R,"si_ho",160,95,0.5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,-40.936,0,"mungjungh",-0.106,-17.775,120,"CAT tourniquet",-19.394,-44.516,0,"SUGUN",-1.018,-61.656,0,"눈꽃",20.742,-45.292,0,"Rite_",13.646,-65.026,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,404.839,,,,0,0
8,1,1,0,0,0,0,1,1,0,0,3,255,255,7,448.812,"SOM_candy",L,0,58,115,-1.541,0.636,-0.259,2.133,-0.663,1.997,-37.193,83.098,1,0,0,0,0,0,0,0,2,2,R,"하루（Haru）",190,90,0.499,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.594,-39.466,0,"NABIMan",0.052,-18.167,0,"CAT tourniquet",-19.334,-44.404,0,"SUGUN",-2.425,-61.565,0,"눈꽃",19.284,-46.077,0,"Rite_",13.576,-64.714,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,450.439,,,,0,0
9,1,1,0,0,1,0,1,1,0,0,3,255,255,8,468.964,"SOM_candy",L,0,67,122,0.847,0.098,-0.069,2.047,0.371,1.64,-36.84,50.769,2,0,0,0,0,0,0,1,2,2,R,"하루（Haru）",190,90,0.499,3,86,470.104,219,108,101,94,46,145,113,17.695,14.671,0.11,-0.075,-0.026,0,0.421,-0.046,-39.569,0,"NABIMan",-0.004,-18.059,0,"CAT tourniquet",-19.159,-44.666,100,"SUGUN",-1.778,-61.75,86,"눈꽃",19.165,-45.949,0,"Rite_",13.743,-64.86,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,478.439,-0.91,-60.11,478.661,3,"SUGUN",-0.883,-60.08,0,0,,,,,41,1
10,1,1,0,0,0,0,2,1,0,0,3,255,255,9,503.702,"SOM_candy",L,0,58,116,-0.839,0.485,-0.194,2.078,-0.36,1.858,-37.019,68.146,0,0,0,0,0,0,0,0,3,5,R,"Pugeuk",170.1,86.173,0.398,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222,-38.924,0,"NABIMan",-0.081,-18.778,119,"CAT tourniquet",-20.557,-46.604,0,"SUGUN",-1.334,-61.677,0,"눈꽃",18.937,-47.487,0,"Rite_",13.08,-64.946,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,505.406,,,,0,0
