id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,279.739,"눈꽃",R,33,89,140,0.965,0.151,0.121,1.902,0.253,1.616,-36.61,8.437,0,0,119.929,-79.958,11.186,0,0,0,0,8,R,"Yuume",182.5,100.354,0.461,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,-37.251,0,"encounter v",-0.05,-17.455,0,"CAT tourniquet",-18.73,-45.27,0,"schmoneymikey",-13.408,-57.782,0,"NABIMan",20.337,-47.578,0,"Rite_",15.675,-63.624,0,"あいくんだよー『아이 군』",41.314,-88.78,0,"ByeolBam",0.291,-113.311,0,"M a x ღ",-46.223,-103.355,0,0,0,0,0,0,"",0,0,0,0,281.15,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,292.24,"눈꽃",R,34,88,140,-1.836,-0.988,-0.15,1.717,-0.928,0.944,-36.589,10.846,1,0,97.886,-65.6,9.051,0,0,0,0,8,R,"Yuume",182.5,100.354,0.461,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.098,-37.3,0,"encounter v",-0.043,-17.308,0,"CAT tourniquet",-19.532,-45.921,0,"schmoneymikey",-14.058,-57.125,0,"NABIMan",19.962,-47.311,0,"Rite_",15.675,-63.66,0,"あいくんだよー『아이 군』",41.427,-90.382,0,"ByeolBam",0.268,-113.271,0,"M a x ღ",-48.797,-106.058,0,0,0,0,0,0,"",0,0,0,0,293.594,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,304.421,"눈꽃",R,34,87,140,-0.22,-0.344,0.033,1.866,-0.176,1.338,-36.708,4.879,2,0,56.976,-55.207,9.1,0,0,1,0,8,R,"Yuume",182.5,100.354,0.461,2,55,305.599,68,49,124,92,57,120,87,108.022,-57.619,0.04,0.013,-0.088,0,0.329,-0.215,-36.987,0,"encounter v",-0.121,-17.509,0,"CAT tourniquet",-19.12,-45.198,0,"schmoneymikey",-14.515,-56.938,0,"NABIMan",20.726,-48.595,0,"Rite_",15.681,-63.645,0,"あいくんだよー『아이 군』",41.413,-90.355,0,"ByeolBam",0.284,-113.333,0,"M a x ღ",-48.224,-104.081,0,0,0,0,0,0,"",0,0,0,0,,,,,0,3
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,322.384,"눈꽃",R,32,86,140,2.453,1.435,0.288,2.091,0.852,2.402,-36.706,29.784,1,0,150.546,-65.017,13.235,0,0,0,0,8,R,"Yuume",182.5,100.354,0.461,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.447,-37.513,0,"encounter v",-0.148,-17.445,0,"CAT tourniquet",-19.599,-47.044,0,"schmoneymikey",-14.327,-56.924,0,"NABIMan",20.086,-47.693,0,"Rite_",16.083,-63.896,0,"あいくんだよー『아이 군』",42.094,-90.168,0,"ByeolBam",-0.812,-112.898,0,"M a x ღ",-47.063,-102.291,0,0,0,0,0,0,"",0,0,0,0,323.817,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,336.1,"눈꽃",R,34,92,140,1.806,-0.073,0.15,1.798,0.501,1.264,-36.516,5.819,2,0,72.402,-64.356,5.573,0,0,1,0,8,R,"Yuume",182.5,100.354,0.461,2,136,337.215,98,68,119,102,60,136,80,22.208,-9.824,-0.92,-0.022,-0.097,0,0.319,0.184,-36.955,0,"encounter v",-0.139,-17.545,0,"CAT tourniquet",-19.452,-46.025,0,"schmoneymikey",-14.347,-57.014,87,"NABIMan",21.312,-47.809,0,"Rite_",15.288,-62.669,0,"あいくんだよー『아이 군』",42.177,-89.729,0,"ByeolBam",-0.797,-112.878,104,"M a x ღ",-43.496,-97.22,0,340.994,13.35,-80.624,343.283,7,"ByeolBam",17.865,-97.988,1,0,,,,,129,2
6,1,1,0,0,0,0,0,1,0,0,8,255,255,5,429.859,"눈꽃",R,32,89,140,0.437,0.018,0.11,1.851,-0.08,1.417,-36.551,14.436,2,0,250,-200,24.701,0,0,1,1,6,R,"소솨소솨",174.7,80,0.4,3,52,430.757,255,51,4,6,29,24,56,-77.314,74.79,-0.65,-0.034,-0.099,0,0.296,0.156,-36.992,0,"encounter v",-0.161,-17.448,0,"CAT tourniquet",-19.166,-43.384,0,"schmoneymikey",-10.138,-59.295,0,"NABIMan",21.154,-49.028,0,"Rite_",14.152,-64.441,0,"あいくんだよー『아이 군』",37.983,-93.989,0,"ByeolBam",0.652,-112.128,0,"M a x ღ",-42.186,-98.582,0,430.661,-0.586,-18.811,0,0,"",0,0,0,0,,,,,0,3
7,1,1,0,0,0,1,0,1,0,0,8,255,255,6,446.615,"눈꽃",R,32,85,139,3.44,1.352,0.313,2.048,1.246,2.276,-36.644,33.725,2,0,174.585,-101.297,14.366,0,0,1,1,6,R,"소솨소솨",174.7,80,0.4,3,52,447.484,254,53,104,51,35,145,85,-0.072,14.087,-0.81,0.036,-0.061,0,0.363,0.154,-37.068,0,"encounter v",-0.161,-17.447,0,"CAT tourniquet",-19.489,-45.115,0,"schmoneymikey",-9.861,-58.961,0,"NABIMan",20.767,-47.557,0,"Rite_",12.641,-64.197,0,"あいくんだよー『아이 군』",37.493,-93.286,0,"ByeolBam",0.819,-110.902,86,"M a x ღ",-45.235,-100.647,0,448.117,-3.437,-37.583,452.072,7,"ByeolBam",-10.518,-91.246,1,0,,453.859,,,128,2
8,1,1,0,0,0,0,0,1,1,0,6,8,255,7,477.212,"눈꽃",R,3,53,103,4.168,1.349,0.564,2.045,2.356,2.594,-36.964,51.961,3,0,-326.195,0,1.216,0.293,-20.445,0,2,4,R,"인생최패망자",190,80,0.396,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.449,-37.017,0,"encounter v",0.117,-18.324,0,"CAT tourniquet",-20.037,-45.859,0,"schmoneymikey",-9.912,-59.043,0,"NABIMan",19.552,-45.167,0,"Rite_",13.608,-63.71,0,"あいくんだよー『아이 군』",35.711,-86.908,0,"ByeolBam",-0.081,-108.403,0,"M a x ღ",-38.917,-93.887,0,0,0,0,0,0,"",0,0,0,0,479.861,,,,0,6
9,1,1,0,0,0,0,0,1,1,1,4,6,8,8,507.04,"눈꽃",R,14,66,109,0.952,-0.778,0.014,1.906,-0.076,1.556,-36.497,7.601,0,0,309.984,390.049,12.559,0,0,0,3,1,L,"Pring__",190,94.846,0.477,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,-37.36,0,"encounter v",0.033,-17.412,120,"CAT tourniquet",-19.865,-46.098,0,"schmoneymikey",-8.346,-59.262,0,"NABIMan",21.183,-46.752,0,"Rite_",13.442,-62.562,0,"あいくんだよー『아이 군』",37.663,-86.638,0,"ByeolBam",0.612,-108.914,0,"M a x ღ",-44.403,-94.347,0,0,0,0,0,0,"",0,0,0,0,508.272,510.168,509.637,,0,0
10,1,1,0,0,0,1,0,1,1,1,4,6,8,9,523.116,"눈꽃",R,5,61,115,-1.083,1.579,0.128,2.125,-0.271,2.594,-36.834,33.92,4,0,-112.095,0,10.62,0,0,1,3,1,L,"Pring__",190,94.846,0.477,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041,-37.288,0,"encounter v",-0.098,-17.211,0,"CAT tourniquet",-18.683,-46.68,0,"schmoneymikey",-7.468,-59.579,0,"NABIMan",21.042,-45.163,0,"Rite_",14.126,-64.576,0,"あいくんだよー『아이 군』",38.034,-86.509,0,"ByeolBam",0.604,-108.831,0,"M a x ღ",-39.208,-88.825,0,0,0,0,0,0,"",0,0,0,0,524.383,526.182,526.232,,0,0
11,1,1,0,0,0,2,0,1,1,1,4,6,8,10,537.881,"눈꽃",R,0,69,123,-2.215,-0.216,-0.095,1.875,-0.962,1.453,-36.558,7.186,2,0,0,0,7.828,0,0,1,3,1,L,"Pring__",190,94.846,0.477,3,52,538.809,230,123,106,97,58,145,90,106.229,-70.896,-0.81,0.016,-0.051,0,0.538,-0.176,-37.135,0,"encounter v",-0.056,-17.751,0,"CAT tourniquet",-19.964,-46.651,0,"schmoneymikey",-9.331,-59.914,0,"NABIMan",20.179,-45.813,0,"Rite_",14.4,-65.165,0,"あいくんだよー『아이 군』",38.048,-86.508,0,"ByeolBam",0.448,-108.77,0,"M a x ღ",-42.526,-90.051,0,0,0,0,0,0,"",0,0,0,0,,541.874,542.645,,0,3
12,1,1,0,0,0,2,0,1,1,1,4,6,8,11,555.97,"눈꽃",R,11,72,117,2.459,-1.48,0.205,1.67,0.747,0.962,-36.523,20.434,2,0,191.313,249.999,11.197,0,0,1,3,1,L,"Pring__",190,94.846,0.477,3,52,556.894,170,129,74,92,0,145,123,17.971,-12.041,0.7,0.044,-0.158,0,0.636,-0.103,-37.196,0,"encounter v",0.032,-17.572,0,"CAT tourniquet",-19.986,-46.663,0,"schmoneymikey",-9.392,-59.165,0,"NABIMan",20.224,-45.294,0,"Rite_",13.105,-63.068,0,"あいくんだよー『아이 군』",42.632,-89.339,87,"ByeolBam",1.767,-109.509,0,"M a x ღ",-42.722,-90.475,0,561.561,38.958,-124.549,563.583,6,"あいくんだよー『아이 군』",36.692,-115.015,1,0,,561.621,561.871,563.064,64,2
