id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,286.359,"Yaksok~",R,32,68,108,3.698,-0.34,0.382,1.533,1.283,1.461,-36.99,57.305,4,0,169.846,19.62,0,0.631,-21.386,1,0,4,R,"인생최패망자",160,80,0.396,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.317,-37.083,0,"甲斐野柊太",0.127,-17.955,0,"_Chun",-19.485,-44.052,0,"vovopo 보보포",-13.617,-58.033,0,"Rite_",20.784,-48.182,0,"Pugeuk",11.285,-61.012,0,"소솨소솨",39.915,-86.278,0,"AI",0,-109.84,0,"M a x ღ",-36.974,-86.237,0,0,0,0,0,0,"",0,0,0,0,288.359,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,303.042,"Yaksok~",R,32,80,131,0.164,-0.25,-0.034,1.583,-0.156,1.403,-36.528,17.286,0,0,159.688,-52.391,0,0.333,-17.231,1,0,4,R,"인생최패망자",160,80,0.396,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.162,-32.949,0,"甲斐野柊太",0.82,-18.465,0,"_Chun",-19.665,-42.887,0,"vovopo 보보포",-14.643,-60.168,0,"Rite_",20.359,-47.852,0,"Pugeuk",8.395,-58.798,0,"소솨소솨",41.481,-89.326,0,"AI",0,-109.84,0,"M a x ღ",-36.252,-73.86,0,0,0,0,0,0,"",0,0,0,0,305.526,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,318.562,"Yaksok~",R,3,71,101,0.474,-0.094,0.387,1.525,1.001,1.561,-36.981,56.055,2,0,-369.935,0,0,0,0,1,0,4,R,"인생최패망자",160,107,0.396,3,80,319.754,2,4,0,10,7,1,30,-8.754,21.798,-0.73,-0.021,-0.058,1,0.478,-0.358,-36.736,105,"甲斐野柊太",0.008,-17.124,0,"_Chun",-19.993,-44.95,85,"vovopo 보보포",-14.733,-59.671,0,"Rite_",20.373,-47.753,0,"Pugeuk",8.12,-57.422,0,"소솨소솨",41.467,-89.387,0,"AI",0,-109.84,0,"M a x ღ",-34.35,-66.076,0,319.581,-1.135,-23.993,321.259,0,"Yaksok~",-4.162,-31.677,0,0,,,,,33,2
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,373.409,"Yaksok~",R,32,88,140,-2.208,-0.942,-0.248,1.481,-1.152,1.01,-36.495,2.193,1,0,170.402,-87.923,0,0,0,0,1,7,R,"mungjungh",160,82.311,0.501,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.589,-37.297,0,"甲斐野柊太",-0.376,-16.692,120,"_Chun",-20.605,-46.225,0,"vovopo 보보포",-16.299,-61.511,0,"Rite_",19.926,-46.535,0,"Pugeuk",10.229,-60.288,0,"소솨소솨",44.146,-88.527,0,"AI",0,-109.84,0,"M a x ღ",-30.652,-63.547,0,0,0,0,0,0,"",0,0,0,0,374.203,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,384.625,"Yaksok~",R,3,73,103,-0.549,0.024,0.275,1.583,0.617,1.633,-36.861,33.792,0,0,-406.67,0,0,0,0,1,1,7,R,"mungjungh",160,82.311,0.501,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.445,-37.686,0,"甲斐野柊太",-0.076,-16.791,0,"_Chun",-20.38,-45.331,0,"vovopo 보보포",-15.551,-58.662,0,"Rite_",19.042,-45.355,0,"Pugeuk",9.688,-60.591,0,"소솨소솨",33.605,-84.549,0,"AI",0,-109.84,0,"M a x ღ",-33.276,-66.168,0,0,0,0,0,0,"",0,0,0,0,385.703,,,,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,398.512,"Yaksok~",R,32,72,125,-3.218,-2.97,0.123,1.683,0.155,1.774,-36.797,29.198,2,0,194.747,-47.816,0,0,0,1,1,7,R,"mungjungh",160,82.311,0.501,2,63,399.519,204,144,130,82,36,145,79,42.794,-24.835,-0.85,-0.016,-0.083,0,0.219,-0.142,-37.049,0,"甲斐野柊太",-0.09,-16.79,0,"_Chun",-20.616,-45.551,0,"vovopo 보보포",-16.098,-59.248,0,"Rite_",19.237,-45.541,0,"Pugeuk",9.744,-60.731,0,"소솨소솨",34.925,-84.07,85,"AI",0,-109.84,0,"M a x ღ",-50.845,-96.973,0,403.737,25.338,-72.168,404.014,6,"소솨소솨",24.834,-71.132,0,0,,,,,129,1
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,426.047,"Yaksok~",R,33,89,140,-1.546,-0.215,-0.175,1.58,-0.816,1.432,-36.58,11.342,1,0,125.633,-51.255,0,0,0,0,2,2,R,"-라후이-",190,86,0.5,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218,-37.681,0,"甲斐野柊太",-0.27,-16.757,0,"_Chun",-19.794,-45.525,0,"vovopo 보보포",-14.48,-55.337,0,"Rite_",21.504,-48.945,0,"Pugeuk",11.144,-61.904,0,"소솨소솨",38.799,-90.225,0,"AI",0,-109.84,0,"M a x ღ",-50.679,-92.216,0,0,0,0,0,0,"",0,0,0,0,426.726,,,,0,0
8,1,1,0,0,1,0,2,0,0,0,255,255,255,7,437.983,"Yaksok~",R,38,48,92,8.071,-0.631,0.663,1.401,3.493,1.045,-37.465,97.319,1,0,0,0,0,0,0,0,2,2,R,"-라후이-",190,86,0.5,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.234,-37.544,0,"甲斐野柊太",2.657,-17.055,0,"_Chun",-19.972,-45.729,0,"vovopo 보보포",-12.182,-53.102,0,"Rite_",21.533,-48.947,0,"Pugeuk",11.222,-62.709,0,"소솨소솨",38.154,-90.517,0,"AI",0,-109.84,0,"M a x ღ",-49.732,-95.214,0,0,0,0,0,0,"",0,0,0,0,438.903,,,,0,0
9,1,1,0,0,2,0,2,0,0,0,255,255,255,8,452.613,"Yaksok~",R,33,88,140,-1.219,-0.25,-0.144,1.573,-0.669,1.411,-36.515,6.127,0,0,110.856,-51.323,0,0,0,1,2,2,R,"-라후이-",190,86,0.5,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.195,-37.603,0,"甲斐野柊太",-0.424,-16.975,0,"_Chun",-20.025,-45.892,0,"vovopo 보보포",-12.287,-55.257,0,"Rite_",19.795,-48.13,0,"Pugeuk",10.867,-62.037,0,"소솨소솨",38.158,-90.496,0,"AI",0,-109.84,0,"M a x ღ",-50.703,-94.368,0,0,0,0,0,0,"",0,0,0,0,453.192,,,,0,0
10,1,1,0,0,2,1,2,0,0,0,255,255,255,9,463.986,"Yaksok~",R,33,84,138,-0.433,-0.077,-0.105,1.608,-0.486,1.524,-36.555,12.739,2,0,136.895,-94.434,0,0,0,1,2,2,R,"-라후이-",190,86,0.5,3,67,464.814,139,123,115,94,58,144,95,63.319,60.722,-0.57,-0.031,-0.114,0,0.201,-0.629,-36.475,0,"甲斐野柊太",-0.179,-17.002,0,"_Chun",-20.082,-45.852,0,"vovopo 보보포",-16.291,-60.272,0,"Rite_",19.655,-47.101,0,"Pugeuk",10.846,-62.286,0,"소솨소솨",38.157,-90.505,0,"AI",0,-109.84,0,"M a x ღ",-50.497,-94.169,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
