id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,372.582,"Pugeuk",R,26,74,113,-0.148,0.298,0.021,1.527,0.066,1.605,-36.316,19.037,0,0,-89.785,-200,6.17,0,0,0,0,8,R,"양_뭉이",190,100,0.5,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121,-37.072,0,"_Chun",-0.073,-17.315,0,"오띵__",-18.463,-48.433,0,"vovopo 보보포",-12.396,-59.22,0,"Rite_",18.071,-48.63,0,"Amellaid",9.67,-61.32,0,"_송글_",54.607,-92.908,0,"AI",0,-109.84,0,"ゆっち一",-46.35,-94.056,0,0,0,0,0,0,"",0,0,0,0,373.897,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,385.329,"Pugeuk",R,28,81,132,-0.227,0.148,-0.021,1.539,-0.097,1.619,-36.334,15.276,2,0,-0.879,-97.757,-0.431,0,0,1,0,8,R,"양_뭉이",190,100,0.5,2,58,386.464,156,68,88,88,41,145,41,-71.37,-30.912,0.09,-0.125,-0.122,0,0.972,-0.181,-36.562,120,"_Chun",-0.016,-17.371,0,"오띵__",-17.982,-48.017,86,"vovopo 보보포",-14.204,-60.415,0,"Rite_",18.026,-48.768,0,"Amellaid",10.376,-61.931,0,"_송글_",54.569,-92.876,0,"AI",0,-109.84,0,"ゆっち一",-46.694,-94.678,0,386.33,0.148,-19.762,388.73,0,"Pugeuk",1.366,-31.335,0,0,,,,,132,2
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,414.977,"Pugeuk",R,3,75,119,0.004,-0.249,0.245,1.658,0.459,1.448,-36.539,35.797,2,0,-331.501,0,8.246,0,0,1,1,4,R,"SUGUN",180.7,90,0.295,3,57,415.918,255,97,122,63,27,145,89,0.189,-2.706,-0.71,-0.039,-0.009,0,0.439,-0.49,-37.023,0,"_Chun",-0.05,-17.321,0,"오띵__",-17.777,-46.791,0,"vovopo 보보포",-14.064,-60.413,86,"Rite_",19.663,-50.061,0,"Amellaid",10.498,-63.493,0,"_송글_",54.545,-92.855,0,"AI",0,-109.84,0,"ゆっち一",-44.346,-87.428,0,420.163,-1.468,-91.294,423.197,3,"vovopo 보보포",-0.183,-63.203,1,0,,,,,5,2
4,1,1,0,0,0,0,1,1,0,0,4,255,255,3,440.652,"Pugeuk",R,27,83,136,4.814,-1.172,0.072,1.585,0.335,1.789,-36.367,25.936,2,0,-5.076,-109.961,3.728,0,0,1,2,7,R,"mungjungh",160,80,0.501,2,57,441.654,224,168,113,64,47,145,79,26.867,24.514,-0.86,-0.029,-0.1,0,0.167,-0.226,-36.693,0,"_Chun",0.093,-17.462,0,"오띵__",-18.64,-45.356,0,"vovopo 보보포",-13.52,-60.309,84,"Rite_",19.243,-50,0,"Amellaid",10.813,-63.384,0,"_송글_",51.605,-91.109,0,"AI",0,-109.84,0,"ゆっち一",-44.762,-90.779,108,445.819,-31.773,-75.304,446.13,8,"ゆっち一",-31.553,-74.94,1,0,,449.517,,,21,2
5,1,1,0,0,0,0,2,1,0,0,4,255,255,4,474.297,"Pugeuk",R,6,88,126,-1.309,-0.575,-0.251,1.441,-1.166,1.271,-36.292,12.451,0,0,495.02,0,22.136,-0.107,-17.786,0,3,6,L,"CAT tourniquet",174.8,82.571,0.454,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313,-37.873,0,"_Chun",0.437,-17.335,102,"오띵__",-19.275,-43.492,0,"vovopo 보보포",-5.583,-60.869,0,"Rite_",19.062,-49.467,0,"Amellaid",10.952,-65.67,0,"_송글_",54.17,-91.886,0,"AI",0,-109.84,0,"ゆっち一",-42.598,-88.091,0,0,0,0,0,0,"",0,0,0,0,477.597,478.142,,,0,0
6,1,1,0,0,0,1,2,0,1,0,255,7,255,5,493.048,"Pugeuk",R,29,82,135,-1.587,1.056,0.044,1.54,0.203,1.62,-36.222,32.62,2,0,-250,-23.518,21.996,0,0,1,3,6,L,"CAT tourniquet",174.8,82.571,0.454,3,56,494.183,206,34,88,58,25,145,84,-31.351,-12.755,-0.87,0.023,-0.1,0,0.345,-0.573,-36.979,0,"_Chun",0.044,-17.378,0,"오띵__",-17.64,-46.403,0,"vovopo 보보포",-11.277,-59.828,0,"Rite_",19.648,-48.389,90,"Amellaid",12.428,-62.954,95,"_송글_",54.201,-91.884,0,"AI",0,-109.84,0,"ゆっち一",-43.195,-90.822,0,493.963,0.228,-20.695,496.419,5,"Amellaid",7.888,-54.908,1,4,528.73,,498.353,,482,2
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,575.299,"소솨소솨",R,28,78,129,0.123,1.91,0.038,1.757,-0.019,2.508,-36.594,20.084,4,0,47.164,-86.196,0,0,0,1,0,5,L,"Amellaid",159.7,95,0.353,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-37.919,0,"HANA_ARASHI",-0.048,-17.489,120,"Kr_Luna",-21.248,-48.367,0,"눈꽃",-9.511,-66.231,0,"SUGUN",19.79,-51.734,0,"じゃがー",11.816,-64.542,0,"CAT tourniquet",35.298,-98.27,0,"mungjungh",0.064,-105.039,0,"양_뭉이",-42.655,-88.393,0,0,0,0,0,0,"",0,0,0,0,576.541,,,,0,0
8,1,0,0,0,0,1,0,0,0,0,255,255,255,1,586.122,"소솨소솨",R,28,78,129,-1.85,-1.776,-0.077,1.502,-0.837,0.549,-36.654,13.488,1,0,22.053,-88.929,0,-0.483,-18.36,0,0,5,L,"Amellaid",159.7,95,0.353,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023,-37.979,0,"HANA_ARASHI",-0.601,-17.742,0,"Kr_Luna",-21.207,-47.983,0,"눈꽃",-9.419,-66.526,0,"SUGUN",19.706,-51.818,0,"じゃがー",11.617,-65.191,0,"CAT tourniquet",35.241,-98.439,0,"mungjungh",0.106,-104.948,0,"양_뭉이",-42.37,-88.423,0,0,0,0,0,0,"",0,0,0,0,588.83,,,,0,0
9,1,0,0,0,1,1,0,0,0,0,255,255,255,2,597.254,"소솨소솨",R,28,81,132,0.367,1.652,0.062,1.72,0.093,2.366,-36.557,20.535,2,0,44.988,-95.769,0,0,0,1,0,5,L,"Amellaid",159.7,95,0.353,3,56,598.123,160,106,70,65,0,140,99,26.726,15.436,0.88,-0.035,0.007,0,0.095,0.071,-37.379,0,"HANA_ARASHI",-0.089,-17.493,0,"Kr_Luna",-20.222,-51.004,0,"눈꽃",-9.536,-66.276,97,"SUGUN",19.685,-51.864,0,"じゃがー",11.837,-65.594,0,"CAT tourniquet",35.221,-98.429,0,"mungjungh",0.167,-105.014,0,"양_뭉이",-42.631,-88.25,110,0,0,0,602.774,8,"양_뭉이",-33.899,-91.304,0,0,,,,,289,1
10,1,0,0,0,0,0,1,0,0,0,255,255,255,3,623.009,"소솨소솨",R,27,85,139,0.969,0.906,0.12,1.617,0.362,1.967,-36.506,16.64,0,0,48.46,-109.133,0,0,0,1,1,4,R,"Rite_",160,84.757,0.5,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.087,-37.932,0,"HANA_ARASHI",0.002,-17.2,0,"Kr_Luna",-20.258,-50.907,0,"눈꽃",-14.762,-64.326,0,"SUGUN",20.971,-52.464,0,"じゃがー",11.157,-65.588,0,"CAT tourniquet",35.145,-98.012,0,"mungjungh",0.548,-110.617,0,"양_뭉이",-43.356,-91.271,0,0,0,0,0,0,"",0,0,0,0,624.308,,,,0,0
