id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,369.871,"Muna_328",R,26,92,140,-0.357,-0.47,-0.017,2.119,-0.078,1.151,-36.373,29.068,0,0,-59.124,-166.735,-12.578,0,0,1,0,2,R,"Rite_",160,85,0.48,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.043,-37.09,0,"IbikiKai_JP",-0.004,-17.074,0,"Pring__",-21.684,-47.781,0,"vovopo 보보포",-12.988,-60.404,0,"Kr_Luna",16.975,-53.431,0,"Saƅer",14.728,-63.499,0,"AI",40.9,-90.65,0,"인생최패망자",0.525,-110.362,0,"-라후이-",-40.364,-87.477,0,0,0,0,0,0,"",0,0,0,0,366.608,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,390.42,"Muna_328",R,28,80,132,-2.792,-0.325,-0.243,2.162,-1.129,1.314,-36.398,32.728,4,0,-56.828,-72.49,-27.072,0,0,1,0,2,R,"Rite_",160,85,0.48,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.272,-36.498,0,"IbikiKai_JP",-0.278,-17.562,0,"Pring__",-22.494,-48.332,0,"vovopo 보보포",-14.03,-59.578,0,"Kr_Luna",16.437,-55.457,0,"Saƅer",12.746,-65.124,0,"AI",40.9,-90.65,0,"인생최패망자",0.519,-110.383,0,"-라후이-",-40.919,-88.291,0,0,0,0,0,0,"",0,0,0,0,387.131,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,408.949,"Muna_328",R,14,67,109,0.371,0.74,-0.043,2.468,-0.66,2.442,-36.877,72.341,0,0,409.394,281.615,22.945,0,0,0,0,2,R,"Rite_",160,85,0.48,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097,-36.871,0,"IbikiKai_JP",0.027,-17.613,0,"Pring__",-22.465,-48.239,0,"vovopo 보보포",-13.342,-60.488,0,"Kr_Luna",16.363,-55.482,0,"Saƅer",12.82,-65.203,0,"AI",40.9,-90.65,0,"인생최패망자",0.52,-110.367,0,"-라후이-",-40.923,-88.304,0,0,0,0,0,0,"",0,0,0,0,405.731,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,432.902,"Muna_328",R,26,80,132,1.04,1.619,0.108,2.447,0.461,2.308,-36.751,63.212,1,0,-8.948,-200,3.095,0.364,-18.394,0,1,8,R,"M a x ღ",175.3,104.838,0.478,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,-37.04,0,"IbikiKai_JP",0.14,-17.634,0,"Pring__",-22.521,-48.338,0,"vovopo 보보포",-13.833,-60.575,0,"Kr_Luna",18.991,-58.481,0,"Saƅer",12.224,-66.52,0,"AI",40.9,-90.65,0,"인생최패망자",0.46,-110.562,0,"-라후이-",-40.941,-88.3,0,0,0,0,0,0,"",0,0,0,0,431.986,,,,0,0
5,1,1,0,0,1,0,1,0,0,0,255,255,255,4,449.767,"Muna_328",R,26,82,135,0.93,0.877,0.092,2.365,0.509,1.886,-36.646,56.44,0,0,-74.75,-200,2.29,0,0,0,1,8,R,"M a x ღ",175.3,104.838,0.478,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081,-36.646,0,"IbikiKai_JP",0.009,-17.068,0,"Pring__",-22.468,-48.274,0,"vovopo 보보포",-13.805,-60.591,0,"Kr_Luna",18.807,-58.553,0,"Saƅer",11.478,-66.955,0,"AI",40.9,-90.65,0,"인생최패망자",0.464,-110.57,0,"-라후이-",-40.949,-88.301,0,0,0,0,0,0,"",0,0,0,0,446.842,,,,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,466.713,"Muna_328",R,13,62,106,-1.513,0.794,0.029,2.353,0.056,2.555,-36.667,60.037,1,0,-361.725,330.293,22.607,0,0,0,1,8,R,"M a x ღ",175.3,104.838,0.478,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.293,0,"IbikiKai_JP",-0.152,-17.149,0,"Pring__",-22.515,-48.336,0,"vovopo 보보포",-13.81,-60.573,0,"Kr_Luna",19,-58.43,0,"Saƅer",11.06,-68.024,0,"AI",40.9,-90.65,0,"인생최패망자",0.463,-110.557,0,"-라후이-",-40.951,-88.297,0,0,0,0,0,0,"",0,0,0,0,463.897,,,,0,0
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,483.104,"Muna_328",R,28,81,133,-1.693,-0.586,-0.144,2.11,-0.67,1.161,-36.299,32.057,1,0,-45.731,-79.38,-8.34,0,0,0,1,8,R,"M a x ღ",175.3,104.838,0.478,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,-37.272,0,"IbikiKai_JP",-0.076,-17.24,0,"Pring__",-22.538,-48.352,0,"vovopo 보보포",-13.698,-60.689,0,"Kr_Luna",18.894,-58.506,0,"Saƅer",11.497,-68.166,0,"AI",40.9,-90.65,0,"인생최패망자",0.463,-110.58,0,"-라후이-",-41.448,-90.579,0,0,0,0,0,0,"",0,0,0,0,480.175,,,,0,0
8,1,1,0,0,3,1,1,0,0,0,255,255,255,7,497.801,"Muna_328",R,26,93,140,-0.721,0.063,-0.056,2.188,-0.262,1.437,-36.331,35.83,0,0,-38.41,-195.198,-7.028,0,0,0,1,8,R,"M a x ღ",175.3,104.838,0.478,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.046,-37.041,0,"IbikiKai_JP",-0.043,-17.208,0,"Pring__",-22.544,-48.354,0,"vovopo 보보포",-13.693,-60.702,0,"Kr_Luna",18.725,-58.652,0,"Saƅer",11.38,-68.161,0,"AI",40.9,-90.65,0,"인생최패망자",0.487,-110.645,0,"-라후이-",-41.446,-90.584,0,0,0,0,0,0,"",0,0,0,0,494.842,,,,0,0
9,1,1,0,0,3,2,1,0,0,0,255,255,255,8,511.815,"Muna_328",R,6,84,126,1.315,-0.328,-0.003,2.173,-0.016,1.383,-36.371,34.778,0,0,389.19,0.081,5.895,0,0,1,1,8,R,"M a x ღ",175.3,104.838,0.478,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016,-36.904,0,"IbikiKai_JP",0.063,-17.146,0,"Pring__",-21.745,-45.826,0,"vovopo 보보포",-13.713,-60.718,0,"Kr_Luna",19.008,-58.451,0,"Saƅer",11.117,-68.791,0,"AI",40.9,-90.65,0,"인생최패망자",0.486,-110.651,0,"-라후이-",-41.533,-91.216,0,0,0,0,0,0,"",0,0,0,0,508.897,,,,0,0
10,1,1,0,0,0,0,2,0,0,0,255,255,255,9,541.48,"Muna_328",R,27,68,123,-1.483,1.627,-0.104,2.417,-0.577,2.26,-36.763,64.08,1,0,-46.177,-132.377,-0.289,0,0,0,2,3,L,"CAT tourniquet",160,82.571,0.454,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.187,-36.765,0,"IbikiKai_JP",-0.15,-17.09,0,"Pring__",-22.037,-48.092,0,"vovopo 보보포",-7.459,-60.797,0,"Kr_Luna",18.643,-58.684,0,"Saƅer",9.853,-66.622,0,"AI",40.9,-90.65,0,"인생최패망자",0.461,-110.649,0,"-라후이-",-42.165,-90.784,0,0,0,0,0,0,"",0,0,0,0,538.408,,,,0,0
