id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,267.741,"Riyaj",R,0,46,90,0.433,1.673,0.17,2.243,0.184,2.492,-36.992,49.269,1,0,0,0,-4.845,0,0,0,0,3,R,"si_ho",160,95,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.236,-37.545,0,"준규공듀",-0.022,-17.596,0,"NABIMan",-21.786,-47.557,0,"Multeinn",-15.467,-60.428,0,"Rite_",20.803,-51.914,0,"Pugeuk",10.06,-64.076,0,"별이__",36.81,-91.305,0,"소솨소솨",0.007,-106.215,0,"아침땅_",-40.161,-83.072,0,0,0,0,0,0,"",0,0,0,0,269.489,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,286.664,"Riyaj",R,0,64,120,-1.115,-0.745,0.015,1.868,-0.505,1.134,-36.699,23.375,0,0,11.541,-40.085,0.888,0,0,1,0,3,R,"si_ho",160,95,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.254,-37.598,0,"준규공듀",-0.205,-17.703,0,"NABIMan",-22.302,-47.403,0,"Multeinn",-14.516,-59.429,0,"Rite_",20.637,-48.946,0,"Pugeuk",9.147,-61.542,0,"별이__",36.17,-91.055,0,"소솨소솨",0.215,-103.7,0,"아침땅_",-41.388,-84.285,0,0,0,0,0,0,"",0,0,0,0,288.156,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,302.038,"Riyaj",R,3,57,105,0.651,2.617,0.279,2.049,1.163,3.005,-37.234,63.935,1,0,-407.047,9.158,-8.751,0,0,0,0,3,R,"si_ho",160,95,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.224,-37.442,0,"준규공듀",0.307,-17.84,0,"NABIMan",-22.34,-48.358,0,"Multeinn",-14.926,-59.684,0,"Rite_",20.186,-48.378,0,"Pugeuk",9.921,-62.087,0,"별이__",36.166,-91.064,0,"소솨소솨",0.395,-103.719,0,"아침땅_",-43.433,-85.126,0,0,0,0,0,0,"",0,0,0,0,303.589,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,319.168,"Riyaj",R,10,57,92,-2.188,-2.463,-0.045,1.896,-0.949,1.065,-36.768,24.751,4,0,0,387.138,-3.288,-0.419,-19.785,1,0,3,R,"si_ho",160,95,0.5,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.305,-37.715,0,"준규공듀",-0.322,-17.605,0,"NABIMan",-21.969,-47.908,0,"Multeinn",-14.901,-59.751,0,"Rite_",18.705,-46.528,0,"Pugeuk",9.926,-62.126,0,"별이__",36.157,-91.038,0,"소솨소솨",0.124,-103.726,0,"아침땅_",-41.376,-83.794,0,0,0,0,0,0,"",0,0,0,0,320.878,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,367.905,"Riyaj",R,27,85,139,0.005,0.869,0.006,1.948,-0.011,2.03,-36.849,47.078,2,0,9.244,-131.027,-6.647,0,0,1,1,2,R,"Ayu_Yua",190,89,0.453,3,77,369.109,255,44,167,54,25,145,104,30.523,48.593,0.91,0.011,-0.05,0,0.326,45.699,568.479,-169.666,-0.306,-37.126,0,"준규공듀",-0.027,-17.819,0,"NABIMan",-22.686,-48.193,0,"Multeinn",-14.758,-58.564,0,"Rite_",22.017,-49.407,0,"Pugeuk",9.603,-61.93,0,"별이__",36.13,-92.978,0,"소솨소솨",-0.671,-103.832,0,"아침땅_",-43.503,-86.058,0,374.044,-82.308,-66.528,0,0,"",0,0,0,0,,,,,0,3
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,385.679,"Riyaj",R,10,70,114,0.077,0.168,0.1,1.982,0.031,2.227,-36.87,44.957,2,0,0,400,-17.851,0,0,1,1,2,R,"Ayu_Yua",190,89,0.453,3,77,386.912,255,101,201,76,36,145,107,-89.658,89.648,-0.02,0.008,-0.027,0,0.372,-59.275,427.954,414.54,-0.223,-37.333,0,"준규공듀",0.023,-17.803,0,"NABIMan",-21.849,-45.951,0,"Multeinn",-15.222,-60.053,0,"Rite_",20.186,-49.744,0,"Pugeuk",9.562,-62.746,0,"별이__",33.836,-93.252,0,"소솨소솨",-0.421,-103.685,0,"아침땅_",-43.788,-84.891,0,386.878,-2.705,-22.102,0,0,"",0,0,0,0,,,,,0,3
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,402.165,"Riyaj",R,26,86,140,0.296,0.85,0.068,1.92,0.145,1.96,-36.805,35.537,0,0,-13.312,-198.611,4.713,0,0,1,1,2,R,"Ayu_Yua",190,89,0.453,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048,-37.052,0,"준규공듀",-0.077,-17.14,0,"NABIMan",-21.346,-45.724,0,"Multeinn",-15.218,-58.7,0,"Rite_",20.271,-50.301,0,"Pugeuk",9.311,-62.186,0,"별이__",33.895,-93.919,0,"소솨소솨",-0.494,-105.391,0,"아침땅_",-43.887,-85.958,0,0,0,0,0,0,"",0,0,0,0,404.267,,,,0,0
8,1,1,0,0,0,0,2,0,0,0,255,255,255,7,424.734,"Riyaj",R,10,70,101,-1.257,-1.041,-0.054,1.931,-0.545,1.662,-36.727,27.417,0,0,0,400,-3.623,-0.103,-17.699,1,2,5,L,"인생최패망자",160,80,0.396,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.285,-37.517,0,"준규공듀",-0.072,-17.618,0,"NABIMan",-21.433,-46.527,0,"Multeinn",-15.462,-61.587,0,"Rite_",18.912,-46.353,0,"Pugeuk",11.549,-60.099,0,"별이__",44.837,-101.417,0,"소솨소솨",-0.507,-105.42,0,"아침땅_",-34.265,-92.19,0,0,0,0,0,0,"",0,0,0,0,431.5,,,,0,0
9,1,1,0,0,0,1,2,0,0,0,255,255,255,8,442.156,"Riyaj",R,1,34,86,-3.25,-1.658,0.191,2.072,0.105,1.909,-36.809,42.552,2,0,0,0,-0.213,0,0,1,2,5,L,"인생최패망자",160,80,0.396,3,77,443.444,19,24,25,29,27,12,26,-22.413,18.998,0.21,-0.034,-0.174,0.457,0.354,367.044,-245.192,-16.004,-0.079,-37.195,0,"준규공듀",-0.092,-17.807,0,"NABIMan",-21.044,-46.434,0,"Multeinn",-14.153,-61.409,0,"Rite_",19.285,-46.366,0,"Pugeuk",11.65,-60.117,0,"별이__",45.831,-101.428,0,"소솨소솨",-0.648,-101.462,0,"아침땅_",-36.044,-90.594,0,443.522,-0.926,-22.691,449.367,1,"준규공듀",-8.976,-35.859,1,0,449.367,,,,5,2
10,1,1,0,0,0,0,2,1,0,0,5,255,255,9,487.005,"Riyaj",R,27,75,127,1.17,0.034,0.125,1.954,0.207,1.701,-36.847,37.441,2,0,-13.046,-129.173,-13.684,0,0,1,3,4,R,"_이누_",190,89.841,0.451,3,76,488.19,128,194,127,98,37,139,111,25.571,25.031,0.1,-0.042,-0.055,0,0.185,299.376,496.9,-149.216,-0.243,-37.31,0,"준규공듀",0.125,-17.794,0,"NABIMan",-21.392,-45.788,0,"Multeinn",-15.361,-57.509,0,"Rite_",21.189,-48.003,0,"Pugeuk",1.552,-59.942,102,"별이__",40.544,-91.098,0,"소솨소솨",-0.47,-102.607,0,"아침땅_",-45.365,-87.796,94,493.178,-56.07,-100.515,495.3,8,"아침땅_",-60.5,-105.806,1,0,,489.051,493.238,497.327,96,2
