id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,304.797,"Roslynn",R,26,76,114,-1.494,-1.152,-0.172,1.705,-0.592,0.732,-36.577,33.739,1,0,-31.745,-200,0,0,0,0,0,5,L,"Amellaid",159.7,95,0.353,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.659,-38.163,0,"하루（Haru）",-0.034,-17.9,0,"눈꽃",-19.448,-46.818,0,"ゆっち一",-13.565,-64.027,0,"ByeolBam",20.986,-47.733,0,"NABIMan",12.805,-62.447,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,306.091,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,316.68,"Roslynn",R,13,62,94,-1.641,0.466,-0.047,2.238,-0.252,2.685,-37.098,79.545,1,0,-185.281,400,0,-0.486,-18.23,0,0,5,L,"Amellaid",159.7,95,0.353,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-38.17,0,"하루（Haru）",-0.062,-17.939,0,"눈꽃",-19.613,-46.944,0,"ゆっち一",-13.516,-63.617,0,"ByeolBam",21.083,-48.432,0,"NABIMan",12.667,-62.03,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,319.447,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,332.08,"Roslynn",R,26,79,130,-1.301,-1.416,-0.135,1.791,-0.669,0.607,-36.572,35.411,1,0,73.18,-200,0,0,0,0,0,5,L,"Amellaid",159.7,95,0.353,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.386,-37.85,0,"하루（Haru）",-0.112,-18.055,0,"눈꽃",-20.583,-47.811,0,"ゆっち一",-13.727,-63.801,0,"ByeolBam",21.797,-49.087,0,"NABIMan",12.944,-62.831,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,333.291,,,,0,0
4,1,1,0,0,3,0,0,0,0,0,255,255,255,3,344.543,"Roslynn",R,14,71,100,0.441,-0.873,-0.25,2.071,-0.552,1.694,-36.624,33.337,0,0,354.94,312.348,0,0,0,0,0,5,L,"Amellaid",159.7,95,0.353,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,-38.202,0,"하루（Haru）",0.023,-17.939,0,"눈꽃",-20.785,-47.398,0,"ゆっち一",-13.341,-63.879,0,"ByeolBam",21.752,-49.079,0,"NABIMan",13.362,-61.84,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,345.913,,,,0,0
5,1,1,0,0,3,1,0,0,0,0,255,255,255,4,357.435,"Roslynn",R,3,66,98,-1.891,-0.458,0.066,1.887,-0.05,1.367,-36.659,36.147,1,0,-356.617,0,0,0,0,0,0,5,L,"Amellaid",159.7,95,0.353,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.452,-38.299,0,"하루（Haru）",-0.076,-17.998,0,"눈꽃",-20.786,-47.407,0,"ゆっち一",-13.346,-63.88,0,"ByeolBam",21.904,-49.301,0,"NABIMan",13.009,-61.142,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,358.88,,,,0,5
6,1,1,0,0,0,0,0,1,0,0,5,255,255,5,380.039,"Roslynn",R,10,78,107,-0.152,-1.226,0.028,1.94,-0.067,1.321,-36.794,42.869,1,0,0,400,0,0,0,0,1,2,L,"CAT tourniquet",190,82.571,0.454,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.182,-38.195,0,"하루（Haru）",-0.012,-18.044,0,"눈꽃",-19.674,-43.936,0,"ゆっち一",-13.354,-63.625,0,"ByeolBam",21.906,-49.32,0,"NABIMan",13.05,-61.281,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,381.569,,,,0,0
7,1,1,0,0,1,0,0,1,0,0,5,255,255,6,396.488,"Roslynn",R,26,74,113,-0.328,0.221,-0.087,1.985,-0.22,1.525,-36.77,51.47,0,0,43.698,-200,0,0,0,0,1,2,L,"CAT tourniquet",190,82.571,0.454,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.221,-37.9,0,"하루（Haru）",-0.027,-17.926,0,"눈꽃",-20.112,-45.419,0,"ゆっち一",-15.141,-63.199,0,"ByeolBam",21.786,-49.234,0,"NABIMan",11.651,-61.919,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,398.013,,,,0,0
8,1,1,0,0,1,1,0,1,0,0,5,255,255,7,414.126,"Roslynn",R,0,60,102,-0.242,1.794,0.097,2.332,-0.108,2.738,-37.131,77.494,1,0,0,0.913,0,0,0,0,1,2,L,"CAT tourniquet",190,82.571,0.454,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.293,-37.995,0,"하루（Haru）",-0.007,-17.706,0,"눈꽃",-19.753,-45.351,0,"ゆっち一",-15.15,-63.247,0,"ByeolBam",21.728,-49.172,0,"NABIMan",12.023,-61.901,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,415.769,,,,0,0
9,1,1,0,0,2,1,0,1,0,0,5,255,255,8,429.713,"Roslynn",R,28,71,110,-0.671,-0.595,-0.11,1.856,-0.353,1.157,-36.723,43.863,0,0,35.076,-69.913,0,0,0,1,1,2,L,"CAT tourniquet",190,82.571,0.454,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176,-37.876,0,"하루（Haru）",-0.104,-18.089,0,"눈꽃",-19.741,-45.339,0,"ゆっち一",-15.108,-63.163,0,"ByeolBam",21.725,-49.173,0,"NABIMan",12.604,-61.526,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,431.213,,,,0,0
10,1,1,0,0,2,2,0,1,0,0,5,255,255,9,446.829,"Roslynn",R,6,70,99,0.711,0.279,-0.298,2.123,-0.65,1.791,-36.702,38.697,0,0,450,0,0,0,0,1,1,2,L,"CAT tourniquet",190,82.571,0.454,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176,-37.915,0,"하루（Haru）",0.047,-17.855,0,"눈꽃",-19.893,-42.03,0,"ゆっち一",-17.027,-61.949,0,"ByeolBam",21.814,-49.125,0,"NABIMan",12.623,-61.288,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,448.447,,,,0,0
