id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,182.44,"-라후이-",R,27,80,131,-1.767,0.532,0.117,1.987,-0.722,1.748,-36.61,25.487,2,0,-39.659,-145.949,15.976,0,0,1,0,5,L,"わだ、、",174.6,84.725,0.527,3,54,183.519,255,40,119,58,0,145,85,17.328,13.086,-0.81,0.002,-0.011,0,0.422,544.838,149.918,-192.592,-0.101,-36.945,0,"HANA_ARASHI",-0.122,-17.054,0,"NABIMan",-23.52,-48.564,0,"_송글_",-14.153,-59.291,0,"Rite_",20.583,-46.678,0,"-yeoro-",14.659,-64.514,0,"AI",40.9,-90.65,0,"ke ro",7.32,-107.785,0,"Yaksok~",-37.369,-84.051,95,187.291,-18.049,-85.213,188.346,8,"Yaksok~",-20.056,-92.334,1,0,,,,,17,2
2,1,1,0,0,0,0,0,1,0,0,5,255,255,1,204.879,"-라후이-",R,14,65,108,1.368,-0.809,0.343,1.846,-0.042,1.515,-36.689,35.838,0,0,380.443,315.995,15.045,0,0,1,1,2,L,"ʚEveɞ",180,85.084,0.4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.299,-37.587,0,"HANA_ARASHI",-0.042,-17.699,120,"NABIMan",-19.449,-40.73,0,"_송글_",-13.259,-61.634,0,"Rite_",20.109,-47.08,0,"-yeoro-",12.922,-65.244,0,"AI",40.9,-90.65,0,"ke ro",7.679,-97.86,0,"Yaksok~",-34.277,-77.213,0,0,0,0,0,0,"",0,0,0,0,206.176,,,,0,0
3,1,1,0,0,0,1,0,1,0,0,5,255,255,2,214.618,"-라후이-",R,26,90,140,1.167,-0.429,0.295,1.585,0.513,1.173,-36.361,19.889,0,0,-10.694,-200,6.808,0,0,0,1,2,L,"ʚEveɞ",180,85.084,0.4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,-37.329,0,"HANA_ARASHI",-0.174,-17.658,0,"NABIMan",-20.081,-42.83,0,"_송글_",-13.23,-60.992,0,"Rite_",19.109,-45.949,0,"-yeoro-",12.927,-65.289,0,"AI",40.9,-90.65,0,"ke ro",7.989,-110.263,0,"Yaksok~",-34.282,-77.211,0,0,0,0,0,0,"",0,0,0,0,215.704,,,,0,0
4,1,1,0,0,0,2,0,1,0,0,5,255,255,3,225.08,"-라후이-",R,27,88,140,-2.231,0.252,0.051,1.576,-0.88,1.663,-36.372,5.423,2,0,-70.859,-106.294,12.582,0,0,1,1,2,L,"ʚEveɞ",180,85.084,0.4,3,54,226.115,242,116,98,35,11,145,87,8.318,37.149,-0.8,0.021,-0.009,0,0.283,353.44,175.328,11.692,-0.008,-36.758,0,"HANA_ARASHI",-0.22,-17.741,0,"NABIMan",-21.371,-44.359,91,"_송글_",-13.337,-60.65,0,"Rite_",19.624,-46.237,0,"-yeoro-",12.911,-65.246,0,"AI",40.9,-90.65,0,"ke ro",6.5,-111.925,0,"Yaksok~",-34.283,-77.232,0,0,0,0,227.546,2,"NABIMan",-17.497,-42.137,0,0,,,,,5,1
5,1,1,0,0,0,0,1,1,0,0,5,255,255,4,246.032,"-라후이-",R,27,80,132,4.933,-0.103,0.186,1.403,2.184,1.494,-36.354,8.595,4,0,1.002,-110.338,4.901,1.009,-21.269,1,2,4,R,"인생최패망자",190,80,0.396,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-36.912,0,"HANA_ARASHI",1.092,-18.136,0,"NABIMan",-20.55,-44.136,0,"_송글_",-15.597,-59.862,0,"Rite_",17.82,-46.863,0,"-yeoro-",12.019,-65.179,0,"AI",40.9,-90.65,0,"ke ro",1.436,-110.586,0,"Yaksok~",-39.626,-86.235,0,0,0,0,0,0,"",0,0,0,0,249.673,,,,0,0
6,1,1,0,0,0,1,1,1,0,0,5,255,255,5,262.041,"-라후이-",R,26,94,140,-1.27,-0.439,0.044,1.524,-0.525,1.171,-36.406,5.241,2,0,-22.042,-193.88,16.469,0,0,1,2,4,R,"인생최패망자",190,80,0.396,3,77,263.07,255,192,164,115,84,145,123,-30,-39.026,0.21,-0.069,-0.047,0,0.308,-404.746,61.741,-437.23,-0.334,-37.037,0,"HANA_ARASHI",-0.136,-17.876,0,"NABIMan",-21.396,-45.993,0,"_송글_",-15.24,-59.796,0,"Rite_",18.299,-47.173,0,"-yeoro-",10.133,-64.175,95,"AI",40.9,-90.65,0,"ke ro",1.427,-110.589,0,"Yaksok~",-38.751,-86.734,0,262.831,0.92,-22.542,272.752,5,"-yeoro-",17.642,-70.725,0,0,,268.052,272.948,,33,2
7,1,1,0,0,0,0,1,0,1,1,255,4,255,6,292.736,"-라후이-",R,13,61,106,-0.231,-0.881,0.59,1.956,0.458,1.445,-36.568,43.213,2,0,-351.713,341.74,-13.662,0,0,1,3,1,L,"하루（Haru）",190,90,0.499,3,54,293.939,159,122,204,129,102,145,130,13.322,-3.01,0.53,0.061,-0.049,0,0.215,-483.107,-317.317,-128.204,0.108,-37.074,0,"HANA_ARASHI",0.142,-18.198,65,"NABIMan",-21.517,-45.889,0,"_송글_",-15.285,-60.822,85,"Rite_",19.556,-46.47,90,"-yeoro-",15.556,-65.598,0,"AI",40.9,-90.65,0,"ke ro",8.046,-114.469,99,"Yaksok~",-35.406,-77.658,0,296.025,8.249,-91.741,296.903,7,"ke ro",10.513,-104.119,1,0,304.291,,298.864,299.231,203,2
8,1,1,2,0,0,0,1,1,0,0,1,255,255,7,323.338,"-라후이-",R,26,66,121,2.767,0.175,0.508,1.935,1.239,1.467,-36.719,48.476,1,0,-34.05,-200,-6.994,0,0,0,4,3,R,"소솨소솨",174.9,80,0.404,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,-37.46,0,"HANA_ARASHI",-0.206,-17.683,120,"NABIMan",-19.888,-43.156,0,"_송글_",-6.811,-60.891,0,"Rite_",19.432,-44.544,0,"-yeoro-",14.933,-65.639,0,"AI",40.9,-90.65,0,"ke ro",0.898,-100.915,0,"Yaksok~",-36.401,-79.366,0,0,0,0,0,0,"",0,0,0,0,324.425,325.777,,,0,0
9,1,1,2,0,1,0,1,0,1,0,255,1,255,8,339.742,"-라후이-",R,26,84,138,-1.15,-0.029,0.133,1.751,-0.444,1.432,-36.447,17.02,2,0,-45.043,-158.929,14.054,0,0,1,4,3,R,"소솨소솨",174.9,80,0.404,3,54,340.632,252,64,74,17,0,135,122,-21.333,29.894,0.69,-0.033,-0.119,0,0.415,-11.925,-57.294,21.637,0.089,-36.875,116,"HANA_ARASHI",-0.109,-17.974,0,"NABIMan",-22.816,-46.53,86,"_송글_",-11.781,-60.474,0,"Rite_",20.872,-46.324,85,"-yeoro-",14.133,-64.519,0,"AI",40.9,-90.65,0,"ke ro",1.579,-99.448,0,"Yaksok~",-36.956,-82.876,97,340.479,-1.432,-21.957,343.007,8,"Yaksok~",-30.769,-72.906,0,0,,,345.92,,23,2
10,1,1,2,0,0,0,2,0,0,1,255,255,1,9,388.189,"-라후이-",R,26,75,127,-1.56,1.318,0.093,2.011,-0.638,2.092,-36.468,42.263,2,0,-33.904,-162.537,15.785,0,0,1,5,8,R,"아침땅_",160,95.405,0.5,2,54,389.094,173,86,143,131,75,145,86,29.131,22.946,-0.5,-0.081,-0.055,0.095,0.418,371.221,-471.126,15.341,-0.076,-36.553,0,"HANA_ARASHI",-0.07,-17.982,0,"NABIMan",-22.138,-45.753,0,"_송글_",-17.187,-57.674,0,"Rite_",19.252,-44.951,0,"-yeoro-",12.073,-62.223,0,"AI",40.9,-90.65,0,"ke ro",0.527,-102.301,0,"Yaksok~",-38.44,-84.981,88,393.667,-21.937,-87.102,393.685,8,"Yaksok~",-21.209,-84.588,0,0,423.843,,,394.5,152,1
