id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,332.296,"muyang_",R,3,32,78,-0.831,-0.837,0.051,1.409,0.466,1.109,-37.354,67.837,2,0,-283.178,0,-14.373,0,0,1,0,4,R,"_송글_",175,92,0.315,3,87,333.519,202,118,126,92,83,145,103,-10.855,19.348,0.92,-0.003,-0.001,0,0.487,-118.576,190.382,-3.834,-0.296,-37.83,0,"-라후이-",-0.085,-18.021,0,"NABIMan",-21.644,-45.669,88,"아침땅_",-15.605,-63.208,92,"눈꽃",20.116,-46.471,0,"Rite_",15.143,-60.56,0,"AI",40.9,-90.65,0,"장덕춘_",3.355,-114.573,0,"AI",-40.8,-90.55,0,333.698,-1.365,-25.021,335.665,3,"아침땅_",-13.029,-58.729,0,0,,,,,28,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,357.847,"muyang_",R,10,53,89,-0.848,-1.172,-0.145,1.523,-0.218,1.544,-37.184,42.881,1,0,-65.173,400,-6.48,-0.182,-17.716,0,1,2,R,"Ayu_Yua",190,86,0.353,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.472,-38.043,0,"-라후이-",-0.198,-17.729,120,"NABIMan",-20.65,-43.085,0,"아침땅_",-16.051,-62.96,0,"눈꽃",17.346,-46.901,0,"Rite_",14.202,-60.787,0,"AI",40.9,-90.65,0,"장덕춘_",0.362,-113.044,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,359.743,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,397.513,"muyang_",R,3,44,83,2.103,-0.07,0.323,1.421,1.695,1.607,-37.421,61.77,1,0,-274.25,0,-3.324,0,0,0,1,2,R,"Ayu_Yua",190,86,0.353,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.237,-37.939,0,"-라후이-",-0.035,-17.837,0,"NABIMan",-20.87,-45.704,0,"아침땅_",-15.89,-63.005,0,"눈꽃",17.728,-47.516,0,"Rite_",14.416,-61.128,0,"AI",40.9,-90.65,0,"장덕춘_",-10.132,-110.238,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,399.387,,,,0,0
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,415.286,"muyang_",R,13,51,87,5.381,0.318,0.09,1.729,3.048,2.43,-37.589,84.914,3,0,-254.852,286.754,-8.673,1.08,-20.846,0,1,2,R,"Ayu_Yua",190,86,0.353,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.449,-37.453,0,"-라후이-",1.237,-21.309,0,"NABIMan",-20.613,-46.196,0,"아침땅_",-15.943,-62.979,0,"눈꽃",19.555,-46.001,0,"Rite_",13.599,-58.915,0,"AI",40.9,-90.65,0,"장덕춘_",-10.23,-110.323,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,417.832,,,,0,6
5,1,1,0,0,0,0,1,1,0,0,2,255,255,4,458.419,"muyang_",R,5,29,82,0.431,-0.374,-0.004,1.504,0.38,1.423,-37.64,67.687,2,0,-73.666,0,-7.379,0,0,1,2,1,R,"mungjungh",160,90.098,0.501,2,83,459.704,101,122,63,115,84,133,62,15.633,34.471,1,0.001,-0.086,0,0.209,0,0,0,-0.46,-37.741,0,"-라후이-",-0.006,-17.933,0,"NABIMan",-21.639,-46.26,85,"아침땅_",-12.794,-62.704,0,"눈꽃",18.693,-46.975,0,"Rite_",12.74,-59.331,0,"AI",40.9,-90.65,0,"장덕춘_",-5.206,-114.23,0,"AI",-40.8,-90.55,0,461.643,-15.867,-44.21,461.821,2,"NABIMan",-14.299,-41.909,0,0,542.765,463.621,,,84,1
6,1,0,0,0,0,0,0,0,0,0,255,255,255,0,598.788,"HANA_ARASHI",R,26,84,137,-1.487,2.887,-0.12,1.927,-0.556,2.911,-36.568,22.326,1,0,-63.814,-200,0,0,0,0,0,5,R,"Rite_",160,80,0.48,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019,-37.65,0,"mungjungh",0.034,-17.704,0,"Ayu_Yua",-22.081,-47.988,0,"SOM_candy",-13.241,-61.078,0,"_송글_",22.494,-47.142,0,"Slaris",7.706,-62.564,0,"AI",40.902,-90.652,0,"Kr_Luna",-25.895,-107.964,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,600.132,,,,0,0
7,1,0,0,0,1,0,0,0,0,0,255,255,255,1,613.983,"HANA_ARASHI",R,26,87,140,0.961,0.26,0.13,1.57,0.606,1.535,-36.422,14.922,0,0,-145.499,-200,0,0,0,1,0,5,R,"Rite_",160,80,0.48,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,-37.423,0,"mungjungh",-0.001,-17.746,0,"Ayu_Yua",-22.076,-47.993,0,"SOM_candy",-12.431,-58.715,0,"_송글_",22.588,-47.079,0,"Slaris",10.702,-65.947,0,"AI",40.902,-90.652,0,"Kr_Luna",-23.252,-107.669,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,615.321,,,,0,0
8,1,0,0,0,1,1,0,0,0,0,255,255,255,2,625.945,"HANA_ARASHI",R,14,76,115,1.374,0.008,-0.007,1.919,-0.033,2.107,-36.593,27.121,0,0,358.311,348.731,0,0.851,-18.362,0,0,5,R,"Rite_",160,80,0.48,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,-37.308,0,"mungjungh",-0.1,-18.052,0,"Ayu_Yua",-22.112,-48.054,0,"SOM_candy",-12.096,-60.138,0,"_송글_",22.617,-47.078,0,"Slaris",10.059,-66.487,0,"AI",40.9,-90.65,0,"Kr_Luna",-23.338,-107.701,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,629.076,,,,0,0
9,1,0,0,0,1,2,0,0,0,0,255,255,255,3,638.341,"HANA_ARASHI",R,13,79,117,-1.474,-0.907,0.082,1.776,-0.067,1.56,-36.44,19.875,2,0,-359.532,347.472,0,0,0,1,0,5,R,"Rite_",160,80,0.48,2,82,639.282,223,176,93,126,71,145,97,-10.919,35.863,0.92,-0.108,-0.054,0,0.441,-81.301,-556.32,-180.041,-0.293,-37.258,0,"mungjungh",-0.097,-18.121,0,"Ayu_Yua",-22.076,-48.045,73,"SOM_candy",-15.494,-61.066,0,"_송글_",22.532,-47.031,0,"Slaris",10.543,-65.405,0,"AI",40.902,-90.652,0,"Kr_Luna",-23.005,-107.83,0,"AI",-40.802,-90.552,0,639.565,-2.351,-23.71,641.198,2,"Ayu_Yua",-18.734,-47.184,0,0,,,,,66,2
10,1,0,0,0,0,0,1,0,0,0,255,255,255,4,662.565,"HANA_ARASHI",R,10,73,115,-2.72,1.038,-0.061,2.112,-1.182,2.664,-36.605,47.921,2,0,0,400,0,0,0,0,1,4,L,"눈꽃",190,89.906,0.496,3,82,663.734,224,134,128,108,85,145,78,25.599,40.192,0.97,0.012,-0.028,0,0.492,-81.301,-556.32,-180.041,-0.356,-36.827,0,"mungjungh",-0.035,-18.145,0,"Ayu_Yua",-21.912,-47.824,0,"SOM_candy",-11.431,-59.056,0,"_송글_",21.904,-47.888,0,"Slaris",13.246,-63.34,83,"AI",40.9,-90.65,0,"Kr_Luna",0.134,-112.267,0,"AI",-40.8,-90.55,0,666.765,-34.025,-61.329,673.421,5,"Slaris",-1.442,-59.686,1,0,,,,,80,2
