id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,209.44,"Pugeuk",R,27,80,132,2.39,-0.749,0.203,1.401,0.946,1.082,-36.371,27.273,2,0,75.695,-103.927,19.719,0,0,1,5,8,R,"Rite_",160,87,0.44,2,43,210.464,143,84,92,90,80,144,80,-13.944,-36.516,-0.83,0.013,-0.037,0,0.318,0.172,-36.862,0,"encounter v",-0.15,-17.569,0,"Ayu_Yua",-20.8,-47.33,66,"HANA_ARASHI",-9.337,-64.18,0,"-Alta-",22.226,-48.967,103,"_송글_",14.528,-63.259,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-38.522,-88.056,0,210.59,2.122,-22.796,212.537,4,"-Alta-",18.453,-45.009,1,0,,,,215.508,82,2
2,1,1,0,0,0,0,0,1,0,0,8,255,255,1,238.89,"Pugeuk",R,6,71,100,-3.979,-0.921,-0.797,1.497,-2.457,1.129,-36.705,35.05,3,0,454.546,0,21.429,0,0,0,5,2,L,"CAT tourniquet",190,80,0.449,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091,-38.522,0,"encounter v",-0.326,-19.94,0,"Ayu_Yua",-20.007,-43.587,0,"HANA_ARASHI",-7.756,-62.718,0,"-Alta-",21.798,-47.427,0,"_송글_",12.95,-62.91,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-38.04,-80.022,0,0,0,0,0,0,"",0,0,0,0,241.017,,,,0,6
3,1,1,0,0,2,0,0,1,0,0,2,255,255,2,256.782,"Pugeuk",R,27,89,140,0.114,-1.235,0.01,1.261,0.048,0.719,-36.435,25.291,4,0,0.791,-146.459,17.151,0,0,1,5,2,L,"CAT tourniquet",190,80,0.449,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-37.838,0,"encounter v",-0.012,-17.839,108,"Ayu_Yua",-18.417,-42.744,0,"HANA_ARASHI",-7.563,-61.459,0,"-Alta-",21.838,-47.331,0,"_송글_",13.339,-62.634,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-43.2,-82.848,60,0,0,0,0,0,"",0,0,0,0,258.23,,,,0,0
4,1,1,0,0,2,1,0,1,0,0,2,255,255,3,329.309,"Pugeuk",R,27,88,140,1.206,-0.058,0.097,1.488,0.45,1.454,-36.473,26.844,2,0,53.533,-148.372,18.795,0,0,1,5,2,L,"CAT tourniquet",190,80,0.449,2,40,330.301,197,125,47,41,43,133,99,25.988,-43.582,0.01,-0.007,-0.057,0,0.413,0.132,-37.202,0,"encounter v",-0.008,-17.68,0,"Ayu_Yua",-18.66,-40.181,0,"HANA_ARASHI",-11.371,-62.59,0,"-Alta-",21.26,-47.009,0,"_송글_",12.439,-62.252,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-42.771,-82.556,0,334.43,64.239,-67.674,0,0,"",0,0,0,0,,,,,64,3
5,1,1,0,0,2,2,0,1,0,0,2,255,255,4,352.183,"Pugeuk",R,26,86,140,0.7,-1.244,0.07,1.246,0.326,0.67,-36.369,26.147,1,0,-18.218,-200,28.742,0,0,0,5,2,L,"CAT tourniquet",190,80,0.449,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05,-39.894,0,"encounter v",-0.18,-17.807,0,"Ayu_Yua",-17.387,-42.634,0,"HANA_ARASHI",-9.885,-63.353,0,"-Alta-",20.655,-45.428,0,"_송글_",14.157,-61.618,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-44.791,-87.117,0,0,0,0,0,0,"",0,0,0,0,353.577,,,,0,0
6,1,1,0,0,3,2,0,1,0,0,2,255,255,5,366.408,"Pugeuk",R,3,72,102,-0.725,-0.167,0.259,1.444,0.491,1.519,-36.698,25.244,2,0,-393.776,0,22.13,0,0,1,5,2,L,"CAT tourniquet",190,80,0.449,2,38,367.497,254,112,138,79,99,145,116,-30,40.106,0.14,0.104,-0.118,0,0.176,-0.058,-37.232,0,"encounter v",-0.004,-17.918,0,"Ayu_Yua",-17.567,-41.839,0,"HANA_ARASHI",-11.017,-63.318,85,"-Alta-",20.28,-45.08,0,"_송글_",13.752,-62.029,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-41.16,-85.381,95,367.563,-1.445,-22.412,370.897,8,"Multeinn",-46.496,-74.058,1,0,,371.848,,,97,2
7,1,1,0,0,0,0,0,1,1,0,2,8,255,6,394.004,"Pugeuk",R,27,84,137,1.312,-0.581,0.112,1.418,0.52,1.146,-36.335,17.551,0,0,41.432,-147.307,18.048,0,0,0,2,5,L,"SOM_candy",160,87.719,0.452,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.064,-37.991,0,"encounter v",-0.331,-20.262,99,"Ayu_Yua",-17.884,-40.426,0,"HANA_ARASHI",-9.266,-58.997,0,"-Alta-",13.632,-37.683,0,"_송글_",14.556,-62.839,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-44.532,-86.648,0,0,0,0,0,0,"",0,0,0,4,395.43,,,,0,0
8,1,1,0,0,0,1,0,1,1,0,2,8,255,7,409.58,"Pugeuk",R,10,74,104,-0.509,0.036,-0.071,1.798,-0.219,2.289,-36.442,15.898,0,0,0,400,1.363,0.094,-18.056,1,2,5,L,"SOM_candy",160,87.719,0.452,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144,-37.581,0,"encounter v",-0.236,-18.241,103,"Ayu_Yua",-17.929,-41.155,0,"HANA_ARASHI",-9.07,-56.662,0,"-Alta-",11.807,-35.888,0,"_송글_",14.523,-62.852,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-44.515,-87.866,0,0,0,0,0,0,"",0,0,0,0,412.95,412.466,,,0,0
9,1,1,0,0,0,2,0,1,1,0,2,8,255,8,426.412,"Pugeuk",R,13,60,92,-0.898,0.864,0.221,2.102,0.36,2.776,-36.895,40.728,0,0,-306.19,340.548,-0.152,-0.556,-15.265,0,2,5,L,"SOM_candy",160,87.719,0.452,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177,-37.736,0,"encounter v",-0.691,-19.211,102,"Ayu_Yua",-18.554,-39.994,0,"HANA_ARASHI",-9.552,-61.196,0,"-Alta-",19.367,-42.584,0,"_송글_",14.55,-62.823,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-45.666,-88.088,0,0,0,0,0,0,"",0,0,0,4,428.297,,,,0,0
10,1,1,0,0,0,0,1,1,1,0,2,8,255,9,448.371,"Pugeuk",R,28,82,135,1.384,-0.497,0.117,1.424,0.543,1.212,-36.278,20.437,4,0,32.203,-99.808,17.671,0.48,-20.95,1,3,3,R,"Slaris",174.9,86.36,0.452,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.171,-37.598,0,"encounter v",0.146,-20.234,0,"Ayu_Yua",-17.367,-41.49,0,"HANA_ARASHI",-2.995,-61.199,0,"-Alta-",20.178,-44.615,0,"_송글_",16.256,-58.686,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-45.78,-87.345,0,0,0,0,0,0,"",0,0,0,0,450.83,,451.088,,0,0
11,1,1,0,0,0,1,1,1,1,0,2,8,255,10,472.632,"Pugeuk",R,26,88,140,1.671,1.369,0.141,1.711,0.656,2.221,-36.516,23.402,2,0,50.841,-191.439,26.716,0,0,1,3,3,R,"Slaris",174.9,86.36,0.452,3,54,473.597,196,85,132,79,26,145,96,54.959,-31.823,-0.25,0.026,0.014,0,0.297,-0.127,-37.185,120,"encounter v",-0.147,-17.865,0,"Ayu_Yua",-18.758,-40.288,79,"HANA_ARASHI",-11.313,-63.415,88,"-Alta-",18.494,-43.845,0,"_송글_",13.552,-63.127,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Multeinn",-43.613,-84.785,0,480.377,36.842,-79.202,483.19,3,"HANA_ARASHI",2.599,-59.75,0,0,,480.011,,,67,1
