id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,342.437,"소솨소솨",R,28,73,126,-1.503,-0.787,-0.102,1.376,-0.673,1.087,-36.438,10.172,1,0,16.836,-66.294,0,0,0,0,0,5,L,"Amellaid",172.6,85,0.353,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.151,-37.794,0,"Saƅer",-0.183,-16.853,0,"Rite_",-20.607,-47.982,0,"ke ro",-10.82,-61.378,0,"schmoneymikey",20.175,-51.783,0,"M a x ღ",6.629,-63.056,0,"すーぱーおもちらんど",44.024,-82.37,0,"AI",0,-109.842,0,"AI",-40.802,-90.551,0,0,0,0,0,0,"",0,0,0,0,344.147,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,355.594,"소솨소솨",R,27,69,123,-0.515,-1.52,-0.007,1.249,-0.229,0.633,-36.435,17.623,1,0,3.263,-100.062,0,0,0,0,0,5,L,"Amellaid",172.6,85,0.353,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.063,-38.097,0,"Saƅer",-0.069,-16.834,0,"Rite_",-20.305,-48.126,0,"ke ro",-11.229,-63.422,0,"schmoneymikey",19.581,-52.788,0,"M a x ღ",6.468,-62.37,0,"すーぱーおもちらんど",43.461,-82.692,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,357.281,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,366.316,"소솨소솨",R,0,75,127,-0.016,-1.038,0.035,1.342,-0.035,0.967,-36.491,12.815,0,0,17.833,-44.914,0,0,0,0,0,5,L,"Amellaid",172.6,85,0.353,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,-38.02,0,"Saƅer",-0.047,-16.801,0,"Rite_",-20.471,-47.748,0,"ke ro",-11.3,-63.438,0,"schmoneymikey",19.594,-53.633,0,"M a x ღ",6.942,-61.961,0,"すーぱーおもちらんど",43.833,-82.793,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,367.992,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,380.873,"소솨소솨",R,27,71,125,-0.049,-0.743,0.051,1.411,0.039,1.21,-36.461,12.881,2,0,-2.012,-104.96,0,0,0,1,0,5,L,"Amellaid",172.6,85,0.353,3,92,381.768,234,179,125,101,19,145,126,25.806,11.575,0.56,-0.006,-0.079,0,0.051,311.746,-181.618,-474.402,0.303,-37.466,0,"Saƅer",-0.093,-16.944,0,"Rite_",-19.934,-46.725,0,"ke ro",-11.295,-63.429,85,"schmoneymikey",19.599,-53.617,0,"M a x ღ",6.585,-62.974,0,"すーぱーおもちらんど",41.199,-78.848,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,386.958,27.731,-129.539,0,0,"",0,0,1,0,,391.203,,,6,2
5,1,1,0,0,0,0,0,0,1,0,255,5,255,4,420.961,"소솨소솨",R,27,85,139,1.477,-0.323,0.166,1.43,0.574,1.315,-36.426,14.56,1,0,55.547,-116.592,0,0,0,0,1,1,R,"Riyaj",190,80,0.2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.139,-37.989,0,"Saƅer",0.137,-16.552,108,"Rite_",-21.093,-47.991,0,"ke ro",-9.569,-63.373,0,"schmoneymikey",20.66,-52.475,0,"M a x ღ",9.89,-63.72,0,"すーぱーおもちらんど",49.962,-86.276,0,"AI",0,-109.842,0,"AI",-40.802,-90.551,0,0,0,0,0,0,"",0,0,0,0,422.625,423.473,,,0,0
6,1,1,0,0,1,0,0,0,1,0,255,5,255,5,436.92,"소솨소솨",R,28,78,129,0.813,-0.521,0.106,1.396,0.298,1.202,-36.435,10.825,0,0,35.894,-91.941,0,0,0,0,1,1,R,"Riyaj",190,80,0.2,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-37.903,0,"Saƅer",0.048,-16.605,0,"Rite_",-21.188,-48.184,0,"ke ro",-9.445,-64.766,0,"schmoneymikey",21.08,-51.677,0,"M a x ღ",9.86,-63.868,0,"すーぱーおもちらんど",47.161,-87.825,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,438.625,439.507,,,0,0
7,1,1,0,0,1,1,0,0,1,0,255,5,255,6,454.21,"소솨소솨",R,27,92,140,1.787,0.365,0.18,1.567,0.64,1.758,-36.48,18.457,2,0,99.18,-101.183,0,0,0,1,1,1,R,"Riyaj",190,80,0.2,2,40,455.088,176,57,78,12,0,132,80,-27.109,-47.683,-0.94,-0.009,-0.04,0,0.293,-350.331,485.26,-42.315,0.011,-37.512,0,"Saƅer",0.026,-16.68,0,"Rite_",-21.668,-48.571,74,"ke ro",-7.261,-62.643,0,"schmoneymikey",21.189,-51.406,0,"M a x ღ",14.086,-60.645,0,"すーぱーおもちらんど",53.003,-94.303,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,455.236,-1.193,-20.672,0,0,"",0,0,0,0,,464.227,,,5,2
8,1,1,0,0,1,2,0,0,1,0,255,5,255,7,476.571,"소솨소솨",R,27,83,135,0.145,14.248,0.117,1.468,0.347,1.435,-36.428,8.867,2,0,59.222,-108.33,0,0,0,1,1,1,R,"Riyaj",190,80,0.2,2,39,477.477,255,105,89,57,0,145,88,-14.61,0.036,-0.95,-0.013,-0.041,0,0.364,-375.365,-40.09,96.142,0.263,-37.453,0,"Saƅer",-0.003,-16.902,0,"Rite_",-22.529,-49.95,79,"ke ro",-12.56,-64.116,0,"schmoneymikey",20.65,-51.6,0,"M a x ღ",7.79,-63.357,85,"すーぱーおもちらんど",50.088,-89.755,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,477.658,0.191,-23.066,0,0,"",0,0,1,0,,,482.217,,13,2
9,1,1,0,0,0,0,0,1,0,1,1,255,5,8,511.692,"소솨소솨",R,28,77,128,0.489,-0.332,0.08,1.431,0.175,1.317,-36.42,9.513,2,0,27.564,-97.236,0,0,0,0,2,4,R,"Muna_328",190,91.917,0.38,3,91,512.805,225,64,105,32,0,145,91,34.655,-45.133,-0.77,-0.073,-0.118,0,0.633,419.561,372.27,208.775,0.243,-37.507,0,"Saƅer",0.002,-17.255,0,"Rite_",-22.253,-50.69,0,"ke ro",-11.64,-64.018,0,"schmoneymikey",20.979,-51.178,0,"M a x ღ",6.374,-65.63,0,"すーぱーおもちらんど",50.201,-85.248,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,517.803,-55.189,-66.278,0,0,"",0,0,0,0,,,521.281,,4,2
10,1,1,0,0,0,1,0,1,0,1,1,255,5,9,539.412,"소솨소솨",R,28,75,127,0.692,-1.022,0.104,1.301,0.285,0.895,-36.422,17.031,2,0,8.619,-84.951,0,0,0,1,2,4,R,"Muna_328",190,91.917,0.38,3,61,540.561,220,67,98,103,9,145,84,-3.732,58.901,1,-0.104,-0.128,0,0.726,582.26,-138.389,-5.074,0.197,-37.604,0,"Saƅer",0.002,-17.224,0,"Rite_",-21.067,-48.027,0,"ke ro",-12.356,-63.308,0,"schmoneymikey",19.965,-50.313,0,"M a x ღ",7.08,-64.819,0,"すーぱーおもちらんど",43.998,-87.744,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,540.88,4.746,-21.673,0,0,"",0,0,0,0,,,,,4,3
