id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,392.742,"인생최패망자",R,27,78,129,-0.473,-0.265,0.31,2.146,-0.324,1.279,-36.618,48.411,0,0,83.676,-121.506,8.603,0,0,0,1,5,R,"crani",170.4,95.354,0.732,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113,-37.046,0,"Kr_Luna",0.028,-17.797,0,"별이__",-21.148,-49.496,0,"ke ro",-11.53,-65.867,0,"가앤슬_",20.288,-44.484,0,"NABIMan",8.592,-62.328,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,393.389,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,405.263,"인생최패망자",R,10,70,101,0.351,-0.89,0.331,2.245,0.147,1.696,-36.856,61.828,2,0,-1.045,400,-9.316,0,0,1,1,5,R,"crani",170.4,95.354,0.732,2,44,406.009,104,103,135,145,156,161,121,-30,-65.296,0.83,-0.035,-0.046,0.238,0.246,26.5,-556.867,-221.805,0.204,-36.908,0,"Kr_Luna",0.046,-17.802,0,"별이__",-21.117,-49.477,0,"ke ro",-11.846,-65.435,0,"가앤슬_",20.357,-45.11,0,"NABIMan",8.626,-62.546,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,405.733,-1.094,-21.911,0,0,"",0,0,0,0,,,,,1,3
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,420.045,"인생최패망자",R,27,86,140,-0.868,-0.361,0.278,2.141,-0.474,1.261,-36.613,47.493,0,0,65.49,-101.493,4.308,0,0,0,1,5,R,"crani",170.4,95.354,0.732,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-37.178,0,"Kr_Luna",0.036,-17.826,0,"별이__",-21.601,-47.287,0,"ke ro",-11.829,-65.325,0,"가앤슬_",19.447,-44.916,0,"NABIMan",7.038,-60.774,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,420.511,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,448.517,"인생최패망자",R,28,83,135,0.165,-0.268,0.376,2.151,-0.021,1.335,-36.785,58.042,0,0,64.388,-76.756,4.405,0,0,0,1,3,R,"ʚmingɞ",190,84.544,0.353,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.097,-37.259,0,"Kr_Luna",0.038,-17.814,0,"별이__",-22.046,-47.551,0,"ke ro",-11.769,-65.354,0,"가앤슬_",19.503,-44.35,0,"NABIMan",8.042,-61.455,0,"-KYU-",20.308,-19.411,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,449.522,,,,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,464.809,"인생최패망자",R,27,88,140,-0.965,-0.512,0.273,2.097,-0.498,1.158,-36.682,49.501,0,0,51.499,-109.607,3.155,0,0,1,1,3,R,"ʚmingɞ",190,84.544,0.353,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,-37.659,0,"Kr_Luna",0.039,-17.818,0,"별이__",-21.789,-48.481,0,"ke ro",-13.79,-63.692,0,"가앤슬_",19.612,-44.462,0,"NABIMan",7.417,-61.343,0,"-KYU-",36.51,-87.398,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,465.8,,,,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,476.652,"인생최패망자",R,10,74,104,0.268,-1.61,0.414,2.011,0.106,1.137,-36.551,31.585,1,0,0,400,20.545,0,0,0,1,3,R,"ʚmingɞ",190,84.544,0.353,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.377,-37.089,0,"Kr_Luna",0.045,-17.825,0,"별이__",-22.022,-47.5,0,"ke ro",-13.49,-63.643,0,"가앤슬_",19.751,-44.595,0,"NABIMan",7.235,-62.683,0,"-KYU-",36.616,-87.752,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,477.767,,,,0,0
7,1,1,0,0,0,0,2,0,0,0,255,255,255,6,503.121,"인생최패망자",R,28,65,121,9.253,7.454,0.535,2.234,4.081,5.078,-37.344,95.998,1,0,47.74,-52.286,3.953,3.513,-7.09,0,2,2,R,"Ayu_Yua",190,86,0.353,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103,-37.637,0,"Kr_Luna",0.049,-17.832,0,"별이__",-21.713,-47.487,0,"ke ro",-13.707,-64.007,0,"가앤슬_",19.501,-43.659,0,"NABIMan",6.673,-62.843,0,"-KYU-",37.424,-94.304,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
8,1,1,0,0,1,0,2,0,0,0,255,255,255,7,516.799,"인생최패망자",R,34,80,131,1.441,0.977,0.393,2.207,0.477,2.104,-36.869,60.861,4,0,93.432,-90.236,5.908,0,0,1,2,2,R,"Ayu_Yua",190,86,0.353,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,-37.196,0,"Kr_Luna",0.055,-17.838,0,"별이__",-21.124,-45.282,0,"ke ro",-13.672,-63.936,0,"가앤슬_",19.569,-43.871,0,"NABIMan",6.804,-63.507,0,"-KYU-",37.385,-94.35,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,517.844,,,,0,0
9,1,1,0,0,1,1,2,0,0,0,255,255,255,8,529.826,"인생최패망자",R,11,80,113,-0.702,-1.056,0.279,2.032,-0.313,1.184,-36.747,47.814,2,0,0,207.971,6.363,0,0,1,2,2,R,"Ayu_Yua",190,86,0.353,3,70,531.033,255,110,188,110,38,170,129,-30,28.928,0.78,-0.019,-0.057,0,0.384,124.603,-447.133,-170.347,-0.021,-37.08,0,"Kr_Luna",0.049,-17.873,0,"별이__",-22.639,-48.122,0,"ke ro",-12.36,-63.757,0,"가앤슬_",19.522,-43.805,0,"NABIMan",6.653,-63.142,125,"-KYU-",37.483,-94.271,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,530.778,0.067,-19.288,544.111,5,"NABIMan",17.36,-63.479,0,0,585.322,,,,82,2
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,691.021,"Sabo_10",L,32,76,115,-0.051,0.348,-0.566,1.519,0.291,1.646,-36.787,30.018,0,0,-166.971,-97.702,-18.063,0,0,1,0,4,R,"가앤슬_",160,90.351,0.5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.542,-37.692,0,"Metalu",-0.026,-16.533,0,"Ayu_Yua",-21.855,-47.803,0,"ʚmingɞ",-10.503,-57.824,0,"encounter v",20.053,-47,0,"crani",14.025,-61.56,0,"AI",40.902,-90.652,0,"AI",0,-109.842,0,"si_ho",-42.91,-90.194,0,0,0,0,0,0,"",0,0,0,0,692.455,,,,0,0
