id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,256.194,"Pugeuk",R,29,88,140,1.049,0.05,0.137,1.493,0.636,1.45,-36.336,24.222,0,0,-250,-192.092,44.491,-0.199,-10.658,0,0,2,L,"Amellaid",173.3,85,0.353,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,-37.528,0,"Kr_Luna",0.152,-17.875,0,"Rite_",-21.046,-50.344,0,"Ipwn64g",-7.17,-62.512,0,"인생최패망자",19.596,-45.712,0,"meepss",12.041,-56.249,0,"AI",40.9,-90.65,0,"아침땅_",12.27,-106.558,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,268.105,"Pugeuk",R,2,70,99,3.71,1.416,0.678,1.566,2.347,1.988,-36.993,61.373,1,0,-351.391,-312.348,71.426,0,0,0,0,2,L,"Amellaid",173.3,85,0.353,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.534,-38.117,0,"Kr_Luna",0.164,-17.895,0,"Rite_",-20.199,-48.395,0,"Ipwn64g",-8.522,-64.022,0,"인생최패망자",20.338,-46.554,0,"meepss",10.391,-53.552,0,"AI",40.9,-90.65,0,"아침땅_",12.465,-103.636,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,269.615,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,279.92,"Pugeuk",R,6,74,103,-0.826,-1.062,-0.366,1.275,-1.134,1.004,-36.458,14.577,0,0,401.679,0,29.281,0,0,0,0,2,L,"Amellaid",173.3,85,0.353,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.313,-37.899,0,"Kr_Luna",0.069,-17.914,0,"Rite_",-20.336,-48.625,0,"Ipwn64g",-8.877,-62.742,0,"인생최패망자",20.139,-46.322,0,"meepss",10.93,-53.259,0,"AI",40.9,-90.65,0,"아침땅_",12.481,-103.16,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,281.349,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,291.29,"Pugeuk",R,2,83,122,2.795,0.732,0.384,1.555,1.784,1.671,-36.56,30.724,2,0,-390.434,-312.348,55.141,0,0,1,0,2,L,"Amellaid",173.3,85,0.353,3,95,292.234,187,162,98,102,31,170,107,27.57,56.528,0.93,-0.038,-0.015,0,0.133,523.434,-286.224,-22.541,0.072,-37.412,0,"Kr_Luna",0.08,-17.888,0,"Rite_",-20.762,-50.128,0,"Ipwn64g",-8.988,-62.792,0,"인생최패망자",20.128,-46.369,0,"meepss",12.144,-54.824,0,"AI",40.9,-90.65,0,"아침땅_",12.43,-102.225,0,"AI",-40.807,-90.557,0,296.138,67.27,-58.94,0,0,"",0,0,0,0,,,,,1,3
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,306.993,"Pugeuk",R,0,76,115,-3.096,1.764,-0.432,1.947,-1.341,2.593,-36.518,22.055,1,0,3.292,0,37.869,0,0,0,0,2,L,"Amellaid",173.3,85,0.353,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.179,-37.602,0,"Kr_Luna",0.075,-17.875,0,"Rite_",-20.983,-48.914,0,"Ipwn64g",-10.555,-62.481,0,"인생최패망자",17.71,-43.562,0,"meepss",12.053,-54.886,0,"AI",40.9,-90.65,0,"아침땅_",12.308,-103.646,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,308.282,,,,0,0
6,1,1,0,0,2,2,0,0,0,0,255,255,255,5,318.464,"Pugeuk",R,27,90,140,0.674,-0.852,0.066,1.361,0.306,0.982,-36.267,19.914,0,0,-11.136,-142.098,12.549,0,0,1,0,2,L,"Amellaid",173.3,85,0.353,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,-37.265,0,"Kr_Luna",0.08,-17.856,0,"Rite_",-20.419,-48.021,0,"Ipwn64g",-10.309,-62.493,0,"인생최패망자",17.758,-43.804,0,"meepss",11.653,-54.585,0,"AI",40.907,-90.657,0,"아침땅_",12.285,-102.867,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,319.66,,,,0,0
7,1,1,0,0,0,0,1,0,0,0,255,255,255,6,340.353,"Pugeuk",R,3,85,126,0.757,-0.393,0.159,1.448,0.74,1.325,-36.427,18.734,2,0,-467.7,0,37.103,0,0,1,1,4,L,"encounter v",190,80,0.499,3,92,341.499,255,155,116,129,71,170,119,7.308,6.652,0.88,0.011,-0.116,0,0.504,-419.84,-386.093,-179.645,-0.142,-36.824,0,"Kr_Luna",0.057,-17.854,125,"Rite_",-20.932,-48.593,0,"Ipwn64g",-10.67,-62.418,95,"인생최패망자",23.746,-50.248,0,"meepss",12.14,-54.813,0,"AI",40.9,-90.65,0,"아침땅_",16.376,-113.247,105,"AI",-40.8,-90.55,0,342.638,5.227,-57.756,344.882,7,"아침땅_",12.713,-100.503,1,0,352.627,,,,105,2
8,1,1,0,0,0,0,1,1,0,0,4,255,255,7,369.912,"Pugeuk",R,3,84,112,1.157,-0.665,0.319,1.373,0.99,1.215,-36.413,20.22,2,0,-379.345,0,27.172,0,0,1,2,7,R,"ke ro",165.3,80.312,0.346,2,92,371.006,226,158,35,82,74,139,135,-30,-52.312,0.5,-0.015,-0.026,0,0.601,140.571,-562.637,-153.882,-0.382,-37.141,0,"Kr_Luna",0.058,-17.828,0,"Rite_",-20.903,-49.717,0,"Ipwn64g",-6.975,-59.765,0,"인생최패망자",15.912,-46.938,0,"meepss",10.186,-56.824,0,"AI",40.902,-90.652,0,"아침땅_",-8.352,-102.759,0,"AI",-40.802,-90.552,0,370.982,-0.646,-21.147,0,0,"",0,0,0,0,,,,,1,3
9,1,1,0,0,0,1,1,1,0,0,4,255,255,8,385.62,"Pugeuk",R,3,91,117,-0.351,-0.242,0.158,1.492,0.491,1.509,-36.465,9.822,2,1,-393.079,48.207,25.009,0,0,1,2,7,R,"ke ro",165.3,80.312,0.346,2,91,386.721,153,152,62,70,23,162,137,-30,18.624,0.65,-0.032,-0.037,0,0.475,0,0,0,0.086,-37.385,0,"Kr_Luna",0.055,-17.888,0,"Rite_",-22.201,-49.273,0,"Ipwn64g",-5.877,-60.168,0,"인생최패망자",16.767,-47.639,99,"meepss",10.844,-56.194,0,"AI",40.902,-90.652,0,"아침땅_",-10.318,-104.267,0,"AI",-40.802,-90.552,0,386.726,0.325,-21.456,0,0,"",0,0,1,0,,391.286,396.534,,5,2
10,1,1,0,0,0,0,1,0,1,1,255,7,4,9,422.052,"Pugeuk",R,26,87,140,-0.628,-1.836,-0.043,1.196,-0.201,0.389,-36.419,26.965,1,1,-69.257,-172.628,25.688,0,0,0,3,8,L,"Pring__",172.1,94.846,0.477,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,-36.969,0,"Kr_Luna",-0.004,-17.793,112,"Rite_",-21.155,-48.179,0,"Ipwn64g",-6.671,-63.016,0,"인생최패망자",18.958,-39.832,0,"meepss",9.452,-53.405,0,"AI",40.902,-90.652,0,"아침땅_",8.137,-112.724,0,"Yaksok~",17.603,-16.891,0,0,0,0,0,0,"",0,0,0,0,423.293,,424.168,,0,0
