id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,hMoveX,hMoveY,buntGrip,handDist,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,459.624,"si_ho",R,27,103,140,0.575,-1.189,0.027,1.448,0.127,0.783,-36.308,8.333,1,0,109.105,-133.732,19.855,0,0,0,0,4,R,"Cat」",180,95,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128,-37.74,0,"Riyaj",-0.012,-17.179,0,"CAT tourniquet",-20.053,-46.685,0,"별이__",-16.019,-62.567,0,"Slaris",21.641,-50.079,0,"crani",11.324,-63.995,0,"AI",40.9,-90.65,0,"눈꽃",-3.571,-102.575,0,"「론구」",-45.808,-86.889,0,0,0,0,0,0,"",0,0,0,0,453.13,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,473.294,"si_ho",R,0,89,140,0.245,-0.585,0.023,1.587,0.106,1.257,-36.276,5.898,0,0,0,0,14.127,0,0,0,0,4,R,"Cat」",180,95,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132,-36.893,0,"Riyaj",-0.061,-17.146,0,"CAT tourniquet",-20.002,-46.677,0,"별이__",-16.017,-62.553,0,"Slaris",18.767,-49.061,0,"crani",11.265,-63.89,0,"AI",40.9,-90.65,0,"눈꽃",-3.54,-102.526,0,"「론구」",-45.902,-86.917,0,0,0,0,0,0,"",0,0,0,0,466.852,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,488.665,"si_ho",R,34,87,140,0.26,0.413,0.002,1.747,0.008,1.806,-36.183,11.089,0,0,83.953,-49.388,23.54,0,0,0,0,4,R,"Cat」",180,95,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168,-37.328,0,"Riyaj",-0.084,-17.146,0,"CAT tourniquet",-19.966,-46.619,0,"별이__",-16.02,-62.536,0,"Slaris",20.836,-48.303,0,"crani",11.317,-63.99,0,"AI",40.9,-90.65,0,"눈꽃",-3.574,-102.543,0,"「론구」",-45.904,-86.918,0,0,0,0,0,0,"",0,0,0,0,482.119,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,500.334,"si_ho",R,0,84,137,-1.134,-0.347,-0.105,1.628,-0.491,1.397,-36.314,16.836,0,0,0,0,10.656,0,0,0,0,4,R,"Cat」",180,95,0.5,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.115,-37.801,0,"Riyaj",-0.086,-17.116,0,"CAT tourniquet",-19.732,-45.535,0,"별이__",-16.049,-62.59,0,"Slaris",21.653,-49.018,0,"crani",11.305,-63.967,0,"AI",40.9,-90.65,0,"눈꽃",-3.654,-102.579,0,"「론구」",-45.909,-86.922,0,0,0,0,0,0,"",0,0,0,0,493.796,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,522.611,"si_ho",R,3,72,116,-0.805,-0.425,0.014,1.612,0.065,1.36,-36.232,5.383,0,0,-362.108,18.197,32.519,0,0,0,1,2,R,"ʚmingɞ",190,85,0.38,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112,-37.386,0,"Riyaj",-0.078,-17.231,0,"CAT tourniquet",-20.231,-45.341,0,"별이__",-16.118,-62.204,0,"Slaris",21.186,-48.733,0,"crani",11.793,-63.506,0,"AI",40.9,-90.65,0,"눈꽃",-5.718,-103.367,0,"「론구」",-45.925,-86.951,0,0,0,0,0,0,"",0,0,0,0,516.307,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,534.855,"si_ho",R,32,85,139,4.307,0.997,0.388,1.891,1.614,2.225,-36.442,33.178,4,0,151.111,-89.273,0.894,0.591,-20.131,1,1,2,R,"ʚmingɞ",190,85,0.38,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.344,-36.982,0,"Riyaj",0.053,-17.197,0,"CAT tourniquet",-20.105,-46.757,0,"별이__",-16.095,-62.139,0,"Slaris",21.133,-48.786,0,"crani",11.449,-63.056,0,"AI",40.9,-90.65,0,"눈꽃",-6.377,-104.132,0,"「론구」",-45.92,-86.943,0,0,0,0,0,0,"",0,0,0,0,530.507,,,,0,0
7,1,1,0,0,0,2,1,0,0,0,255,255,255,6,549.872,"si_ho",R,3,78,117,-2.943,-0.022,-0.114,1.685,-0.529,1.597,-36.366,11.082,1,0,-452.651,0,32.99,0,0,0,1,2,R,"ʚmingɞ",190,85,0.38,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,-37.56,0,"Riyaj",-0.104,-17.231,0,"CAT tourniquet",-19.954,-46.933,0,"별이__",-16.658,-61.715,0,"Slaris",20.936,-48.944,0,"crani",11.46,-63.107,0,"AI",40.9,-90.65,0,"눈꽃",-6.357,-104.126,0,"「론구」",-45.926,-86.937,0,0,0,0,0,0,"",0,0,0,0,543.519,,,,0,0
8,1,1,0,0,1,2,1,0,0,0,255,255,255,7,562.235,"si_ho",R,32,97,140,3.173,-0.134,0.22,1.648,1.025,1.476,-36.32,13.202,4,0,165.998,-151.655,25.749,0.148,-20.215,1,1,2,R,"ʚmingɞ",190,85,0.38,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,-36.713,0,"Riyaj",-0.018,-17.325,0,"CAT tourniquet",-20.271,-46.498,0,"별이__",-14.961,-61.015,0,"Slaris",20.908,-48.847,0,"crani",11.456,-63.109,0,"AI",40.9,-90.65,0,"눈꽃",-6.401,-104.157,0,"「론구」",-45.916,-86.935,0,0,0,0,0,0,"",0,0,0,0,558.552,,,,0,0
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,583.144,"si_ho",R,10,79,123,2.219,1.442,0.206,1.955,0.96,2.624,-36.369,22.4,2,0,0,253.39,10.51,0,0,1,2,3,R,"Pugeuk",160,86.326,0.404,3,81,584.337,32,10,48,23,19,21,43,-37.147,31.086,-0.73,0.027,0.01,0,0.311,0.183,-36.607,0,"Riyaj",-0.033,-16.969,0,"CAT tourniquet",-20.655,-47.16,0,"별이__",-15.411,-62.635,0,"Slaris",20.894,-48.851,0,"crani",11.147,-64.888,0,"AI",40.9,-90.65,0,"눈꽃",-12.04,-111.378,0,"「론구」",-45.935,-86.876,0,576.619,-0.432,-20.424,580.507,2,"CAT tourniquet",-13.835,-43.512,1,0,,,,,9,2
10,1,1,0,0,0,0,2,1,0,0,3,255,255,9,611.889,"si_ho",R,32,90,140,1.651,0.311,0.109,1.705,0.508,1.66,-36.368,13.115,4,0,183.765,-172.526,20.307,0,0,1,3,1,L,"하루（Haru）",190,90.328,0.503,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,-36.805,0,"Riyaj",0.231,-17.433,0,"CAT tourniquet",-19.839,-45.589,0,"별이__",-5.108,-63.528,0,"Slaris",21.617,-48.61,0,"crani",7.026,-62.378,0,"AI",40.9,-90.65,0,"눈꽃",0.827,-111.488,0,"「론구」",-43.54,-82.116,0,0,0,0,0,0,"",0,0,0,0,605.474,615.21,,,0,0
