id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,330.358,"Sabo_10",L,32,88,140,-0.109,0.723,-0.568,1.369,0.222,1.902,-36.59,28.636,0,0,-198.639,-135.016,-38.205,0,0,0,0,5,L,"Amellaid",172.6,85,0.353,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-라후이-",0.039,-17.518,0,"NABIMan",-19.901,-45.232,0,"Megarafa",-15.83,-62.447,0,"_송글_",21.754,-49.582,0,"아침땅_",15.291,-63.452,0,"_이누_",41.921,-88.405,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-7.726,-112.856,0,"すーぱーおもちらんど",-61.201,-94.858,0,0,0,0,0,0,"",0,0,0,0,331.224,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,343.943,"Sabo_10",L,32,83,136,-1.856,0.695,-0.702,1.313,-0.529,1.913,-36.73,39.677,2,0,-181.745,-103.189,-23.012,0,0,1,0,5,L,"Amellaid",172.6,85,0.353,3,71,344.799,255,109,97,92,56,145,83,47.819,28.38,-0.88,0,0.097,427.474,418.098,-8.113,0,0,0,"-라후이-",0.049,-17.978,0,"NABIMan",-20.402,-45.576,88,"Megarafa",-16.834,-62.404,0,"_송글_",21.781,-49.551,0,"아침땅_",15.139,-63.451,0,"_이누_",42.373,-88.328,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-1.988,-113.781,0,"すーぱーおもちらんど",-50.846,-94.915,88,349.49,-32.421,-68.761,350.624,8,"すーぱーおもちらんど",-35.889,-73.557,1,0,,,,,36,2
3,1,1,0,0,0,0,0,1,0,0,5,255,255,2,375.991,"Sabo_10",L,3,84,125,2.071,-0.271,-0.576,1.214,0.325,1.465,-36.665,33.497,1,0,430.748,0,-19.29,0,0,0,1,3,L,"vovopo 보보포",164.7,80,0.599,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-라후이-",0.103,-17.76,120,"NABIMan",-19.712,-41.826,0,"Megarafa",-12.086,-64.83,0,"_송글_",21.059,-50.024,0,"아침땅_",13.132,-61.935,0,"_이누_",49.714,-91.741,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-1.051,-115.016,0,"すーぱーおもちらんど",-54.269,-98.322,0,0,0,0,0,0,"",0,0,0,0,376.957,,,,0,0
4,1,1,0,0,1,0,0,1,0,0,5,255,255,3,388.898,"Sabo_10",L,3,84,129,0.166,-0.081,-0.675,1.14,-0.382,1.573,-36.726,42.571,0,0,307.68,0,-15.312,0,0,0,1,3,L,"vovopo 보보포",164.7,80,0.599,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-라후이-",0.123,-17.727,0,"NABIMan",-19.562,-41.486,0,"Megarafa",-12.793,-64.636,0,"_송글_",21.089,-50.052,0,"아침땅_",12.528,-62.082,0,"_이누_",46.488,-92.597,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-0.077,-118.633,0,"すーぱーおもちらんど",-52.22,-95.825,0,0,0,0,0,0,"",0,0,0,0,389.813,,,,0,0
5,1,1,0,0,1,1,0,1,0,0,5,255,255,4,404.531,"Sabo_10",L,32,82,134,-1.622,0.745,-0.678,1.303,-0.376,1.87,-36.677,38.21,2,0,-240.277,-139.616,-45.573,0,0,1,1,3,L,"vovopo 보보포",164.7,80,0.599,3,71,405.546,255,181,152,69,22,145,83,10.999,13.857,-0.76,0,0.533,42.422,-422.994,-412.725,0,0,0,"-라후이-",0.079,-17.753,0,"NABIMan",-19.626,-43.626,94,"Megarafa",-12.875,-64.784,85,"_송글_",21.071,-50.063,0,"아침땅_",12.666,-62.273,0,"_이누_",46.466,-92.589,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-0.09,-118.611,0,"すーぱーおもちらんど",-53.204,-98.218,0,407.268,-9.31,-63.731,407.724,3,"Megarafa",-8.446,-58.705,0,0,,,,,68,1
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,432.663,"Sabo_10",L,32,89,140,0.39,0.595,-0.531,1.367,0.353,1.956,-36.514,24.889,0,0,-186.209,-49.514,-34.512,0,0,0,2,1,R,"Pugeuk",190,86.173,0.398,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"-라후이-",0.048,-18.007,0,"NABIMan",-21.363,-44.978,0,"Megarafa",-12.778,-65.45,0,"_송글_",20.346,-49.221,0,"아침땅_",12.103,-64.92,0,"_이누_",38.382,-82.126,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-1.525,-113.818,0,"すーぱーおもちらんど",-53.71,-96.605,0,0,0,0,0,0,"",0,0,0,0,433.657,,,,0,0
7,1,1,0,0,0,1,2,0,0,0,255,255,255,6,451.587,"Sabo_10",L,32,86,139,3.469,1.544,-0.446,1.346,1.216,1.699,-36.535,22.142,2,0,-195.294,-139.481,-43.333,0,0,1,2,1,R,"Pugeuk",190,86.173,0.398,3,71,452.665,74,16,72,27,12,95,67,-27.183,1.091,-0.84,0,0.495,-466.558,295.808,136.152,0,0,115,"-라후이-",0.065,-18.107,0,"NABIMan",-21.368,-45.591,0,"Megarafa",-13.268,-65.004,0,"_송글_",21.394,-50.116,0,"아침땅_",11.695,-65.122,0,"_이누_",38.35,-81.914,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-1.011,-113.434,0,"すーぱーおもちらんど",-55.647,-98.809,0,452.202,0.271,-21.262,453.502,-1,"Sabo_10",-0.019,-35.118,0,0,493.957,,,,6,2
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,609.504,"Muna_328",R,28,83,135,-0.779,0.21,0.12,2.25,0.558,2.023,-36.387,42.705,2,0,-15.506,-66.311,3.013,0,0,1,0,9,R,"Yaksok~",166.6,88.455,0.447,3,70,610.335,122,135,87,45,11,137,78,97.673,81.979,-0.81,0,0.569,136.111,-164.894,-39.883,-0.188,-36.618,0,"Pugeuk",-0.01,-17.042,0,"iRFsA",-22.662,-48.302,0,"vovopo 보보포",-15.071,-63.976,0,"mochi_2929",18.079,-48.486,0,"Amellaid",12.209,-60.564,0,"Kr_Luna",24.974,-104.218,0,"하루（Haru）",-1.542,-120.45,0,"meepss",-50.204,-99.072,0,614.657,52.41,-10.569,0,0,"",0,0,0,0,,,,,0,3
9,1,0,0,0,0,1,0,0,0,0,255,255,255,1,628.726,"Muna_328",R,0,78,129,-2.281,0.979,-0.212,2.273,-0.987,2.108,-36.398,44.402,1,0,0,0,3.162,0,0,0,0,9,R,"Yaksok~",166.6,88.455,0.447,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,-37.119,0,"Pugeuk",-0.165,-17.196,0,"iRFsA",-22.738,-48.424,0,"vovopo 보보포",-15.272,-63.936,0,"mochi_2929",19.416,-46.686,0,"Amellaid",13.07,-61.05,0,"Kr_Luna",26.562,-101.998,0,"하루（Haru）",-13.649,-113.508,0,"meepss",-46.591,-96.972,0,0,0,0,0,0,"",0,0,0,0,629.724,,,,0,0
10,1,0,0,0,1,1,0,0,0,0,255,255,255,2,641.241,"Muna_328",R,8,79,116,-0.187,0.243,-0.066,2.17,-0.204,1.704,-36.288,32.185,2,0,76.29,0,4.335,0,0,1,0,9,R,"Yaksok~",166.6,88.455,0.447,3,70,642.105,106,166,106,128,48,137,95,5.043,-5.331,0.9,0,0.513,47.096,311.59,1.011,-0.445,-36.464,0,"Pugeuk",-0.032,-17.115,0,"iRFsA",-22.754,-48.44,0,"vovopo 보보포",-15.288,-63.918,66,"mochi_2929",19.638,-48.184,0,"Amellaid",13.056,-61.02,0,"Kr_Luna",26.554,-101.997,0,"하루（Haru）",-16.899,-114.226,104,"meepss",-46.58,-96.985,0,642.913,2.458,-53.951,646.99,7,"하루（Haru）",5.486,-108.214,1,0,,651.212,,,130,2
