id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,406.955,"Roscosmos",L,32,91,140,0.062,0.344,-0.506,1.29,0.338,1.814,-36.594,27.307,0,0,-250,-19.662,-0.239,0,0,0,0,1,R,"Yuume",182.5,93.112,0.544,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.341,-37.35,0,"ᵏᵘʳᵘᵘ",-0.032,-17.21,0,"Łucidツ",-20.969,-46.785,0,"TaeGeuk_",-14.099,-61.713,0,"ʚEveɞ",23.049,-47.775,0,"schmoneymikey",9.773,-60.153,0,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-0.042,-111.875,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,408.739,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,422.48,"Roscosmos",L,32,94,140,0.548,0.444,-0.454,1.359,0.589,1.98,-36.607,14.489,0,0,-250,91.31,-22.173,0,0,1,0,1,R,"Yuume",182.5,93.112,0.544,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.235,-37.572,0,"ᵏᵘʳᵘᵘ",0.01,-17.028,0,"Łucidツ",-21.221,-47.637,0,"TaeGeuk_",-12.986,-60.289,0,"ʚEveɞ",23.056,-47.778,0,"schmoneymikey",9.922,-60.278,0,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-0.479,-111.883,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,424.286,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,437.007,"Roscosmos",L,3,67,112,2.655,0.045,-0.482,1.255,0.456,1.661,-36.528,21.901,4,0,397.836,0,-18.029,0,0,1,0,1,R,"Yuume",182.5,93.112,0.544,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.164,-37.314,0,"ᵏᵘʳᵘᵘ",0.109,-16.988,0,"Łucidツ",-22.558,-48.678,0,"TaeGeuk_",-12.229,-60.694,0,"ʚEveɞ",23.052,-47.755,0,"schmoneymikey",9.481,-57.875,0,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",1.101,-107.537,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,438.953,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,499.102,"Roscosmos",L,35,76,128,-0.042,-0.408,-0.539,1.237,0.191,1.595,-36.51,23.01,2,0,-150.198,200,-13.204,0,0,0,1,3,R,"ke ro",165.2,80,0.346,2,44,500.134,201,116,62,51,45,137,103,-1.455,-18.554,0.9,0,0.464,-88.145,-26.537,-30.729,-0.318,-37.294,0,"ᵏᵘʳᵘᵘ",-0.051,-17.071,0,"Łucidツ",-20.17,-45.378,85,"TaeGeuk_",-13.095,-58.771,0,"ʚEveɞ",22.515,-47.494,0,"schmoneymikey",8.109,-60.979,95,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-0.358,-119.612,0,"AI",-40.8,-90.55,0,500.273,3.828,-32.061,502.046,5,"schmoneymikey",12.034,-56.341,0,2,,,,,44,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,531.422,"Roscosmos",L,3,79,119,1.456,0.316,-0.593,1.185,0.089,1.754,-36.676,26.035,0,0,383.49,-74.224,-1.113,0,0,0,2,0,R,"Roslynn",190,107,0.712,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.289,-37.285,0,"ᵏᵘʳᵘᵘ",0.064,-17.037,100,"Łucidツ",-20.436,-45.664,0,"TaeGeuk_",-14.878,-60.415,0,"ʚEveɞ",21.641,-48.317,0,"schmoneymikey",9.608,-62.308,0,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-8.072,-111.824,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,533.219,,,,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,546.388,"Roscosmos",L,3,71,112,0.504,0.83,-0.716,1.407,-0.63,2.155,-36.496,16.156,2,0,490.637,0,-19.248,0,0,1,2,0,R,"Roslynn",190,107,0.712,2,43,547.733,55,95,112,91,0,96,67,17.689,-6.347,-0.88,0,0.42,0,0,0,-0.264,-37.129,0,"ᵏᵘʳᵘᵘ",-0.082,-17.146,0,"Łucidツ",-19.617,-45.905,0,"TaeGeuk_",-16.013,-60.225,0,"ʚEveɞ",21.665,-48.262,0,"schmoneymikey",8.971,-62.639,0,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",1.719,-110.827,0,"AI",-40.8,-90.55,0,0,0,0,550.606,5,"schmoneymikey",5.718,-59.036,0,0,571.739,,,,77,1
7,1,0,0,0,0,0,0,0,0,0,255,255,255,0,660.912,"Roslynn",R,27,74,113,-0.954,-0.986,-0.194,1.762,-0.606,0.888,-36.356,24.304,2,0,113.945,-138.235,0,0,0,1,0,1,R,"ᵏᵘʳᵘᵘ",167,106.593,0.2,2,42,662.324,79,29,63,89,53,120,78,-48.061,-26.695,-0.18,0,0.406,-575.208,-28.392,31.081,-0.701,-37.107,0,"Yuume",-0.026,-17.216,0,"별이__",-22.601,-48.1,87,"ke ro",-8.974,-66.469,0,"ヒメ__",22.36,-48.365,0,"Cospra",12.79,-61.366,97,"AI",40.9,-90.65,0,"すーぱーおもちらんど",0.363,-114.677,0,"AI",-40.8,-90.55,0,661.966,0.042,-20.064,665.473,5,"Cospra",15.487,-52.631,1,0,,,,,52,2
8,1,0,0,0,0,0,0,1,0,0,11,255,255,1,693.031,"Roslynn",R,0,59,101,-0.825,-1.165,0.006,1.937,-0.359,0.916,-37.035,55.274,1,0,0,0,0,0,0,0,1,4,L,"ʚEveɞ",180,84.6,0.377,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.859,-37.861,0,"Yuume",0.101,-16.871,113,"별이__",-19.838,-40.244,0,"ke ro",-4.571,-62.242,0,"ヒメ__",21.973,-47.352,0,"Cospra",10.773,-63.22,0,"AI",40.9,-90.65,0,"すーぱーおもちらんど",0.59,-107.255,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,694.393,,,,0,0
9,1,0,0,0,1,0,0,1,0,0,11,255,255,2,715.857,"Roslynn",R,41,54,97,-0.578,1.341,-0.109,2.292,-0.389,2.277,-37.043,66.46,2,0,61.9,-87.367,0,0,0,1,1,4,L,"ʚEveɞ",180,84.6,0.377,3,41,716.957,255,137,88,72,30,145,116,25.547,34.604,0.18,0,0.406,155.903,-502.214,-284.749,-1.112,-37.374,0,"Yuume",0.008,-17.095,0,"별이__",-20.277,-41.324,0,"ke ro",-5.045,-64.032,91,"ヒメ__",21.948,-47.44,86,"Cospra",10.069,-62.834,88,"AI",40.9,-90.65,0,"すーぱーおもちらんど",0.442,-110.694,0,"AI",-40.8,-90.55,0,721.446,-48.418,-112.658,727.419,3,"ke ro",-9.706,-70.355,1,2,,723.811,,,46,2
10,1,0,0,0,0,0,1,0,1,0,255,11,255,3,816.131,"Roslynn",R,28,71,111,2.362,0.289,0.271,2.101,0.915,1.675,-36.579,44.577,4,0,18.391,-74.086,0,0.115,-20.566,1,2,2,R,"Łucidツ",166.8,94.771,0.553,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164,-37.613,0,"Yuume",-0.035,-17.294,0,"별이__",-22.819,-47.206,0,"ke ro",-10.646,-64.749,0,"ヒメ__",21.683,-46.734,0,"Cospra",14.216,-60.592,0,"AI",40.9,-90.65,0,"すーぱーおもちらんど",-0.439,-117.554,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,819.179,,,,0,0
11,1,0,0,0,0,1,1,0,1,0,255,11,255,4,837.322,"Roslynn",R,0,70,110,2.248,0.088,0.292,2.102,0.97,1.638,-36.596,47.793,4,0,0,0,0,0,0,1,2,2,R,"Łucidツ",166.8,94.771,0.553,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.148,-37.826,0,"Yuume",0.072,-17.044,0,"별이__",-21.468,-45.108,0,"ke ro",-9.866,-64.917,0,"ヒメ__",21.131,-46.487,77,"Cospra",13.987,-60.801,0,"AI",40.9,-90.65,0,"すーぱーおもちらんど",0.952,-124.154,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,838.713,840.386,,,0,0
12,1,0,0,0,0,2,1,0,1,0,255,11,255,5,869.531,"Roslynn",R,27,75,127,-4.79,-1.281,-0.46,1.915,-2.208,0.724,-36.537,30.105,1,0,88.757,-132.901,0,-0.953,-16.539,0,2,2,R,"Łucidツ",166.8,94.771,0.553,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.566,-38.04,0,"Yuume",-1.442,-15.796,0,"별이__",-21.375,-45.939,0,"ke ro",-10.842,-64.971,0,"ヒメ__",20.279,-44.829,84,"Cospra",8.733,-62.239,0,"AI",40.9,-90.65,0,"すーぱーおもちらんど",0.211,-117.223,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,873.353,872.2,,,0,0
13,1,0,0,0,1,2,1,0,1,0,255,11,255,6,899.519,"Roslynn",R,4,72,106,-1.258,-1.147,0.044,1.774,-0.103,0.965,-36.476,40.927,2,0,-237.263,0,0,0,0,1,2,2,R,"Łucidツ",166.8,94.771,0.553,2,41,900.655,160,75,169,55,58,145,125,-30,40.452,0.48,0,0.252,114.532,-579.592,-98.777,-0.277,-36.815,0,"Yuume",-0.014,-17.093,0,"별이__",-22.335,-46.99,92,"ke ro",-9.849,-61.905,0,"ヒメ__",20.237,-45.906,86,"Cospra",11.087,-61.794,0,"AI",40.907,-90.657,0,"すーぱーおもちらんど",-0.261,-118.581,0,"AI",-40.807,-90.557,0,900.259,-0.978,-21.384,901.806,2,"별이__",-18.25,-41.782,0,0,,,904.594,,28,2
