id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,0,0,0,0,0,0,0,0,0,255,255,255,0,215.646,"Penguin_iDOL",R,0,79,130,-2.28,0.653,0.22,1.638,-1.068,1.953,-36.547,13.594,2,0,46.238,-21.108,0,0,0,1,0,5,L,"Amellaid",172.6,85,0.353,3,52,216.562,237,70,25,20,18,75,64,35.549,-27.36,-0.76,0,0.136,110.142,454.704,167.637,0.193,-37.424,0,"ʚEveɞ",-0.12,-16.644,0,"Sabo_10",-21.986,-51.656,0,"_앰프_",-31.097,-78.595,0,"가앤슬_",21.033,-49.584,0,"SUGUN",11.629,-65.972,85,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-37.569,-85.931,0,220.526,17.022,-63.735,220.926,5,"SUGUN",16.449,-61.829,0,0,,,,,33,1
2,1,0,0,0,0,0,1,0,0,0,255,255,255,1,257.778,"Penguin_iDOL",R,34,87,140,0.979,1.759,0.261,1.452,-0.916,1.264,-36.584,14.61,2,0,96.44,-38.395,0,0,0,1,1,1,L,"Kr_Luna",190,94.714,0.497,3,68,258.546,175,136,98,100,39,145,117,-30,44.93,0.08,0,0.183,-322.935,-58.963,37.431,0.395,-37.166,0,"ʚEveɞ",-0.103,-16.992,0,"Sabo_10",-21.17,-47.59,0,"_앰프_",-13.937,-63.26,91,"가앤슬_",20.63,-47.974,0,"SUGUN",12.084,-62.736,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-37.702,-84.172,94,258.143,-1.62,-21.296,266.093,0,"Penguin_iDOL",-63.482,-92.176,0,0,,,,,100,2
3,1,0,0,0,0,0,1,0,0,0,255,255,255,2,285.37,"Penguin_iDOL",R,10,85,127,0.665,-0.928,0.442,1.519,0.277,1.463,-36.641,31.545,0,0,0,400,0,-0.102,-17.562,1,1,1,L,"Kr_Luna",190,94.714,0.497,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.214,-37.751,0,"ʚEveɞ",-0.151,-16.755,111,"Sabo_10",-19.703,-44.277,0,"_앰프_",-14.396,-61.765,0,"가앤슬_",23.37,-50.597,0,"SUGUN",12.593,-63.079,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-42.251,-84.764,0,0,0,0,0,0,"",0,0,0,0,287.859,,,,0,0
4,1,0,0,0,0,2,1,0,0,0,255,255,255,3,302.337,"Penguin_iDOL",R,16,80,126,-2.087,1.96,0.105,1.862,-0.912,2.676,-36.379,24.56,1,0,0,-174.667,0,0,0,0,1,1,L,"Kr_Luna",190,94.714,0.497,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.378,-37.932,0,"ʚEveɞ",-0.011,-16.941,0,"Sabo_10",-20.718,-44.963,0,"_앰프_",-14.178,-61.332,0,"가앤슬_",23.458,-50.692,0,"SUGUN",12.707,-63.35,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-42.43,-84.95,0,0,0,0,0,0,"",0,0,0,0,303.193,,,,0,0
5,1,0,0,0,1,2,1,0,0,0,255,255,255,4,319.894,"Penguin_iDOL",R,3,80,121,0.594,0.041,0.493,1.541,0.896,1.638,-36.468,22.315,0,0,-403.178,0,0,0,0,1,1,1,L,"Kr_Luna",190,94.714,0.497,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.469,-37.63,0,"ʚEveɞ",-0.052,-17.198,101,"Sabo_10",-20.583,-45.047,0,"_앰프_",-14.18,-61.305,0,"가앤슬_",23.341,-50.566,0,"SUGUN",12.745,-63.471,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-42.236,-84.615,0,0,0,0,0,0,"",0,0,0,0,320.676,,,,0,0
6,1,0,0,0,0,0,2,0,0,0,255,255,255,5,341.765,"Penguin_iDOL",R,28,79,130,1.868,0.02,0.44,1.552,0.647,1.671,-36.483,15.034,4,0,44.11,-52.449,0,-1.287,-19.324,1,2,2,R,"Gonyong",190,80,0.2,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.307,-38.049,0,"ʚEveɞ",-0.004,-17.169,111,"Sabo_10",-20.7,-47.265,0,"_앰프_",-14.885,-62.23,0,"가앤슬_",23.799,-50.202,0,"SUGUN",12.759,-63.907,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-42.474,-84.999,0,0,0,0,0,0,"",0,0,0,0,344.676,,,,0,0
7,1,0,0,0,0,1,2,0,0,0,255,255,255,6,359.511,"Penguin_iDOL",R,10,85,127,0.081,-1.561,0.376,1.41,0.132,1.051,-36.542,19.299,2,0,-70.813,400,0,0,0,1,2,2,R,"Gonyong",190,80,0.2,3,49,360.605,255,144,114,141,67,145,107,0.215,-34.636,0.94,0.095,0.206,-512.989,131.529,-244.769,0.113,-37.296,0,"ʚEveɞ",0.044,-16.995,0,"Sabo_10",-22.095,-49.483,0,"_앰프_",-14.856,-62.103,0,"가앤슬_",23.861,-50.122,89,"SUGUN",12.723,-64.011,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"인생최패망자",-42.448,-85.089,0,359.826,-0.172,-20.754,361.643,4,"가앤슬_",20.641,-51.312,0,0,,,,,46,2
8,2,1,0,0,0,0,0,0,0,0,255,255,255,0,404.18,"白霜らいふ",R,4,76,124,2.579,1.502,0.224,1.637,1.335,2.527,-36.721,62.076,1,0,-156.626,0,-16.262,0,0,0,3,2,L,"Sabo_10",184.6,90,0.549,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.166,-36.861,0,"Kr_Luna",0.07,-17.862,119,"Gonyong",-20.066,-44.964,0,"-라후이-",-11.74,-61.478,0,"_이누_",22.167,-49.618,0,"Amellaid",14.682,-62.937,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,404.809,,,,0,0
9,2,1,0,0,1,0,0,0,0,0,255,255,255,1,416.672,"白霜らいふ",R,33,89,140,0.251,0.019,0.003,1.126,-0.014,1.557,-36.348,21.988,0,0,101.967,-99.818,-32.162,0,0,0,3,2,L,"Sabo_10",184.6,90,0.549,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.009,-36.967,0,"Kr_Luna",0.031,-17.826,114,"Gonyong",-20.194,-45.05,0,"-라후이-",-12.551,-63.16,0,"_이누_",22.528,-50.885,0,"Amellaid",14.671,-62.966,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,417.259,,,,0,0
10,2,1,0,0,1,1,0,0,0,0,255,255,255,2,428.849,"白霜らいふ",R,1,73,112,-1.201,-0.906,0.158,1.371,-0.427,1.377,-36.352,32.511,2,0,0,0,-10.918,0,0,1,3,2,L,"Sabo_10",184.6,90,0.549,2,53,429.873,221,107,113,124,110,145,102,-41.655,-43.705,-0.13,0,0.596,0,0,0,-0.055,-36.966,0,"Kr_Luna",0.024,-17.811,0,"Gonyong",-20.064,-44.974,0,"-라후이-",-12.242,-63.145,0,"_이누_",21.5,-50.071,0,"Amellaid",14.602,-62.986,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,429.093,0.487,-21.621,0,0,"",0,0,0,0,,,,,32,3
