id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,99.394,"Slaris",R,34,91,140,-1.758,-0.173,-0.079,1.959,-0.872,1.436,-36.484,47.449,2,0,93.845,-53.222,14.145,0,0,1,0,7,R,"coder_",169.7,86.044,0.284,3,49,100.424,156,81,153,95,27,145,116,-30,-30.327,0.8,0,0.327,394.421,443.343,74.06,-0.573,-36.283,119,"Megu3568",-0.048,-17.614,0,"가앤슬_",-22.029,-46.999,84,"Yaksok~",-15.801,-61.874,100,"Pring__",16.513,-41.836,0,"muyang_",13.357,-63.478,0,"SUGUN",41.935,-90.3,93,"ke ro",-0.311,-109.079,0,"-라후이-",-42.349,-87.902,0,99.658,0.417,-21.078,103.378,6,"SUGUN",38.338,-83.269,1,0,,,,,153,2
2,1,1,0,0,0,0,0,1,0,0,7,255,255,1,147.074,"Slaris",R,26,93,140,-3.294,-2.654,-0.305,1.717,-1.339,0.013,-36.219,17.3,1,0,-80.061,-159.775,20.634,-0.832,-18.246,0,1,8,L,"ゆっち一",180.4,84.105,0.397,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.502,-37.17,0,"Megu3568",0.847,-20.301,120,"가앤슬_",-19.123,-39.545,0,"Yaksok~",-5.904,-59.01,0,"Pring__",23.197,-49.187,0,"muyang_",13.086,-63.998,0,"SUGUN",42.637,-88.98,0,"ke ro",5.117,-113.537,0,"-라후이-",-38.445,-82.797,0,0,0,0,0,0,"",0,0,0,0,152.245,,,,0,0
3,1,1,0,0,1,0,0,1,0,0,7,255,255,2,166.199,"Slaris",R,28,79,130,-1.14,-0.767,0.031,2.013,-0.909,0.773,-36.504,36.824,2,0,27.944,-58.792,13.46,0,0,1,1,8,L,"ゆっち一",180.4,84.105,0.397,3,75,167.198,202,158,77,93,43,145,116,-30,37.658,0.11,0,0.139,-410.35,87.582,58.851,-0.43,-37.101,0,"Megu3568",-0.109,-17.935,0,"가앤슬_",-19.079,-39.904,70,"Yaksok~",-10.225,-58.12,0,"Pring__",23.36,-49.467,0,"muyang_",14.553,-63.573,0,"SUGUN",43.482,-90.73,0,"ke ro",5.063,-113.357,0,"-라후이-",-39.119,-82.442,99,166.378,-0.953,-20.777,169.512,8,"-라후이-",-40.102,-71.657,1,0,,170.485,175.1,,49,2
4,1,1,0,0,0,0,0,1,0,1,8,255,7,3,196.899,"Slaris",R,6,85,131,-0.278,0.179,-0.083,1.983,-0.441,1.701,-36.55,37.386,2,0,268.16,0,21.665,0,0,1,2,4,R,"인생최패망자",190,80,0.396,3,78,198.012,255,114,120,143,52,145,116,26.592,-18.014,0.16,0,0.341,320.235,45.123,199.234,-0.255,-36.683,0,"Megu3568",-0.15,-18.008,107,"가앤슬_",-19.169,-40.031,0,"Yaksok~",-14.265,-57.688,0,"Pring__",15.032,-37.633,0,"muyang_",4.757,-61.605,0,"SUGUN",44.177,-93.383,0,"ke ro",-0.654,-113.623,98,"-라후이-",-43.629,-84.641,0,202.418,30.824,-120.411,204.565,7,"ke ro",30.272,-125.17,1,0,211.338,200.527,201.331,207.633,329,2
5,1,1,2,0,0,0,0,1,0,0,4,255,255,4,235.525,"Slaris",R,27,97,140,-2.002,-1.782,-0.198,1.828,-0.858,0.482,-36.265,25.206,2,0,-7.34,-116.818,21.315,0,0,1,3,2,L,"-Alta-",170.3,84,0.478,3,37,236.606,255,70,122,95,31,145,115,-30,17.923,0.15,0,0.409,-64.167,539.382,252.489,-0.438,-36.671,0,"Megu3568",-0.121,-17.749,0,"가앤슬_",-19.27,-39.902,0,"Yaksok~",-13.234,-59.431,0,"Pring__",22.9,-49.188,0,"muyang_",14.769,-63.133,0,"SUGUN",42.483,-95.185,88,"ke ro",7.324,-114.423,0,"-라후이-",-39.027,-91.406,0,235.792,-0.502,-19.974,237.685,3,"Yaksok~",-11.846,-54.969,1,0,,242.19,248.843,,137,2
6,1,1,2,0,0,0,0,0,1,1,255,2,4,5,276.392,"Slaris",R,13,62,106,1.859,-0.522,0.353,1.907,1.426,1.641,-36.547,49.382,1,0,-380.842,306.279,-14.272,0.119,-18.851,0,4,5,R,"Gonyong",190,80,0.2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-37.345,0,"Megu3568",0.023,-17.949,120,"가앤슬_",-21.309,-44.997,0,"Yaksok~",-13.72,-60.527,0,"Pring__",21.937,-46.83,0,"muyang_",10.982,-63.479,0,"SUGUN",48.272,-91.3,0,"ke ro",1.898,-114.895,0,"-라후이-",-43.249,-87.943,0,0,0,0,0,0,"",0,0,0,0,278.978,,278.373,,0,0
7,1,1,2,0,1,0,0,0,1,1,255,2,4,6,293.847,"Slaris",R,26,75,127,1.118,0.368,0.22,1.989,0.505,1.904,-36.786,69.986,2,0,-113.588,-194.651,13.768,0,0,0,4,5,R,"Gonyong",190,80,0.2,3,36,294.98,202,151,109,88,29,145,94,53.727,-7.543,-0.64,0.048,0.401,463.645,344.719,-152.354,-0.238,-36.382,0,"Megu3568",-0.037,-17.917,0,"가앤슬_",-21.541,-45.105,0,"Yaksok~",-12.861,-58.969,0,"Pring__",21.057,-46.114,0,"muyang_",11.692,-65.233,0,"SUGUN",48.562,-91.75,0,"ke ro",2.213,-117.517,0,"-라후이-",-43.028,-89.284,0,300.352,4.582,-79.394,300.538,5,"muyang_",4.618,-78.105,0,0,,298.022,296.782,,5,1
8,1,1,2,0,0,0,1,0,1,1,255,2,4,7,329.74,"Slaris",R,28,77,128,2.409,2.607,0.3,1.985,0.974,2.862,-37.003,77.798,4,0,46.827,-86.608,12.44,2.05,-18.286,1,5,3,R,"Rite_",160,80,0.445,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.185,-37.354,0,"Megu3568",-0.001,-17.752,0,"가앤슬_",-20.524,-44.284,0,"Yaksok~",-12.44,-56.056,0,"Pring__",20.048,-44.862,0,"muyang_",12.873,-63.671,0,"SUGUN",45.05,-91.568,0,"ke ro",-0.529,-108.614,0,"-라후이-",-39.013,-79.467,0,0,0,0,0,0,"",0,0,0,0,333.898,,332.217,,0,0
9,1,1,2,0,0,1,1,0,1,1,255,2,4,8,346.44,"Slaris",R,28,83,136,-0.118,-1.176,-0.09,1.819,-0.044,0.863,-36.324,23.37,4,0,-3.686,-90.017,12.43,0,0,1,5,3,R,"Rite_",160,80,0.445,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,-37.15,0,"Megu3568",-0.062,-17.949,0,"가앤슬_",-20.831,-45.025,0,"Yaksok~",-11.5,-56.879,0,"Pring__",20.072,-44.611,0,"muyang_",9.756,-64.615,0,"SUGUN",45.177,-91.677,0,"ke ro",-0.544,-108.616,0,"-라후이-",-39.975,-80.872,0,0,0,0,0,0,"",0,0,0,0,346.872,,,,0,0
10,1,1,2,0,0,2,1,0,1,1,255,2,4,9,360.872,"Slaris",R,13,71,112,-3.773,-1.404,-0.179,1.748,-0.946,1.317,-36.396,21.385,4,0,-390.434,312.348,-10.709,0,0,1,5,3,R,"Rite_",160,80,0.445,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054,-37.228,0,"Megu3568",1.134,-19.257,0,"가앤슬_",-20.789,-45.001,0,"Yaksok~",-14.209,-54.811,0,"Pring__",20.238,-44.107,0,"muyang_",9.744,-64.839,0,"SUGUN",45.998,-93.251,0,"ke ro",-3.407,-108.884,0,"-라후이-",-42.227,-84.172,0,0,0,0,0,0,"",0,0,0,32,361.472,,,,0,0
