id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,429.157,"encounter v",R,32,90,140,78.941,-2.529,0.635,2.358,4.171,4.989,-37.439,81.062,1,0,250,-200,-23.337,7.452,-4.044,0,0,4,R,"인생최패망자",190,80,0.396,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.64,-38.177,0,"Multeinn",4.469,-16.859,0,"Łucidツ",-20.273,-44.025,0,"Ayu_Yua",-14.489,-61.745,0,"Cat」",16.849,-43.352,0,"schmoneymikey",8.013,-57.392,0,"AI",40.9,-90.65,0,"Kr_Luna",7.037,-112.151,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,447.666,"encounter v",R,32,98,140,1.809,0.121,0.67,2.197,0.418,1.482,-36.996,66.592,1,0,250,-200,-8.599,0,0,0,0,4,R,"인생최패망자",190,80,0.396,0,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355,-37.363,0,"Multeinn",0.006,-16.808,0,"Łucidツ",-21.131,-47.276,0,"Ayu_Yua",-13.199,-62.937,0,"Cat」",16.956,-43.525,0,"schmoneymikey",8.057,-59.151,0,"AI",40.902,-90.652,0,"Kr_Luna",6.97,-112.165,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,449.225,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,460.625,"encounter v",R,32,104,140,-0.639,-0.34,0.455,2.108,-0.583,1.193,-36.8,39.442,2,0,214.853,-200,-4.826,0,0,0,0,4,R,"인생최패망자",190,80,0.396,3,89,461.663,235,123,100,136,36,145,116,-15.001,-33.827,0.07,0,0.371,-19.56,16.015,-14.114,0.231,-37.348,0,"Multeinn",-0.066,-16.853,0,"Łucidツ",-22.907,-46.601,86,"Ayu_Yua",-13.187,-62.948,0,"Cat」",16.937,-43.474,85,"schmoneymikey",7.718,-59.032,0,"AI",40.902,-90.652,0,"Kr_Luna",6.905,-112.14,0,"AI",-40.802,-90.552,0,461.803,2.03,-24.256,463.458,4,"Cat」",14.192,-42.4,1,0,,,,,81,2
4,1,1,0,0,0,0,0,1,0,0,4,255,255,3,487.311,"encounter v",R,13,96,126,-2.216,-0.807,0.459,2.158,-0.561,1.355,-36.798,56.508,2,0,-361.546,345.375,-32.653,0,0,1,1,2,L,"Pring__",190,94.846,0.477,3,88,488.187,234,117,131,117,75,145,95,-85.975,85.866,-0.57,0,0.436,-378.838,382.752,43.295,-0.047,-36.859,0,"Multeinn",-0.036,-17.053,0,"Łucidツ",-19.085,-45.369,0,"Ayu_Yua",-8.57,-65.083,0,"Cat」",15.7,-45.207,0,"schmoneymikey",10.258,-59.12,0,"AI",40.902,-90.652,0,"Kr_Luna",7.114,-113.006,0,"AI",-40.802,-90.552,0,488.303,-1.14,-20.446,0,0,"",0,0,0,0,,,,,64,3
5,1,1,0,0,0,1,0,1,0,0,4,255,255,4,502.046,"encounter v",R,32,92,140,0.102,0.696,0.515,2.308,-0.301,1.84,-37.056,77.428,0,0,229.941,-200,-24.505,0,0,1,1,2,L,"Pring__",190,94.846,0.477,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.226,-37.268,0,"Multeinn",-0.076,-16.234,0,"Łucidツ",-20.04,-45.194,0,"Ayu_Yua",-13.269,-64.503,0,"Cat」",15.63,-44.998,0,"schmoneymikey",7.716,-59.582,0,"AI",40.902,-90.652,0,"Kr_Luna",5.444,-125.6,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,503.392,,,,0,0
6,1,1,0,0,0,2,0,1,0,0,4,255,255,5,514.67,"encounter v",R,13,75,114,174.939,227.105,0.256,2.221,16.681,30.049,-37.761,133.622,1,0,-376.771,328.7,-27.746,1.073,37.062,0,1,2,L,"Pring__",190,94.846,0.477,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.315,-39.363,0,"Multeinn",4.548,-13.977,0,"Łucidツ",-20.195,-43.792,0,"Ayu_Yua",-8.1,-62.148,0,"Cat」",15.692,-45.137,0,"schmoneymikey",8.731,-58.557,0,"AI",40.9,-90.65,0,"Kr_Luna",5.309,-125.61,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
7,1,1,0,0,1,2,0,0,1,0,255,4,255,6,540.111,"encounter v",R,32,98,140,-1.751,-1.02,0.344,1.979,-1.097,0.775,-36.601,36.956,2,0,250,-200,-7.46,0,0,1,1,2,L,"Pring__",190,94.846,0.477,3,81,540.961,156,86,115,83,61,145,130,-30,5.752,0.65,0,0.304,-533.193,-181.571,-203.808,-0.193,-36.901,0,"Multeinn",0.02,-16.257,0,"Łucidツ",-18.206,-45.195,0,"Ayu_Yua",-14.218,-63.472,77,"Cat」",15.634,-44.95,0,"schmoneymikey",9.372,-60.912,0,"AI",40.902,-90.652,0,"Kr_Luna",5.489,-125.604,87,"AI",-40.802,-90.552,0,541.014,-0.43,-20.366,545.647,7,"Kr_Luna",-9.501,-115.736,1,0,,,545.84,550.784,76,2
8,1,1,1,0,0,0,0,1,0,0,2,255,255,7,574.854,"encounter v",R,32,89,140,0.966,1.463,0.614,1.906,0.159,2.218,-36.95,80.582,4,0,235.114,-200,-31.699,0.928,-17.915,1,2,3,R,"Cospra",170,94.803,0.5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.094,-37.131,0,"Multeinn",-0.057,-16.785,103,"Łucidツ",-20.314,-43.821,0,"Ayu_Yua",-9.416,-66.231,0,"Cat」",16.048,-44.578,0,"schmoneymikey",7.652,-61.11,0,"AI",40.9,-90.65,0,"Kr_Luna",-14.956,-110.921,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,4,579.236,,,,0,0
9,1,1,1,0,0,1,0,1,0,0,2,255,255,8,594.032,"encounter v",R,32,94,140,1.793,2.019,0.672,1.795,0.428,2.539,-36.902,81.517,2,0,244.466,-200,-27.765,0,0,1,2,3,R,"Cospra",170,94.803,0.5,2,87,595.196,111,46,155,83,45,137,78,99.209,51.659,-0.89,0,0.386,258.329,18.779,-15.952,0.049,-36.568,0,"Multeinn",0.055,-16.74,0,"Łucidツ",-18.574,-44.439,0,"Ayu_Yua",-11.244,-65.213,0,"Cat」",15.917,-44.452,0,"schmoneymikey",7.816,-61.284,0,"AI",40.903,-90.652,0,"Kr_Luna",-12.397,-112.362,0,"AI",-40.803,-90.552,0,601.103,17.273,-4.67,0,0,"",0,0,0,0,,,,,64,3
10,1,1,1,0,0,2,0,1,0,0,3,255,255,9,614.501,"encounter v",R,32,105,140,0.432,-0.015,0.553,1.585,-0.125,1.403,-36.591,47.541,0,0,250,-200,-45.02,-0.223,-18.231,0,2,3,R,"Cospra",170,94.803,0.5,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.282,-37.151,0,"Multeinn",-0.083,-17.347,0,"Łucidツ",-19.637,-42.352,0,"Ayu_Yua",-10.372,-64.529,0,"Cat」",16.496,-44.127,0,"schmoneymikey",5.774,-60.073,0,"AI",40.9,-90.65,0,"Kr_Luna",-16.377,-110.737,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,617.625,619.385,,,0,0
11,1,1,1,0,0,0,1,0,1,0,255,2,255,10,643.952,"encounter v",R,26,101,140,-0.766,-0.58,0.476,1.494,-0.485,1.084,-36.604,43.724,0,0,180.106,-200,-46.86,0,0,0,3,5,L,"Amellaid",172.6,85,0.353,0,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.088,0,"Multeinn",-0.109,-16.692,0,"Łucidツ",-19.285,-43.133,0,"Ayu_Yua",-9.967,-65.053,0,"Cat」",16.564,-44.201,0,"schmoneymikey",9.086,-61.377,0,"AI",40.902,-90.652,0,"Kr_Luna",0.235,-116.033,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,645.247,646.3,,,0,0
