id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,273.119,"Sabo_10",L,28,83,136,4.642,-0.526,-0.222,1.337,2.027,1.228,-36.518,5.565,3,0,-32.633,-79.604,-24.489,0.81,-21.135,0,0,4,R,"Cat」",180,85,0.45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.221,-37.301,0,"Megarafa",1.044,-18.074,0,"AI",-19.583,-45.495,0,"",-12.4,-58.2,0,"NABIMan",20.919,-50.926,0,"편하비_",6.898,-66.553,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,280.098,,,,0,6
2,1,1,0,0,2,0,0,0,0,0,255,255,255,1,300.37,"Sabo_10",L,34,78,129,0.638,0.111,-0.496,1.326,0.391,1.639,-36.522,22.816,0,0,-66.116,-44.851,-17.758,0,0,0,0,4,R,"Cat」",180,85,0.45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.142,-37.202,0,"Megarafa",0.149,-17.182,0,"AI",-19.598,-44.176,0,"",-12.4,-58.2,0,"NABIMan",18.977,-50.723,0,"편하비_",5.898,-66.682,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,302.311,,,,0,0
3,1,1,0,0,2,1,0,0,0,0,255,255,255,2,311.384,"Sabo_10",L,28,83,136,1.187,0.352,-0.445,1.354,0.627,1.736,-36.49,19.401,0,0,-72.983,-99.79,-32.77,0,0,0,0,4,R,"Cat」",180,85,0.45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031,-37.125,0,"Megarafa",0.097,-17.08,0,"AI",-20.45,-44.964,0,"",-12.4,-58.2,0,"NABIMan",19.107,-49.04,0,"편하비_",5.408,-67.153,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,313.111,,,,0,0
4,1,1,0,0,2,2,0,0,0,0,255,255,255,3,322.529,"Sabo_10",L,27,81,132,0.324,0.448,-0.516,1.364,0.297,1.77,-36.502,21.806,0,0,-107.135,-120.423,-50.017,0,0,0,0,4,R,"Cat」",180,85,0.45,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144,-37.094,0,"Megarafa",0.016,-16.987,0,"AI",-19.458,-45.744,0,"",-12.4,-58.2,0,"NABIMan",18.779,-48.812,0,"편하비_",3.716,-66.662,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,324.338,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,342.691,"Sabo_10",L,3,86,128,2.736,0.167,-0.402,1.346,0.828,1.709,-36.432,10.892,1,0,404.871,0,-40.916,2.286,-8.42,0,1,3,L,"Amellaid",173.3,85,0.44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.447,-37.138,0,"Megarafa",0.469,-16.558,0,"AI",-19.67,-44.789,0,"",-12.4,-58.2,0,"NABIMan",20.376,-48.52,0,"편하비_",10.435,-66.055,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,346.391,,,,0,0
6,1,1,0,0,1,0,1,0,0,0,255,255,255,5,356.413,"Sabo_10",L,33,88,140,1.771,0.292,-0.384,1.349,0.913,1.721,-36.5,15.191,4,0,-103.194,-66.525,-38.032,1.107,-18.188,1,1,3,L,"Amellaid",173.3,85,0.44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.062,-37.396,0,"Megarafa",0.507,-17.256,0,"AI",-19.471,-44.952,0,"",-12.4,-58.2,0,"NABIMan",20.583,-48.874,0,"편하비_",13.622,-63.951,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,359.938,,,,0,0
7,1,1,0,0,1,1,1,0,0,0,255,255,255,6,370.26,"Sabo_10",L,3,80,121,3.115,-0.036,-0.599,1.328,0.744,1.594,-36.58,31.985,1,0,381.259,0,-19.272,1.953,-10.082,0,1,3,L,"Amellaid",173.3,85,0.44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218,-37.228,0,"Megarafa",0.748,-16.88,0,"AI",-19.44,-44.226,0,"",-12.4,-58.2,0,"NABIMan",20.236,-48.348,0,"편하비_",13.197,-64.03,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,373.404,,,,0,0
8,1,1,0,0,2,1,1,0,0,0,255,255,255,7,384.407,"Sabo_10",L,3,81,122,0.862,-0.198,-0.532,1.287,-0.244,1.499,-36.538,22.677,0,0,397.922,0,-24.181,0,0,0,1,3,L,"Amellaid",173.3,85,0.44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106,-37.212,0,"Megarafa",0.079,-17.324,0,"AI",-19.236,-46.336,0,"",-12.4,-58.2,0,"NABIMan",20.961,-49.14,0,"편하비_",13.014,-64.049,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,386.044,,,,0,0
9,1,1,0,0,2,2,1,0,0,0,255,255,255,8,399.037,"Sabo_10",L,28,83,135,2.513,0.464,-0.318,1.397,1.164,1.814,-36.513,14.671,4,0,-46.028,-68.076,-41.745,0.994,-5.725,1,1,3,L,"Amellaid",173.3,85,0.44,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.208,-37.198,0,"Megarafa",0.41,-17.048,0,"AI",-18.595,-45.209,0,"",-12.4,-58.2,0,"NABIMan",20.278,-49.828,0,"편하비_",13.797,-62.884,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,402.338,,,,0,0
10,1,1,0,0,0,0,2,0,0,0,255,255,255,9,424.519,"Sabo_10",L,33,78,129,0.997,0.703,-0.558,1.391,0.613,2.067,-36.595,26.905,0,0,-124.545,4.365,-16.96,0,0,0,2,2,R,"Ipwn64g",190,99.696,0.495,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.132,-37.176,0,"Megarafa",0.01,-16.806,0,"AI",-19.925,-44.295,0,"",-12.4,-58.2,0,"NABIMan",18.77,-50.745,0,"편하비_",6.793,-64.669,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,426.418,,,,0,0
