id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,654.611,"눈꽃",R,33,89,140,0.34,0.894,0.145,1.218,0.015,2.154,-36.547,21.759,2,0,109.522,46.883,2.185,0,0,1,0,8,R,"낑깡__",164.8,80,0.398,3,76,655.691,231,81,116,58,33,145,122,28.969,34.16,0.53,0,0.256,277.034,463.918,-253.866,0.168,-37.071,0,"Pring__",-0.109,-16.969,0,"별이__",-22.477,-49.278,0,"Amellaid",-15.855,-62.362,0,"Ayu_Yua",22.735,-51.793,0,"ke ro",10.527,-66.343,0,"레이나2",39.279,-88.641,0,"AI",0,-109.84,0,"Gonyong",-48.199,-86.171,0,662.819,-81.599,-114.001,0,0,"",0,0,0,0,,665.244,669.825,,1,4
2,1,1,1,0,0,0,0,0,0,0,255,255,255,1,707.041,"눈꽃",R,9,68,110,0.21,0.514,-0.088,1.148,-0.525,1.627,-36.594,30.637,0,0,390.434,-312.348,18.118,0,0,0,1,4,L,"encounter v",190,80,0.499,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157,-37.33,0,"Pring__",0.057,-17.1,0,"별이__",-20.831,-48.277,0,"Amellaid",-13.628,-64.738,0,"Ayu_Yua",22.722,-52.052,0,"ke ro",9.107,-65.675,0,"레이나2",38.57,-88.136,0,"AI",0,-109.84,0,"Gonyong",-54.506,-92.426,0,0,0,0,0,0,"",0,0,0,0,708.086,,,,0,0
3,1,1,1,0,0,1,0,0,0,0,255,255,255,2,722.267,"눈꽃",R,2,72,113,0.44,-0.875,0.312,0.923,0.842,0.739,-36.65,36.047,2,0,-390.434,-312.348,-4.727,0,0,1,1,4,L,"encounter v",190,80,0.499,3,39,723.436,255,200,73,119,90,145,111,-30,-35.942,0.92,0,0.587,-78.282,-157.974,-211.483,0.387,-36.846,0,"Pring__",-0.3,-17.162,0,"별이__",-21.305,-48.114,0,"Amellaid",-13.638,-64.716,0,"Ayu_Yua",22.804,-52.145,0,"ke ro",8.838,-65.669,0,"레이나2",40.441,-88.588,84,"AI",0,-109.84,0,"Gonyong",-47.671,-105.554,0,723.119,0.879,-21.994,732.786,6,"레이나2",57.47,-101.161,1,0,,733.308,738.28,,3,2
4,1,1,1,0,0,0,0,0,0,1,255,255,4,3,763.043,"눈꽃",R,32,87,140,-1.081,1.212,-0.018,1.338,-0.763,2.482,-36.548,16.116,4,0,250,134.87,10.377,-0.561,-18.535,1,2,1,L,"Sabo_10",184.673,87.575,0.549,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.016,-37.41,0,"Pring__",-0.326,-17.979,120,"별이__",-21.703,-48.692,0,"Amellaid",-11.608,-65.95,0,"Ayu_Yua",19.062,-42.759,0,"ke ro",11.547,-64.42,0,"레이나2",39.199,-84.858,0,"AI",0,-109.84,0,"Gonyong",16.388,-122.435,0,0,0,0,0,0,"",0,0,0,0,765.646,,765.377,,0,0
5,1,1,1,0,0,1,0,0,0,1,255,255,4,4,782.442,"눈꽃",R,0,77,128,-0.21,-0.713,0.108,1.011,-0.074,1.193,-36.733,44.427,2,0,-13.206,0.053,16.244,0,0,1,2,1,L,"Sabo_10",184.673,87.575,0.549,3,64,783.516,203,99,129,94,23,145,130,-8.71,-19.759,0.59,0,0.401,-295.387,-520.353,13.533,-0.027,-37.113,98,"Pring__",0.226,-17.165,120,"별이__",-21.733,-48.724,0,"Amellaid",-12.126,-65.763,85,"Ayu_Yua",18.94,-40.019,106,"ke ro",11.282,-65.062,99,"레이나2",39.785,-86.932,0,"AI",0,-109.84,0,"Gonyong",19.314,-125.632,0,783.186,1.242,-22.412,784.919,5,"ke ro",13.237,-60.607,1,0,787.275,794.733,799.272,,173,2
6,1,1,1,0,0,0,0,0,1,1,255,1,4,5,823.021,"눈꽃",R,32,82,134,1.292,-0.052,0.175,1.18,0.342,1.656,-36.551,26.387,2,0,174.473,70.14,6.902,0,0,0,3,2,R,"Slaris",190,85.69,0.452,3,63,823.984,250,80,137,102,42,145,90,-12.257,-9.404,-0.81,0,0.224,-188.17,-563.939,-64.578,0.275,-37.09,0,"Pring__",0.011,-16.969,0,"별이__",-20.438,-47.792,87,"Amellaid",-12.262,-63.714,0,"Ayu_Yua",19.117,-40.224,0,"ke ro",14.174,-61.376,0,"레이나2",42.146,-85.513,0,"AI",0,-109.84,0,"Gonyong",-43.162,-109.142,0,823.764,0.917,-23.691,825.697,5,"ke ro",7.311,-57.912,0,8,,,829.906,828.754,97,2
7,1,1,2,0,0,0,1,0,0,1,255,255,1,6,851.577,"눈꽃",R,32,82,134,0.817,0.456,0.104,1.199,0.132,1.842,-36.531,18.85,2,0,182.539,-8.939,12.826,0,0,1,4,3,R,"_앰프_",160,80,0.4,3,63,852.709,255,100,109,61,35,145,80,56.887,32.896,-0.79,0,0.252,117.236,-581.314,73.07,0.056,-37.158,120,"Pring__",-0.095,-17.194,0,"별이__",-21.186,-47.39,0,"Amellaid",-15.144,-64.496,0,"Ayu_Yua",18.843,-40.039,82,"ke ro",11.34,-62.9,0,"레이나2",42.244,-88.466,0,"AI",0,-109.84,0,"Gonyong",-38.234,-85.041,0,857.753,-21.319,-64.725,858.019,3,"Amellaid",-20.863,-63.198,0,0,,,855.501,,13,1
8,1,1,2,0,0,0,2,0,0,1,255,255,1,7,916.307,"눈꽃",R,32,78,129,2.082,0.744,0.228,1.218,0.663,2.051,-36.528,18.284,4,0,183.669,12.474,18.149,1.649,-15.665,1,5,7,L,"하루（Haru）",170,90,0.499,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-37.242,0,"Pring__",0.067,-16.839,120,"별이__",-21.541,-47.648,0,"Amellaid",-13.689,-64.152,0,"Ayu_Yua",19.195,-42.82,0,"ke ro",10.818,-64.41,0,"레이나2",38.714,-87.35,0,"AI",0,-109.84,0,"Gonyong",-46.606,-72.37,0,0,0,0,0,0,"",0,0,0,0,921.086,,918.478,,0,0
9,1,1,2,0,0,1,2,0,0,1,255,255,1,8,937.9,"눈꽃",R,3,84,124,0.539,-1.138,0.382,0.954,1.014,0.982,-36.665,33.791,4,0,-490.913,0,-7.36,0,0,1,5,7,L,"하루（Haru）",170,90,0.499,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,-37.691,0,"Pring__",0.01,-17.075,120,"별이__",-20.98,-46.274,0,"Amellaid",-13.759,-64.222,0,"Ayu_Yua",19.489,-41.024,0,"ke ro",10.516,-63.174,0,"레이나2",38.713,-87.378,0,"AI",0,-109.84,0,"Gonyong",-46.562,-72.362,0,0,0,0,0,0,"",0,0,0,0,938.886,,940.04,,0,0
10,1,1,2,0,0,2,2,0,0,1,255,255,1,9,953.58,"눈꽃",R,33,86,140,-1.184,1.94,-0.011,1.372,-0.705,2.785,-36.534,11.963,4,0,141.646,69.443,11.915,0,0,1,5,7,L,"하루（Haru）",170,90,0.499,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,-37.106,0,"Pring__",0.007,-17.034,0,"별이__",-21.305,-46.549,0,"Amellaid",-13.771,-64.152,0,"Ayu_Yua",18.561,-40.247,0,"ke ro",10.178,-64.513,0,"레이나2",38.201,-86.7,0,"AI",0,-109.84,0,"Gonyong",-46.622,-72.362,0,0,0,0,0,0,"",0,0,0,0,954.497,,,,0,0
