id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,285.591,"Penguin_iDOL",R,26,80,131,1.007,0.571,0.257,1.906,0.501,1.666,-36.418,24.637,2,0,-48.847,-200,0,0,0,1,0,1,R,"Gonyong",160,80,0.2,3,44,286.668,255,100,80,41,10,140,119,114.518,-58.268,0.48,0.039,0.297,-202.104,540.498,-159.742,0.525,-36.979,0,"Łucidツ",0.127,-17.202,0,"Saƅer",-22.605,-52.042,0,"柴山犬吉",-12.825,-65.245,0,"_이누_",18.255,-49.318,0,"Rite_",17.735,-62.411,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",-0.308,-104.777,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,305.173,"Penguin_iDOL",R,10,68,99,-1.45,-1.479,0.019,1.851,-0.401,1.522,-36.378,13.115,4,0,-111.237,400,0,0,0,1,0,1,R,"Gonyong",160,80,0.2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-37.403,0,"Łucidツ",-1.566,-17.854,0,"Saƅer",-22.102,-50.509,0,"柴山犬吉",-12.791,-65.264,0,"_이누_",16.687,-47.103,0,"Rite_",11.045,-65.373,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",-0.247,-103.053,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,306.816,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,321.032,"Penguin_iDOL",R,26,83,136,-1.182,1.473,0.063,2.046,-0.4,2.203,-36.381,30.23,4,0,-85.124,-150.192,0,0,0,1,0,1,R,"Gonyong",160,80,0.2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104,-37.562,0,"Łucidツ",-1.63,-17.645,0,"Saƅer",-21.978,-48.701,0,"柴山犬吉",-12.679,-65.298,0,"_이누_",17.704,-50.705,0,"Rite_",10.642,-66.838,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",-0.245,-103.06,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,322.443,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,344.324,"Penguin_iDOL",R,13,67,97,0.606,-0.893,0.446,1.956,0.801,1.64,-36.585,34.144,2,0,-298.612,367.87,0,0,0,1,1,8,L,"-Alta-",169.6,84,0.478,3,38,345.54,173,171,99,126,73,145,109,-15.001,17.155,0.9,0,0.429,-526.91,-151.461,236.306,0.112,-37.021,0,"Łucidツ",0.076,-17.085,0,"Saƅer",-22.464,-50.082,81,"柴山犬吉",-12.664,-65.332,99,"_이누_",21.023,-50.968,0,"Rite_",14.847,-64.35,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",0.639,-103.46,0,"AI",-40.8,-90.55,0,345.176,-0.57,-22.825,346.963,3,"柴山犬吉",-12.161,-59.709,0,0,,,,,35,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,370.144,"Penguin_iDOL",R,26,93,140,1.567,-0.231,0.278,1.798,0.602,1.315,-36.476,20.643,1,0,62.48,-166.793,0,0,0,0,2,4,R,"すーぱーおもちらんど",190,80,0.398,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.304,-37.512,0,"Łucidツ",0.035,-17.439,120,"Saƅer",-23.102,-49.928,0,"柴山犬吉",-13.127,-65.017,0,"_이누_",19.06,-50.021,0,"Rite_",9.898,-66.431,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",0.566,-99.063,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,371.549,,,,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,390.795,"Penguin_iDOL",R,10,74,116,-3.034,-1.631,-0.112,1.798,-1.316,1.052,-36.537,22.503,2,0,0,400,0,0,0,0,2,4,R,"すーぱーおもちらんど",190,80,0.398,2,92,391.88,186,87,89,84,38,145,87,-30,52.837,1,0,0.182,0,0,0,-0.021,-36.935,0,"Łucidツ",-0.269,-17.184,0,"Saƅer",-24.064,-51.094,0,"柴山犬吉",-13.101,-64.973,0,"_이누_",17.355,-53.237,0,"Rite_",10.203,-66.642,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",0.561,-99.066,0,"AI",-40.8,-90.55,0,391.469,-1.419,-21.39,0,0,"",0,0,0,0,,,,,1,3
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,408.272,"Penguin_iDOL",R,26,80,131,1.195,1.793,0.303,2.17,0.556,2.551,-36.687,51.376,2,0,-29.661,-183.118,0,0,0,0,2,4,R,"すーぱーおもちらんど",190,80,0.398,2,92,409.352,21,11,13,5,0,3,43,100.535,75.304,0.81,0,0.177,0,0,0,0.316,-36.872,0,"Łucidツ",-0.132,-17.189,0,"Saƅer",-22.995,-50.576,0,"柴山犬吉",-13.427,-64.675,0,"_이누_",17.589,-51.428,0,"Rite_",9.734,-66.086,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",-12.455,-97.01,0,"AI",-40.8,-90.55,0,413.216,21.77,-14.948,0,0,"",0,0,0,0,,,,,1,3
8,1,1,0,0,0,2,2,0,0,0,255,255,255,7,439.449,"Penguin_iDOL",R,14,77,115,3.834,-1.326,0.306,1.826,0.931,1.258,-36.504,26.693,4,0,359.988,346.999,0,0.186,-20.841,1,2,4,R,"すーぱーおもちらんど",190,80,0.398,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,-37.515,0,"Łucidツ",0.445,-18.773,0,"Saƅer",-21.716,-47.778,0,"柴山犬吉",-13.046,-64.968,0,"_이누_",19.674,-49.343,0,"Rite_",10.914,-65.427,0,"AI",40.9,-90.65,0,"˗ˋˏ 카피 ˎˊ˗",0.161,-97.064,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,442.389,,,,0,0
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,537.443,"Roslynn",R,14,57,90,1.169,0.899,-0.053,2.288,-0.123,2.679,-36.829,58.566,0,0,301.184,338.367,0,0,0,0,0,5,R,"Rite_",166.5,80,0.405,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.118,-37.134,0,"Gonyong",0.023,-17.035,0,"ᵏᵘʳᵘᵘ",-18.101,-48.952,0,"M a x ღ",-10.753,-59.352,0,"すーぱーおもちらんど",20.741,-45.774,0,"schmoneymikey",11.107,-59.073,0,"YukihiroD",48.066,-100.886,0,"AI",0,-109.84,0,"-Alta-",-44.065,-90.084,0,0,0,0,0,0,"",0,0,0,0,538.789,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,552.236,"Roslynn",R,26,78,129,-0.096,1.019,-0.088,1.951,-0.069,1.934,-36.526,55.904,2,0,20.378,-200,0,0,0,0,0,5,R,"Rite_",166.5,80,0.405,2,36,553.327,192,120,101,95,77,145,84,52.512,39.696,-0.74,0,0.391,233.408,312.932,-53.842,0.056,-36.744,0,"Gonyong",-0.006,-17.072,0,"ᵏᵘʳᵘᵘ",-21.91,-47.421,73,"M a x ღ",-10.518,-58.614,0,"すーぱーおもちらんど",20.805,-45.815,0,"schmoneymikey",11.664,-58.757,0,"YukihiroD",48.297,-100.729,0,"AI",0,-109.84,0,"-Alta-",-44.559,-90.882,0,558.189,-41.227,-61.726,559.243,8,"-Alta-",-45.079,-65.23,1,0,,,,,146,2
