id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,404.862,"muyang_",R,14,61,92,0.648,-1.397,-0.355,1.676,-0.249,1.451,-37.006,35.163,4,0,254.838,396.433,0.375,0,0,1,0,5,R,"편하비_",176.9,94.705,0.605,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.518,-37.389,0,"-라후이-",-0.265,-17.807,0,"Ayu_Yua",-22.064,-49.682,0,"Rite_",-13.219,-62.698,0,"인생최패망자",16.484,-45.408,0,"Gonyong",7.203,-59.36,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-42.438,-84.239,0,0,0,0,0,0,"",0,0,0,0,406.198,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,421.926,"muyang_",R,3,64,96,-2.245,-0.023,-0.019,1.528,-0.041,1.623,-37.169,56.978,1,0,-390.837,0,9.6,0,0,0,0,5,R,"편하비_",176.9,94.705,0.605,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.287,-37.81,0,"-라후이-",-0.251,-17.761,0,"Ayu_Yua",-21.162,-48.142,0,"Rite_",-13.1,-61.307,0,"인생최패망자",17.115,-46.094,0,"Gonyong",9.524,-58.457,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-42.284,-84.198,0,0,0,0,0,0,"",0,0,0,0,423.276,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,435.529,"muyang_",R,3,48,83,0.903,-0.07,0.371,1.409,1.384,1.429,-37.091,57.993,0,0,-368.253,-108.681,11.567,0,0,0,0,5,R,"편하비_",176.9,94.705,0.605,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,-37.732,0,"-라후이-",0.248,-17.728,0,"Ayu_Yua",-21.145,-48.129,0,"Rite_",-13.26,-61.467,0,"인생최패망자",16.511,-45.34,0,"Gonyong",9.329,-58.408,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-42.425,-84.254,0,0,0,0,0,0,"",0,0,0,0,436.998,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,450.545,"muyang_",R,14,71,101,-1.869,-0.392,-0.383,1.634,-1.188,2.056,-37.021,37.505,1,0,176.983,400,5.79,0,0,0,0,5,R,"편하비_",176.9,94.705,0.605,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.442,-37.633,0,"-라후이-",-0.266,-17.799,0,"Ayu_Yua",-21.266,-48.007,0,"Rite_",-13.273,-61.408,0,"인생최패망자",16.552,-45.391,0,"Gonyong",9.384,-58.526,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-42.44,-84.311,0,0,0,0,0,0,"",0,0,0,0,451.832,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,465.294,"muyang_",R,3,54,88,-0.83,-0.282,0.105,1.493,0.677,1.478,-37.136,61.645,0,0,-400,0,15.139,0,0,1,0,5,R,"편하비_",176.9,94.705,0.605,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.493,-37.666,0,"-라후이-",-0.269,-17.75,0,"Ayu_Yua",-21.102,-47.772,0,"Rite_",-13.248,-61.4,0,"인생최패망자",18.057,-44.097,0,"Gonyong",9.464,-58.759,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-43.243,-83.564,0,0,0,0,0,0,"",0,0,0,0,466.632,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,491.763,"muyang_",R,3,44,80,-0.753,-0.494,0.182,1.331,0.563,1.358,-37.06,44.676,0,0,-363.636,-0.853,-2.729,0,0,0,1,3,R,"白霜らいふ",179.9,80,0.646,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.241,-38.015,0,"-라후이-",0.189,-17.769,0,"Ayu_Yua",-21.329,-48.094,0,"Rite_",-15.181,-62.239,0,"인생최패망자",17.356,-45.379,0,"Gonyong",9.364,-58.843,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-43.207,-83.585,0,0,0,0,0,0,"",0,0,0,0,493.543,,,,0,0
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,506.958,"muyang_",R,14,78,104,0.869,-0.717,-0.105,1.45,-0.325,1.629,-36.702,25.643,2,0,369.138,312.348,20.964,0,0,0,1,3,R,"白霜らいふ",179.9,80,0.646,3,61,508.134,255,166,102,106,66,145,128,26.701,8.979,0.39,0,0.627,411.042,140.095,257.973,-0.318,-37.21,0,"-라후이-",0.24,-17.835,0,"Ayu_Yua",-21.342,-48.132,0,"Rite_",-15.294,-62.368,75,"인생최패망자",17.266,-45.165,0,"Gonyong",9.422,-58.778,70,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-43.224,-83.542,0,513.698,-21.075,-131.563,518.487,3,"Rite_",-5.821,-81.215,1,0,,518.205,,,52,2
8,1,1,0,0,0,0,1,0,1,0,255,3,255,7,548.814,"muyang_",R,3,45,81,-2.628,-0.013,-0.092,1.447,-0.285,1.625,-36.962,30.622,2,0,-368.182,0,-20.697,0,0,1,2,4,L,"-Alta-",190,84,0.478,3,61,550.168,255,145,125,111,51,145,108,11.722,-5.745,0.02,0,0.482,-218.02,-540.855,-132.474,-0.333,-37.922,0,"-라후이-",-0.247,-18.105,0,"Ayu_Yua",-21.382,-48.019,0,"Rite_",-15.149,-61.316,0,"인생최패망자",17.53,-43.314,86,"Gonyong",9.368,-61.737,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-42.87,-82.563,0,552.509,10.486,-81.757,562.898,4,"인생최패망자",20.086,-54.765,1,0,,552.746,557.694,562.567,34,2
9,1,1,1,0,0,0,1,0,1,0,255,4,255,8,591.972,"muyang_",R,13,64,94,-0.843,-1.545,0.036,1.488,0.218,1.23,-37.081,39.705,1,0,-278.803,378.887,-20.231,0,0,0,3,1,L,"Kr_Luna",190,94.714,0.497,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.23,-37.928,0,"-라후이-",0.109,-17.645,120,"Ayu_Yua",-21.418,-47.921,0,"Rite_",-10.977,-63.941,0,"인생최패망자",19.517,-41.812,0,"Gonyong",13.179,-61.628,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-48.668,-91.399,0,0,0,0,0,0,"",0,0,0,0,593.276,,,,0,0
10,1,1,1,0,1,0,1,0,1,0,255,4,255,9,609.136,"muyang_",R,6,56,89,5.127,-1.03,0.221,1.383,1.128,1.003,-37.118,45.878,4,0,404.546,0,42.54,0,0,0,3,1,L,"Kr_Luna",190,94.714,0.497,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.298,-37.619,0,"-라후이-",0.17,-17.689,0,"Ayu_Yua",-21.422,-47.929,0,"Rite_",-10.467,-64.122,0,"인생최패망자",19.487,-41.548,0,"Gonyong",13.17,-61.577,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"「론구」",-50.292,-93.846,0,0,0,0,0,0,"",0,0,0,0,610.42,,,,0,0
