id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,2,1,1,1,1,0,1,5,255,7,398.646,"NABIMan",R,0,78,128,0.474,0.007,0.12,1.898,0.264,1.6,-36.537,32.394,2,0,-39.943,0,8.432,0,0,1,3,2,L,"Pring__",190,94.507,0.484,3,0,399.502,179,151,109,93,82,145,130,28.881,-17.543,0.51,0,0.565,234.41,255.532,-56.763,-0.246,-36.811,0,"소솨소솨",-0.037,-17.128,0,"Amellaid",-21.382,-46.208,0,"-라후이-",-1.639,-61.302,0,"「론구」",23.684,-53.252,0,"Pugeuk",12.524,-63.577,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,404.935,26.936,-128.326,411.013,3,"-라후이-",0.733,-61.269,1,0,,404.464,404.527,408.975,9,2
2,1,1,1,0,0,0,1,0,1,1,255,2,1,8,444.099,"NABIMan",R,0,40,100,1.07,0.151,0.1,1.873,0.463,1.709,-36.358,26.047,2,0,0,0,-32.22,0,0,0,4,4,L,"Kr_Luna",190,94.714,0.497,3,61,445.035,190,116,68,110,69,141,106,25.114,-31.665,0.9,0,0.085,234.41,255.532,-56.763,0.07,-36.39,0,"소솨소솨",-0.014,-17.062,0,"Amellaid",-21.444,-46.155,0,"-라후이-",-11.166,-63.02,0,"「론구」",23.504,-50.132,0,"Pugeuk",12.825,-63.722,93,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,449.257,46.557,-99.057,453.49,5,"Pugeuk",19.483,-75.778,0,0,,450.547,451.975,,33,1
3,1,1,1,0,0,0,2,0,1,1,255,2,1,9,474.17,"NABIMan",R,27,93,140,0.479,-0.571,0.02,1.696,0.095,1.135,-36.351,15.494,2,0,103.776,-132.972,21.729,0,0,0,5,0,R,"인생최패망자",190,80,0.298,3,60,475.289,178,127,77,94,45,145,130,-30,-29.279,0.38,0,0.278,-568.311,-188.802,13.302,0.269,-36.851,0,"소솨소솨",-0.227,-17.408,0,"Amellaid",-23.291,-47.891,0,"-라후이-",-2.444,-60.19,86,"「론구」",22.735,-49.959,0,"Pugeuk",12.553,-63.08,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,475.068,0.59,-20.256,481.513,3,"-라후이-",5.174,-62.637,0,0,,,480.687,480.78,9,2
4,1,1,2,0,0,0,2,0,1,1,255,2,1,10,500.248,"NABIMan",R,10,74,116,0.265,-0.325,0.048,1.972,0.114,1.885,-36.57,32.223,2,0,0,400,12.346,0,0,0,0,3,R,"_송글_",172.2,92,0.315,3,57,501.245,148,204,79,107,107,145,128,11.042,-11.862,0.5,0,0.328,-565.682,50.152,-181.691,-0.019,-36.62,0,"소솨소솨",-0.067,-17.4,108,"Amellaid",-22.123,-46.695,0,"-라후이-",-11.035,-63.806,111,"「론구」",23.178,-51.784,0,"Pugeuk",9.26,-62.907,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,503.013,13.166,-84.1,512.424,3,"-라후이-",-9.453,-62.671,1,0,515.035,505.032,509.814,507.203,59,2
5,1,1,4,0,0,0,2,0,1,0,255,0,255,11,578.075,"NABIMan",R,1,30,94,1.476,0.185,0.089,1.969,0.414,2.049,-36.42,25.762,2,0,0,0,7.248,0,0,1,0,5,R,"ByeolBam",175,90,0.5,6,68,579.184,255,255,255,255,255,145,83,-42.499,14.869,-0.94,0,0.692,-562.982,204.116,22.095,-0.091,-36.906,0,"소솨소솨",-0.084,-17.205,0,"Amellaid",-22.452,-47.742,94,"-라후이-",-12.056,-64.853,0,"「론구」",23.843,-53.713,0,"Pugeuk",8.97,-62.82,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,578.913,-0.008,-21.922,581.59,3,"-라후이-",-8.209,-55.495,0,0,,,583.512,,44,2
6,1,0,4,0,0,0,0,0,0,0,255,255,255,0,647.567,"인생최패망자",R,26,83,136,0.772,-0.263,0.612,2.101,0.267,1.254,-36.724,53.043,2,0,41.381,-174.955,8.99,0,0,1,0,4,R,"「론구」",173.7,80,0.2,3,55,648.662,189,97,106,85,59,145,89,-88.896,-87.817,-0.61,0,0.169,-280.333,-206.267,13.789,0.285,-37.176,0,"IbikiKai_JP",0.012,-17.011,0,"Pring__",-23.674,-50.474,0,"_송글_",-9.297,-65.508,0,"Kr_Luna",19.09,-51.69,0,"Ayu_Yua",13.496,-64.031,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,648.301,0.491,-19.752,0,0,"",0,0,0,0,,,,,32,3
7,1,0,4,0,0,1,0,0,0,0,255,255,255,1,665.288,"인생최패망자",R,10,60,95,-1.931,-0.155,0.316,2.314,-0.847,2.101,-37.191,81.865,1,0,0,306.235,4.83,0,0,0,0,4,R,"「론구」",173.7,80,0.2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106,-37.858,0,"IbikiKai_JP",-0.188,-17.184,0,"Pring__",-23.094,-48.977,0,"_송글_",-9.241,-64.957,0,"Kr_Luna",18.835,-50.725,0,"Ayu_Yua",14.351,-64.339,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,666.624,,,,0,0
8,1,0,4,0,1,1,0,0,0,0,255,255,255,2,679.218,"인생최패망자",R,27,78,129,3.486,0.909,0.783,2.157,1.3,2.067,-37.066,75.941,4,0,84.693,-108.982,2.837,-0.272,-21.584,1,0,4,R,"「론구」",173.7,80,0.2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.39,-37.782,0,"IbikiKai_JP",0.04,-17.464,0,"Pring__",-22.974,-48.488,0,"_송글_",-12.274,-63.675,0,"Kr_Luna",18.756,-51.249,0,"Ayu_Yua",12.065,-65.227,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,683.701,,,,0,0
9,1,0,4,0,1,2,0,0,0,0,255,255,255,3,696.514,"인생최패망자",R,10,77,106,-0.45,-1.512,0.492,2.096,-0.16,1.344,-36.862,57.226,1,0,-23.511,400,12.802,0,0,0,0,4,R,"「론구」",173.7,80,0.2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122,-37.863,0,"IbikiKai_JP",-0.06,-17.934,0,"Pring__",-22.761,-48.125,0,"_송글_",-12.359,-63.858,0,"Kr_Luna",18.987,-51.065,0,"Ayu_Yua",12.079,-65.246,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,697.768,,,,0,0
10,1,0,4,0,2,2,0,0,0,0,255,255,255,4,710.649,"인생최패망자",R,10,59,93,0.568,0.61,0.465,2.41,0.236,2.74,-37.244,81.099,0,0,0,400,-2.205,0,0,0,0,4,R,"「론구」",173.7,80,0.2,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.343,-37.89,0,"IbikiKai_JP",-0.011,-17.842,0,"Pring__",-22.454,-46.467,0,"_송글_",-12.382,-63.828,0,"Kr_Luna",18.442,-51.946,0,"Ayu_Yua",12.062,-65.253,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,712.002,,,,0,0
