id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,278.853,"CAT tourniquet",L,32,90,140,3.735,-0.58,0.218,1.521,1.916,1.208,-36.608,17.106,2,0,-250,-59.395,-16.51,0,0,1,0,4,R,"레이나2",179.9,85.17,0.353,2,50,279.931,159,64,74,46,0,138,81,-56.9,-49.338,-0.9,0,0.159,0,0,0,-0.091,-37.272,0,"소솨소솨",-0.043,-17.206,0,"si_ho",-21.236,-44.796,0,"ًً미소",-10.488,-64.484,0,"Amellaid",23.392,-48.661,0,"白霜らいふ",13.698,-63.629,0,"「론구」",43.195,-90.636,0,"Cat」",-0.981,-111.236,0,"k@ster",-40.72,-84.954,0,279.85,1.192,-19.929,0,0,"",0,0,0,0,,,,,2,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,297.955,"CAT tourniquet",L,32,77,128,-0.557,-0.683,0.028,1.518,0.129,1.203,-36.486,10.363,0,0,-250,5.576,-6.242,-0.469,-18.318,0,0,4,R,"레이나2",179.9,85.17,0.353,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.229,-37.183,0,"소솨소솨",-0.15,-17.725,0,"si_ho",-20.882,-44.357,0,"ًً미소",-10.964,-63.561,0,"Amellaid",23.017,-46.296,0,"白霜らいふ",15.534,-62.475,0,"「론구」",45.611,-90.504,0,"Cat」",-0.482,-109.189,0,"k@ster",-42.964,-82.143,0,0,0,0,0,0,"",0,0,0,0,300.716,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,318.848,"CAT tourniquet",L,13,79,118,0.371,0.819,-0.127,1.826,-0.35,2.524,-36.703,18.647,2,0,298.88,339.694,-7.831,0,0,1,0,4,R,"레이나2",179.9,85.17,0.353,2,50,320.005,155,58,110,57,26,145,95,32.773,14.754,-0.4,0,0.196,47.24,-4.63,-15.739,-0.027,-37.402,0,"소솨소솨",-0.103,-17.226,0,"si_ho",-20.933,-44.405,0,"ًً미소",-10.786,-63.152,99,"Amellaid",23.102,-46.326,0,"白霜らいふ",15.538,-62.467,0,"「론구」",45.484,-90.474,100,"Cat」",-0.479,-109.051,42,"k@ster",-42.982,-82.161,0,324.674,-19.447,-94.733,331.868,7,"Cat」",-28.389,-130.098,1,0,,330.481,336.088,342.002,267,2
4,1,1,1,0,0,0,0,0,0,0,255,255,255,3,360.813,"CAT tourniquet",L,32,78,129,-2.661,0.112,-0.187,1.58,-0.868,1.628,-36.533,25.689,1,0,-221.148,-45.25,-19.035,-1.707,-18.253,0,1,2,R,"가앤슬_",179.9,90.351,0.2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.223,-37.325,0,"소솨소솨",-0.639,-17.136,119,"si_ho",-21.2,-44.393,0,"ًً미소",-10.171,-64.852,0,"Amellaid",21.356,-46.723,0,"白霜らいふ",11.919,-64.15,0,"「론구」",46.59,-101.628,0,"Cat」",-4.242,-107.587,0,"k@ster",-50.068,-88.704,0,0,0,0,0,0,"",0,0,0,0,363.868,,,,0,0
5,1,1,1,0,1,0,0,0,0,0,255,255,255,4,374.802,"CAT tourniquet",L,32,83,136,0.038,-0.536,0.049,1.548,0.228,1.306,-36.449,12.218,0,0,-154.361,18.048,-6.932,-0.461,-18.68,0,1,2,R,"가앤슬_",179.9,90.351,0.2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.203,-37.217,0,"소솨소솨",-0.193,-17.517,0,"si_ho",-21.205,-44.378,0,"ًً미소",-10.295,-64.77,0,"Amellaid",21.379,-46.737,0,"白霜らいふ",12.184,-64.063,0,"「론구」",48.821,-99.908,0,"Cat」",-2.528,-106.436,0,"k@ster",-50.06,-88.667,0,0,0,0,0,0,"",0,0,0,0,377.832,,,,0,0
6,1,1,1,0,1,1,0,0,0,0,255,255,255,5,391.888,"CAT tourniquet",L,32,74,127,-3.585,-0.945,-0.086,1.517,-0.398,1.2,-36.518,18.355,2,0,-171.145,-41.34,-13.901,0,0,1,1,2,R,"가앤슬_",179.9,90.351,0.2,3,50,392.975,255,92,157,58,50,145,87,-77.102,75.194,-0.81,0,0.393,-52.461,486.302,344.041,-0.158,-37.31,0,"소솨소솨",-0.192,-17.339,0,"si_ho",-21.232,-44.441,0,"ًً미소",-10.28,-64.725,0,"Amellaid",21.418,-46.756,0,"白霜らいふ",12.173,-64.021,0,"「론구」",48.901,-100.028,0,"Cat」",-2.502,-106.479,0,"k@ster",-50.093,-88.779,0,392.88,-1.572,-20.722,0,0,"",0,0,0,0,,,,,2,3
7,1,1,1,0,1,2,0,0,0,0,255,255,255,6,410.815,"CAT tourniquet",L,8,64,118,3.881,0.937,0.355,1.928,1.722,2.195,-36.556,17.06,3,0,-60.089,0,-11.973,0.124,-21.622,0,1,2,R,"가앤슬_",179.9,90.351,0.2,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,-37.35,0,"소솨소솨",-0.004,-17.061,0,"si_ho",-21.702,-44.914,0,"ًً미소",-10.556,-62.152,0,"Amellaid",21.515,-46.059,0,"白霜らいふ",10.639,-65.131,0,"「론구」",48.605,-97.287,0,"Cat」",-0.525,-108.424,0,"k@ster",-52.402,-88.391,0,0,0,0,0,0,"",0,0,0,0,419.365,,,,0,6
8,1,1,1,0,0,0,0,1,0,0,2,255,255,7,443.612,"CAT tourniquet",L,32,74,126,0.757,-0.122,0.14,1.613,0.65,1.533,-36.458,6.562,0,0,-249.147,4.34,-8.889,0,0,0,2,6,R,"-KYU-",190,95,0.5,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,-37.54,0,"소솨소솨",-0.022,-17.236,0,"si_ho",-21.28,-44.036,0,"ًً미소",-9.763,-62.601,0,"Amellaid",21.841,-46.109,0,"白霜らいふ",8.185,-64.604,0,"「론구」",48.545,-97.277,0,"Cat」",-0.525,-108.457,0,"k@ster",-52.682,-88.693,0,0,0,0,0,0,"",0,0,0,0,445.013,,,,0,0
9,1,1,1,0,0,1,0,1,0,0,2,255,255,8,466.44,"CAT tourniquet",L,32,76,128,0.91,-0.524,0.134,1.542,0.625,1.304,-36.341,6.942,2,0,-159.348,25.288,-5.112,0,0,0,2,6,R,"-KYU-",190,95,0.5,2,50,467.498,100,59,78,80,38,134,98,-86.953,85.825,-0.11,0,0.638,0,0,0,0.038,-37.281,0,"소솨소솨",-0.087,-17.332,0,"si_ho",-20.986,-43.556,0,"ًً미소",-10.382,-64.014,0,"Amellaid",22.202,-45.853,0,"白霜らいふ",10.372,-66.46,0,"「론구」",50.929,-96.172,0,"Cat」",-0.705,-108.362,0,"k@ster",-53.896,-89.54,0,467.432,-0.352,-19.73,0,0,"",0,0,0,0,,,,,2,3
10,1,1,1,0,0,2,0,1,0,0,2,255,255,9,491.342,"CAT tourniquet",L,32,67,122,-1.981,-0.084,-0.106,1.565,-0.52,1.558,-36.556,25.927,2,0,-215.651,12.245,-13.197,0,0,1,2,6,R,"-KYU-",190,95,0.5,2,50,492.427,188,134,92,86,74,145,102,25.926,31.78,0.93,0,0.74,99.648,394.097,441.314,0.021,-37.217,0,"소솨소솨",-0.153,-17.332,0,"si_ho",-21.391,-43.61,0,"ًً미소",-10.211,-63.617,0,"Amellaid",21.237,-44.596,0,"白霜らいふ",9.547,-64.11,88,"「론구」",50.942,-97.174,0,"Cat」",-0.887,-107.982,0,"k@ster",-54.812,-90.143,87,496.589,-51.533,-87.3,500.583,8,"k@ster",-61.072,-99.546,1,0,,503.528,,,50,2
