id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,251.812,"coder_",R,26,78,129,0.381,1.133,0.095,1.938,0.124,2.037,-36.636,22.902,2,0,25.755,-154.586,15.522,0,0,0,0,5,R,"ke ro",165.2,80,0.346,3,74,252.874,186,107,59,55,45,137,93,30.197,-4.334,0.02,0,0.489,503.794,-315.803,44.56,-0.082,-36.868,0,"Kr_Luna",0.046,-17.752,0,"Pring__",-21.39,-47.51,0,"Rite_",-13.198,-64.123,0,"_송글_",21.717,-49.058,58,"_이누_",11.991,-62.783,106,"AI",40.9,-90.65,0,"아침땅_",-9.667,-99.427,0,"AI",-40.8,-90.55,0,257.952,11.121,-96.327,267.562,5,"_이누_",7.024,-85.959,1,0,,262.528,267.195,,70,2
2,1,1,0,0,0,0,0,0,0,1,255,255,5,1,290.976,"coder_",R,27,80,132,0.367,0.16,0.08,1.821,0.156,1.548,-36.577,15.385,2,0,0.887,-119.036,12.42,0,0,0,1,3,R,"Ooooing",167.1,83,0.447,3,71,291.839,17,8,12,14,10,5,34,-11.293,-10.361,0.76,1,0.611,591.7,-72.577,58.517,0.136,-36.943,120,"Kr_Luna",0.038,-17.657,0,"Pring__",-22.671,-49.263,0,"Rite_",-12.567,-62.501,0,"_송글_",20.581,-43.594,77,"_이누_",13.281,-64.88,0,"AI",40.9,-90.65,0,"아침땅_",-7.716,-102.442,0,"AI",-40.8,-90.55,0,292.112,0.662,-23.69,293.712,0,"coder_",3.178,-32.163,1,0,,,296.889,,66,2
3,1,1,0,0,0,0,0,1,0,1,3,255,5,2,317.688,"coder_",R,27,78,129,-0.827,0.608,0.04,1.951,-0.407,1.822,-36.761,17.325,0,0,34.002,-147.681,14.652,0,0,0,2,8,L,"Sabo_10",184.7,87.575,0.449,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24,-37.707,0,"Kr_Luna",-0.004,-18.303,119,"Pring__",-19.511,-43.604,0,"Rite_",-3.996,-61.709,80,"_송글_",20.68,-44.039,0,"_이누_",14.523,-62.803,0,"AI",40.9,-90.65,0,"아침땅_",6.747,-107.534,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,318.862,321.002,,,0,0
4,1,1,0,0,0,1,0,0,1,1,255,3,5,3,340.002,"coder_",R,6,59,94,-1.565,-0.11,-0.482,1.823,-1.274,1.561,-36.533,12.068,4,0,272.698,0,5.355,0,0,1,2,8,L,"Sabo_10",184.7,87.575,0.449,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-37.328,0,"Kr_Luna",-0.014,-17.874,100,"Pring__",-21.632,-44.511,0,"Rite_",-3.348,-60.716,0,"_송글_",20.34,-43.694,0,"_이누_",14.434,-61.733,0,"AI",40.9,-90.65,0,"아침땅_",6.974,-106.524,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,341.332,342.706,,,0,0
5,1,1,0,0,0,2,0,0,1,1,255,3,5,4,354.144,"coder_",R,26,78,129,-1.137,1.613,-0.082,2.056,-0.403,2.391,-36.554,21.231,2,0,-59.908,-200,20.529,0,0,1,2,8,L,"Sabo_10",184.7,87.575,0.449,3,70,355.229,157,68,127,73,35,145,100,102.782,51.145,-0.24,0,0.357,305.018,-474.846,199.22,0.151,-36.991,0,"Kr_Luna",0.042,-17.845,0,"Pring__",-21.621,-47.707,0,"Rite_",-6.912,-60.98,0,"_송글_",21.152,-45.176,0,"_이누_",14.141,-61.465,0,"AI",40.9,-90.65,0,"아침땅_",6.269,-106.148,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,357.528,356.855,,64,3
6,1,1,0,0,0,2,0,0,1,1,255,3,5,5,370.835,"coder_",R,28,67,121,-2.137,2.578,-0.144,2.232,-0.893,3.067,-36.569,40.405,1,0,-20.724,-98.996,1.937,0,0,0,2,8,L,"Sabo_10",184.7,87.575,0.449,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,-35.302,0,"Kr_Luna",-0.068,-17.994,0,"Pring__",-20.906,-43.13,0,"Rite_",-5.922,-60.651,0,"_송글_",20.644,-45.14,0,"_이누_",13.664,-62.536,0,"AI",40.9,-90.65,0,"아침땅_",6.595,-110.471,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,372.072,373.958,,,0,0
7,1,1,0,0,1,2,0,0,1,1,255,3,5,6,387.433,"coder_",R,27,74,126,-1.708,0.358,-0.103,2.051,-0.68,1.782,-36.517,28.365,2,0,-40.378,-142.423,7.755,0,0,1,2,8,L,"Sabo_10",184.7,87.575,0.449,3,68,388.496,137,111,120,73,25,142,88,92.836,-69.563,-0.79,0,0.458,447.827,-342.012,201.698,-0.343,-36.834,0,"Kr_Luna",-0.028,-17.955,0,"Pring__",-21.536,-47.267,0,"Rite_",-7.148,-60.989,0,"_송글_",19.558,-41.423,0,"_이누_",15.119,-62.751,0,"AI",40.9,-90.65,0,"아침땅_",6.395,-111.026,0,"AI",-40.8,-90.55,0,0,0,0,394.722,1,"Kr_Luna",-16.144,-10.914,0,0,394.722,391.464,391.295,,80,1
8,1,1,0,0,1,2,0,0,1,1,255,3,5,7,417.573,"coder_",R,11,72,107,0.291,-2.274,0.209,1.482,0.121,0.501,-36.522,30.343,4,0,0,195.67,9.278,0.047,-19.727,1,2,8,L,"Sabo_10",184.7,87.575,0.449,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.004,-37.478,0,"Kr_Luna",-0.024,-17.974,0,"Pring__",-21.91,-45.066,0,"Rite_",-3.457,-61.571,0,"_송글_",20.311,-44.455,0,"_이누_",15.139,-60.151,0,"AI",40.9,-90.65,0,"아침땅_",5.588,-110.512,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,418.872,420.594,419.72,,0,0
9,1,1,0,0,0,0,1,0,1,1,255,3,5,8,442.088,"coder_",R,14,73,113,3.019,-1.774,0.059,1.611,0.753,0.853,-36.464,14.68,1,0,371.603,334.531,2.719,0,0,0,3,1,L,"Megarafa",190,94.764,0.501,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744,-35.316,0,"Kr_Luna",0.123,-17.746,0,"Pring__",-21.091,-44.185,0,"Rite_",-4.33,-60.35,0,"_송글_",20.543,-43.736,0,"_이누_",16.061,-60.684,0,"AI",40.9,-90.65,0,"아침땅_",7.757,-104.694,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,443.652,445.211,444.603,,0,0
10,1,1,0,0,1,0,1,0,1,1,255,3,5,9,455.837,"coder_",R,27,76,128,-1.379,0.763,-0.098,1.935,-0.579,1.949,-36.557,26.445,2,0,-12.23,-136.899,7.441,0,0,1,3,1,L,"Megarafa",190,94.764,0.501,2,66,457.063,166,31,102,57,36,145,130,29.659,3.937,0.51,0,0.217,84.841,-515.362,25.967,-0.368,-36.846,0,"Kr_Luna",-0.012,-17.715,0,"Pring__",-21.274,-46.248,0,"Rite_",-7.686,-60.611,86,"_송글_",20.833,-44.937,0,"_이누_",15.938,-63.252,100,"AI",40.9,-90.65,0,"아침땅_",7.178,-106.895,95,"AI",-40.8,-90.55,0,462.522,6.618,-134.598,463.632,7,"아침땅_",7.673,-130.963,1,0,,467.14,461.559,467.817,108,2
