id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,574.405,"Dοpi",R,27,80,132,-1.046,1.121,-0.029,1.861,-0.593,2.18,-36.445,40.714,2,0,100.884,-141.993,4.963,0,0,1,0,2,L,"encounter v",190,86.142,0.499,3,40,575.534,255,63,141,97,59,145,130,96.692,76.455,0.47,0,0.358,497.556,321.68,-86.381,-0.439,-36.648,0,"magimari",-0.027,-17.378,0,"-라후이-",-18.1,-43.662,0,"Amellaid",-15.054,-62.579,0,"DoYaGee",20.648,-47.052,0,"레이나2",8.759,-65.331,0,"즉석카레",45.614,-93.875,0,"ke ro",0.131,-112.001,0,"Penguin_iDOL",-40.993,-97.867,0,0,0,0,0,0,"",0,0,0,0,,,,,256,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,588.333,"Dοpi",R,3,63,108,-1.055,0.282,0.127,1.858,0.433,1.778,-36.858,58.793,2,0,-462.594,0,-11.761,0,0,1,0,2,L,"encounter v",190,86.142,0.499,3,40,589.493,255,86,111,120,109,145,130,21.668,17.363,0.56,0,0.529,-449.765,-392.999,-16.501,-0.436,-36.712,0,"magimari",-0.042,-17.361,0,"-라후이-",-18.741,-44.698,0,"Amellaid",-15.524,-63.427,86,"DoYaGee",21.214,-47.11,0,"레이나2",10.944,-63.93,84,"즉석카레",46.926,-89.373,0,"ke ro",2.485,-111.261,100,"Penguin_iDOL",-41.109,-97.83,0,592.071,-23.05,-125.867,593.916,7,"ke ro",-17.886,-128.148,1,0,,,,,417,2
3,1,1,0,0,0,0,0,1,0,0,2,255,255,2,617.688,"Dοpi",R,34,68,122,-0.092,0.711,0.113,1.826,-0.152,1.927,-36.729,50.948,2,0,77.716,-61.538,-1.24,0,0,0,1,6,R,"「론구」",174.6,80,0.2,3,73,618.802,211,98,56,90,67,137,127,17.58,-19.022,0.31,0,0.233,-162.457,434.854,80.321,-0.457,-36.652,0,"magimari",-0.061,-17.361,0,"-라후이-",-18.807,-41.909,0,"Amellaid",-14.696,-63.352,0,"DoYaGee",20.104,-47.522,87,"레이나2",9,-63.934,91,"즉석카레",35.459,-94.26,0,"ke ro",-0.777,-106.253,87,"Penguin_iDOL",-41.651,-94.264,0,621.149,24.381,-121.392,623.493,7,"ke ro",18.163,-126.062,1,0,,624.053,629.12,,393,2
4,1,1,0,0,0,0,0,0,1,1,255,6,2,3,656.056,"Dοpi",R,3,48,98,-3.388,-0.009,0.028,1.881,-0.702,1.612,-37.028,60.59,1,0,-389.205,0,-18.268,0,0,0,2,3,R,"Rite_",168.4,80,0.355,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.223,-37.589,0,"magimari",-0.495,-17.445,120,"-라후이-",-19.104,-43.928,0,"Amellaid",-15.437,-62.793,0,"DoYaGee",18.557,-42.309,0,"레이나2",10.569,-62.346,0,"즉석카레",33.467,-90.034,0,"ke ro",0.279,-105.499,0,"Penguin_iDOL",-41.389,-95.535,0,0,0,0,0,0,"",0,0,0,0,656.061,,658.532,,0,0
5,1,1,0,0,0,1,0,0,1,1,255,6,2,4,671.808,"Dοpi",R,3,50,100,-2.66,-0.727,-0.018,1.78,-0.376,1.211,-36.804,45.255,2,0,-366.788,0,-10.584,0,0,0,2,3,R,"Rite_",168.4,80,0.355,2,33,673.009,255,180,122,143,123,145,80,-22.643,31.497,-0.94,0,0.449,21.286,-591.473,-92.239,-0.332,-36.873,0,"magimari",-0.105,-17.429,0,"-라후이-",-18.728,-46.559,120,"Amellaid",-14.883,-62.972,0,"DoYaGee",18.377,-44.349,0,"레이나2",9.536,-61.454,0,"즉석카레",36.421,-95.146,0,"ke ro",1.328,-108.99,0,"Penguin_iDOL",-41.397,-95.508,0,671.382,-1.326,-21.064,673.005,2,"-라후이-",-14.57,-43.304,0,1,675.871,,678.195,678.066,324,2
6,1,1,0,0,0,0,2,0,0,1,255,255,6,5,718.248,"Dοpi",R,27,77,129,-0.202,0.664,0.106,1.806,-0.218,1.855,-36.542,46.578,0,0,98.579,-123.409,0.356,0,0,0,3,8,R,"SUGUN",175,89.612,0.224,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108,-37.256,0,"magimari",-0.066,-17.209,0,"-라후이-",-17.839,-43.545,0,"Amellaid",-17.671,-60.19,0,"DoYaGee",19.155,-43.305,0,"레이나2",9.45,-63.263,0,"즉석카레",32.858,-93.789,0,"ke ro",0.385,-103.299,0,"Penguin_iDOL",-41.361,-88.26,0,0,0,0,0,0,"",0,0,0,0,717.916,,,,0,0
7,1,1,0,0,0,1,2,0,0,1,255,255,6,6,733.443,"Dοpi",R,3,50,99,2.102,0.131,0.435,1.83,1.817,1.695,-36.905,58.684,1,0,-406.514,0,-18.042,0,0,0,3,8,R,"SUGUN",175,89.612,0.224,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,-37.597,0,"magimari",0.052,-17.339,0,"-라후이-",-17.191,-44.67,0,"Amellaid",-17.681,-60.209,0,"DoYaGee",18.522,-43.03,0,"레이나2",8.699,-63.481,0,"즉석카레",32.853,-93.795,0,"ke ro",-0.244,-102.631,0,"Penguin_iDOL",-41.201,-88.422,0,0,0,0,0,0,"",0,0,0,0,733.249,,736.092,,0,0
8,1,1,0,0,1,1,2,0,0,1,255,255,6,7,747.269,"Dοpi",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,8,R,"SUGUN",175,89.612,0.224,2,52,748.149,237,89,99,90,33,145,83,44.016,-41.124,-0.9,0,0.403,342.343,-486.712,76.893,-0.506,-36.85,0,"magimari",-0.095,-17.466,0,"-라후이-",-16.919,-44.624,0,"Amellaid",-16.534,-60.534,0,"DoYaGee",18.405,-44.707,0,"레이나2",8.156,-63.586,0,"즉석카레",30.675,-94.492,0,"ke ro",0.076,-102.747,0,"Penguin_iDOL",-41.164,-88.436,0,747.249,-0.893,-21.187,762.582,1,"Megarafa",-0.254,-37.967,0,0,748.394,,762.351,,320,0
9,1,1,0,0,1,2,2,0,0,1,255,255,6,8,771.754,"Dοpi",R,3,60,105,-5.511,-0.836,-0.198,1.712,-1.535,1.457,-36.645,31.321,1,0,-431.545,212.196,-15.628,0,0,0,3,8,R,"SUGUN",175,89.612,0.224,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.136,-37.025,88,"magimari",-1.499,-16.804,0,"-라후이-",-18.451,-41.291,0,"Amellaid",-15.944,-61.817,0,"DoYaGee",18.655,-42.9,0,"레이나2",7.792,-64.106,0,"즉석카레",30.157,-93.483,0,"ke ro",0.807,-107.139,0,"Penguin_iDOL",-41.333,-82.249,0,0,0,0,0,0,"",0,0,0,0,771.516,,774.642,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,907.691,"Pugeuk",R,6,87,111,0.35,-0.841,-0.237,1.362,-0.734,1.172,-36.394,10.08,0,0,500,0,22.811,0.949,-17.631,0,0,3,L,"Amellaid",160,85,0.44,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.029,-37.454,0,"Megarafa",0.478,-17.129,0,"encounter v",-19.685,-46.626,0,"Rite_",-12.891,-62.111,0,"Ayu_Yua",24.263,-49.326,0,"하루（Haru）",13.509,-64.823,0,"「론구」",42.997,-89.735,0,"Multeinn",-0.065,-111.05,0,"SUGUN",-38.469,-89.797,0,0,0,0,0,0,"",0,0,0,0,907.849,,,,0,0
