id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,220.192,"NABIMan",R,27,82,135,-2.375,-1.177,-0.239,1.618,-1.114,0.806,-36.223,4.029,4,0,74.68,-123.63,16.822,0,0,1,0,5,L,"Amellaid",172.6,85,0.44,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121,-37.395,0,"Yaksok~",-0.315,-17.414,0,"濃いめのラー油",-22.728,-47.162,0,"장덕춘_",-13.534,-63.568,0,"Cat」",17.661,-45.945,0,"Kr_Luna",14.142,-61.186,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-37.685,-87.792,0,0,0,0,0,0,"",0,0,0,0,221.391,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,232.88,"NABIMan",R,26,82,134,-0.133,-0.204,-0.026,1.81,-0.121,1.488,-36.353,22.075,2,0,107.649,-154.566,7.659,0,0,1,0,5,L,"Amellaid",172.6,85,0.44,3,57,233.739,255,79,121,73,38,145,83,61.401,-34.38,-0.87,0,0.423,503.911,39.733,-317.664,-0.446,-36.319,0,"Yaksok~",-0.174,-17.431,0,"濃いめのラー油",-22.54,-46.408,0,"장덕춘_",-12.593,-65.207,0,"Cat」",16.376,-44.52,0,"Kr_Luna",14.027,-61.546,85,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-38.328,-88.589,0,239.408,30.139,-57.023,239.574,5,"Kr_Luna",29.483,-56.02,0,0,,,,,18,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,260.177,"NABIMan",R,27,79,130,-2.644,-0.708,-0.268,1.712,-1.248,1.098,-36.431,7.214,4,0,83.27,-102.847,11.682,-1.37,-16.847,1,1,7,R,"아침땅_",160,95.405,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101,-37.172,0,"Yaksok~",-0.401,-17.693,120,"濃いめのラー油",-23.864,-50.075,0,"장덕춘_",-15.395,-63.206,0,"Cat」",14.03,-46.845,0,"Kr_Luna",13.112,-61.089,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-38.265,-83.383,0,0,0,0,0,0,"",0,0,0,0,265.191,,,,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,275.283,"NABIMan",R,10,67,113,-0.763,-1.16,-0.071,1.809,-0.33,1.472,-36.398,18.936,0,0,0,338.687,23.955,0,0,0,1,7,R,"아침땅_",160,95.405,0.5,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-37.49,0,"Yaksok~",-0.387,-17.247,0,"濃いめのラー油",-23.677,-49.144,0,"장덕춘_",-15.013,-62.715,0,"Cat」",13.901,-46.897,0,"Kr_Luna",13.096,-61.093,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-38.323,-83.294,0,0,0,0,0,0,"",0,0,0,0,276.658,,,,0,0
5,1,1,0,0,0,2,1,0,0,0,255,255,255,4,287.334,"NABIMan",R,26,88,140,-0.874,-1.238,-0.111,1.63,-0.515,0.783,-36.241,7.752,2,0,108.887,-151.1,22.281,0,0,0,1,7,R,"아침땅_",160,95.405,0.5,2,57,288.227,141,29,129,74,11,145,108,-24.996,42.299,0.87,0,0.25,-221.683,556.681,31.031,0.061,-36.47,0,"Yaksok~",0.131,-17.193,0,"濃いめのラー油",-22.479,-47.862,82,"장덕춘_",-14.982,-63.874,0,"Cat」",14.241,-46.254,0,"Kr_Luna",13.108,-61.083,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-38.154,-83.444,99,288.274,-0.979,-19.744,291.858,8,"-라후이-",-47.963,-73.327,1,0,,,,,74,2
6,1,1,0,0,0,0,1,1,0,0,7,255,255,5,311.109,"NABIMan",R,26,81,132,0.254,0.027,0.005,1.789,0.024,1.416,-36.355,20.016,0,0,80.505,-198.618,26.368,0,0,0,2,1,R,"Gonyong",174.9,80,0.2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,-37.438,0,"Yaksok~",-0.584,-19.036,0,"濃いめのラー油",-19.612,-43.072,0,"장덕춘_",-14.678,-63.33,0,"Cat」",15.345,-47.258,0,"Kr_Luna",5.837,-61.344,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-45.348,-84.587,0,0,0,0,0,0,"",0,0,0,0,312.574,,,,0,0
7,1,1,0,0,0,1,1,1,0,0,7,255,255,6,325.703,"NABIMan",R,1,30,94,3.803,-0.923,-0.013,1.842,-0.059,1.605,-36.263,20.483,3,0,0,0,-6.585,0,0,0,2,1,R,"Gonyong",174.9,80,0.2,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.028,-37.568,0,"Yaksok~",0.088,-19.706,0,"濃いめのラー油",-20.076,-42.246,0,"장덕춘_",-16.297,-62.081,0,"Cat」",15.353,-47.293,0,"Kr_Luna",7.116,-61.418,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-43.8,-84.494,0,0,0,0,0,0,"",0,0,0,4,328.074,,,,0,6
8,1,1,0,0,2,1,1,1,0,0,255,255,255,7,346.79,"NABIMan",R,10,71,115,0.117,-0.426,0.011,1.919,0.051,1.876,-36.488,31.074,2,0,0,394.725,9.326,0,0,0,2,1,R,"Gonyong",174.9,80,0.2,3,58,347.96,255,137,119,74,26,145,128,104.752,-68.465,0.54,0.048,0.267,414.561,423.081,-15.637,-0.077,-36.903,0,"Yaksok~",-0.373,-17.121,0,"濃いめのラー油",-20.171,-41.401,0,"장덕춘_",-15.268,-63.856,0,"Cat」",15.281,-47.045,0,"Kr_Luna",10.79,-62.097,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-43.616,-81.983,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
9,1,1,0,0,2,2,1,1,0,0,255,255,255,8,361.055,"NABIMan",R,26,86,140,-0.658,-0.482,-0.091,1.721,-0.422,1.177,-36.34,17.381,0,0,108.633,-153.279,25.073,0,0,0,2,1,R,"Gonyong",174.9,80,0.2,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,-37.37,0,"Yaksok~",0.208,-18.864,0,"濃いめのラー油",-20.313,-42.703,0,"장덕춘_",-15.293,-61.978,0,"Cat」",15.204,-47.265,0,"Kr_Luna",6.375,-62.354,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-41.527,-83.164,0,0,0,0,0,0,"",0,0,0,0,362.491,,,,0,0
10,1,1,0,0,0,0,2,1,0,0,255,255,255,9,382.453,"NABIMan",R,1,27,93,-1.132,-0.916,0.03,1.855,0.14,1.65,-36.299,22.87,2,0,0,0,-6.552,0,0,1,3,3,L,"눈꽃",170,90,0.6,3,57,383.817,255,143,110,79,69,145,124,103.736,70.586,0.44,0,0.403,301.993,-83.959,-510.443,0.17,-37.042,0,"Yaksok~",0.148,-17.06,0,"濃いめのラー油",-19.927,-42.482,0,"장덕춘_",-9.693,-64.111,0,"Cat」",17.778,-45.698,0,"Kr_Luna",12.189,-61.635,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-44.577,-80.77,0,0,0,0,0,0,"",0,0,0,0,,,,,2,3
