id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,338.719,"si_ho",R,26,77,129,-0.927,-0.289,-0.057,1.676,-0.51,1.223,-36.445,9.074,0,0,85.278,-200,18.538,0,0,0,0,2,R,"CoalCat",170,84.55,0.502,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.024,-37.574,0,"Gonyong",-0.025,-17.399,0,"ʚmingɞ",-21.341,-47.387,0,"ʚEveɞ",-15.123,-63.157,0,"Slaris",19.357,-47.402,0,"눈꽃",11.533,-65.729,0,"별이__",36.79,-87.507,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,340.063,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,351.255,"si_ho",R,27,79,130,1.238,-0.127,0.087,1.622,0.404,1.378,-36.312,13.64,2,0,92.613,-146.507,9.649,0,0,0,0,2,R,"CoalCat",170,84.55,0.502,3,88,352.42,173,69,92,96,40,145,89,16.095,-5.287,-0.52,0,0.199,305.324,511.342,28.815,-0.038,-36.877,0,"Gonyong",-0.003,-17.601,0,"ʚmingɞ",-20.962,-48.017,0,"ʚEveɞ",-15.086,-63.255,86,"Slaris",19.283,-47.242,0,"눈꽃",12.765,-64.774,0,"별이__",36.783,-87.559,0,"AI",0,-109.843,0,"AI",-40.803,-90.552,0,355.785,0.474,-83.87,0,0,"",0,0,1,0,,,,364.054,34,2
3,1,1,0,0,0,0,0,1,0,0,2,255,255,2,379.721,"si_ho",R,26,88,140,0.46,0.922,0.012,1.775,0.054,1.931,-36.295,16.305,0,0,129.941,-200,19.771,0,0,0,1,3,R,"Dοpi",170,85,0.302,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.084,-37.462,0,"Gonyong",0.017,-17.485,107,"ʚmingɞ",-20.76,-47.059,0,"ʚEveɞ",-14.713,-63.571,0,"Slaris",16.409,-51.489,0,"눈꽃",6.824,-62.069,0,"별이__",37.157,-94,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,380.785,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,2,255,255,3,393.976,"si_ho",R,32,77,128,1.772,1.774,0.131,1.924,0.449,2.382,-36.458,28.301,1,0,211.098,-200,13.38,0,0,0,1,3,R,"Dοpi",170,85,0.302,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245,-37.704,0,"Gonyong",0.008,-17.5,100,"ʚmingɞ",-21.703,-47.576,0,"ʚEveɞ",-14.675,-63.506,0,"Slaris",20.874,-52.728,0,"눈꽃",9.87,-62.588,0,"별이__",37.544,-95.668,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,395.174,,,,0,0
5,1,1,0,0,0,2,0,1,0,0,2,255,255,4,411.143,"si_ho",R,3,76,105,-0.37,1.029,0.293,1.95,0.582,2.253,-36.568,33.839,0,0,-381.232,41.093,13.012,0,0,0,1,3,R,"Dοpi",170,85,0.302,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137,-37.887,0,"Gonyong",-0.04,-17.556,107,"ʚmingɞ",-21.655,-47.347,0,"ʚEveɞ",-14.679,-63.485,0,"Slaris",21.224,-49.894,0,"눈꽃",8.493,-63.395,0,"별이__",35.53,-95.863,0,"AI",0,-109.842,0,"AI",-40.802,-90.552,0,0,0,0,0,0,"",0,0,0,0,412.44,,,,0,0
6,1,1,0,0,0,0,1,1,0,0,2,255,255,5,447.126,"si_ho",R,27,78,129,-0.481,1.166,-0.001,1.92,-0.36,2.197,-36.534,22.52,2,0,116.476,-148.469,8.309,0,0,1,2,4,L,"-Alta-",190,88,0.478,3,86,448.169,197,92,92,52,18,145,125,32.125,-20.259,0.22,0,0.406,247.854,-505.664,201.192,-0.094,-36.974,0,"Gonyong",-0.03,-17.522,0,"ʚmingɞ",-20.665,-47.632,0,"ʚEveɞ",-12.32,-64.758,85,"Slaris",23.489,-52.169,0,"눈꽃",13.43,-64.537,0,"별이__",51.608,-91.681,85,"AI",0,-109.843,0,"AI",-40.803,-90.552,0,453.829,49.85,-117.784,0,0,"",0,0,1,0,,453.279,459.044,,98,2
7,1,1,0,0,0,0,1,1,1,0,255,4,255,6,483.03,"si_ho",R,13,80,118,1.041,0.341,0.259,1.905,0.907,2.204,-36.801,41.903,2,0,-316.117,387.389,8.953,0,0,0,3,1,L,"Pring__",190,94.612,0.484,3,86,483.881,198,155,90,111,80,145,130,-13.829,-3.849,0.58,0,0.58,247.854,-505.664,201.192,-0.184,-37.207,0,"Gonyong",0.004,-17.937,0,"ʚmingɞ",-20.592,-45.662,0,"ʚEveɞ",-12.681,-65.016,0,"Slaris",20.45,-48.069,87,"눈꽃",16.607,-61.691,0,"별이__",51.159,-93.668,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,483.718,0.543,-26.069,0,0,"",0,0,1,0,,,490.938,490.493,40,2
8,1,1,1,0,0,0,1,1,0,1,1,255,4,7,511.833,"si_ho",R,4,73,120,-2.01,-0.845,0.106,1.648,-0.568,1.112,-36.61,14.603,2,0,-221.248,0,7.963,0,0,1,4,8,R,"magimari",170,85,0.504,3,86,512.922,255,218,116,114,69,145,80,-30,65.245,1,0,0.788,332.244,-494.639,61.217,-0.009,-37.333,0,"Gonyong",-0.076,-17.265,0,"ʚmingɞ",-20.135,-45.233,0,"ʚEveɞ",-12.756,-64.833,0,"Slaris",19.647,-49.269,0,"눈꽃",9.076,-63.396,0,"별이__",44.679,-96.111,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,512.829,-2.452,-21.202,0,0,"",0,0,0,0,,,515.875,,32,3
9,1,1,1,0,0,1,1,1,0,1,1,255,4,8,527.036,"si_ho",R,10,79,107,-0.392,-2.098,0.127,1.661,-0.003,1.057,-36.773,22.097,4,0,-86.281,400,13.553,-0.015,-18.266,1,4,8,R,"magimari",170,85,0.504,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,-37.86,0,"Gonyong",-0.005,-17.191,0,"ʚmingɞ",-19.895,-44.874,0,"ʚEveɞ",-14.708,-63.643,0,"Slaris",20.065,-47.975,0,"눈꽃",9.043,-64.22,0,"별이__",43.945,-99.697,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,530.396,,,,0,0
10,1,1,1,0,0,2,1,1,0,1,1,255,4,9,543.405,"si_ho",R,26,81,133,2.098,-1.092,0.017,1.722,-0.058,1.593,-36.513,8.781,2,0,162.787,-200,22.822,0,0,0,4,8,R,"magimari",170,85,0.504,3,86,544.511,212,86,88,46,25,145,82,-15.4,-2.45,-0.87,0,0.366,81.88,-135.706,96.875,-0.102,-36.862,104,"Gonyong",-0.02,-17.362,0,"ʚmingɞ",-19.37,-39.869,85,"ʚEveɞ",-14.791,-63.65,0,"Slaris",19.475,-48.57,0,"눈꽃",8.632,-64.418,91,"별이__",43.669,-99.432,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,544.407,0.226,-22.677,0,0,"",0,0,0,0,,549.806,547.065,,49,2
