id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,80.105,"si_ho",R,26,80,132,-1.598,-0.416,-0.182,1.511,-0.845,1.211,-36.304,4.361,2,0,111.712,-151.47,19.39,0,0,1,0,2,L,"ًً미소",190,95,0.5,2,39,81.25,86,33,61,73,26,120,84,-36.048,-23.826,-0.31,0,0.284,-521.25,-179.403,236.882,-0.208,-37.034,0,"Slaris",-0.116,-17.162,0,"すーぱーおもちらんど",-19.835,-47.47,81,"아침땅_",-11.106,-65.537,0,"CoalCat",18.488,-48.619,0,"k@ster",13.745,-63.658,107,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-40.908,-85.17,0,80.813,0.186,-21.145,83.8,5,"k@ster",16.657,-58.435,1,0,,,,,14,2
2,1,1,0,0,0,0,0,1,0,0,2,255,255,1,116.152,"si_ho",R,27,76,128,0.955,0.355,0.063,1.687,0.294,1.785,-36.298,25.357,2,0,73.756,-126.729,1.573,0,0,0,1,1,R,"YukihiroD",171.7,95,0.5,2,36,117.223,142,57,83,51,14,140,82,-4.744,-0.937,-0.79,0,0.143,0,0,0,-0.108,-36.885,102,"Slaris",-0.057,-17.001,0,"すーぱーおもちらんど",-19.438,-45.43,83,"아침땅_",-10.912,-62.828,95,"CoalCat",17.566,-49.956,0,"k@ster",8.006,-65.93,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-34.995,-83.908,0,117.107,0.313,-28.551,117.973,0,"si_ho",0.456,-36.389,1,0,,,,,38,2
3,1,1,0,0,0,0,1,1,0,0,1,255,255,2,140.015,"si_ho",R,10,93,128,3.027,0.254,0.27,1.762,1.255,2.048,-36.409,34.785,4,0,0,400,2.12,0.232,-20.342,1,2,5,R,"「론구」",174.6,80,0.302,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138,-37.609,0,"Slaris",0.038,-16.919,0,"すーぱーおもちらんど",-19.704,-45.134,0,"아침땅_",-9.862,-63.845,0,"CoalCat",16.991,-49.061,0,"k@ster",8.819,-65.672,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-37.585,-79.623,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
4,1,1,0,0,0,1,1,1,0,0,1,255,255,3,155.313,"si_ho",R,10,79,107,0.739,-1.586,0.135,1.601,0.318,1.28,-36.447,19.572,4,0,0,400,9.919,0.101,-18.337,1,2,5,R,"「론구」",174.6,80,0.302,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,-38.214,0,"Slaris",0.04,-16.929,0,"すーぱーおもちらんど",-19.17,-44.448,0,"아침땅_",-10.009,-63.981,0,"CoalCat",17.691,-49.275,0,"k@ster",8.805,-65.693,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-37.589,-79.737,0,0,0,0,0,0,"",0,0,0,0,158.32,,,,0,0
5,1,1,0,0,0,2,1,1,0,0,1,255,255,4,170.76,"si_ho",R,28,73,126,2.907,1.442,0.305,1.849,1.111,2.33,-36.516,43.644,1,0,94.548,-95.488,1.496,0,0,0,2,5,R,"「론구」",174.6,80,0.302,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.068,-37.378,0,"Slaris",-0.309,-17.757,0,"すーぱーおもちらんど",-19.879,-43.184,0,"아침땅_",-9.638,-63.931,0,"CoalCat",17.808,-49.375,0,"k@ster",8.486,-66.58,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-35.025,-80.727,0,0,0,0,0,0,"",0,0,0,4,171.84,,,,0,0
6,1,1,0,0,0,0,2,1,0,0,1,255,255,5,189.422,"si_ho",R,26,91,140,-0.952,-0.435,-0.124,1.511,-0.578,1.204,-36.265,7.851,0,0,149.323,-164.538,18.542,0,0,1,3,8,R,"양_뭉이",190,95,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-38.12,0,"Slaris",-0.106,-16.86,0,"すーぱーおもちらんど",-19.907,-44.458,0,"아침땅_",-9.929,-63.329,0,"CoalCat",18.614,-47.858,0,"k@ster",8.171,-66.022,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-32.082,-77.466,0,0,0,0,0,0,"",0,0,0,0,190.453,,,,0,0
7,1,1,0,0,0,1,2,1,0,0,1,255,255,6,203.726,"si_ho",R,10,83,111,-0.047,-1.005,0.034,1.65,-0.021,1.495,-36.431,16.398,4,0,0,400,8.661,-0.325,-18.072,1,3,8,R,"양_뭉이",190,95,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.096,-38.009,0,"Slaris",-0.162,-17.684,0,"すーぱーおもちらんど",-19.281,-44.688,0,"아침땅_",-10.616,-63.846,0,"CoalCat",17.827,-48.723,0,"k@ster",8.111,-65.714,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-29.518,-79.349,0,0,0,0,0,0,"",0,0,0,0,206.4,,,,0,0
8,1,1,0,0,0,2,2,1,0,0,1,255,255,7,217.201,"si_ho",R,0,50,109,-2.385,0.351,-0.109,1.78,-1.035,1.839,-36.545,16.38,4,0,0,0,10.958,0,0,0,3,8,R,"양_뭉이",190,95,0.5,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,-37.264,0,"Slaris",-0.409,-17.379,0,"すーぱーおもちらんど",-19.35,-44.303,0,"아침땅_",-9.149,-62.27,0,"CoalCat",17.776,-48.677,0,"k@ster",8.621,-65.819,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"-라후이-",-30.13,-79.166,0,0,0,0,0,0,"",0,0,0,0,218.387,,,,0,0
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,304.157,"mungjungh",R,26,76,128,-2.9,-0.878,0.07,1.919,-1.304,0.862,-36.524,5.155,1,0,26.383,-200,31.157,-1.161,-18.71,0,0,4,R,"CoalCat",179.9,95,0.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135,-37.334,0,"YukihiroD",-0.294,-18.155,0,"ًً미소",-18.246,-44.537,0,"소솨소솨",-17.626,-61.396,0,"인생최패망자",18.641,-48.904,0,"「론구」",10.809,-65.488,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"양_뭉이",-51.776,-94.799,0,0,0,0,0,0,"",0,0,0,0,307.093,,,,0,0
10,1,0,0,0,1,0,0,0,0,0,255,255,255,1,318.202,"mungjungh",R,26,80,131,-2.343,-0.243,0.098,2.03,-1.172,1.244,-36.52,4.934,1,0,104.838,-200,36.725,0,0,0,0,4,R,"CoalCat",179.9,95,0.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.032,-37.359,0,"YukihiroD",-0.158,-17.932,0,"ًً미소",-18.392,-44.282,0,"소솨소솨",-17.324,-62.373,0,"인생최패망자",17.988,-48.689,0,"「론구」",10.83,-65.463,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"양_뭉이",-51.843,-94.864,0,0,0,0,0,0,"",0,0,0,0,319.173,,,,0,0
11,1,0,0,0,2,0,0,0,0,0,255,255,255,2,330.065,"mungjungh",R,26,60,117,0.303,1.201,0.303,2.274,-0.217,2.079,-36.616,29.555,1,0,196.847,-200,37.73,0,0,0,0,4,R,"CoalCat",179.9,95,0.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146,-37.356,0,"YukihiroD",-0.014,-17.87,0,"ًً미소",-18.38,-44.309,0,"소솨소솨",-17.415,-62.406,0,"인생최패망자",17.826,-48.753,0,"「론구」",10.728,-65.482,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"양_뭉이",-51.859,-94.875,0,0,0,0,0,0,"",0,0,0,0,331.093,,,,0,0
12,1,0,0,0,3,0,0,0,0,0,255,255,255,3,343.144,"mungjungh",R,26,88,140,-1.285,0.835,0.211,2.222,-0.645,1.9,-36.436,28.786,0,0,64.949,-200,37.952,0,0,0,0,4,R,"CoalCat",179.9,95,0.5,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082,-37.256,0,"YukihiroD",-0.099,-17.914,0,"ًً미소",-18.394,-44.282,0,"소솨소솨",-16.968,-62.519,0,"인생최패망자",18.385,-48.89,0,"「론구」",10.747,-65.52,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"양_뭉이",-51.848,-94.865,0,0,0,0,0,0,"",0,0,0,0,344.133,,,,0,0
