id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,1,0,0,0,0,0,255,255,255,1,309.41,"甲斐野柊太",R,1,40,88,0.769,-0.671,0.345,2.004,0.353,2.04,-37.193,55.074,2,0,0,0,0,0,0,1,0,2,L,"濃いめのラー油",190,80,0.8,3,91,310.809,255,121,102,100,33,145,130,26.774,26.418,0.52,0,0.173,275.377,-143.128,-509.997,-0.074,-36.964,0,"SUGUN",-0.054,-17.748,0,"소솨소솨",-20.436,-45.471,0,"ke ro",-9.691,-64.806,0,"schmoneymikey",20.886,-50.207,0,"Megarafa",13.812,-64.516,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,316.297,-49.04,-132.442,0,0,"",0,0,0,0,,320.906,325.964,,32,4
2,1,1,1,0,0,0,0,0,0,0,255,255,255,2,379.76,"甲斐野柊太",R,27,108,140,-2.765,-1.221,-0.267,1.56,-1.242,0.777,-36.621,11.958,1,0,39.049,-134.24,0,0,0,0,1,1,R,"YukihiroD",171.7,87.01,0.349,0,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.081,-37.017,0,"SUGUN",-0.1,-17.695,0,"소솨소솨",-20.196,-45.978,0,"ke ro",-11.921,-64.113,0,"schmoneymikey",21.897,-51.645,0,"Megarafa",13.819,-64.228,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,381.13,,,,0,0
3,1,1,1,0,1,0,0,0,0,0,255,255,255,3,391.339,"甲斐野柊太",R,27,94,140,2.558,1.116,0.211,1.935,0.982,2.121,-36.862,39.495,2,0,88.521,-106.756,0,0,0,1,1,1,R,"YukihiroD",171.7,87.01,0.349,3,94,392.41,160,57,0,3,7,12,43,-67.407,-44.673,-0.78,0,0.616,-514.746,100.522,289.366,-0.138,-36.8,120,"SUGUN",-0.049,-17.905,0,"소솨소솨",-20.542,-45.485,74,"ke ro",-11.946,-64.213,0,"schmoneymikey",21.942,-51.647,0,"Megarafa",13.933,-64.17,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,392.408,0.958,-19.814,395.975,0,"甲斐野柊太",10.719,-31.745,0,0,,,,,40,2
4,1,1,1,0,0,0,1,0,0,0,255,255,255,4,418.996,"甲斐野柊太",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,R,"Mr․D VRC",177,90,0.51,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,102,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,420.797,,,,0,0
5,1,1,1,0,0,0,1,0,0,0,255,255,255,5,435.843,"甲斐野柊太",R,13,63,94,0.497,0.292,0.297,2.124,0.921,2.396,-37.032,56.254,0,0,-307.902,346.664,0,0,0,0,2,5,R,"Mr․D VRC",177,90,0.51,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.135,-37.017,0,"SUGUN",0.008,-17.634,101,"소솨소솨",-20.062,-45.45,0,"ke ro",-12.039,-63.255,0,"schmoneymikey",20.297,-50.213,0,"Megarafa",12.907,-64.553,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,437.564,,,,0,0
6,1,1,1,0,1,1,1,0,0,0,255,255,255,6,447.514,"甲斐野柊太",R,28,96,140,-0.021,0.058,-0.018,1.775,-0.084,1.551,-36.709,19.276,0,0,55.55,-84.856,0,0,0,1,2,5,R,"Mr․D VRC",177,90,0.51,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108,-37.055,0,"SUGUN",-0.049,-17.807,100,"소솨소솨",-20.738,-46.631,0,"ke ro",-12.078,-63.333,0,"schmoneymikey",21.281,-51.502,0,"Megarafa",12.914,-64.65,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,448.964,,,,0,0
7,1,1,1,0,1,2,1,0,0,0,255,255,255,7,458.252,"甲斐野柊太",R,13,66,97,0.349,-0.136,0.157,2.039,0.485,2.198,-36.901,39.764,2,0,-150.883,400,0,0,0,1,2,5,R,"Mr․D VRC",177,90,0.51,3,93,459.528,126,48,62,63,46,137,128,-30,-9.266,0.58,0,0.129,-136.047,-11.896,-12.485,-0.133,-36.759,0,"SUGUN",-0.045,-17.71,0,"소솨소솨",-20.526,-46.307,85,"ke ro",-12.074,-63.321,0,"schmoneymikey",21.419,-50.894,0,"Megarafa",12.893,-64.691,87,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,459.497,0.304,-22.039,461.819,5,"Megarafa",7.239,-64.518,1,0,,,,,56,2
8,1,1,1,0,0,0,1,1,0,0,5,255,255,8,483.989,"甲斐野柊太",R,10,71,102,2.049,-1.411,0.196,2.099,0.885,1.347,-37.209,71.062,1,0,0,400,0,0,0,0,3,4,L,"ゆっち一",179.8,84.105,0.397,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073,-37.2,0,"SUGUN",-0.069,-17.864,114,"소솨소솨",-19.263,-43.009,0,"ke ro",-10.997,-62.952,0,"schmoneymikey",19.985,-51.256,0,"Megarafa",12.832,-64.198,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,485.431,,,,0,0
9,1,1,1,0,1,0,1,1,0,0,5,255,255,9,494.115,"甲斐野柊太",R,3,72,101,1.336,0.112,0.467,1.819,1.448,1.686,-36.969,49.844,0,0,-411.455,0,0,0,0,1,3,4,L,"ゆっち一",179.8,84.105,0.397,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.217,-37.193,0,"SUGUN",-0.132,-17.917,120,"소솨소솨",-19.624,-42.045,0,"ke ro",-10.998,-62.96,0,"schmoneymikey",20.32,-51.694,0,"Megarafa",12.798,-64.178,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,495.664,,,,0,0
10,1,1,1,0,1,1,1,1,0,0,5,255,255,10,505.391,"甲斐野柊太",R,27,84,137,-3.776,0.497,-0.117,2.125,-1.517,1.857,-36.998,54.202,3,0,32.891,-114.915,0,0.639,-20.157,0,3,4,L,"ゆっち一",179.8,84.105,0.397,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.221,0,"SUGUN",0.422,-19.645,0,"소솨소솨",-20.127,-41.066,0,"ke ro",-6.804,-62.358,0,"schmoneymikey",19.847,-50.954,0,"Megarafa",12.781,-64.065,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,507.908,534.034,,,0,6
11,1,1,1,0,0,0,1,1,1,0,4,5,255,11,535.545,"甲斐野柊太",R,27,87,140,-1.297,-0.188,0.029,2.014,-0.699,1.318,-36.975,54.365,2,0,105.739,-146.916,0,0,0,0,4,3,L,"_Chun",160,80,0.445,3,93,536.482,129,75,64,42,14,136,108,-30,-24.46,0.83,0,0.09,-136.047,-11.896,-12.485,-0.2,-36.942,0,"SUGUN",-0.018,-17.778,0,"소솨소솨",-20.671,-46.054,68,"ke ro",-7.138,-63.253,0,"schmoneymikey",21.736,-49.674,0,"Megarafa",11.075,-64.793,88,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,536.286,0.066,-19.921,538.975,5,"Megarafa",19.6,-63.319,1,0,,541.549,541.634,,56,2
12,1,1,1,0,0,0,1,1,1,1,3,4,5,12,583.754,"甲斐野柊太",R,34,85,138,4.498,1.425,0.411,2.061,1.91,2.487,-37.287,67.633,3,0,64.151,-55.107,0,1.759,-21.724,0,5,0,R,"Penguin_iDOL",190,80,0.398,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.104,-37.343,0,"SUGUN",0.258,-17.919,0,"소솨소솨",-19.254,-43.362,0,"ke ro",-12.407,-63.053,0,"schmoneymikey",17.892,-45.611,0,"Megarafa",13.214,-64.214,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,588.886,587.08,,,0,6
13,1,1,2,0,0,0,1,1,1,1,0,3,4,13,615.703,"甲斐野柊太",R,28,103,140,-0.847,-0.738,-0.091,1.622,-0.425,1.063,-36.609,13.157,0,0,44.128,-93.02,0,0,0,0,0,2,L,"濃いめのラー油",190,80,0.8,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.055,-37.067,0,"SUGUN",-0.154,-18.232,100,"소솨소솨",-20.593,-44.757,0,"ke ro",-9.941,-64.258,0,"schmoneymikey",21.335,-50.639,0,"Megarafa",13.152,-64.367,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,617.108,618.804,,,0,0
14,1,1,2,0,0,1,1,1,1,1,0,3,4,14,627.84,"甲斐野柊太",R,27,96,140,-0.305,1.186,-0.047,1.99,-0.219,2.255,-36.769,40.312,2,0,62.308,-104.362,0,0,0,1,0,2,L,"濃いめのラー油",190,80,0.8,3,88,628.989,255,16,80,40,10,139,104,95.906,-36.04,0.03,0,0.094,-586.898,-44.4,-111.266,-0.282,-36.887,0,"SUGUN",-0.061,-17.938,74,"소솨소솨",-19.186,-45.224,0,"ke ro",-9.465,-64.493,0,"schmoneymikey",21.371,-50.685,0,"Megarafa",10.186,-62.987,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,636.286,-7.977,-15.194,636.486,1,"SUGUN",-7.837,-15.364,0,0,636.486,633.734,639.442,,36,1
15,1,1,2,0,0,0,2,1,1,1,0,3,4,15,662.011,"甲斐野柊太",R,28,97,140,-1.858,-2.497,-0.079,1.639,-0.872,0.04,-36.792,8.14,1,0,46.838,-99.645,0,-0.497,-18.555,0,1,1,R,"YukihiroD",171.7,87.01,0.349,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,-37.283,0,"SUGUN",-0.286,-18.138,95,"소솨소솨",-19.796,-45.69,0,"ke ro",-12.046,-62.168,0,"schmoneymikey",19.766,-49.282,0,"Megarafa",7.684,-64.29,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,667.142,664.937,,,0,0
