id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,329.838,"ʚEveɞ",R,32,74,127,1.339,-0.396,0.073,1.061,0.341,1.529,-36.647,23.911,2,0,178.978,157.573,1.598,0,0,1,0,2,R,"すーぱーおもちらんど",190,89.955,0.397,2,92,330.982,164,78,74,97,51,145,90,60.005,0.011,-0.84,0,0.24,28.439,-549.122,40.211,0.306,-36.85,0,"Pring__",-0.028,-17.377,0,"Penguin_iDOL",-21.344,-49.49,0,"甲斐野柊太",-13.016,-64.979,73,"Megarafa",24.986,-49.533,0,"Roslynn",16.601,-60.617,0,"YukihiroD",43.436,-89.639,0,"Gonyong",3.744,-97.768,0,"Amellaid",-57.256,-89.924,0,335.937,7.266,-68.414,336.55,5,"Roslynn",6.907,-67.232,0,0,,,,,272,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,376.918,"ʚEveɞ",R,18,67,114,-0.536,0.029,0.027,1.027,0.126,1.417,-36.592,18.514,2,0,-243.921,-224.395,7.747,0,0,1,1,4,L,"schmoneymikey",190,90,0.403,3,41,378.115,255,158,95,78,38,145,122,90,90,0.75,0,0.409,0.083,388.293,454.136,0.138,-36.758,0,"Pring__",-0.095,-17.254,0,"Penguin_iDOL",-21.462,-49.797,0,"甲斐野柊太",-10.667,-65.928,0,"Megarafa",25.084,-51.331,0,"Roslynn",16.311,-61.346,0,"YukihiroD",43.402,-91.345,0,"Gonyong",8.204,-118.455,0,"Amellaid",-58.797,-90.04,0,0,0,0,0,0,"",0,0,0,0,,,,,256,3
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,391.327,"ʚEveɞ",R,32,82,135,-0.91,-1.273,-0.153,1.195,-0.712,1.961,-36.594,11.647,2,0,209.72,160.503,7.676,0,0,1,1,4,L,"schmoneymikey",190,90,0.403,3,41,392.479,155,55,61,0,0,76,67,-32.019,0.177,-0.47,0,0.395,-419.022,50.224,-39.631,-0.266,-36.988,99,"Pring__",-0.034,-17.303,0,"Penguin_iDOL",-20.31,-50.23,86,"甲斐野柊太",-8.868,-66.361,0,"Megarafa",25.447,-51.021,0,"Roslynn",16.751,-59.357,0,"YukihiroD",44.574,-93.484,0,"Gonyong",14.313,-121.404,0,"Amellaid",-63.393,-91.862,0,391.51,-0.173,-21.279,392.95,0,"ʚEveɞ",-0.229,-36.473,0,0,,,,,258,2
4,1,1,0,0,0,0,2,0,0,0,255,255,255,3,413.756,"ʚEveɞ",R,2,70,111,-0.474,0.187,0.079,1.017,0.369,1.384,-36.748,26.83,0,0,-358.445,-348.594,6.435,0,0,0,2,0,R,"vauels",189.9,87.249,0.384,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.675,0,"Pring__",-0.013,-17.173,120,"Penguin_iDOL",-21.707,-47.842,0,"甲斐野柊太",-14.844,-63.959,0,"Megarafa",24.512,-51.919,0,"Roslynn",15.907,-59.676,0,"YukihiroD",42.821,-90.837,0,"Gonyong",-3.31,-123.153,0,"Amellaid",-62.052,-91.756,0,0,0,0,0,0,"",0,0,0,0,414.163,,,,0,0
5,1,1,0,0,0,1,2,0,0,0,255,255,255,4,422.96,"ʚEveɞ",R,3,74,115,-2.588,-0.901,-0.045,1.003,-0.208,1.339,-36.733,28.096,2,0,-457.265,80.753,39.836,0,0,1,2,0,R,"vauels",189.9,87.249,0.384,3,41,423.772,181,110,102,88,35,145,126,-35.429,15.991,0.24,0,0.413,-444.605,314.784,-184.906,-0.12,-36.914,0,"Pring__",-0.026,-17.291,0,"Penguin_iDOL",-21.614,-48.004,0,"甲斐野柊太",-14.977,-63.841,107,"Megarafa",24.856,-51.623,0,"Roslynn",17.478,-59.279,0,"YukihiroD",43.503,-91.937,0,"Gonyong",-9.285,-123.839,0,"Amellaid",-62.391,-92.055,0,422.723,-0.721,-20.886,425.07,3,"甲斐野柊太",-13.4,-65.005,0,4,468.47,,,,31,2
6,1,0,0,0,0,0,0,0,0,0,255,255,255,0,576.305,"vauels",L,28,70,124,-1.213,0.132,-0.118,1.866,-0.551,1.606,-36.444,17.986,0,0,19.58,-63.035,2.273,0,0,0,0,8,L,"Amellaid",179.9,85,0.44,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.536,0,"Yuume",0.027,-16.919,0,"すーぱーおもちらんど",-20.637,-46.909,0,"Pugeuk",-14.912,-62.166,0,"schmoneymikey",21.512,-51.193,0,"눈꽃",12.763,-64.962,0,"별이__",48.359,-92.65,0,"AI",0,-109.84,0,"ʚmingɞ",-42.585,-85.837,0,0,0,0,0,0,"",0,0,0,0,576.817,,,,0,0
7,1,0,0,0,0,1,0,0,0,0,255,255,255,1,591.649,"vauels",L,12,65,119,-1.171,-0.34,-0.104,1.827,-0.484,1.474,-36.379,17.969,2,0,-14.247,67.576,18.641,0,0,1,0,8,L,"Amellaid",179.9,85,0.44,3,39,592.7,237,164,131,106,0,145,87,21.833,21.94,-0.81,0,0.565,512.427,302.896,30.002,-0.1,-37.023,0,"Yuume",-0.147,-16.885,0,"すーぱーおもちらんど",-20.168,-47.15,0,"Pugeuk",-12.632,-62.227,0,"schmoneymikey",21.509,-51.174,0,"눈꽃",12.588,-65.176,0,"별이__",47.79,-93.309,0,"AI",0,-109.84,0,"ʚmingɞ",-38.745,-87.694,72,596.07,-31.665,-84.581,596.203,8,"ʚmingɞ",-30.323,-82.098,1,0,,,,,132,2
8,1,0,0,0,0,0,0,1,0,0,18,255,255,2,624.374,"vauels",L,1,41,102,-9.405,-0.175,-0.304,1.904,-3.251,1.685,-37.263,78.388,1,0,0,0,-10.788,-2.426,-14.912,0,1,2,R,"Penguin_iDOL",190,80,0.353,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.21,-37.347,0,"Yuume",-2.143,-15.989,120,"すーぱーおもちらんど",-19.57,-43.99,0,"Pugeuk",-16.499,-61.315,0,"schmoneymikey",20.775,-50.685,0,"눈꽃",5.779,-60.992,109,"별이__",36.583,-96.643,0,"AI",0,-109.84,0,"ʚmingɞ",-47.058,-88.749,0,0,0,0,0,0,"",0,0,0,0,628.35,631.675,,,0,0
9,1,0,0,0,1,0,0,0,1,0,255,18,255,3,650.136,"vauels",L,26,68,122,0.634,-0.018,-0.097,1.891,0.29,1.379,-36.795,23.958,0,0,-6.977,-200,-2.529,0,0,0,1,2,R,"Penguin_iDOL",190,80,0.353,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.948,0,"Yuume",0.08,-17.067,0,"すーぱーおもちらんど",-19.968,-46.754,0,"Pugeuk",-16.154,-63.002,0,"schmoneymikey",19.423,-50.325,0,"눈꽃",6.689,-62.222,0,"별이__",36.041,-96.694,0,"AI",0,-109.84,0,"ʚmingɞ",-43.271,-89.756,0,0,0,0,0,0,"",0,0,0,0,650.817,,,,0,0
10,1,0,0,0,1,1,0,0,1,0,255,18,255,4,665.978,"vauels",L,26,81,133,0.977,-0.014,-0.109,1.959,0.463,1.452,-36.913,37.359,2,0,-48.889,-200,-1.884,0,0,1,1,2,R,"Penguin_iDOL",190,80,0.353,3,39,667.163,202,216,147,99,53,145,130,90,-90,0.52,0,0.411,515.131,298.563,63.261,-0.011,-37.277,0,"Yuume",0.089,-17.06,0,"すーぱーおもちらんど",-20.406,-46.106,0,"Pugeuk",-16.194,-62.197,0,"schmoneymikey",20.462,-49.489,0,"눈꽃",8.691,-62.445,0,"별이__",36.521,-97.04,0,"AI",0,-109.84,0,"ʚmingɞ",-42.942,-91.208,0,0,0,0,0,0,"",0,0,0,0,,669.386,,,4,3
