id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,289.689,"Ainy4／あいにゃ",R,27,89,140,-1.537,-1.541,-0.151,1.521,-0.702,0.693,-36.887,12.418,1,0,24.368,-103.944,2.815,0,0,0,0,3,L,"Megarafa",179.9,90,0.501,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.149,-37.446,0,"Pring__",-0.04,-16.949,0,"すーぱーおもちらんど",-20.835,-47.472,0,"눈꽃",-12.925,-64.574,0,"ًً미소",22.022,-48.922,0,"甲斐野柊太",14.789,-64.004,0,"Kr_Luna",39.752,-91.15,0,"TaeGeuk_",1.214,-112.516,0,"소솨소솨",-46.022,-85.605,0,0,0,0,0,0,"",0,0,0,0,291.304,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,304.488,"Ainy4／あいにゃ",R,14,75,102,0.719,-0.689,-0.142,1.821,-0.442,1.698,-37.043,6.716,0,0,362.039,312.348,57.942,0.32,-18.394,1,0,3,L,"Megarafa",179.9,90,0.501,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049,-38.141,0,"Pring__",0.429,-18.59,0,"すーぱーおもちらんど",-20.296,-47.322,0,"눈꽃",-10.636,-65.642,0,"ًً미소",21.972,-48.953,0,"甲斐野柊太",14.011,-64.155,0,"Kr_Luna",42.976,-95.555,0,"TaeGeuk_",0.87,-115.06,0,"소솨소솨",-41.056,-83.437,0,0,0,0,0,0,"",0,0,0,0,307.382,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,320.001,"Ainy4／あいにゃ",R,27,82,135,0.434,-0.084,0.031,1.749,0.142,1.475,-36.928,9.278,0,0,29.643,-129.305,-0.529,0,0,0,0,3,L,"Megarafa",179.9,90,0.501,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125,-37.855,0,"Pring__",-0.025,-16.881,0,"すーぱーおもちらんど",-20.497,-45.152,0,"눈꽃",-10.667,-65.643,0,"ًً미소",22.051,-48.858,0,"甲斐野柊太",14.09,-64.081,0,"Kr_Luna",42.023,-96.09,0,"TaeGeuk_",1.105,-117.901,0,"소솨소솨",-41.036,-83.436,0,0,0,0,0,0,"",0,0,0,0,321.626,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,338.07,"Ainy4／あいにゃ",R,6,73,103,2.753,0.68,0.134,2.088,0.417,2.306,-37.227,33.458,4,0,351.222,176.569,13.353,0,0,1,0,3,L,"Megarafa",179.9,90,0.501,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124,-37.823,0,"Pring__",0.054,-16.857,0,"すーぱーおもちらんど",-19.434,-43.717,0,"눈꽃",-10.606,-65.629,0,"ًً미소",22.311,-48.689,0,"甲斐野柊太",13.997,-64.193,0,"Kr_Luna",39.383,-95.22,0,"TaeGeuk_",1.956,-121.048,0,"소솨소솨",-42.657,-84.578,0,0,0,0,0,0,"",0,0,0,0,339.826,,,,0,0
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,358.891,"Ainy4／あいにゃ",R,27,82,135,0.514,0.107,0.031,1.765,0.145,1.525,-36.932,9.102,2,0,60.718,-126.868,1.442,0,0,1,1,8,R,"SUGUN",175,81.662,0.502,3,74,359.754,207,196,98,139,44,145,99,55.642,24.572,-0.1,0,0.418,-461.84,-56.852,-241.726,0.06,-37.478,0,"Pring__",0.028,-17.017,0,"すーぱーおもちらんど",-20.396,-46.835,0,"눈꽃",-14.921,-64.156,91,"ًً미소",22.271,-48.635,0,"甲斐野柊太",5.942,-66.537,0,"Kr_Luna",39.413,-95.187,0,"TaeGeuk_",1.208,-121.419,0,"소솨소솨",-49.694,-89.909,0,365.615,-23.413,-82.871,365.782,3,"눈꽃",-22.746,-81.272,0,0,,,,,136,1
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,383.412,"Ainy4／あいにゃ",R,10,73,103,1.059,-0.215,0.159,1.967,0.493,2.031,-37.195,27.679,2,0,-19.737,400,20.525,0,0,1,2,6,R,"가앤슬_",180,85.352,0.255,3,74,384.641,180,101,64,61,42,151,129,25.851,-21.129,0.49,0,0.476,88.28,236.372,117.418,-0.195,-37.551,0,"Pring__",0.022,-17.053,0,"すーぱーおもちらんど",-21.056,-47.206,0,"눈꽃",-14.206,-63.978,0,"ًً미소",21.996,-48.534,0,"甲斐野柊太",11.226,-65.613,85,"Kr_Luna",35.784,-86.335,104,"TaeGeuk_",-4.452,-120.895,0,"소솨소솨",-46.186,-88.384,0,390.059,33.179,-124.831,391.982,6,"Kr_Luna",28.101,-116.629,1,0,,394.781,,,74,2
7,1,1,0,0,0,0,2,0,1,0,255,6,255,6,414.596,"Ainy4／あいにゃ",R,27,88,140,0.131,0.634,-0.007,1.872,-0.031,1.881,-37.008,22.185,0,0,70.009,-133.108,-1.765,0.209,-5.357,0,3,2,L,"encounter v",190,86.172,0.499,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.157,-37.824,0,"Pring__",-0.01,-16.881,120,"すーぱーおもちらんど",-20.068,-46.178,0,"눈꽃",-11.579,-64.523,0,"ًً미소",22.112,-48.394,0,"甲斐野柊太",9.963,-57.131,0,"Kr_Luna",41.813,-107.421,0,"TaeGeuk_",23.534,-122.381,0,"소솨소솨",-43.775,-86.292,0,0,0,0,0,0,"",0,0,0,0,416.193,425.911,,,0,0
8,1,1,0,0,0,1,2,0,1,0,255,6,255,7,428.538,"Ainy4／あいにゃ",R,12,68,105,1.752,1.494,0.265,2.315,0.755,2.775,-37.645,72.693,2,0,0,147.074,4.849,0,0,1,3,2,L,"encounter v",190,86.172,0.499,3,73,429.623,224,106,112,89,78,145,93,19.554,8.167,0.97,0,0.619,-32.01,-383.796,-187.418,-0.128,-37.355,0,"Pring__",0.091,-17.114,0,"すーぱーおもちらんど",-20.743,-47.077,0,"눈꽃",-12.138,-63.913,0,"ًً미소",22.153,-48.369,0,"甲斐野柊太",9.974,-57.12,0,"Kr_Luna",44.025,-106.68,0,"TaeGeuk_",13.741,-127.517,89,"소솨소솨",-43.766,-86.31,0,433.648,-3.942,-92.4,436.137,7,"TaeGeuk_",-2.895,-116.303,1,8,479.337,439.751,435.744,440.841,386,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,614.547,"Muna_328",R,27,85,139,1.565,-0.044,0.157,1.697,0.731,1.482,-36.347,17.883,1,0,-40.374,-115.402,-5.547,0,0,0,0,2,R,"すーぱーおもちらんど",190,90.362,0.397,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163,-37.59,0,"bdg06213",-0.053,-17.745,0,"encounter v",-20.661,-46.52,0,"Megarafa",-17.407,-61.804,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",22.368,-55.885,0,"Sabo_10",8.055,-62.711,0,"가앤슬_",42.375,-107.773,0,"아침땅_",-1.656,-106.283,0,"SUGUN",-37.941,-93.168,0,0,0,0,0,0,"",0,0,0,0,616.015,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,631.118,"Muna_328",R,0,86,140,1.098,-0.88,0.102,1.565,0.475,1.055,-36.392,9.549,2,0,0,0,16.087,0,0,0,0,2,R,"すーぱーおもちらんど",190,90.362,0.397,2,72,632.181,133,31,57,41,24,134,130,-42.963,-36.507,0.57,0,0.238,-390.194,335.229,88.289,-0.019,-36.847,0,"bdg06213",-0.065,-17.861,0,"encounter v",-20.844,-46.308,0,"Megarafa",-17.33,-61.824,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",22.983,-55.346,0,"Sabo_10",10.317,-64.776,90,"가앤슬_",42.079,-107.021,87,"아침땅_",-1.807,-106.127,0,"SUGUN",-37.885,-93.047,0,632.259,0.586,-18.987,637.148,6,"가앤슬_",55.452,-93.115,1,0,,,,,324,2
