id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,346.982,"HANA_ARASHI",R,14,89,126,1.603,-2.063,0.057,1.6,0.267,0.872,-36.323,16.03,2,0,365.056,341.664,0,0,0,0,0,5,R,"HalF_HearteD",160,82,0.455,3,84,348.052,215,187,61,90,70,138,122,-3.368,26.084,0.59,0,0.242,-205.747,491.152,62.39,-0.087,-36.996,0,"-라후이-",-0.024,-17.399,0,"si_ho",-22.198,-45.616,87,"甲斐野柊太",-12.874,-65.029,0,"Gonyong",21.657,-47.364,0,"muyang_",15.086,-62.995,0,"장덕춘_",46.812,-92.956,0,"눈꽃",-6.424,-110.077,0,"CAT tourniquet",-38.812,-94.947,90,348.043,-0.643,-21.387,351.098,8,"CAT tourniquet",-31.453,-86.447,1,0,,,,,292,2
2,1,1,0,0,0,0,0,1,0,0,5,255,255,1,380.9,"HANA_ARASHI",R,26,86,140,-1.299,-0.472,-0.101,1.448,-0.468,1.15,-36.446,22.868,0,0,-81.955,-200,0,-0.19,-19,0,1,1,L,"NABIMan",190,81.885,0.496,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.338,-37.383,0,"-라후이-",-0.119,-17.672,120,"si_ho",-19.77,-42.829,0,"甲斐野柊太",-4.894,-55.739,0,"Gonyong",19.444,-44.182,0,"muyang_",14.092,-62.921,0,"장덕춘_",43.104,-89.808,0,"눈꽃",4.643,-105.164,0,"CAT tourniquet",-33.975,-97.19,0,0,0,0,0,0,"",0,0,0,0,383.443,,,,0,0
3,1,1,0,0,0,1,0,1,0,0,5,255,255,2,401.941,"HANA_ARASHI",R,26,92,140,-1.825,0.37,-0.139,1.611,-0.646,1.679,-36.351,7.362,4,0,-110.379,-200,0,0,0,1,1,1,L,"NABIMan",190,81.885,0.496,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.181,-37.239,0,"-라후이-",-0.02,-17.781,0,"si_ho",-19.469,-40.819,0,"甲斐野柊太",-5.145,-55.499,0,"Gonyong",19.499,-44.329,0,"muyang_",9.93,-64.726,0,"장덕춘_",44.119,-89.028,0,"눈꽃",2.227,-99.16,0,"CAT tourniquet",-33.893,-97.296,0,0,0,0,0,0,"",0,0,0,0,402.976,,,,0,0
4,1,1,0,0,0,2,0,1,0,0,5,255,255,3,422.837,"HANA_ARASHI",R,26,76,128,-0.482,1.68,-0.034,1.858,-0.16,2.478,-36.419,20.325,2,0,-32.719,-200,0,0,0,1,1,1,L,"NABIMan",190,81.885,0.496,3,39,423.733,255,101,100,125,69,145,102,24.88,6.843,-0.27,0,0.331,361.952,471.687,-54.011,-0.212,-36.99,0,"-라후이-",0.039,-17.888,0,"si_ho",-19.823,-44.333,0,"甲斐野柊太",-5.683,-54.543,0,"Gonyong",19.348,-44.273,0,"muyang_",12.386,-62.641,85,"장덕춘_",46.393,-91.423,0,"눈꽃",6.177,-105.591,97,"CAT tourniquet",-33.89,-97.297,0,428.576,-19.519,-105.377,433.02,7,"눈꽃",-27.692,-129.614,1,0,,430.554,435.108,,392,2
5,1,1,0,0,0,0,0,0,1,1,255,1,5,4,460.399,"HANA_ARASHI",R,14,80,118,1.658,1.217,0.061,1.887,0.284,2.683,-36.421,25.436,2,0,318.571,385.373,0,0,0,1,2,7,R,"즉석카레",170,84.749,0.402,2,81,461.301,133,198,65,124,83,138,121,32.042,-35.306,0.29,0,0.095,187.532,-493.095,283.708,-0.145,-36.863,0,"-라후이-",0.027,-17.331,0,"si_ho",-21.451,-45.044,0,"甲斐野柊太",-5.377,-56.981,0,"Gonyong",19.116,-44.587,0,"muyang_",13.761,-63.226,0,"장덕춘_",44.432,-89.825,0,"눈꽃",-1.27,-107.78,0,"CAT tourniquet",-37.806,-97.217,0,466.598,73.379,-103.607,0,0,"",0,0,0,0,,470.729,468.424,468.516,256,4
6,1,1,3,0,0,0,0,0,0,0,255,255,255,5,499.273,"HANA_ARASHI",R,13,84,123,-0.837,-0.179,0.032,1.646,0.149,1.8,-36.325,11.693,2,0,-390.434,312.348,0,0,0,1,3,2,R,"가앤슬_",180,85.352,0.255,3,80,500.443,151,94,62,57,23,137,130,-10.008,13.162,0.53,0,0.335,-132.844,565.412,-142.365,-0.103,-36.914,0,"-라후이-",-0.061,-17.494,0,"si_ho",-21.832,-45.66,0,"甲斐野柊太",-12.982,-64.982,93,"Gonyong",20.285,-46.547,0,"muyang_",13.39,-62.912,0,"장덕춘_",47.441,-92.063,0,"눈꽃",2.702,-110.143,0,"CAT tourniquet",-37.597,-97.495,0,500.465,-1.414,-23.49,502.198,3,"甲斐野柊太",-9.922,-59.092,0,0,,,,504.316,352,2
7,1,1,3,0,0,0,1,0,0,0,255,255,255,6,526.077,"HANA_ARASHI",R,14,82,121,2.157,-0.799,0.1,1.744,0.467,1.496,-36.302,26.081,1,0,350.335,356.742,0,0,0,0,4,8,R,"SUGUN",175,81.662,0.502,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.045,-36.989,0,"-라후이-",0.096,-17.664,0,"si_ho",-21.218,-45.349,0,"甲斐野柊太",-11.418,-65.578,0,"Gonyong",20.172,-46.646,0,"muyang_",12.01,-64.532,0,"장덕춘_",46.985,-96.06,0,"눈꽃",-5.867,-110.1,0,"CAT tourniquet",-36.832,-98.247,0,0,0,0,0,0,"",0,0,0,0,527.32,,,,0,0
8,1,1,3,0,1,0,1,0,0,0,255,255,255,7,538.451,"HANA_ARASHI",R,14,70,99,1.416,0.289,-0.014,2.062,-0.043,2.293,-36.377,33.388,2,0,327.188,343.275,0,0,0,1,4,8,R,"SUGUN",175,81.662,0.502,3,79,539.462,213,185,107,94,79,145,110,-45.009,39.323,0.9,0,0.296,-237.076,-327.173,-439.509,-0.007,-36.77,0,"-라후이-",0.119,-17.646,0,"si_ho",-21.4,-45.067,0,"甲斐野柊太",-11.318,-65.385,0,"Gonyong",19.971,-46.446,0,"muyang_",12.636,-63.819,0,"장덕춘_",47.005,-96.093,0,"눈꽃",-5.856,-110.115,0,"CAT tourniquet",-36.766,-98.097,87,539.454,-0.639,-22.251,544.265,8,"CAT tourniquet",-45.752,-81.551,0,0,,,,,268,2
9,1,1,3,0,0,0,1,0,0,0,255,255,255,8,567.904,"HANA_ARASHI",R,26,78,129,0.892,1.123,0.116,1.715,0.538,2.046,-36.377,17.049,2,0,-124.393,-200,0,0,0,1,5,6,R,"「론구」",174.6,80,0.299,3,78,568.997,114,46,70,59,60,136,84,90,90,-0.63,0,0.148,312.935,163.716,50.129,0.023,-36.913,0,"-라후이-",0.135,-17.712,0,"si_ho",-20.551,-44.179,0,"甲斐野柊太",-6.82,-53.428,0,"Gonyong",19.141,-41.94,0,"muyang_",8.21,-58.862,0,"장덕춘_",45.081,-91.578,0,"눈꽃",-3.513,-106.388,0,"CAT tourniquet",-37.205,-94.375,0,0,0,0,575.265,1,"-라후이-",12.547,-17.74,0,0,575.265,,,,258,1
10,1,1,3,0,0,0,2,1,0,0,255,255,255,9,594.521,"HANA_ARASHI",R,13,75,116,2.071,0.595,0.256,1.813,1.189,2.368,-36.491,33.736,2,0,-208.356,400,0,0,0,1,6,3,R,"레이나2",180.2,85.17,0.353,3,78,595.624,202,74,118,94,57,145,128,21.492,-25.726,0.36,0,0.232,90.13,541.338,240.063,-0.108,-36.936,0,"-라후이-",-0.008,-17.862,0,"si_ho",-20.974,-45.428,0,"甲斐野柊太",-12.336,-64.801,0,"Gonyong",21.482,-48.203,87,"muyang_",13.471,-62.79,0,"장덕춘_",45.666,-92.143,0,"눈꽃",-4.348,-109.617,98,"CAT tourniquet",-37.884,-96.166,0,600.465,34.233,-125.301,602.565,7,"눈꽃",25.527,-117.128,1,0,,599.929,604.283,,385,2
11,1,1,3,0,0,0,2,0,1,0,255,3,255,10,629.434,"HANA_ARASHI",R,26,86,140,1.657,0.125,0.177,1.558,0.823,1.496,-36.299,19.842,1,0,-94.902,-200,0,0.538,-18.969,0,7,4,R,"CoalCat",174.3,84.55,0.502,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-37.118,0,"-라후이-",0.165,-17.863,0,"si_ho",-21.422,-45.247,0,"甲斐野柊太",-11.725,-65.202,0,"Gonyong",20.315,-44.371,0,"muyang_",9.162,-61.785,0,"장덕춘_",45.514,-96.498,0,"눈꽃",-1.688,-104.462,0,"CAT tourniquet",-36.519,-95.903,0,0,0,0,0,0,"",0,0,0,128,632.098,631.601,632.041,,0,0
12,1,1,3,0,1,0,2,0,1,0,255,3,255,11,642.848,"HANA_ARASHI",R,26,73,126,1.594,1.646,0.157,1.799,0.73,2.344,-36.37,28.18,2,0,-26.335,-200,0,0,0,1,7,4,R,"CoalCat",174.3,84.55,0.502,3,77,643.969,255,70,74,83,44,145,94,53.098,51.561,-0.34,0,0.226,155.782,162.963,-133.228,-0.32,-36.875,0,"-라후이-",0.069,-17.8,0,"si_ho",-21.639,-45.085,0,"甲斐野柊太",-12.54,-64.995,0,"Gonyong",20.207,-44.314,0,"muyang_",11.049,-60.498,0,"장덕춘_",45.312,-95.642,0,"눈꽃",-2.204,-104.439,0,"CAT tourniquet",-36.474,-95.889,0,649.22,-59.105,-63.544,0,0,"",0,0,0,0,,652.64,653.136,,256,3
13,1,1,3,0,1,1,2,0,1,1,255,3,8,12,667.046,"HANA_ARASHI",R,13,84,109,-2.977,-1.084,-0.195,1.711,-0.604,1.437,-36.361,7.11,1,0,-377.441,323.901,0,-1.044,-17.687,0,7,4,R,"CoalCat",174.3,84.55,0.502,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26,-37.433,0,"-라후이-",-0.453,-17.77,0,"si_ho",-22.083,-45.011,0,"甲斐野柊太",-13.924,-64.444,0,"Gonyong",19.48,-44.708,0,"muyang_",8.012,-61.579,0,"장덕춘_",41.586,-101.71,0,"눈꽃",-5.455,-107.104,0,"CAT tourniquet",-36.543,-98.434,0,0,0,0,0,0,"",0,0,0,0,669.709,,669.744,,0,0
14,1,1,3,0,2,1,2,0,1,1,255,3,8,13,680.705,"HANA_ARASHI",R,11,69,104,1.119,-0.281,0.229,1.97,0.481,1.8,-36.788,46.266,2,0,0,228.683,0,0,0,1,7,4,R,"CoalCat",174.3,84.55,0.502,3,77,681.927,255,84,96,74,55,145,85,-82.506,-77.265,-0.83,0,0.263,-270.447,-412.622,-337.061,-0.028,-36.949,0,"-라후이-",0.01,-17.972,0,"si_ho",-21.995,-44.93,0,"甲斐野柊太",-13.965,-63.257,0,"Gonyong",19.877,-44.321,0,"muyang_",11.15,-62.504,0,"장덕춘_",41.59,-101.705,0,"눈꽃",-6.399,-107.366,0,"CAT tourniquet",-36.526,-98.252,0,681.876,0.634,-20.421,0,0,"",0,0,0,0,,685.971,686.481,,256,3
15,1,1,3,0,2,2,2,0,1,1,255,3,8,14,703.019,"HANA_ARASHI",R,26,66,121,1.765,2.13,0.189,1.882,0.879,2.638,-36.517,34.058,1,0,-72.505,-174.845,0,0,0,0,7,4,R,"CoalCat",174.3,84.55,0.502,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032,-37.272,0,"-라후이-",0.018,-17.958,0,"si_ho",-22.18,-45.61,0,"甲斐野柊太",-13.793,-64.389,0,"Gonyong",20.247,-43.617,0,"muyang_",12.494,-62.304,0,"장덕춘_",45.337,-94.219,0,"눈꽃",-4.266,-106.027,0,"CAT tourniquet",-36.775,-92.872,0,0,0,0,0,0,"",0,0,0,0,704.487,706.058,705.835,,0,0
