id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,271.857,"HANA_ARASHI",R,32,90,140,-0.99,0.652,0.597,1.548,-0.732,1.81,-36.35,33.366,0,0,250,-193.308,-10.836,0,0,1,0,3,R,"si_ho",175,90.469,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142,-37.135,0,"Gonyong",0.027,-17.414,0,"신과함께1",-19.565,-46.653,0,"SUGUN",-15.496,-62.25,0,"shimenawa",24.964,-53.063,0,"muyang_",13.364,-64.413,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"아침땅_",-41.701,-82.572,0,0,0,0,0,0,"",0,0,0,0,272.693,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,289.656,"HANA_ARASHI",R,13,83,121,-0.151,0.037,0.874,1.607,0.556,2.02,-36.57,48.956,0,0,-390.434,312.348,-19.411,0,0,1,0,3,R,"si_ho",175,90.469,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201,-37.113,0,"Gonyong",-0.089,-17.8,0,"신과함께1",-19.633,-46.671,0,"SUGUN",-15.534,-62.311,0,"shimenawa",25.161,-52.457,0,"muyang_",13.01,-64.284,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"아침땅_",-41.4,-83.267,0,0,0,0,0,0,"",0,0,0,0,290.537,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,309.053,"HANA_ARASHI",R,32,68,121,3.091,1.403,0.919,1.716,0.766,2.402,-36.627,59.904,4,0,250,-86.213,0.263,0,0,1,0,3,R,"si_ho",175,90.469,0.5,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461,-36.882,0,"Gonyong",-0.05,-17.956,0,"신과함께1",-19.735,-46.685,0,"SUGUN",-15.576,-62.252,0,"shimenawa",24.254,-52.067,0,"muyang_",13.15,-64.596,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"아침땅_",-41.796,-83.42,0,0,0,0,0,0,"",0,0,0,0,310.604,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,339.637,"HANA_ARASHI",R,13,81,119,-3.947,-0.011,0.497,1.577,-1.198,1.892,-36.479,41.049,2,0,-390.434,312.348,-5.448,0,0,1,1,7,R,"ᴄʀᴜɴᴄʜʏᴇsᴛ",190,90.286,0.647,3,67,340.722,200,82,147,97,69,145,114,34.166,-2.119,0.83,0.19,0.382,370.097,52.28,71.507,0.043,-36.801,0,"Gonyong",-0.503,-17.594,107,"신과함께1",-19.355,-46.295,0,"SUGUN",-15.294,-62.386,85,"shimenawa",24.846,-50.617,0,"muyang_",14.4,-63.797,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"아침땅_",-41.665,-84.043,0,345.904,1.474,-120.326,350.982,3,"SUGUN",0.168,-67.013,0,0,354.537,,,,69,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,372.926,"HANA_ARASHI",R,32,87,140,-0.945,0.494,0.604,1.536,-0.697,1.761,-36.306,37.331,0,0,237.515,-200,-17.623,0,0,0,2,1,L,"CAT tourniquet",190,80,0.503,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,-37.056,0,"Gonyong",-0.146,-17.204,0,"신과함께1",-19.748,-46.87,0,"SUGUN",-16.25,-62.371,0,"shimenawa",24.275,-51.362,0,"muyang_",13.56,-64.415,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"아침땅_",-34.027,-93.831,0,0,0,0,0,0,"",0,0,0,0,373.66,,,,0,0
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,391.686,"HANA_ARASHI",R,13,80,117,-3.183,-0.239,0.592,1.558,-0.753,1.832,-36.316,38.077,1,0,-390.434,312.348,-1.737,0,0,0,2,1,L,"CAT tourniquet",190,80,0.503,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,-37.119,0,"Gonyong",-0.158,-17.216,0,"신과함께1",-19.632,-46.899,0,"SUGUN",-16.245,-62.385,0,"shimenawa",25.221,-50.344,0,"muyang_",12.671,-64.561,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"아침땅_",-35.252,-92.829,0,0,0,0,0,0,"",0,0,0,0,392.515,,,,0,0
7,1,1,0,0,1,1,2,0,0,0,255,255,255,6,527.141,"HANA_ARASHI",R,13,87,126,-2.788,0.163,0.619,1.626,-0.627,2.052,-36.453,44.037,1,0,-390.434,312.348,-6.192,0,0,0,2,1,L,"CAT tourniquet",190,80,0.503,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,-37.245,0,"Gonyong",-0.085,-17.532,0,"신과함께1",-20.739,-47.582,0,"SUGUN",-16.038,-62.417,0,"shimenawa",24.506,-48.796,0,"muyang_",13.14,-65.106,0,"AI",40.9,-90.65,0,"Yaksok~",3.769,-105.936,0,"아침땅_",-34.311,-91.662,0,0,0,0,0,0,"",0,0,0,0,527.871,,,,0,0
8,1,1,0,0,2,1,2,0,0,0,255,255,255,7,543.414,"HANA_ARASHI",R,26,84,136,-2.548,0.552,0.503,1.546,-1.166,1.791,-36.336,37.278,3,0,166.225,-200,-10.46,0.132,-19.777,0,2,1,L,"CAT tourniquet",190,80,0.503,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.007,-36.795,0,"Gonyong",0.015,-17.31,0,"신과함께1",-20.844,-47.494,0,"SUGUN",-16.084,-62.185,0,"shimenawa",24,-48.827,0,"muyang_",12.591,-65.027,0,"AI",40.9,-90.65,0,"Yaksok~",3.281,-106.122,0,"아침땅_",-34.302,-91.656,0,0,0,0,0,0,"",0,0,0,0,547.46,,,,0,6
9,1,1,0,0,0,0,2,1,0,0,1,255,255,8,575.52,"HANA_ARASHI",R,3,71,112,-2.985,0.084,0.603,1.579,-0.702,1.912,-36.495,47.762,1,0,-399.954,213.327,2.841,0,0,0,3,4,R,"즉석카레",180,84.749,0.402,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.032,-36.748,0,"Gonyong",-1.551,-21.936,0,"신과함께1",-19.145,-43.076,0,"SUGUN",-14.97,-62.644,0,"shimenawa",22.361,-46.219,0,"muyang_",5.46,-61.045,0,"AI",40.9,-90.65,0,"Yaksok~",-0.462,-105.162,0,"아침땅_",-41.717,-85.917,0,0,0,0,0,0,"",0,0,0,4,576.26,,,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,770.063,"Penguin_iDOL",R,28,84,136,-2.183,0.039,-0.01,1.876,-0.976,1.566,-36.327,16.014,2,0,18.812,-67.905,0,0,0,1,0,2,L,"신과함께1",190,91.814,0.2,2,41,771.111,253,69,98,89,43,145,90,18.795,11.279,-0.85,0,0.208,182.089,367.002,14.959,0.021,-36.805,0,"CAT tourniquet",-0.169,-17.626,0,"NABIMan",-24.183,-49.661,0,"si_ho",-10.467,-66.049,0,"즉석카레",23.745,-49.568,0,"Slaris",13.118,-62.799,85,"AI",40.9,-90.65,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",0.866,-117.623,0,"mungjungh",-46.234,-96.014,116,774.248,-18.474,-85.453,776.637,8,"mungjungh",-25.012,-103.345,1,0,,,,,224,2
