id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,290,"양_뭉이",R,33,75,126,2.749,0.529,0.176,2.001,0.987,1.845,-37.052,68.197,2,0,123.912,-41.413,0,0,0,1,0,8,R,"SUGUN",175,81.662,0.502,3,37,291.006,136,51,69,66,34,138,129,26.091,-26.665,0.44,0,0.209,-328.906,496.743,-17.197,-0.141,-36.715,0,"눈꽃",-0.055,-17.735,0,"아침땅_",-20.527,-46.452,0,"Megarafa",-14.791,-63.872,82,"encounter v",20.504,-48.37,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",10.983,-63.787,86,"AI",40.9,-90.65,0,"하루（Haru）",1.062,-110.569,100,"HANA_ARASHI",-46.426,-94.571,0,294.999,36.809,-119.254,297.786,7,"하루（Haru）",29.6,-117.483,1,0,,300.561,,,153,2
2,1,1,0,0,0,0,0,0,1,0,255,8,255,1,323.181,"양_뭉이",R,3,70,112,1.691,1.166,0.158,2.085,1.493,2.334,-37.161,78.688,2,0,-399.973,0,0,0,0,1,1,1,L,"_Chun",190,80,0.445,3,35,324.248,179,153,74,134,68,145,106,92.065,87.688,0.91,0,0.459,248.375,450.484,-306.88,-0.644,-37,0,"눈꽃",0.439,-17.671,0,"아침땅_",-19.971,-46.773,0,"Megarafa",-13.6,-64.771,0,"encounter v",19.585,-44.84,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",6.703,-59.507,0,"Yaksok~",40.085,-85.962,0,"하루（Haru）",1.556,-113.656,0,"HANA_ARASHI",-41.137,-92.467,0,0,0,0,0,0,"",0,0,0,0,,326.771,,,1,3
3,1,1,0,0,0,1,0,0,1,0,255,8,255,2,339.48,"양_뭉이",R,33,86,139,-2.115,-0.962,-0.059,1.754,-1.605,0.747,-36.581,20.098,2,0,103.672,-80.924,0,0,0,1,1,1,L,"_Chun",190,80,0.445,3,89,340.4,229,151,102,84,56,145,105,45.02,-37.575,-0.1,0,0.286,257.785,-464.929,-276.023,-0.31,-36.922,0,"눈꽃",-0.11,-17.959,0,"아침땅_",-19.963,-46.49,0,"Megarafa",-12.022,-65.159,0,"encounter v",20.285,-45.419,85,"ᴄʀᴜɴᴄʜʏᴇsᴛ",7.821,-60.328,0,"Yaksok~",41.005,-86.918,92,"하루（Haru）",1.327,-112.767,0,"HANA_ARASHI",-45.347,-97.558,0,345.372,60.346,-78.685,345.479,6,"Yaksok~",58.57,-77.257,0,0,,349.061,,,259,1
4,1,1,0,0,0,0,1,0,1,0,255,8,255,3,373.282,"양_뭉이",R,32,83,135,-1.874,-0.208,-0.03,1.948,-1.009,1.403,-36.845,47.125,2,0,150.42,-66.553,0,0,0,1,2,2,R,"すーぱーおもちらんど",190,89.617,0.397,2,35,374.418,118,80,50,60,52,132,87,27.074,45.646,0.96,0,0.587,-441.51,404.946,-32.981,-0.723,-37.205,0,"눈꽃",-0.045,-17.834,0,"아침땅_",-20.214,-46.084,0,"Megarafa",-14.757,-64.011,0,"encounter v",19.813,-45.052,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",8.132,-61.286,0,"Yaksok~",39.201,-87.359,0,"하루（Haru）",-0.446,-110.889,0,"HANA_ARASHI",-48.771,-102.089,0,377.186,-44.249,-56.565,0,0,"",0,0,0,0,,382.022,,,1,3
5,1,1,0,0,0,1,1,0,1,0,255,8,255,4,393.151,"양_뭉이",R,3,78,118,-0.243,0.299,0.236,1.998,0.599,1.786,-36.905,57.12,2,0,-404.249,0,0,0,0,1,2,2,R,"すーぱーおもちらんど",190,89.617,0.397,2,35,394.371,104,95,111,84,55,136,130,28.09,-8.885,0.49,0,0.767,334.479,300.376,1.743,-0.521,-37.355,0,"눈꽃",-0.086,-18.329,0,"아침땅_",-20.202,-46.251,0,"Megarafa",-15.942,-63.209,85,"encounter v",17.248,-43.174,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",3.085,-60.336,0,"Yaksok~",41.987,-86.108,0,"하루（Haru）",-10.169,-114.588,99,"HANA_ARASHI",-48.852,-100.609,0,399.786,10.522,-132.531,400.506,7,"하루（Haru）",10.573,-130.138,1,0,,405.051,395.783,403.317,145,2
6,1,1,1,0,0,0,1,0,1,0,255,2,255,5,429.066,"양_뭉이",R,33,76,127,-1.368,-0.401,0.04,1.898,-0.729,1.321,-36.665,49.641,2,0,100.004,-22.21,0,0,0,1,3,3,L,"Sabo_10",179.5,87.575,0.449,3,35,430.093,182,144,108,127,49,145,94,7.958,9.659,0.95,0,0.638,-165.339,77.782,77.463,-0.631,-36.952,0,"눈꽃",-0.204,-18.214,0,"아침땅_",-20.099,-46.848,98,"Megarafa",-13.569,-64.768,110,"encounter v",18.087,-43.983,77,"ᴄʀᴜɴᴄʜʏᴇsᴛ",0.66,-59.269,0,"Yaksok~",41.539,-84.58,0,"하루（Haru）",0.396,-118.028,0,"HANA_ARASHI",-47.248,-101.583,0,431.359,-6.981,-58.948,432.679,5,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-8.66,-66.68,0,0,,,432.064,,195,2
7,1,1,1,0,0,0,2,0,0,1,255,255,2,6,456.153,"양_뭉이",R,32,78,129,1.795,0.82,0.099,2.106,0.562,1.996,-37.004,64.668,2,0,155.305,-112.981,0,0,0,0,4,7,R,"소솨소솨",190,80,0.405,3,34,457.178,249,134,121,22,8,145,130,104.153,73.054,0.41,0,0.656,-563.079,119.068,166.031,-0.626,-37.19,0,"눈꽃",-0.046,-17.714,0,"아침땅_",-20.218,-46.136,0,"Megarafa",-12.682,-64.946,0,"encounter v",16.05,-42.688,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",8.907,-65.224,0,"Yaksok~",36.025,-86.027,0,"하루（Haru）",-0.522,-111.447,0,"HANA_ARASHI",-48.063,-99.558,0,0,0,0,0,0,"",0,0,0,0,,,460.361,,1,3
8,1,1,1,0,0,1,2,0,0,1,255,255,2,7,472.223,"양_뭉이",R,32,83,135,-0.303,-0.151,0.099,1.977,-0.371,1.405,-36.787,48.046,2,0,163.811,-102.809,0,0,0,1,4,7,R,"소솨소솨",190,80,0.405,3,34,473.209,255,184,155,67,0,145,92,105.761,-46.119,-0.73,0,0.597,487.795,331.678,104.148,-0.438,-37.092,0,"눈꽃",-0.112,-17.597,0,"아침땅_",-20.437,-46.362,0,"Megarafa",-14.373,-63.788,0,"encounter v",16.657,-43.166,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",7.531,-64.284,0,"Yaksok~",37.676,-84.821,0,"하루（Haru）",-0.234,-116.625,0,"HANA_ARASHI",-49.453,-99.392,0,0,0,0,0,0,"",0,0,0,0,,,476.063,,1,3
9,1,1,1,0,0,2,2,0,0,1,255,255,2,8,490.865,"양_뭉이",R,3,67,112,2.913,2.98,0.042,2.237,1.988,3.479,-37.261,86.672,4,0,-359.008,0,0,0,0,1,4,7,R,"소솨소솨",190,80,0.405,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.729,-37.314,0,"눈꽃",0.435,-17.812,0,"아침땅_",-20.681,-46.528,0,"Megarafa",-13.567,-64.462,0,"encounter v",20.066,-46.188,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",8.424,-65.987,0,"Yaksok~",38.607,-85.355,0,"하루（Haru）",-0.291,-116.493,0,"HANA_ARASHI",-46.51,-98.057,0,0,0,0,0,0,"",0,0,0,16,492.012,,493.929,503.147,0,0
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,649.416,"mungjungh",R,32,78,128,-2.971,0.509,0.487,1.71,-1.55,1.849,-36.298,16.34,1,0,165.597,-84.348,0,0,0,0,0,4,L,"encounter v",190,83.172,0.499,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.261,0,"_Chun",-0.654,-17.228,0,"すーぱーおもちらんど",-20.356,-46.308,0,"Sabo_10",-16.755,-60.251,0,"Pugeuk",21.556,-47.609,0,"Rite_",13.941,-63.631,0,"Gonyong",54.775,-96.513,0,"소솨소솨",-0.906,-108.778,0,"SUGUN",-39.328,-89.977,0,0,0,0,0,0,"",0,0,0,0,650.279,,,,0,0
