id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,226.538,"-라후이-",R,28,59,114,-16,-0.118,-0.319,1.935,-6.93,1.221,-37.091,38.777,1,0,-16.303,-91.501,15.288,-4.013,-13.846,0,1,1,R,"HANA_ARASHI",190,85.679,0.252,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.793,-37.44,0,"Sabo_10",0.087,-17.975,0,"_Chun",-20.31,-44.278,0,"Rite_",-13.144,-64.889,0,"인생최패망자",21.595,-51.023,0,"CoalCat",10.868,-57.281,0,"즉석카레",40.836,-91.596,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,253.137,"-라후이-",R,26,93,140,-3.43,-1.773,0.55,1.678,0.712,1.858,-36.272,34.386,2,0,134.286,-200,1.891,0,0,1,1,1,R,"HANA_ARASHI",190,85.679,0.252,3,44,254.216,122,101,84,44,20,137,86,28.099,-25.938,-0.79,0,0.529,106.113,-163.48,-226.405,0.025,-36.503,0,"Sabo_10",0.119,-17.981,0,"_Chun",-20.457,-45.896,0,"Rite_",-14.066,-62.273,0,"인생최패망자",21.388,-50.806,0,"CoalCat",10.95,-57.612,0,"즉석카레",41.469,-93.036,87,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,258.944,6,"즉석카레",32.826,-79.102,0,0,,,,,272,1
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,306.239,"-라후이-",R,26,82,133,1.341,-0.032,0.408,1.638,0.415,1.377,-36.237,13.684,2,0,187.995,-200,39.858,0,0,1,1,3,R,"ke ro",164.6,80,0.346,3,69,307.156,132,116,62,76,23,137,86,-1.71,-14.544,-0.34,0,0.407,11.366,-216.905,105.013,0.31,-36.483,0,"Sabo_10",0.089,-17.857,0,"_Chun",-20.732,-45.373,84,"Rite_",-13.575,-63.549,0,"인생최패망자",19.359,-50.539,0,"CoalCat",10.675,-58.807,85,"즉석카레",41.584,-94.311,0,"Slaris",1.93,-116.983,0,"AI",-40.8,-90.55,0,307.764,3.117,-29.97,309.504,5,"CoalCat",8.785,-54.485,1,0,,,,,268,2
4,1,1,0,0,0,0,1,1,0,0,3,255,255,3,346.347,"-라후이-",R,26,79,129,3.244,0.858,0.691,2.014,0.732,2.516,-36.668,62.105,2,0,73.025,-181.666,1.611,0,0,1,2,2,R,"소솨소솨",190,80,0.405,3,68,347.375,255,57,117,78,35,145,92,42.215,28.909,-0.75,0,0.611,512.43,206.577,-228.794,0.211,-36.661,0,"Sabo_10",0.189,-17.972,0,"_Chun",-19.64,-40.969,0,"Rite_",-13.663,-62.909,0,"인생최패망자",20.876,-51.079,0,"CoalCat",10.919,-60.732,65,"즉석카레",39.359,-97.005,0,"Slaris",0.39,-116.389,0,"AI",-40.8,-90.55,0,353.064,-37.908,-81.359,357.414,5,"CoalCat",-1.694,-60.086,0,0,,,,,264,1
5,1,1,0,0,0,0,2,1,0,0,3,255,255,4,384.98,"-라후이-",R,13,74,112,-3.566,-0.797,0.323,1.641,-0.998,1.507,-36.292,23.685,2,0,-387.653,315.793,-0.781,0,0,0,3,8,L,"Kr_Luna",171.414,93.491,0.501,3,66,385.934,248,99,116,85,87,145,129,5.488,-40.235,0.56,0,0.129,512.43,206.577,-228.794,-0.11,-36.583,0,"Sabo_10",0.075,-17.756,0,"_Chun",-19.871,-42.332,74,"Rite_",-14.189,-64.561,0,"인생최패망자",21.724,-47.826,0,"CoalCat",10.668,-59.63,0,"즉석카레",47.631,-91.833,89,"Slaris",5.828,-111.02,0,"AI",-40.8,-90.55,0,387.024,21.07,-47.628,389.344,6,"즉석카레",51.375,-82.17,1,0,,390.862,,,276,2
6,1,1,0,0,0,0,2,1,1,0,8,3,255,5,411.31,"-라후이-",R,26,90,140,0.41,0.486,0.434,1.574,0.188,1.788,-36.192,26.122,0,0,-19.38,-200,21.931,0,0,0,4,5,R,"별이__",170.3,80,0.3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088,-36.575,0,"Sabo_10",0.02,-17.796,0,"_Chun",-20.684,-42.692,0,"Rite_",-15.308,-62.698,0,"인생최패망자",18.631,-43.505,0,"CoalCat",9.735,-55.879,0,"즉석카레",40.951,-97.519,0,"Slaris",5.951,-105.953,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,413.024,414.307,,,0,0
7,1,1,0,0,0,1,2,1,1,0,8,3,255,6,424.672,"-라후이-",R,26,83,135,1.034,1.362,0.589,1.848,0.444,2.217,-36.407,46.831,2,0,-7.636,-200,14.838,0,0,1,4,5,R,"별이__",170.3,80,0.3,3,66,425.823,255,98,140,20,0,160,82,62.682,36.424,-0.88,0,0.133,576.128,141.468,-25.174,0.311,-36.699,0,"Sabo_10",0.058,-17.892,0,"_Chun",-21.017,-44.652,0,"Rite_",-15.285,-62.661,0,"인생최패망자",20.917,-49.19,0,"CoalCat",7.725,-58.26,0,"즉석카레",40.79,-98.572,0,"Slaris",5.684,-106.639,0,"AI",-40.8,-90.55,0,431.924,-29.715,-51.967,432.034,2,"_Chun",-29.04,-51.162,0,0,491.994,430.787,430.618,435.332,69,1
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,525.068,"encounter v",R,32,90,140,2.362,1.065,1.239,1.88,0.645,2.112,-37.052,56.733,1,0,250,-200,-8.937,0,0,0,0,5,R,"CoalCat",174.3,85.186,0.502,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.114,-37.671,0,"HANA_ARASHI",-0.063,-17.472,0,"소솨소솨",-20.113,-45.818,0,"ke ro",-13.368,-63.782,0,"SUGUN",20.34,-46.623,0,"별이__",10.572,-63.673,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Kr_Luna",-42.209,-92.316,0,0,0,0,0,0,"",0,0,0,0,526.764,,,,0,0
9,1,0,0,0,1,0,0,0,0,0,255,255,255,1,537.86,"encounter v",R,32,88,140,1.825,1.122,1.179,1.889,0.368,2.145,-37.033,46.657,2,0,250,-200,-15.46,0,0,1,0,5,R,"CoalCat",174.3,85.186,0.502,3,64,539.025,182,60,71,53,23,152,96,53.073,56.232,-0.25,0,0.2,131.141,546.088,-203.958,0.7,-37.608,0,"HANA_ARASHI",0.048,-17.588,0,"소솨소솨",-20.129,-45.771,0,"ke ro",-13.318,-63.655,0,"SUGUN",21.449,-49.786,0,"별이__",10.651,-63.901,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Kr_Luna",-45.132,-95.318,0,544.434,-69.279,-53.161,0,0,"",0,0,0,0,,,,,64,3
10,1,0,0,0,1,1,0,0,0,0,255,255,255,2,559.807,"encounter v",R,32,96,140,0.875,0.145,1.095,1.743,-0.025,1.631,-36.732,30.898,0,0,250,-156.879,5.265,0,0,0,0,5,R,"CoalCat",174.3,85.186,0.502,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.596,-37.408,0,"HANA_ARASHI",-0.084,-17.5,0,"소솨소솨",-20.133,-45.322,0,"ke ro",-13.458,-64.179,0,"SUGUN",21.394,-49.788,0,"별이__",10.994,-62.942,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Kr_Luna",-44.244,-94.375,0,0,0,0,0,0,"",0,0,0,0,561.474,,,,0,0
