id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,228.517,"CAT tourniquet",L,32,83,135,1.575,-0.542,-0.073,1.906,0.975,1.085,-36.613,20.982,4,0,-231.372,-194.169,-6.053,0,0,1,0,5,L,"_pocha",169.8,80,0.3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.102,-37.698,0,"M_lunatic",0.043,-17.16,0,"すーぱーおもちらんど",-20.199,-47.307,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-10.876,-62.347,0,"Pring__",23.562,-49.33,0,"Muna_328",15.221,-62.768,0,"아침땅_",42.588,-84.651,0,"濃いめのラー油",3.433,-112.821,0,"encounter v",-46.555,-92.002,0,0,0,0,0,0,"",0,0,0,0,230.03,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,244.964,"CAT tourniquet",L,28,68,121,-1.75,2.216,-0.416,2.224,-0.59,2.716,-36.927,59.808,1,0,-92.304,-94.178,2.568,0,0,0,0,5,L,"_pocha",169.8,80,0.3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.086,-37.561,0,"M_lunatic",-0.221,-16.957,0,"すーぱーおもちらんど",-20.234,-47.233,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-10.098,-63.337,0,"Pring__",24.125,-49.989,0,"Muna_328",14.974,-62.898,0,"아침땅_",42.843,-84.39,0,"濃いめのラー油",5.42,-112.388,0,"encounter v",-46.564,-92.004,0,0,0,0,0,0,"",0,0,0,0,246.586,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,260.679,"CAT tourniquet",L,26,85,137,0.447,0.017,-0.155,1.983,0.473,1.398,-36.562,20.015,2,0,-199.704,-200,-14.042,0,0,1,0,5,L,"_pocha",169.8,80,0.3,3,82,261.774,235,142,132,0,0,138,119,32.031,-31.917,0.29,0,0.127,539.416,-95.132,-232.438,-0.016,-36.988,0,"M_lunatic",-0.116,-17.338,120,"すーぱーおもちらんど",-19.932,-47.283,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-10.553,-63.626,93,"Pring__",23.593,-49.521,0,"Muna_328",15.018,-62.815,91,"아침땅_",41.912,-83.719,95,"濃いめのラー油",5.405,-112.339,0,"encounter v",-46.551,-91.985,0,267.142,61.003,-107.659,268.753,6,"아침땅_",55.906,-106.564,1,0,308.464,271.483,301.539,,335,2
4,1,1,0,0,0,0,0,0,0,1,255,255,5,3,368.495,"CAT tourniquet",L,4,63,111,-2.603,0.149,-0.415,1.881,-1.489,1.688,-36.962,66.8,2,0,223.685,0,3.5,0,0,1,1,2,R,"가앤슬_",180,85.352,0.397,3,77,369.676,197,97,108,59,40,145,128,25.226,6.145,0.59,0,0.415,334.791,298.89,396.713,0.09,-36.84,0,"M_lunatic",-0.096,-17.302,0,"すーぱーおもちらんど",-20.881,-47.495,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-11.27,-63.183,0,"Pring__",20.547,-46.819,0,"Muna_328",6.855,-66.033,86,"아침땅_",34.969,-85.369,0,"濃いめのラー油",-0.828,-114.2,93,"encounter v",-48.527,-88.94,0,375.03,-21.036,-132.256,376.552,7,"濃いめのラー油",-15.528,-127.28,1,0,,379.79,,377.853,132,2
5,1,1,1,0,0,0,0,0,1,0,255,2,255,4,451.552,"CAT tourniquet",L,32,79,129,2.534,-0.7,-0.041,1.846,1.438,0.963,-36.725,22.865,4,0,-250,-200,-8.82,0,0,1,2,3,L,"ًً미소",190,80,0.4,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-37.706,0,"M_lunatic",0.118,-17.431,0,"すーぱーおもちらんど",-20.718,-46.822,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-8.327,-61.147,0,"Pring__",21.941,-44.199,0,"Muna_328",14.011,-62.713,0,"아침땅_",42.97,-86.139,0,"濃いめのラー油",7.678,-114.219,0,"encounter v",-48.801,-90.917,0,0,0,0,0,0,"",0,0,0,0,452.964,454.893,,,0,0
6,1,1,1,0,0,1,0,0,1,0,255,2,255,5,475.369,"CAT tourniquet",L,32,63,117,-0.606,0.689,-0.246,2.081,0.031,1.889,-36.866,52.346,2,0,-162.371,-131.894,7.128,0,0,1,2,3,L,"ًً미소",190,80,0.4,3,70,476.607,231,87,84,69,37,145,98,-6.794,-36.989,-0.46,0,0.251,-127.88,-513.639,277.184,0.292,-37.025,0,"M_lunatic",0.044,-17.462,0,"すーぱーおもちらんど",-20.423,-46.836,85,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-7.311,-60.325,0,"Pring__",22.208,-47.265,0,"Muna_328",13.538,-62.832,0,"아침땅_",43.022,-86.201,0,"濃いめのラー油",9.101,-119.786,0,"encounter v",-48.621,-90.636,0,476.764,5.843,-26.551,477.93,4,"Pring__",18.155,-43.686,1,6,,,480.565,,3,2
7,1,1,1,0,0,0,2,0,0,0,255,255,255,6,532.012,"CAT tourniquet",L,32,78,128,1.713,-0.58,-0.123,1.904,0.858,1.135,-36.685,30.418,2,0,-208.999,-122.473,6.589,0,0,1,3,6,R,"SUGUN",175,81.662,0.502,3,66,532.884,183,130,80,74,34,145,106,11.279,34.743,0.07,0,0.234,-11.99,549.102,-236.536,0.15,-37.034,0,"M_lunatic",0.085,-17.475,0,"すーぱーおもちらんど",-20.026,-45.551,0,"ᴄʀᴜɴᴄʜʏᴇsᴛ",-11.749,-62.163,0,"Pring__",24.291,-50.559,0,"Muna_328",8.86,-65.981,0,"아침땅_",38.748,-85.198,0,"濃いめのラー油",-4.796,-115.183,0,"encounter v",-45.938,-93.301,0,0,0,0,534.142,2,"すーぱーおもちらんど",-16.951,-42.985,0,0,630.753,,,,183,1
8,1,0,1,0,0,0,0,0,0,0,255,255,255,0,739.475,"Multeinn",R,32,71,123,0.62,0.376,0.231,1.498,-0.121,1.671,-36.56,33.401,2,0,244.809,-137.744,0,0,0,1,0,5,R,"Muna_328",173.2,90.095,0.416,3,63,740.6,237,89,163,0,0,145,113,-14.446,-12.057,0.1,0,0.576,307.381,172.777,484.526,-0.054,-37.468,0,"하루（Haru）",0.126,-18.003,0,"가앤슬_",-21.376,-46.623,44,"ًً미소",-15.319,-62.185,0,"신과함께1",21.342,-45.984,0,"_pocha",13.972,-64.073,73,"SUGUN",45.121,-97.264,0,"mungjungh",0.353,-103.636,0,"Megu3568",-43.692,-90.604,0,740.586,0.928,-24.438,742.708,5,"_pocha",8.998,-63.679,1,0,,,,,131,2
9,1,0,1,0,0,0,0,1,0,0,15,255,255,1,770.584,"Multeinn",R,32,73,124,4.263,0.307,0.455,1.526,1.571,1.739,-36.864,48.663,1,0,189.802,-66.173,0,0,0,0,1,1,L,"M_lunatic",190,94.378,0.442,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.065,-37.619,0,"하루（Haru）",0.386,-21.606,0,"가앤슬_",-18.813,-40.467,0,"ًً미소",-15.555,-61.113,0,"신과함께1",21.26,-45.208,0,"_pocha",8.897,-63.709,0,"SUGUN",44.864,-98.129,0,"mungjungh",2.716,-108.259,0,"Megu3568",-37.352,-94.836,0,0,0,0,0,0,"",0,0,0,0,771.886,773.863,,,0,0
10,1,0,1,0,1,0,0,0,1,0,255,15,255,2,794.595,"Multeinn",R,32,87,140,-0.599,0.416,0.141,1.543,-0.602,1.755,-36.614,16.99,0,0,250,-141.893,0,0,0,0,1,1,L,"M_lunatic",190,94.378,0.442,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.174,-37.919,0,"하루（Haru）",0.027,-17.966,0,"가앤슬_",-20.949,-45.081,0,"ًً미소",-15.258,-61.455,0,"신과함께1",20.002,-42.143,0,"_pocha",11.677,-61.28,0,"SUGUN",45.766,-97.399,0,"mungjungh",1.096,-106.649,0,"Megu3568",-37.216,-91.224,0,0,0,0,0,0,"",0,0,0,0,795.83,797.282,,,0,0
