id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,152.821,"인생최패망자",R,34,93,140,-1.199,0.092,0.858,1.628,-0.658,1.578,-36.496,39.281,2,0,95.141,-90.852,7.763,0,0,1,0,3,L,"쟈가리코",179.8,83.243,0.501,3,82,153.888,255,36,66,68,10,141,93,5.712,8.711,-0.38,0,0.382,-44.413,-113.452,73.059,0.329,-36.91,0,"Kr_Luna",0.049,-17.79,0,"-Alta-",-21.29,-47.164,85,"ByeolBam",-15.158,-63.818,107,"encounter v",22.219,-49.684,0,"si_ho",11.259,-64.775,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,155.169,-4.863,-51.501,156.229,3,"ByeolBam",-7.087,-64.369,0,0,,,,,13,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,213.408,"인생최패망자",R,34,91,140,0.678,0.138,1.141,1.674,0.193,1.743,-36.719,61.151,0,0,52.552,-46.378,-0.773,0,0,0,1,5,R,"muyang_",170,80,0.498,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.153,-38.139,0,"Kr_Luna",-0.046,-17.841,0,"-Alta-",-20.453,-45.81,0,"ByeolBam",-15.117,-62.746,0,"encounter v",21.55,-49.067,0,"si_ho",10.999,-65.04,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,214.609,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,228.072,"인생최패망자",R,3,88,111,-3.016,-0.871,0.934,1.568,-0.516,1.457,-36.685,48.911,4,0,-440.607,226.066,-4.261,0,0,1,1,5,R,"muyang_",170,80,0.498,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,-38.021,0,"Kr_Luna",-0.014,-17.829,0,"-Alta-",-19.662,-44.327,0,"ByeolBam",-14.272,-63.369,0,"encounter v",20.949,-47.119,0,"si_ho",10.945,-65.359,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,229.439,,,,0,0
4,1,1,0,0,0,2,1,0,0,0,255,255,255,3,243.595,"인생최패망자",R,26,92,140,-1.56,-0.57,0.918,1.521,-0.848,1.187,-36.535,36.633,2,0,95.872,-199.816,6.501,0,0,0,1,5,R,"muyang_",170,80,0.498,2,34,244.74,255,127,116,101,52,160,84,17.871,23.962,-0.77,0,0.13,51.446,-545.783,-13.515,0.293,-37.431,0,"Kr_Luna",-0.035,-17.843,0,"-Alta-",-20.366,-45.251,0,"ByeolBam",-14.294,-63.392,101,"encounter v",19.701,-47.862,0,"si_ho",10.796,-65.264,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,247.619,3,"ByeolBam",-16.506,-65.726,0,0,,,,,9,1
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,263.993,"인생최패망자",R,13,82,107,-4.398,-0.678,0.654,1.615,-1.383,1.573,-36.533,23.279,1,0,-379.786,312.348,30.787,0,0,0,2,4,R,"coder_",174.6,87.525,0.298,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.419,-37.594,0,"Kr_Luna",-0.339,-17.6,0,"-Alta-",-20.716,-45.695,0,"ByeolBam",-14.761,-63.178,0,"encounter v",20.558,-48.352,0,"si_ho",10.043,-66.819,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,265.309,,,,0,0
6,1,1,0,0,1,0,2,0,0,0,255,255,255,5,281.135,"인생최패망자",R,26,85,137,-0.025,0.446,1.042,1.653,-0.27,1.664,-36.779,61.279,0,0,157.332,-200,6.335,0,0,0,2,4,R,"coder_",174.6,87.525,0.298,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.403,-37.703,0,"Kr_Luna",-0.02,-17.59,0,"-Alta-",-20.326,-45.913,0,"ByeolBam",-14.764,-63.174,0,"encounter v",20.374,-48.733,0,"si_ho",10.099,-66.72,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,282.269,,,,0,0
7,1,1,0,0,1,1,2,0,0,0,255,255,255,6,297.014,"인생최패망자",R,13,77,114,-2.84,-1.268,0.969,1.561,-0.611,1.34,-36.67,51.83,2,0,-365.316,341.385,17.248,0,0,1,2,4,R,"coder_",174.6,87.525,0.298,3,70,298.202,234,40,117,148,57,145,111,6.133,38.036,0.82,0,0.429,125.959,-583.132,41.202,0.451,-36.999,0,"Kr_Luna",-0.315,-17.553,0,"-Alta-",-20.332,-45.907,0,"ByeolBam",-14.768,-63.176,0,"encounter v",20.073,-48.6,0,"si_ho",10.068,-66.609,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,299.519,2,"-Alta-",-17.551,-43.315,0,0,,,,,84,1
8,1,0,0,0,0,0,0,0,0,0,255,255,255,0,428.979,"눈꽃",R,33,77,127,2.385,1.683,0.387,2.122,0.846,2.408,-36.779,41.906,2,0,115.182,-110.22,10.324,0,0,1,0,5,R,"si_ho",170.2,90.469,0.5,3,69,430.139,224,79,123,80,45,145,82,111.095,21.792,-0.87,0,0.522,587.481,-96.736,-50.175,0.222,-37.133,0,"mochi_2929",-0.043,-17.614,0,"레이나2",-21.341,-44.541,0,"쟈가리코",-16.04,-62.593,0,"coder_",20.712,-53.86,0,"muyang_",14.059,-64.536,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Sabo_10",-49.176,-95.162,0,0,0,0,0,0,"",0,0,0,0,,,,,64,3
9,1,0,0,0,0,1,0,0,0,0,255,255,255,1,449.766,"눈꽃",R,32,91,140,-1.057,-0.641,0.049,1.806,-0.678,1.075,-36.7,4.747,0,0,158.208,-154.942,8.37,0,0,0,0,5,R,"si_ho",170.2,90.469,0.5,0,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-37.644,0,"mochi_2929",-0.337,-17.66,0,"레이나2",-21.287,-44.445,0,"쟈가리코",-16.245,-62.663,0,"coder_",18.083,-47.038,0,"muyang_",13.932,-64.429,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Sabo_10",-48.382,-91.55,0,0,0,0,0,0,"",0,0,0,0,451.129,,,,0,0
10,1,0,0,0,0,2,0,0,0,0,255,255,255,2,466.145,"눈꽃",R,10,80,120,-1.548,-2.293,0.016,1.706,-0.673,0.811,-36.699,13,2,0,0,400,8.622,0,0,1,0,5,R,"si_ho",170.2,90.469,0.5,3,69,467.296,255,162,146,117,89,145,80,-30,47.81,1,0,0.564,116.146,-334.141,-307.376,0.103,-37.383,0,"mochi_2929",-0.063,-17.603,0,"레이나2",-21.006,-44.355,76,"쟈가리코",-16.561,-62.295,0,"coder_",17.949,-46.238,0,"muyang_",13.777,-64.522,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"Sabo_10",-49.219,-92.588,0,467.179,-0.4,-19.94,469.199,2,"레이나2",-22.317,-40.334,0,0,,,,,80,2
