id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,1139.154,"Slaris",R,29,92,140,-1.339,-0.542,-0.421,1.754,-0.359,1.164,-36.213,23.208,0,0,-191.226,-124.333,5.936,0,0,0,0,1,L,"Sabo_10",184.6,88,0.452,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.146,-36.934,0,"Kenomo",-0.21,-17.712,0,"HalF_HearteD",-21.761,-47.154,0,"柴山犬吉",-13.554,-64.81,0,"Pugeuk",23.675,-51.179,0,"쟈가리코",15.011,-63.262,0,"「론구」",45.81,-97.269,0,"紅さかな",1.604,-115.88,0,"mungjungh",-41.094,-91.555,0,0,0,0,0,0,"",0,0,0,0,1136.582,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,1154.995,"Slaris",R,26,91,140,2.769,0.458,0.173,1.779,1.141,1.718,-36.308,44.962,4,0,45.542,-194.694,5.994,0,0,1,0,1,L,"Sabo_10",184.6,88,0.452,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.111,-36.527,0,"Kenomo",0.126,-17.724,0,"HalF_HearteD",-21.77,-47.117,0,"柴山犬吉",-13.562,-64.838,0,"Pugeuk",24.392,-51.186,0,"쟈가리코",14.405,-64.017,0,"「론구」",44.423,-99.812,0,"紅さかな",1.309,-116.28,0,"mungjungh",-41.14,-91.602,0,0,0,0,0,0,"",0,0,0,0,1152.399,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,1173.948,"Slaris",R,33,62,118,3.851,0.547,0.395,1.93,1.44,1.875,-36.974,89.852,4,0,122.738,-53.146,10.012,0,0,1,0,1,L,"Sabo_10",184.6,88,0.452,0,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023,-36.611,0,"Kenomo",0.092,-17.514,0,"HalF_HearteD",-21.811,-47.03,0,"柴山犬吉",-13.631,-64.821,0,"Pugeuk",24.396,-51.185,0,"쟈가리코",14.276,-64.095,0,"「론구」",44.44,-99.798,0,"紅さかな",0.894,-116.903,0,"mungjungh",-41.084,-91.599,0,0,0,0,0,0,"",0,0,0,0,1171.449,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,1235.833,"Slaris",R,3,76,115,-0.051,-0.448,0.176,1.822,0.612,1.541,-36.364,43.991,2,0,-448.813,220.379,-6.878,0,0,1,1,2,L,"_Chun",190,80,0.455,3,87,1236.807,255,156,89,110,64,145,119,-30,-42.839,0.81,0,0.504,503.317,128.127,-298.423,-0.197,-35.982,0,"Kenomo",0.016,-17.667,0,"HalF_HearteD",-22.769,-47.86,0,"柴山犬吉",-13.619,-64.718,85,"Pugeuk",23.315,-52.027,0,"쟈가리코",13.982,-64.617,107,"「론구」",44.591,-100.01,106,"紅さかな",-0.202,-119.748,0,"mungjungh",-45.185,-96.969,0,1232.716,1.296,-22.075,1238.682,6,"「론구」",70.481,-93.3,1,0,,1246.909,,,201,2
5,1,1,0,0,0,0,1,0,1,0,255,2,255,4,1275.169,"Slaris",R,28,85,139,1.282,0.559,0.098,1.975,0.514,1.88,-36.577,51.903,2,0,34.863,-78.86,10.822,0,0,1,2,4,R,"559：広告",190,88.184,0.2,3,46,1276.183,255,82,87,94,41,145,90,48.69,-11.055,-0.85,0,0.434,423.021,-420.521,34.997,-0.355,-36.424,0,"Kenomo",0.039,-17.433,0,"HalF_HearteD",-22.981,-47.902,0,"柴山犬吉",-15.917,-63.387,0,"Pugeuk",19.808,-50.648,0,"쟈가리코",6.332,-63.134,89,"「론구」",46.128,-98.432,0,"紅さかな",-1.695,-118.772,0,"mungjungh",-46.35,-95.294,0,1277.699,18.368,-76.822,1277.832,5,"쟈가리코",17.833,-75.491,0,0,,1281.244,,,200,1
6,1,1,0,0,0,0,2,0,1,0,255,2,255,5,1310.743,"Slaris",R,13,77,116,-2.8,-0.869,-0.244,1.688,-0.661,1.377,-36.33,16.657,1,0,-388.808,314.37,0.907,0,0,0,3,0,R,"あおいぬ",190,90.486,0.43,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,-37.265,0,"Kenomo",-0.632,-17.703,119,"HalF_HearteD",-21.634,-46.216,0,"柴山犬吉",-15.588,-63.443,0,"Pugeuk",20.455,-49.806,0,"쟈가리코",7.913,-66.036,0,"「론구」",46.368,-99.083,0,"紅さかな",-12.891,-121.1,0,"mungjungh",-45.135,-97.498,0,0,0,0,0,0,"",0,0,0,0,1307.865,1313.621,,,0,0
7,1,1,0,0,1,0,2,0,1,0,255,2,255,6,1328.765,"Slaris",R,27,88,140,-0.491,0.926,-0.182,1.897,-0.173,2.064,-36.367,34.189,0,0,-26.957,-145.485,15.317,0,0,1,3,0,R,"あおいぬ",190,90.486,0.43,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022,-36.942,0,"Kenomo",-0.163,-17.448,0,"HalF_HearteD",-22.229,-46.853,0,"柴山犬吉",-15.646,-63.351,0,"Pugeuk",20.194,-50.116,0,"쟈가리코",8.278,-64.587,0,"「론구」",46.321,-99.068,0,"紅さかな",-12.539,-121.137,0,"mungjungh",-45.11,-97.475,0,0,0,0,0,0,"",0,0,0,0,1325.732,1331.66,,,0,0
8,1,1,0,0,1,1,2,0,1,0,255,2,255,7,1348.197,"Slaris",R,14,88,126,3.266,-0.706,-0.039,1.841,0.624,1.735,-36.347,30.822,4,0,371.207,334.971,17.856,0,0,1,3,0,R,"あおいぬ",190,90.486,0.43,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.208,-36.85,0,"Kenomo",-0.785,-17.882,0,"HalF_HearteD",-22.213,-46.689,0,"柴山犬吉",-15.586,-63.353,0,"Pugeuk",19.868,-50.962,0,"쟈가리코",9.367,-65.116,0,"「론구」",46.35,-99.091,0,"紅さかな",-13.355,-119.802,0,"mungjungh",-45.116,-97.48,0,0,0,0,0,0,"",0,0,0,0,1345.932,1351.226,,,0,0
9,1,1,0,0,1,2,2,0,1,0,255,2,255,8,1373.621,"Slaris",R,13,77,116,-0.339,-1.235,0.018,1.611,0.489,1.194,-36.204,16.329,4,0,-390.434,312.348,-11.662,-0.319,-18.841,1,3,0,R,"あおいぬ",190,90.486,0.43,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.081,-36.799,0,"Kenomo",-0.355,-18.471,0,"HalF_HearteD",-21.359,-45.782,0,"柴山犬吉",-15.315,-63.494,0,"Pugeuk",19.094,-49.914,0,"쟈가리코",10.67,-65.763,0,"「론구」",46.328,-99.068,0,"紅さかな",-11.141,-119.644,0,"mungjungh",-45.118,-97.509,0,0,0,0,0,0,"",0,0,0,0,1371.849,,1379.796,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,1533.748,"あおいぬ",R,27,83,136,1.419,0.381,0.547,1.618,0.454,1.708,-36.572,29.142,0,0,121.33,-121.634,0,0,0,1,0,6,R,"「론구」",175,80,0.2,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.126,-37.847,0,"Sabo_10",0.112,-17.937,0,"_Chun",-21.444,-49.248,0,"Ayu_Yua",-14.742,-62.718,0,"559：広告",21.843,-47.582,0,"즉석카레",13.833,-64.275,0,"장덕춘_",40.008,-93.32,0,"ディシジョン",-8.516,-116.042,0,"ʚmingɞ",-46.542,-88.35,0,0,0,0,0,0,"",0,0,0,0,1529.966,,,,0,0
