id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,431.723,"Penguin_iDOL",R,34,91,140,0.681,-0.388,0.24,1.791,0.184,1.3,-36.524,23.914,2,0,90.263,-67.665,0,0,0,1,0,2,L,"CAT tourniquet",190,84,0.501,3,54,432.756,151,71,51,67,101,135,117,-30,-29.128,0.81,0.143,0.63,-121.545,-104.78,5.636,0.028,-37.15,0,"Megarafa",0.018,-17.261,0,"すーぱーおもちらんど",-20.452,-47.504,66,"YukihiroD",-15.049,-63.228,0,"schmoneymikey",22.301,-49.45,0,"AI",12.272,-57.326,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,432.273,0.832,-20.802,440.527,2,"すーぱーおもちらんど",-17.73,-40.427,1,0,,,,,3,0
2,1,1,0,0,0,0,0,1,0,0,2,255,255,1,483.799,"Penguin_iDOL",R,28,89,140,2.676,0.022,0.429,1.861,1.063,1.529,-36.534,24.798,1,0,76.515,-99.855,0,0,0,0,1,1,R,"SUGUN",190,81.662,0.502,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.433,-37.39,0,"Megarafa",0.004,-17.449,0,"すーぱーおもちらんど",-19.852,-43.704,0,"YukihiroD",-14.15,-62.151,0,"schmoneymikey",21.805,-50.264,0,"AI",12.4,-58.2,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,484.782,,,,0,0
3,1,1,0,0,1,0,0,1,0,0,2,255,255,2,501.584,"Penguin_iDOL",R,28,91,140,0.207,-0.255,0.21,1.821,0.044,1.397,-36.428,13.908,0,0,29.903,-51.296,0,0,0,1,1,1,R,"SUGUN",190,81.662,0.502,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.121,-37.785,0,"Megarafa",0.017,-17.345,0,"すーぱーおもちらんど",-19.958,-44.215,0,"YukihiroD",-14.391,-62.808,0,"schmoneymikey",22.976,-50.31,0,"AI",12.4,-58.2,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,502.552,,,,0,0
4,1,1,0,0,1,1,0,1,0,0,2,255,255,3,520.299,"Penguin_iDOL",R,11,70,116,-1.699,-0.586,0.074,1.894,-0.741,1.513,-36.607,32.692,2,0,0,239.645,0,0,0,1,1,1,R,"SUGUN",190,81.662,0.502,3,55,521.18,255,171,147,134,55,145,120,-30,27.974,0.65,0,0.434,-182.603,-313.38,-476.708,-0.579,-37.469,0,"Megarafa",-0.283,-17.324,0,"すーぱーおもちらんど",-20.344,-44.947,0,"YukihiroD",-14.762,-62.67,0,"schmoneymikey",22.493,-50.009,76,"AI",12.243,-57.431,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,520.703,-0.985,-21.72,529,4,"schmoneymikey",17.573,-45.799,1,0,,526.907,,,17,2
5,1,1,0,0,0,0,0,1,1,0,1,2,255,4,548.233,"Penguin_iDOL",R,27,88,140,-0.612,0.045,0.14,1.86,-0.278,1.526,-36.408,18.451,2,0,6.006,-122.744,0,0,0,1,2,4,R,"NABIMan",190,81.885,0.496,3,54,549.034,255,97,127,93,75,145,115,25.317,14.628,1,0,0.294,-77.194,-581.516,-93.519,-0.347,-37.289,0,"Megarafa",0.023,-17.246,0,"すーぱーおもちらんど",-19.392,-46.277,0,"YukihiroD",-7.145,-64.233,68,"schmoneymikey",20.709,-46.825,0,"AI",12.136,-57.282,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,553.115,-11.097,-115.442,557.721,3,"YukihiroD",-2.684,-68.131,0,0,,557.963,,,5,1
6,1,1,0,0,0,0,1,1,1,0,1,2,255,5,611.143,"Penguin_iDOL",R,14,77,103,-0.733,0.534,-0.055,2.171,-0.893,2.398,-36.705,38.835,0,0,327.945,356.843,0,0,0,1,3,3,R,"Yaksok~",167,80.455,0.447,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.171,-37.765,0,"Megarafa",-0.012,-17.26,0,"すーぱーおもちらんど",-19.787,-45.465,0,"YukihiroD",-6.934,-63.647,0,"schmoneymikey",20.589,-47.87,0,"AI",12.4,-58.2,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,612.34,614.176,,,0,0
7,1,1,0,0,0,1,1,1,1,0,1,2,255,6,627.969,"Penguin_iDOL",R,26,88,140,0.072,2.508,0.233,2.16,0.012,2.775,-36.634,48.429,1,0,8.863,-198.797,0,0,0,0,3,3,R,"Yaksok~",167,80.455,0.447,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.106,-37.694,0,"Megarafa",0.038,-17.061,0,"すーぱーおもちらんど",-20.179,-45.043,0,"YukihiroD",-8.686,-64.315,0,"schmoneymikey",21.681,-48.263,0,"AI",12.4,-58.2,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,629.212,630.567,,,0,0
8,1,1,0,0,1,1,1,1,1,0,1,2,255,7,647.69,"Penguin_iDOL",R,10,85,127,0.108,-1.453,0.209,1.745,0.042,1.266,-36.473,21.212,2,0,0,400,0,0,0,1,3,3,R,"Yaksok~",167,80.455,0.447,3,54,648.648,227,175,68,34,0,137,116,25.196,25.524,0.59,0,0.497,291.182,522.624,29.638,-0.197,-37.767,0,"Megarafa",-0.147,-17.209,0,"すーぱーおもちらんど",-19.44,-45.879,0,"YukihiroD",-11.033,-64.681,0,"schmoneymikey",21.674,-48.317,0,"AI",12.347,-57.916,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,653.049,-55.972,-106.887,658.249,3,"YukihiroD",-22.794,-72.841,1,0,,653.658,654.116,659.347,5,2
9,1,1,1,0,0,0,1,0,1,1,255,3,1,8,689.576,"Penguin_iDOL",R,10,60,93,0.554,0.995,0.301,2.296,0.233,2.79,-36.829,58.223,2,0,0,384.289,0,0,0,1,4,5,R,"Roslynn",184.9,91.469,0.651,3,54,690.956,119,168,101,83,35,137,115,109.325,-59.543,0.09,0,0.589,1.25,-61.625,40.509,-0.705,-37.377,0,"Megarafa",-0.046,-17.304,0,"すーぱーおもちらんど",-20.808,-47.244,0,"YukihiroD",-14.656,-62.641,0,"schmoneymikey",22.987,-49.887,0,"AI",12.222,-57.701,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,693.151,693.598,,1,3
10,1,1,1,0,0,1,1,0,1,1,255,3,1,9,708.664,"Penguin_iDOL",R,27,90,140,-5.352,-0.209,-0.31,1.768,-2.371,1.38,-36.495,9.031,1,0,37.56,-106.355,0,0,0,0,4,5,R,"Roslynn",184.9,91.469,0.651,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.257,-38.266,0,"Megarafa",-2.675,-17.638,0,"すーぱーおもちらんど",-20.996,-47.67,0,"YukihiroD",-13.833,-62.872,0,"schmoneymikey",22.298,-49.284,0,"AI",12.4,-58.2,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,709.988,711.69,711.519,,0,0
