id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,241.625,"Penguin_iDOL",R,26,91,140,-0.59,-0.658,0.132,1.698,-0.318,1.001,-36.453,9.806,0,0,34.562,-200,0,0,0,0,0,2,R,"すーぱーおもちらんど",190,89.547,0.397,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.059,-37.742,0,"濃いめのラー油",-0.173,-17.699,0,"NABIMan",-22.734,-47.455,0,"Pring__",-12.271,-64.662,0,"_송글_",20.704,-52.148,0,"k@ster",11.242,-64.339,0,"AI",40.9,-90.65,0,"うよすま",-0.274,-118.261,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,242.582,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,260.134,"Penguin_iDOL",R,10,92,128,-1.978,-1.694,-0.014,1.704,-0.993,1.018,-36.477,8.587,4,0,66.864,400,0,-0.672,-18.242,1,0,2,R,"すーぱーおもちらんど",190,89.547,0.397,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.155,-37.824,0,"濃いめのラー油",-0.21,-17.831,0,"NABIMan",-23.255,-46.756,0,"Pring__",-13.495,-62.722,0,"_송글_",22.906,-53.892,0,"k@ster",11.028,-64.653,0,"AI",40.9,-90.65,0,"うよすま",-2.569,-118.819,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,263.209,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,275.942,"Penguin_iDOL",R,26,84,136,0.889,2.066,0.33,2.176,0.322,2.717,-36.813,51.191,1,0,29.461,-186.011,0,0,0,0,0,2,R,"すーぱーおもちらんど",190,89.547,0.397,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.173,-37.587,0,"濃いめのラー油",-0.097,-17.995,0,"NABIMan",-22.928,-47.304,0,"Pring__",-12.454,-64.545,0,"_송글_",22.915,-54.162,0,"k@ster",11.039,-64.659,0,"AI",40.9,-90.65,0,"うよすま",-2.614,-119.033,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,276.835,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,290.169,"Penguin_iDOL",R,10,82,123,-0.555,0.045,0.134,2.035,-0.307,2.09,-36.465,35.686,2,0,31.377,400,0,0,0,1,0,2,R,"すーぱーおもちらんど",190,89.547,0.397,2,92,291.287,255,73,105,68,36,145,103,44.953,51.68,-0.19,0,0.224,324.507,-500.863,15.71,-0.45,-36.927,0,"濃いめのラー油",-0.039,-18.094,0,"NABIMan",-23.41,-47.973,0,"Pring__",-12.489,-64.516,0,"_송글_",21.581,-52.99,0,"k@ster",10.622,-64.577,0,"AI",40.9,-90.65,0,"うよすま",-2.68,-119.022,0,"AI",-40.8,-90.55,0,295.969,-62.445,-80.832,0,0,"",0,0,0,0,,,,,1,3
5,1,1,0,0,1,2,0,0,0,0,255,255,255,4,310.837,"Penguin_iDOL",R,14,91,127,-2.684,-1.421,-0.107,1.743,-1.429,1.144,-36.495,9.227,2,0,156.281,400,0,0,0,1,0,2,R,"すーぱーおもちらんど",190,89.547,0.397,2,92,311.937,225,102,74,83,42,145,120,-30,40.266,0.34,0,0.196,455.239,-390.537,-15.424,0.076,-36.952,0,"濃いめのラー油",-0.243,-18.11,0,"NABIMan",-23.638,-47.356,88,"Pring__",-12.364,-64.154,0,"_송글_",21.243,-55.012,0,"k@ster",7.649,-63.194,0,"AI",40.9,-90.65,0,"うよすま",-4.693,-118.892,0,"AI",-40.8,-90.55,0,311.529,-1.052,-20.768,312.955,2,"NABIMan",-19.619,-42.751,0,0,,,,,5,2
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,332.734,"Penguin_iDOL",R,27,83,135,0.17,-0.602,0.201,1.804,-0.045,1.12,-36.585,21.575,2,0,67.071,-109.481,0,0,0,1,1,3,L,"甲斐野柊太",175,80,0.2,2,30,333.84,255,83,116,89,39,145,88,-45.307,-50.716,-0.69,0,0.112,-268.629,-534.814,17.712,0.014,-36.893,0,"濃いめのラー油",-0.102,-17.764,0,"NABIMan",-20.65,-47.923,0,"Pring__",-9.191,-60.292,0,"_송글_",19.515,-47.948,0,"k@ster",8.178,-63.714,0,"AI",40.9,-90.65,0,"うよすま",-2.503,-114.621,0,"AI",-40.8,-90.55,0,333.489,1.003,-19.666,0,0,"",0,0,0,0,,,,,1,3
7,1,1,0,0,0,1,1,0,0,0,255,255,255,6,351.17,"Penguin_iDOL",R,28,74,126,-1.328,-0.694,0.066,1.743,-0.625,1.103,-36.448,10.04,2,0,15.299,-54.842,0,0,0,1,1,3,L,"甲斐野柊太",175,80,0.2,2,30,352.308,255,79,155,119,67,145,92,-9.76,-10.455,-0.47,0.048,0.162,-132.479,-460.992,318.814,-0.042,-36.908,0,"濃いめのラー油",-0.071,-17.697,0,"NABIMan",-24.574,-48.771,86,"Pring__",-9.356,-61.042,0,"_송글_",20.882,-48.034,0,"k@ster",8.433,-62.922,79,"AI",40.9,-90.65,0,"うよすま",-0.779,-115.87,0,"AI",-40.8,-90.55,0,352.009,0.398,-23.718,354.196,5,"k@ster",7.285,-62.15,1,0,,,,,37,2
8,1,1,0,0,0,0,1,1,0,0,3,255,255,7,439.834,"Penguin_iDOL",R,14,89,126,1.378,-1.17,0.253,1.792,0.249,1.284,-36.482,15.637,2,0,242.234,400,0,0,0,1,2,8,R,"SUGUN",180,81.662,0.502,3,36,440.696,255,106,82,90,23,145,119,11.731,-7.825,0.4,0,0.263,102.962,287.621,42.284,0.327,-37.066,0,"濃いめのラー油",0.095,-17.841,0,"NABIMan",-20.854,-42.207,0,"Pring__",-8.055,-63.837,0,"_송글_",21.522,-48.602,89,"k@ster",9.95,-65.616,0,"AI",40.9,-90.65,0,"うよすま",0.483,-122.034,0,"AI",-40.8,-90.55,0,443.422,7.525,-102.401,444.156,7,"うよすま",7.781,-108.633,1,0,,446.931,,,25,2
9,1,1,0,0,0,0,1,1,1,0,8,3,255,8,477.856,"Penguin_iDOL",R,10,79,119,-2.361,-0.825,-0.021,1.844,-1.027,1.472,-36.436,15.598,1,0,0,400,0,-0.276,-18.626,0,3,4,L,"Kr_Luna",190,95.053,0.501,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133,-37.616,0,"濃いめのラー油",0.079,-18.323,0,"NABIMan",-19.397,-40.085,0,"Pring__",-4.6,-62.876,0,"_송글_",20.448,-45.318,0,"k@ster",11.911,-61.174,0,"AI",40.9,-90.65,0,"うよすま",1.756,-118.588,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,4,480.102,483.352,481.341,,0,0
10,1,1,0,0,1,0,2,0,0,1,255,255,3,9,503.571,"Penguin_iDOL",R,14,76,114,1.874,-0.549,0.242,1.912,0.194,1.691,-36.469,25.153,4,0,353.497,353.61,0,0.243,-18.972,1,3,4,L,"Kr_Luna",190,95.053,0.501,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.212,-37.516,0,"濃いめのラー油",0.089,-18.06,0,"NABIMan",-20.168,-44.583,0,"Pring__",-7.978,-65.82,0,"_송글_",19.745,-40.64,0,"k@ster",11.643,-60.509,0,"AI",40.9,-90.65,0,"うよすま",9.674,-112.125,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,506.982,,506.339,,0,0
