id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,215.61,"소솨소솨",R,34,82,133,0.723,0.824,0.243,1.656,0.2,2.044,-36.479,5.513,2,0,77.176,-73.253,-1.793,0,0,1,0,2,R,"すーぱーおもちらんど",190,89.69,0.397,2,95,216.575,137,37,78,66,25,139,96,35.232,-3.71,-0.38,0,0.205,-152.45,58.23,-3.477,0.449,-37.49,0,"Tamari_",-0.072,-17.801,0,"CoalCat",-19.64,-47.312,0,"Kr_Luna",-14.937,-61.893,80,"encounter v",21.172,-46.392,0,"YukihiroD",12.327,-64.004,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,220.898,3.885,-94.256,224.732,3,"Kr_Luna",0.19,-60.991,0,0,,,,,34,1
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,241.835,"소솨소솨",R,28,84,137,0.595,-0.334,0.24,1.428,0.188,1.306,-36.418,11.453,2,0,39.269,-72.865,-2.628,0,0,1,1,1,R,"mungjungh",190,84.286,0.398,0,40,242.792,182,121,109,93,50,145,108,1.014,23.915,0.02,0.095,0.287,-25.943,-20.925,12.464,0.438,-37.493,0,"Tamari_",-0.053,-17.8,0,"CoalCat",-19.657,-45.466,0,"Kr_Luna",-15.471,-61.814,85,"encounter v",20.176,-46.158,0,"YukihiroD",12.688,-62.409,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,243.165,-8.316,-39.522,244.665,3,"Kr_Luna",-15.464,-55.709,0,0,,,,,34,2
3,1,1,0,0,0,0,2,0,0,0,255,255,255,2,267.248,"소솨소솨",R,34,86,140,2.306,1.417,0.388,1.727,0.873,2.331,-36.536,17.18,1,0,96.493,-77.722,-1.391,0,0,0,2,4,R,"k@ster",173.9,80,0.633,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.363,-37.784,0,"Tamari_",-0.028,-17.894,0,"CoalCat",-18.271,-45.205,0,"Kr_Luna",-15.367,-60.955,0,"encounter v",20.334,-46.322,0,"YukihiroD",12.405,-63.039,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,268.082,,,,0,0
4,1,1,0,0,1,0,2,0,0,0,255,255,255,3,278.182,"소솨소솨",R,28,85,138,0.826,0.915,0.257,1.648,0.267,2.053,-36.474,3.671,0,0,53.855,-58.875,-0.651,0,0,0,2,4,R,"k@ster",173.9,80,0.633,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.195,-37.747,0,"Tamari_",-0.05,-17.713,0,"CoalCat",-19.127,-45.687,0,"Kr_Luna",-15.401,-60.957,0,"encounter v",20.821,-46.833,0,"YukihiroD",12.417,-63.044,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,279.082,,,,0,0
5,1,1,0,0,1,1,2,0,0,0,255,255,255,4,290.186,"소솨소솨",R,28,90,140,0.158,0.388,0.188,1.555,-0.056,1.723,-36.437,3.209,2,0,78.435,-86.817,0.976,0,0,1,2,4,R,"k@ster",173.9,80,0.633,3,40,291.078,173,112,70,68,24,141,94,45.539,0.67,-0.22,0,0.053,86.975,238.533,-18.886,0.31,-37.317,0,"Tamari_",-0.049,-17.782,0,"CoalCat",-19.076,-45.796,0,"Kr_Luna",-16.363,-61.085,0,"encounter v",20.973,-46.982,0,"YukihiroD",12.456,-63.194,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,296.248,-4.726,-86.935,299.498,3,"Kr_Luna",-0.303,-61.268,1,0,,,,,34,2
6,1,1,0,0,0,0,2,1,0,0,4,255,255,5,318.467,"소솨소솨",R,27,94,140,0.706,0.813,0.24,1.603,0.186,1.907,-36.489,4.697,0,0,91.361,-113.97,-1.863,0,0,0,3,5,R,"Multeinn",164.615,89.555,0.501,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,-37.964,0,"Tamari_",-0.059,-17.951,0,"CoalCat",-19.483,-43.897,0,"Kr_Luna",-12.801,-62.293,0,"encounter v",21.219,-47.138,0,"YukihiroD",11.388,-64.581,0,"AI",40.9,-90.65,0,"AI",-0.003,-109.839,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,319.182,,,,0,0
7,1,1,0,0,0,1,2,1,0,0,4,255,255,6,331.437,"소솨소솨",R,27,87,140,0.299,-0.913,0.204,1.346,0.017,0.948,-36.438,17.261,2,0,68.046,-118.854,3.291,0,0,0,3,5,R,"Multeinn",164.615,89.555,0.501,3,39,332.281,207,130,79,62,28,145,103,-30,6.712,0.92,0,0.38,86.975,238.533,-18.886,0.183,-37.053,119,"Tamari_",-0.048,-17.988,0,"CoalCat",-19.19,-45.756,0,"Kr_Luna",-13.842,-62.511,68,"encounter v",20.074,-45.798,88,"YukihiroD",11.869,-64.303,0,"AI",40.9,-90.65,0,"AI",0,-109.848,0,"AI",-40.8,-90.55,0,331.832,-0.083,-18.202,340.448,4,"encounter v",18.943,-42.447,1,0,,337.487,,,35,2
8,1,1,0,0,0,0,2,1,1,0,5,4,255,7,389.878,"소솨소솨",R,28,86,139,-0.274,1.386,0.151,1.713,-0.228,2.287,-36.473,13.884,4,0,85.188,-99.274,-2.702,0,0,1,4,3,L,"Pring__",172.6,88.137,0.485,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.097,-37.836,0,"Tamari_",-0.09,-17.612,0,"CoalCat",-20.687,-43.113,0,"Kr_Luna",-6.558,-63.54,0,"encounter v",21.409,-43.418,0,"YukihiroD",15.032,-61.846,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,390.898,392.382,,,0,0
9,1,1,0,0,0,1,2,1,1,0,5,4,255,8,405.307,"소솨소솨",R,28,79,129,-1.947,-0.136,-0.002,1.471,-0.939,1.426,-36.402,9.093,2,0,50.114,-68.486,3.218,0,0,1,4,3,L,"Pring__",172.6,88.137,0.485,3,37,406.336,187,162,56,84,63,137,80,60.867,51.325,-0.78,0,0.475,377.29,240.242,-41.639,0.108,-37.578,0,"Tamari_",-0.11,-17.624,0,"CoalCat",-20.077,-45.41,0,"Kr_Luna",-7.629,-61.739,0,"encounter v",19.923,-44.604,0,"YukihiroD",15.073,-61.837,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,411.265,-44.782,-49.529,0,0,"",0,0,0,0,,418.614,411.949,,2,3
10,1,1,0,0,0,2,2,1,1,0,5,4,255,9,428.919,"소솨소솨",R,27,87,140,0.162,1.61,0.184,1.747,-0.074,2.408,-36.552,14.695,4,0,97.75,-103.975,2.901,0,0,1,4,3,L,"Pring__",172.6,88.137,0.485,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127,-37.965,0,"Tamari_",0.031,-17.676,0,"CoalCat",-20.399,-43.573,0,"Kr_Luna",-7.278,-62.191,0,"encounter v",20.526,-43.945,0,"YukihiroD",14.074,-62.184,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,430.082,431.319,,,0,0
11,1,0,0,0,0,0,0,0,0,0,255,255,255,0,501.726,"_Chun",L,26,85,137,1.004,-1.572,-0.108,1.462,0.455,0.412,-36.613,6.826,4,0,-2.44,-200,-10.783,0.298,-17.498,1,0,4,L,"encounter v",190,83.172,0.529,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.092,-37.171,0,"mungjungh",-0.054,-18.216,0,"すーぱーおもちらんど",-21.499,-47.386,0,"Pring__",-13.946,-64.045,0,"k@ster",23.971,-53.745,0,"Multeinn",12.839,-63.163,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,502.848,,,,0,0
12,1,0,0,0,0,1,0,0,0,0,255,255,255,1,513.157,"_Chun",L,26,81,132,0.378,0.076,-0.177,1.754,0.26,1.461,-36.67,24.818,2,0,-62.757,-158.177,-3.712,0,0,1,0,4,L,"encounter v",190,83.172,0.529,2,35,514.124,162,253,140,108,41,145,116,9.755,0.207,0.16,0,0.548,115.718,-19.349,-2.402,-0.298,-36.982,0,"mungjungh",-0.045,-18.234,0,"すーぱーおもちらんど",-21.369,-47.266,0,"Pring__",-13.962,-64.025,85,"k@ster",24.055,-53.712,0,"Multeinn",12.608,-62.615,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,516.482,-0.008,-92.499,521.598,5,"YukihiroD",-0.016,-59.8,1,0,,,,,48,2
13,1,0,0,0,0,0,0,1,0,0,14,255,255,2,537.727,"_Chun",L,26,81,132,1.702,0.416,-0.04,1.799,0.795,1.668,-36.601,20.953,1,0,-41.557,-166.924,-1.677,1.343,-18.781,0,1,2,R,"CoalCat",174.9,85.186,0.576,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036,-37.088,0,"mungjungh",-0.056,-17.916,0,"すーぱーおもちらんど",-20.314,-43.675,0,"Pring__",-2.259,-60.938,0,"k@ster",21.541,-55.972,0,"Multeinn",5.945,-60.592,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,540.482,,,,0,0
14,1,0,0,0,1,0,0,1,0,0,14,255,255,3,555.973,"_Chun",L,14,85,124,0.617,-0.339,0.027,1.805,0.843,1.727,-36.67,23.814,2,0,-391.584,310.905,-26.982,0,0,1,1,2,R,"CoalCat",174.9,85.186,0.576,0,35,557.109,187,63,43,74,49,131,92,-28.395,8.495,0.01,0,0.195,-309.669,226.756,26.989,-0.169,-37.2,120,"mungjungh",0.007,-17.749,0,"すーぱーおもちらんど",-19.442,-46.19,78,"Pring__",-12.147,-61.498,0,"k@ster",20.327,-56.619,0,"Multeinn",9.047,-63.443,98,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,556.815,-0.058,-21.313,557.865,0,"_Chun",-2.283,-36.002,1,0,,,,,41,2
15,1,0,0,0,0,0,1,1,0,0,12,255,255,4,593.608,"_Chun",L,10,88,128,-0.627,-1.077,-0.262,1.727,-0.265,1.412,-36.517,20.434,2,0,0,400,-3.521,0,0,1,2,3,L,"Kr_Luna",168.9,95.053,0.501,2,65,594.8,76,85,55,52,44,112,70,-16.464,-40.638,0.95,0,0.09,-236.196,-460.62,-59.295,-0.245,-36.99,0,"mungjungh",-0.021,-17.885,0,"すーぱーおもちらんど",-20.198,-45.33,61,"Pring__",-7.076,-63.943,105,"k@ster",22.636,-53.626,99,"Multeinn",11.76,-64.763,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,594.515,1.358,-22.151,597.115,4,"k@ster",19.492,-46.891,1,0,,600.798,,,53,2
