id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,232.753,"HANA_ARASHI",R,26,85,137,0.238,1.542,0.215,1.834,0.068,2.403,-36.585,28.728,1,0,24.521,-200,0,0,0,0,0,8,L,"CAT tourniquet",190,84,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.255,-37.801,0,"Sabo_10",0.111,-17.854,0,"NABIMan",-20.835,-45.243,0,"Fresh825",-15.24,-63.797,0,"Pring__",22.075,-47.406,0,"Floră",13.61,-64.026,0,"소솨소솨",46.669,-88.888,0,"うよすま",0.546,-113.455,0,"SUGUN",-44.199,-92.192,0,0,0,0,0,0,"",0,0,0,0,235.999,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,249.076,"HANA_ARASHI",R,26,97,140,-2.056,-0.318,0.016,1.476,-0.855,1.243,-36.585,11.624,1,0,-31.369,-200,0,0,0,0,0,8,L,"CAT tourniquet",190,84,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-37.107,0,"Sabo_10",0.026,-17.806,0,"NABIMan",-20.588,-43.866,0,"Fresh825",-14.988,-63.692,0,"Pring__",22.065,-47.405,0,"Floră",12.063,-64.156,0,"소솨소솨",45.355,-89.116,0,"うよすま",-0.488,-114.257,0,"SUGUN",-44.214,-92.134,0,0,0,0,0,0,"",0,0,0,0,250.357,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,262.952,"HANA_ARASHI",R,10,80,120,-0.139,0.47,0.186,1.82,-0.066,2.358,-36.585,29.102,0,0,0,400,0,-0.658,-18.878,0,0,8,L,"CAT tourniquet",190,84,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.044,-36.966,0,"Sabo_10",0.112,-18.096,0,"NABIMan",-21.035,-45.765,0,"Fresh825",-14.943,-63.661,0,"Pring__",22.081,-47.414,0,"Floră",12.111,-64.437,0,"소솨소솨",44.247,-87.71,0,"うよすま",0.331,-111.751,0,"SUGUN",-44.981,-91.622,0,0,0,0,0,0,"",0,0,0,0,270.216,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,282.627,"HANA_ARASHI",R,13,85,124,-1.721,-0.185,0.184,1.684,-0.072,1.916,-36.585,13.468,4,0,-390.434,312.348,0,-0.166,-21.418,1,0,8,L,"CAT tourniquet",190,84,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.058,-37.196,0,"Sabo_10",0.033,-18.262,0,"NABIMan",-20.756,-44.988,0,"Fresh825",-15.02,-63.784,0,"Pring__",22.049,-47.404,0,"Floră",12.013,-64.597,0,"소솨소솨",42.752,-86.369,0,"うよすま",-0.184,-112.105,0,"SUGUN",-45.021,-91.646,0,0,0,0,0,0,"",0,0,0,0,286.315,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,305.308,"HANA_ARASHI",R,26,93,140,-1.16,1.364,0.105,1.801,-0.443,2.295,-36.585,16.224,1,0,-49.069,-200,0,-1.471,-19.183,0,0,8,L,"CAT tourniquet",190,84,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.039,-37.368,0,"Sabo_10",-0.516,-17.958,0,"NABIMan",-20.341,-46.117,0,"Fresh825",-14.91,-64.008,0,"Pring__",22.108,-47.437,0,"Floră",12.207,-64.542,0,"소솨소솨",42.31,-85.682,0,"うよすま",0.199,-110.63,0,"SUGUN",-45.066,-91.747,0,0,0,0,0,0,"",0,0,0,0,307.982,,,,0,0
6,1,1,0,0,3,2,0,0,0,0,255,255,255,5,321.875,"HANA_ARASHI",R,26,86,140,-0.834,1.137,0.13,1.757,-0.327,2.154,-36.585,28.334,1,0,-30.323,-200,0,0,0,0,0,8,L,"CAT tourniquet",190,84,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,-37.373,0,"Sabo_10",-0.069,-17.852,0,"NABIMan",-21.965,-47.868,0,"Fresh825",-14.552,-64.192,0,"Pring__",22.043,-47.374,0,"Floră",12.201,-64.285,0,"소솨소솨",42.309,-85.664,0,"うよすま",0.265,-110.7,0,"SUGUN",-46.546,-91.149,0,0,0,0,0,0,"",0,0,0,0,323.032,,,,0,5
7,1,1,0,0,0,0,0,1,0,0,8,255,255,6,345.703,"HANA_ARASHI",R,13,85,124,-2.17,-0.072,0.085,1.683,-0.533,1.914,-36.585,15.379,2,0,-313.187,389.762,0,0,0,1,1,2,L,"ًً미소",189.9,80,0.4,3,51,346.823,162,117,99,102,63,145,91,-57.301,48.964,-0.76,0,0.221,339.206,-337.987,-146.883,-0.177,-36.905,0,"Sabo_10",0.11,-18.035,0,"NABIMan",-18.826,-40.939,87,"Fresh825",-5.211,-63.098,0,"Pring__",22.042,-47.394,0,"Floră",12.42,-64.177,0,"소솨소솨",40.982,-84.008,0,"うよすま",2.924,-108.925,0,"SUGUN",-45.392,-89.778,0,346.565,-1.082,-20.68,348.491,2,"NABIMan",-18.565,-35.994,0,0,,,,,5,2
8,1,1,0,0,0,1,0,1,0,0,8,255,255,7,367.447,"HANA_ARASHI",R,26,84,136,-0.627,1.076,0.149,1.74,-0.237,2.098,-36.585,28.849,2,0,-31.203,-200,0,0,0,1,1,2,L,"ًً미소",189.9,80,0.4,3,43,368.537,255,68,92,91,38,145,112,34.385,-42.804,0.86,0,0.287,-203.417,-310.776,-0.105,-0.302,-37.081,0,"Sabo_10",0.1,-18.092,0,"NABIMan",-19.007,-40.749,0,"Fresh825",-8.48,-61.647,0,"Pring__",21.425,-46.295,0,"Floră",13.486,-64.025,0,"소솨소솨",39.458,-82.435,0,"うよすま",4.283,-110.072,0,"SUGUN",-44.838,-89.873,0,372.815,67.281,-82.716,0,0,"",0,0,0,0,,,,,1,3
9,1,1,0,0,0,2,0,1,0,0,8,255,255,8,388.749,"HANA_ARASHI",R,10,82,123,-0.689,-0.696,0.134,1.782,-0.308,1.592,-36.585,17.828,0,0,0,400,0,-0.225,-18.627,0,1,2,L,"ًً미소",189.9,80,0.4,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042,-37.196,0,"Sabo_10",-0.065,-18.961,0,"NABIMan",-20.267,-43.477,0,"Fresh825",-7.46,-61.675,0,"Pring__",22.481,-47.269,0,"Floră",14.132,-62.243,0,"소솨소솨",50.224,-90.299,0,"うよすま",8.747,-107.276,0,"SUGUN",-44.355,-90.287,0,0,0,0,0,0,"",0,0,0,0,391.349,,,,0,0
10,1,1,0,0,0,0,1,1,0,0,8,255,255,9,419.072,"HANA_ARASHI",R,26,87,140,-1.816,-0.225,0.042,1.691,-0.735,1.252,-36.336,12.048,1,0,-53.072,-200,0,0,0,0,2,6,L,"Kr_Luna",169.909,92.417,0.501,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.026,-37.172,0,"Sabo_10",-0.059,-17.924,0,"NABIMan",-18.88,-39.405,0,"Fresh825",-9.66,-63.015,0,"Pring__",22.482,-47.273,0,"Floră",14.134,-62.309,0,"소솨소솨",48.391,-89.705,0,"うよすま",6.841,-120.835,0,"SUGUN",-50.432,-97.151,0,0,0,0,0,0,"",0,0,0,0,420.249,,,,0,0
