id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,167.164,"눈꽃",R,27,94,140,-0.167,0.611,-0.13,1.933,-0.167,1.882,-36.592,11.231,2,0,72.173,-119.216,12.345,0,0,1,0,9,R,"소솨소솨",190,80,0.396,3,62,168.08,255,127,150,86,0,145,112,26.682,39.183,0.09,0,0.658,390.447,449.048,-48.194,-0.025,-37.439,0,"Kr_Luna",0.073,-17.673,0,"SUGUN",-19.17,-44.673,0,"Floră",-13.843,-62.735,0,"인생최패망자",22.95,-53.259,0,"YukihiroD",10.852,-64.633,0,"Multeinn",43.404,-92.711,0,"하루（Haru）",-0.227,-106.219,0,"아침땅_",-43.841,-89.996,0,172.701,-71.405,-89.706,0,0,"",0,0,0,0,,,,,0,3
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,189.376,"눈꽃",R,28,101,140,0.742,-0.581,-0.041,1.701,0.22,1.156,-36.553,9.06,2,0,77.208,-97.545,9.186,0,0,1,0,9,R,"소솨소솨",190,80,0.396,3,57,190.314,255,49,90,31,0,141,100,-88.336,49.166,-0.22,0,0.507,-453.395,368.813,131.192,0.342,-37.404,0,"Kr_Luna",0.007,-17.639,119,"SUGUN",-19.526,-45.718,0,"Floră",-14.492,-62.213,0,"인생최패망자",21.971,-52.904,0,"YukihiroD",12.991,-63.21,0,"Multeinn",43.752,-89.677,0,"하루（Haru）",-0.624,-113.501,0,"아침땅_",-44.813,-91.781,0,190.076,0.147,-18.664,194.36,1,"Kr_Luna",-2.684,-21.074,0,0,194.36,,,,8,2
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,210.97,"눈꽃",R,28,94,140,0.995,0.984,-0.043,1.99,0.418,2.154,-36.583,16.703,2,0,12.396,-75.335,6.417,0,0,1,0,9,R,"소솨소솨",190,80,0.396,3,56,211.908,193,110,99,63,43,145,103,61.852,-3.713,-0.18,0,0.543,415.746,265.448,-339.843,0.076,-37.064,0,"Kr_Luna",0.132,-17.655,0,"SUGUN",-18.974,-45.079,0,"Floră",-13.646,-63.354,0,"인생최패망자",21.672,-51.838,0,"YukihiroD",14.229,-62.773,61,"Multeinn",45.973,-93.578,0,"하루（Haru）",-1.518,-116.02,0,"아침땅_",-44.619,-90.971,0,218.635,4.16,-73.917,218.818,5,"YukihiroD",4.216,-73.11,0,0,,,,,1,1
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,244.293,"눈꽃",R,0,86,138,0.908,-0.727,0.067,1.76,0.393,1.197,-36.579,9.301,0,0,0,36.927,7.011,0,0,1,1,6,R,"Pugeuk",179.6,86.326,0.399,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.06,-37.416,0,"Kr_Luna",-0.001,-17.467,103,"SUGUN",-18.934,-42.326,0,"Floră",-12.983,-63.537,0,"인생최패망자",20.128,-51.436,0,"YukihiroD",12.924,-63.789,0,"Multeinn",39.962,-88.17,0,"하루（Haru）",-0.165,-115.592,0,"아침땅_",-44.408,-88.37,0,0,0,0,0,0,"",0,0,0,0,245.268,,,,0,0
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,262.373,"눈꽃",R,34,100,140,-2.067,-1.129,-0.39,1.562,-0.96,0.903,-36.612,27.794,1,0,52.45,-32.108,5.162,0,0,0,1,6,R,"Pugeuk",179.6,86.326,0.399,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.113,-37.605,0,"Kr_Luna",-0.017,-17.532,106,"SUGUN",-19.516,-45.635,0,"Floră",-12.987,-63.4,0,"인생최패망자",20.199,-51.194,0,"YukihiroD",12.637,-63.582,0,"Multeinn",41.998,-94.176,0,"하루（Haru）",-0.831,-116.106,0,"아침땅_",-44.158,-88.596,0,0,0,0,0,0,"",0,0,0,0,263.16,,,,0,0
6,1,1,0,0,1,1,1,0,0,0,255,255,255,5,277.194,"눈꽃",R,28,96,140,-2.12,-0.708,-0.375,1.621,-0.959,1.095,-36.613,14.734,1,0,34.501,-95.77,12.704,0,0,0,1,6,R,"Pugeuk",179.6,86.326,0.399,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.158,-37.354,0,"Kr_Luna",0.029,-17.528,104,"SUGUN",-19.494,-45.576,0,"Floră",-13.284,-63.021,0,"인생최패망자",20.31,-50.565,0,"YukihiroD",12.605,-63.629,0,"Multeinn",42.15,-93.285,0,"하루（Haru）",-1.098,-114.183,0,"아침땅_",-43.937,-88.87,0,0,0,0,0,0,"",0,0,0,0,278.093,,,,0,0
7,1,1,0,0,2,1,1,0,0,0,255,255,255,6,290.944,"눈꽃",R,0,87,140,-1.942,-1.304,-0.323,1.567,-0.893,0.789,-36.6,19.366,1,0,41.532,-42.331,7.109,0,0,0,1,6,R,"Pugeuk",179.6,86.326,0.399,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119,-37.458,0,"Kr_Luna",-0.064,-17.488,108,"SUGUN",-19.775,-43.788,0,"Floră",-13.099,-62.628,0,"인생최패망자",19.652,-49.818,0,"YukihiroD",12.567,-63.573,0,"Multeinn",42.74,-94.149,0,"하루（Haru）",-0.902,-114.969,0,"아침땅_",-43.9,-88.834,0,0,0,0,0,0,"",0,0,0,0,291.726,,,,0,0
8,1,1,0,0,3,1,1,0,0,0,255,255,255,7,304.382,"눈꽃",R,27,93,140,-0.1,-0.141,-0.105,1.791,-0.147,1.41,-36.556,4.137,2,0,79.293,-114.861,9.664,0,0,1,1,6,R,"Pugeuk",179.6,86.326,0.399,3,79,305.405,194,54,113,51,26,145,120,-30,-17.336,0.79,0,0.595,35.581,-595.727,-51.427,-0.117,-37.335,0,"Kr_Luna",0.026,-17.533,0,"SUGUN",-19.49,-45.346,85,"Floră",-13.133,-62.717,0,"인생최패망자",20.638,-51.762,0,"YukihiroD",12.655,-63.36,106,"Multeinn",42.322,-94.585,0,"하루（Haru）",-1.063,-115.126,0,"아침땅_",-43.9,-88.836,0,305.168,0.416,-20.803,306.985,5,"YukihiroD",12.083,-57.727,0,0,,,,,33,2
9,1,1,0,0,0,0,2,0,0,0,255,255,255,8,326.76,"눈꽃",R,28,100,140,-0.785,-0.877,-0.244,1.602,-0.394,1.015,-36.59,18.617,0,0,50.272,-72.767,6.71,0,0,0,2,8,R,"Slaris",180,85.704,0.452,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398,-37.627,0,"Kr_Luna",-0.008,-17.411,100,"SUGUN",-19.628,-45.706,0,"Floră",-12.407,-63.27,0,"인생최패망자",20.34,-51.827,0,"YukihiroD",14.172,-62.621,0,"Multeinn",40.371,-89.943,0,"하루（Haru）",-0.862,-113.155,0,"아침땅_",-43.227,-88.167,0,0,0,0,0,0,"",0,0,0,0,327.56,,,,0,0
10,1,1,0,0,0,1,2,0,0,0,255,255,255,9,341.232,"눈꽃",R,5,73,124,-1.924,-0.483,-0.194,1.577,-0.707,1.315,-36.414,12.93,1,0,-81.569,1.655,1.092,0,0,0,2,8,R,"Slaris",180,85.704,0.452,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,-37.587,0,"Kr_Luna",0.004,-17.45,102,"SUGUN",-19.597,-45.507,0,"Floră",-12.224,-63.282,0,"인생최패망자",20.032,-51.543,0,"YukihiroD",14.15,-62.468,0,"Multeinn",38.889,-87.756,0,"하루（Haru）",-1.604,-113.175,0,"아침땅_",-42.818,-88.608,0,0,0,0,0,0,"",0,0,0,0,342.068,,,,0,0
11,1,1,0,0,1,1,2,0,0,0,255,255,255,10,363.775,"눈꽃",R,28,91,140,-0.536,0.21,-0.128,1.871,-0.282,1.653,-36.631,8.088,0,0,37.861,-75.464,6.505,0,0,1,2,8,R,"Slaris",180,85.704,0.452,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.076,-37.347,0,"Kr_Luna",-0.015,-17.534,0,"SUGUN",-19.581,-45.513,0,"Floră",-12.24,-63.377,0,"인생최패망자",20.01,-49.724,0,"YukihiroD",14.159,-62.549,0,"Multeinn",37.912,-86.923,0,"하루（Haru）",-0.895,-112.388,0,"아침땅_",-42.831,-88.551,0,0,0,0,0,0,"",0,0,0,0,364.543,,,,0,0
12,1,1,0,0,1,2,2,0,0,0,255,255,255,11,382.663,"눈꽃",R,32,63,104,1.807,-0.102,0.072,1.637,0.453,1.437,-36.517,13.338,2,0,171.329,-98.985,-20.388,0,0,1,2,8,R,"Slaris",180,85.704,0.452,3,76,383.639,177,110,64,74,38,138,107,9.347,-21.107,0.88,0,0.308,-295.438,474.494,-215.344,0.1,-37.214,0,"Kr_Luna",0.057,-17.516,0,"SUGUN",-19.502,-45.497,0,"Floră",-12.246,-63.413,85,"인생최패망자",20.204,-52.102,0,"YukihiroD",14.226,-62.706,0,"Multeinn",39.18,-87.782,0,"하루（Haru）",-0.956,-112.3,91,"아침땅_",-42.653,-88.656,0,385.076,14.613,-64.233,391.285,7,"하루（Haru）",31.295,-126.174,1,0,,393.699,,,384,2
13,1,1,0,0,0,0,2,0,1,0,255,8,255,12,418.75,"눈꽃",R,27,87,140,0.298,1.224,-0.06,2.005,0.068,2.18,-36.565,16.735,4,0,54.285,-102.644,12.41,0,0,1,3,3,R,"Cospra",170.3,89,0.377,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,-37.527,0,"Kr_Luna",-0.027,-17.629,103,"SUGUN",-18.653,-44.039,0,"Floră",-12.904,-63.776,0,"인생최패망자",18.951,-43.1,0,"YukihiroD",8.014,-59.963,0,"Multeinn",36.173,-83.67,0,"하루（Haru）",-2.945,-112.238,0,"아침땅_",-41.957,-84.321,0,0,0,0,0,0,"",0,0,0,0,419.835,422.26,,,0,0
14,1,1,0,0,0,1,2,0,1,0,255,8,255,13,434.879,"눈꽃",R,27,86,139,1.147,1.213,-0.044,1.984,0.492,2.166,-36.48,14.559,2,0,6.262,-111.252,14.131,0,0,1,3,3,R,"Cospra",170.3,89,0.377,3,74,436.05,217,50,100,52,21,145,83,93.772,-84.207,-0.83,0,0.149,-416.946,183.053,-96.373,0.027,-37.134,0,"Kr_Luna",0.094,-17.547,0,"SUGUN",-19.42,-45.087,0,"Floră",-13.534,-63.108,0,"인생최패망자",17.134,-46.658,0,"YukihiroD",8.939,-61.74,0,"Multeinn",39.649,-87.35,0,"하루（Haru）",-2.003,-110.773,0,"아침땅_",-42.461,-84.499,0,0,0,0,0,0,"",0,0,0,0,,439.976,,,0,3
