id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,361.958,"muyang_",R,3,67,98,-0.969,0.402,0.106,1.302,0.277,1.824,-36.648,65.023,0,0,-393.598,-49.096,2.297,0,0,0,0,2,R,"레이나2",179.7,85.17,0.353,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.535,-37.432,0,"Slaris",-0.032,-17.388,0,"CoalCat",-19.057,-47.19,0,"낑깡__",-13.533,-65.135,0,"ddil_ddil69",18.868,-40.817,0,"신과함께1",13.013,-61.373,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,362.941,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,378.038,"muyang_",R,3,55,88,1.146,-0.461,0.389,1.268,1.408,1.377,-36.648,86.457,0,0,-387.516,0,9.772,0,0,1,0,2,R,"레이나2",179.7,85.17,0.353,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.464,-37.955,0,"Slaris",-0.066,-17.499,0,"CoalCat",-19.073,-47.228,0,"낑깡__",-14.089,-64.644,0,"ddil_ddil69",18.701,-40.706,0,"신과함께1",12.969,-61.38,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,379.034,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,392.305,"muyang_",R,32,72,124,-2.966,0.537,-0.155,1.487,-1.652,1.981,-36.648,26.722,2,0,230.368,44.259,2.849,0,0,1,0,2,R,"레이나2",179.7,85.17,0.353,3,46,393.292,222,75,105,54,29,145,92,25.585,18.9,0.96,0,0.197,-96.182,-87.372,-22.729,-0.242,-37.568,0,"Slaris",0.03,-17.226,0,"CoalCat",-18.928,-47.032,0,"낑깡__",-14.217,-64.715,0,"ddil_ddil69",18.733,-40.729,0,"신과함께1",12.996,-61.444,71,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,397.087,-23.445,-91.824,404.487,5,"신과함께1",-0.819,-60.633,1,0,,,,,33,2
4,1,1,0,0,0,0,0,1,0,0,2,255,255,3,425.37,"muyang_",R,3,60,91,-2.772,-0.451,0.109,1.306,-0.446,1.368,-36.648,39.875,4,0,-394.603,0,12.394,0,0,1,1,5,R,"Floră",190,86,0.403,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218,-38.273,0,"Slaris",-0.302,-17.044,0,"CoalCat",-19.04,-41.971,0,"낑깡__",-12.77,-61.94,0,"ddil_ddil69",18.433,-41.649,0,"신과함께1",5.187,-61.214,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,426.474,,,,0,0
5,1,1,0,0,0,1,0,1,0,0,2,255,255,4,441.907,"muyang_",R,3,54,90,-1.288,0.322,0.23,1.483,0.092,1.85,-36.648,41.642,0,0,-284.459,0,-4.549,0,0,1,1,5,R,"Floră",190,86,0.403,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.247,-37.836,0,"Slaris",-0.156,-17,0,"CoalCat",-19.207,-42.972,0,"낑깡__",-12.918,-61.905,0,"ddil_ddil69",18.563,-41.226,0,"신과함께1",5.135,-60.696,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,443.061,,,,0,0
6,1,1,0,0,0,2,0,1,0,0,2,255,255,5,459.681,"muyang_",R,32,78,128,-4.83,1.347,-0.314,1.633,-2.392,2.434,-36.648,1.12,4,0,202.214,-27.306,27.48,0,0,1,1,5,R,"Floră",190,86,0.403,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.417,-37.689,0,"Slaris",-0.622,-18.565,0,"CoalCat",-19.151,-40.518,0,"낑깡__",-12.892,-61.949,0,"ddil_ddil69",18.738,-41.14,0,"신과함께1",8.072,-60.753,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,460.394,,,,0,0
7,1,1,0,0,0,0,1,1,0,0,2,255,255,6,480.171,"muyang_",R,2,57,101,-2.145,0.033,0.162,1.285,-0.323,1.303,-37.188,56.291,1,0,-358.49,-312.348,0.723,0,0,0,2,1,R,"-라후이-",190,87,0.498,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.301,-37.895,0,"Slaris",-0.358,-17.075,0,"CoalCat",-18.439,-44.631,0,"낑깡__",-12.97,-61.848,0,"ddil_ddil69",18.61,-40.79,0,"신과함께1",6.569,-60.967,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,480.994,,,,0,0
8,1,1,0,0,0,1,1,1,0,0,2,255,255,7,509.97,"muyang_",R,5,43,99,-1.599,-0.772,0.148,1.565,-0.487,1.135,-37.464,87.462,1,0,-104.144,0,1.896,0,0,0,2,1,R,"-라후이-",190,87,0.498,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.34,-37.724,0,"Slaris",-0.367,-17.148,0,"CoalCat",-18.922,-42.837,0,"낑깡__",-12.908,-61.932,0,"ddil_ddil69",18.587,-40.768,0,"신과함께1",6.392,-60.093,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,510.754,,,,0,0
9,1,1,0,0,1,1,1,1,0,0,2,255,255,8,523.531,"muyang_",R,2,56,88,1.94,-0.233,0.385,1.294,1.575,1.092,-37.102,53.026,1,0,-312.474,-312.15,-11.123,0,0,0,2,1,R,"-라후이-",190,87,0.498,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.296,-37.82,0,"Slaris",-0.43,-17.356,0,"CoalCat",-19.064,-43.249,0,"낑깡__",-12.925,-61.884,0,"ddil_ddil69",18.589,-40.851,0,"신과함께1",6.035,-60.528,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,524.447,,,,0,0
10,1,1,0,0,2,1,1,1,0,0,2,255,255,9,537.279,"muyang_",R,2,54,86,0.418,0.225,0.376,1.304,0.906,1.368,-37.134,54.662,2,0,-303.397,-315.286,14.568,0,0,1,2,1,R,"-라후이-",190,87,0.498,3,44,538.377,162,116,120,97,52,145,122,25.167,-0.026,0.22,0,0.215,-32.721,76.586,53.113,-0.112,-37.758,0,"Slaris",-0.357,-17.341,0,"CoalCat",-19.183,-43.805,0,"낑깡__",-12.928,-61.871,0,"ddil_ddil69",18.446,-40.936,0,"신과함께1",9.669,-61.755,85,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,542.514,-2.086,-125.267,547.487,5,"신과함께1",-0.17,-64.754,0,0,,,,,33,1
11,1,1,0,0,1,0,2,1,0,0,2,255,255,10,576.483,"muyang_",R,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,R,"si_ho",190,85.027,0.5,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,"",0,0,0,0,0,0,0,0,"",0,0,0,0,582.501,,,,0,0
