id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,232.077,"ًً미소",L,3,69,113,0.889,0.036,-0.326,1.391,-0.193,1.644,-36.94,32.947,2,0,375.651,8.237,1.711,0,0,1,0,3,R,"인생최패망자",160,80,0.404,3,41,232.997,255,84,105,106,52,145,83,27.878,-3.721,-0.63,0,0.219,2.315,-48.534,-50.723,0.104,-37.354,0,"Pring__",-0.005,-17.24,0,"ʚEveɞ",-23.651,-49.753,0,"Fresh825",-15.626,-62.716,81,"kneesohime",21.9,-49.093,0,"Mr․D VRC",12.972,-64.941,0,"SUGUN",48.185,-96.675,0,"소솨소솨",-0.419,-111.502,129,"HANA_ARASHI",-46.17,-106.218,0,236.967,5.507,-89.672,237.674,7,"소솨소솨",5.782,-92.817,1,0,,,,,168,2
2,1,1,0,0,0,0,0,1,0,0,3,255,255,1,265.849,"ًً미소",L,3,67,112,1.136,-0.11,-0.229,1.501,0.026,1.553,-36.94,13.615,0,0,303.613,0,-1.594,0,0,0,1,8,L,"encounter v",190,83.172,0.529,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046,-38.032,0,"Pring__",0.285,-19.308,0,"ʚEveɞ",-19.472,-40.774,0,"Fresh825",-0.687,-59.715,0,"kneesohime",21.733,-50.126,0,"Mr․D VRC",13.112,-64.816,0,"SUGUN",43.61,-98.399,0,"소솨소솨",-1.557,-111.484,0,"HANA_ARASHI",-40.651,-96.781,0,0,0,0,0,0,"",0,0,0,0,266.487,269.932,,,0,0
3,1,1,0,0,0,1,0,0,1,0,255,3,255,2,284.066,"ًً미소",L,3,74,115,1.669,-0.209,-0.361,1.477,0.013,1.488,-36.94,23.566,4,0,412.078,0,-2.652,0,0,1,1,8,L,"encounter v",190,83.172,0.529,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.087,-37.978,0,"Pring__",0.05,-17.269,0,"ʚEveɞ",-22.202,-48.206,0,"Fresh825",-8.428,-62.14,0,"kneesohime",19.644,-40.353,0,"Mr․D VRC",14.426,-63.173,0,"SUGUN",44.465,-97.927,0,"소솨소솨",-1.406,-111.449,0,"HANA_ARASHI",-38.65,-95.824,0,0,0,0,0,0,"",0,0,0,0,284.714,,285.557,,0,0
4,1,1,0,0,0,2,0,0,0,1,255,255,3,3,308.424,"ًً미소",L,33,76,127,-2.224,0.105,-0.502,1.461,-0.735,1.585,-36.94,50.25,2,0,-140.776,-97.378,2.918,0,0,1,1,8,L,"encounter v",190,83.172,0.529,3,47,309.36,255,143,133,122,37,145,90,11.968,36.674,-0.85,0,0.52,125.949,80.582,20.494,0.06,-37.587,0,"Pring__",0.01,-17.276,0,"ʚEveɞ",-22.509,-48.765,101,"Fresh825",-13.982,-64.217,0,"kneesohime",19.675,-42.159,71,"Mr․D VRC",12.784,-65.117,0,"SUGUN",44.411,-97.928,0,"소솨소솨",-0.347,-108.573,0,"HANA_ARASHI",-38.531,-92.802,0,0,0,0,310.607,2,"ʚEveɞ",-20.912,-47.339,0,0,,,312.831,,74,1
5,1,1,0,0,0,0,1,0,0,1,255,255,3,4,333.601,"ًً미소",L,3,66,112,1.186,-0.394,-0.564,1.39,0.063,1.398,-36.94,46.601,0,0,305.097,0,-1.012,0,0,0,2,7,R,"うよすま",168.4,92.834,0.601,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,-37.987,0,"Pring__",0.139,-17.68,0,"ʚEveɞ",-23.465,-50.101,0,"Fresh825",-18.426,-61.127,0,"kneesohime",19.852,-43.649,0,"Mr․D VRC",11.471,-65.537,0,"SUGUN",42.958,-97.445,0,"소솨소솨",-1.773,-108.667,0,"HANA_ARASHI",-44.457,-100.4,0,0,0,0,0,0,"",0,0,0,0,334.38,,336.24,,0,0
6,1,1,0,0,0,1,1,0,0,1,255,255,3,5,349.733,"ًً미소",L,34,75,126,-1.172,0.322,-0.405,1.409,-0.356,1.697,-36.94,39.25,0,0,-89.982,-77.374,2.345,0,0,0,2,7,R,"うよすま",168.4,92.834,0.601,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.198,-37.783,0,"Pring__",-0.221,-20.567,0,"ʚEveɞ",-22.589,-48.926,0,"Fresh825",-17.563,-62.808,0,"kneesohime",19.484,-40.337,0,"Mr․D VRC",12.328,-65.742,0,"SUGUN",44.225,-96.396,0,"소솨소솨",-1.791,-108.677,0,"HANA_ARASHI",-43.989,-99.43,0,0,0,0,0,0,"",0,0,0,0,350.42,,,350.903,0,0
7,1,1,1,0,0,2,1,0,0,0,255,255,255,6,367.833,"ًً미소",L,5,65,117,-0.677,0.585,-0.49,1.492,-0.367,1.927,-36.94,47.69,0,0,52.323,0,9.067,0,0,0,2,7,R,"うよすま",168.4,92.834,0.601,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.183,-37.914,0,"Pring__",-0.023,-17.317,0,"ʚEveɞ",-22.998,-49.101,0,"Fresh825",-17.245,-62.54,0,"kneesohime",22.253,-49.066,0,"Mr․D VRC",12.043,-65.781,0,"SUGUN",43.309,-97.117,0,"소솨소솨",-1.657,-108.432,0,"HANA_ARASHI",-44.103,-97.442,0,0,0,0,0,0,"",0,0,0,0,368.527,,,373.058,0,0
8,1,1,1,0,0,0,2,0,0,0,255,255,255,7,389.767,"ًً미소",L,8,43,101,-1.123,-0.042,-0.394,1.548,-0.389,1.591,-36.802,42.743,2,0,-54.711,0,2.869,0,0,1,3,5,R,"muyang_",170,80,0.498,2,38,391.088,234,189,122,132,65,145,91,32.528,49.752,0.95,0,0.304,45.661,85.974,76.382,0.197,-38.125,0,"Pring__",-0.049,-17.259,0,"ʚEveɞ",-23.084,-48.727,0,"Fresh825",-16.025,-63.395,0,"kneesohime",22.124,-47.42,0,"Mr․D VRC",12.114,-65.577,0,"SUGUN",42.998,-97.166,0,"소솨소솨",-1.65,-108.449,0,"HANA_ARASHI",-44.286,-100.081,0,394.94,-55.055,-66.084,0,0,"",0,0,0,0,,,,,8,3
9,1,1,1,0,0,1,2,0,0,0,255,255,255,8,408.592,"ًً미소",L,6,46,96,-2.335,0.529,-0.633,1.459,-0.318,1.919,-36.777,52.698,2,0,-319.542,0,3.035,0,0,1,3,5,R,"muyang_",170,80,0.498,2,37,409.938,255,199,120,113,54,145,91,-9.625,2.744,-0.43,0,0.267,-47.205,136.997,-37.626,0.073,-38.086,87,"Pring__",-0.06,-17.257,0,"ʚEveɞ",-22.675,-50.636,0,"Fresh825",-15.691,-63.334,0,"kneesohime",22.14,-47.417,0,"Mr․D VRC",12.594,-65.571,0,"SUGUN",43.867,-97.663,0,"소솨소솨",-1.503,-108.424,0,"HANA_ARASHI",-46.42,-103.342,0,409.514,-0.702,-26.131,410.394,0,"ًً미소",-1.257,-36.901,0,0,457.5,,,,394,2
10,1,0,1,0,0,0,0,0,0,0,255,255,255,0,586.515,"Muna_328",R,29,73,124,-3.412,-1.001,0.435,1.491,-1.23,1.126,-36.406,22.976,1,0,-250,200,-32.566,0,0,0,0,2,L,"ʚEveɞ",190,95.155,0.446,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181,-37.459,0,"濃いめのラー油",-0.05,-17.589,0,"coder_",-21.109,-50.113,0,"인생최패망자",-14.983,-62.684,0,"장덕춘_",20.289,-49.451,0,"muyang_",13.42,-64.6,0,"아침땅_",44.975,-91.548,0,"うよすま",5.737,-118.499,0,"encounter v",-48.579,-93.402,0,0,0,0,0,0,"",0,0,0,0,587.207,,,,0,0
11,1,0,1,0,1,0,0,0,0,0,255,255,255,1,601.554,"Muna_328",R,13,72,111,-1.643,-0.057,0.696,1.757,-0.019,1.988,-36.483,43.861,2,0,-390.434,312.348,29.027,0,0,1,0,2,L,"ʚEveɞ",190,95.155,0.446,3,35,602.7,120,131,85,64,18,137,115,-30,36.311,0.1,0,0.347,-66.966,-41.436,-41.037,0.097,-36.555,0,"濃いめのラー油",-0.059,-17.742,0,"coder_",-20.482,-49.809,107,"인생최패망자",-16.08,-63.21,0,"장덕춘_",20.461,-50.086,0,"muyang_",13.418,-64.669,0,"아침땅_",44.966,-91.53,0,"うよすま",2.262,-119.064,0,"encounter v",-48.587,-93.415,0,601.967,-1.468,-21.325,603.554,2,"coder_",-20.57,-47.327,0,0,,,,,288,2
