id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,220.718,"muyang_",R,3,80,105,-2.584,-0.841,0.123,1.141,-0.239,1.111,-36.649,38.033,1,0,-477.273,0,-23.573,-1.674,-17.378,0,0,1,L,"Pring__",190,90.814,0.485,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.386,-37.481,0,"CoalCat",-0.755,-17.823,0,"즉석카레",-20.51,-50.684,0,"Rite_",-9.967,-63.156,0,"눈꽃",19.137,-45.68,0,"SUGUN",14.772,-61.991,0,"별이__",55.041,-102.097,0,"AI",0,-109.84,0,"HANA_ARASHI",-46.965,-96.28,0,0,0,0,0,0,"",0,0,0,0,224.13,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,238.327,"muyang_",R,3,67,96,-2.084,-0.294,0.199,1.304,-0.003,1.464,-36.649,49.333,2,0,-436.364,0,-1.249,0,0,0,0,1,L,"Pring__",190,90.814,0.485,1,75,239.326,189,151,118,133,97,145,117,-12.922,18.506,0.11,0,0.688,0,0,0,-0.587,-36.966,0,"CoalCat",-0.072,-17.532,0,"즉석카레",-20.495,-50.665,69,"Rite_",-11.644,-64.286,0,"눈꽃",19.152,-45.656,0,"SUGUN",14.744,-61.977,0,"별이__",54.885,-102.223,0,"AI",0,-109.84,0,"HANA_ARASHI",-45.332,-100.717,110,239.13,-1.575,-24.542,243.664,8,"HANA_ARASHI",-27.072,-97.703,1,0,,,,,42,2
3,1,1,0,0,0,0,0,1,0,0,1,255,255,2,265.821,"muyang_",R,3,64,95,0.115,-1.264,0.357,1.295,0.811,0.849,-36.649,48.242,4,0,-412.628,0,6.047,0,0,1,1,2,R,"Penguin_iDOL",190,80,0.346,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251,-37.502,0,"CoalCat",-0.091,-17.987,0,"즉석카레",-20.089,-41.263,0,"Rite_",-15.704,-59.115,0,"눈꽃",16.173,-47.053,0,"SUGUN",9.518,-63.429,0,"별이__",37.742,-90.882,0,"AI",0,-109.84,0,"HANA_ARASHI",-41.135,-93.273,0,0,0,0,0,0,"",0,0,0,0,267.075,,,,0,0
4,1,1,0,0,0,1,0,1,0,0,1,255,255,3,285.922,"muyang_",R,3,61,92,-2.494,-0.544,0.156,1.234,-0.136,1.313,-36.837,43.626,2,0,-418.182,0,-7.915,0,0,1,1,2,R,"Penguin_iDOL",190,80,0.346,3,74,286.965,254,175,115,104,78,145,102,30.115,55.277,0.93,0,0.378,22.116,-95.704,1.829,-0.187,-37.355,0,"CoalCat",-0.18,-17.934,0,"즉석카레",-18.709,-46.298,0,"Rite_",-16.435,-58.704,0,"눈꽃",16.996,-46.602,0,"SUGUN",10.237,-63.638,0,"별이__",37.835,-91.444,0,"AI",0,-109.84,0,"HANA_ARASHI",-41.678,-96.56,0,290.553,-64.921,-67.147,0,0,"",0,0,0,0,,,,,32,3
5,1,1,0,0,0,2,0,1,0,0,1,255,255,4,308.551,"muyang_",R,10,76,105,-0.454,-1.521,0.134,1.192,-0.206,1.222,-36.617,34.267,2,0,0,400,13.243,0,0,1,1,2,R,"Penguin_iDOL",190,80,0.346,3,73,309.545,217,215,151,109,70,145,127,-30,-16.716,0.26,0,0.358,297.072,-260.163,-82.451,-0.06,-37.102,0,"CoalCat",-0.107,-17.69,0,"즉석카레",-19.698,-45.741,111,"Rite_",-16.525,-60.355,96,"눈꽃",16.688,-46.452,0,"SUGUN",11.442,-63.428,87,"별이__",35.22,-90.423,0,"AI",0,-109.84,0,"HANA_ARASHI",-41.295,-96.404,0,309.275,0.097,-20.859,311.142,5,"SUGUN",11.446,-58.546,0,0,,315.044,,,51,2
6,1,1,0,0,0,0,2,0,0,0,255,255,255,5,341.311,"muyang_",R,13,49,83,-0.202,-1.978,0.262,1.513,0.518,1.255,-37.17,87.708,1,0,-269.449,349.97,2.793,-0.106,-19.12,0,2,3,L,"Gonyong",160,80,0.2,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.232,-37.383,0,"CoalCat",0.032,-17.619,0,"즉석카레",-20.5,-49.395,0,"Rite_",-10.059,-64.402,0,"눈꽃",18.152,-44.263,0,"SUGUN",13.812,-62.342,0,"별이__",48.648,-93.988,0,"AI",0,-109.84,0,"HANA_ARASHI",-38.812,-97.75,0,0,0,0,0,0,"",0,0,0,0,342.775,,,,0,0
7,1,1,0,0,1,0,2,0,0,0,255,255,255,6,356.532,"muyang_",R,3,61,93,0.126,-1.453,0.533,1.201,0.89,0.873,-37.178,78.104,2,0,-360.747,0,-3.924,0,0,1,2,3,L,"Gonyong",160,80,0.2,3,45,357.842,57,25,34,63,65,61,61,22.926,-46.358,0.97,0,0.255,353.708,-478.332,-30.584,0.109,-37.338,0,"CoalCat",0.007,-17.679,0,"즉석카레",-20.701,-48.929,0,"Rite_",-10.639,-65.538,0,"눈꽃",18.176,-44.291,0,"SUGUN",13.829,-62.329,0,"별이__",49.058,-94.246,0,"AI",0,-109.84,0,"HANA_ARASHI",-38.115,-92.768,0,359.931,25.08,-40.52,0,0,"",0,0,0,0,,,,,32,3
8,1,1,0,0,1,1,2,0,0,0,255,255,255,7,376.827,"muyang_",R,13,71,99,-0.711,-2.283,0.309,1.16,0.339,1.059,-36.765,49.444,2,0,-340.665,326.688,0.349,0,0,1,2,3,L,"Gonyong",160,80,0.2,3,69,378.212,150,110,89,84,88,145,98,-30,-38.9,0.94,0,0.149,-317.986,-84.32,251.492,-0.101,-37.122,0,"CoalCat",-0.122,-17.688,0,"즉석카레",-20.587,-48.398,0,"Rite_",-10.584,-64.998,0,"눈꽃",17.723,-43.639,120,"SUGUN",14.33,-61.795,0,"별이__",49.901,-91.072,0,"AI",0,-109.84,0,"HANA_ARASHI",-41.233,-99.505,0,377.919,0.137,-20.573,379.797,4,"눈꽃",16.102,-40.353,0,0,410.964,,,,23,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,486.93,"si_ho",R,26,88,140,0.368,0.871,0.249,1.803,0.074,1.915,-36.531,26.703,0,0,61.836,-166.076,7.006,0,0,0,0,6,R,"별이__",170,80,0.3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.318,-37.687,0,"Pring__",-0.012,-16.962,0,"Penguin_iDOL",-20.457,-47.226,0,"Gonyong",-14.607,-57.034,0,"NABIMan",20.054,-50.231,0,"ddil_ddil69",13.657,-62.16,0,"-KYU-",45.649,-93.159,0,"ʚEveɞ",2.357,-113.947,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,487.898,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,497.069,"si_ho",R,6,79,108,2.849,-0.594,0.379,1.808,0.468,1.766,-36.519,27.083,3,0,327.476,180.58,9.722,-0.413,-20.379,0,0,6,R,"별이__",170,80,0.3,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26,-37.918,0,"Pring__",-0.379,-17.83,0,"Penguin_iDOL",-20.662,-47.047,0,"Gonyong",-14.727,-57.04,0,"NABIMan",18.602,-50.652,0,"ddil_ddil69",13.602,-62.009,0,"-KYU-",45.658,-93.169,0,"ʚEveɞ",0.019,-115.258,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,500.253,,,,0,6
