id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,302.731,"소솨소솨",R,28,91,140,-2.221,-0.278,-0.028,1.453,-1.061,1.363,-36.569,7.499,1,0,60.24,-67.906,3.845,0,0,0,0,9,L,"Pring__",172.9,87.814,0.485,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14,-37.931,0,"아침땅_",0.107,-17.548,0,"Sabo_10",-20.615,-48.528,0,"Fresh825",-13.455,-64.315,0,"CoalCat",18.946,-46.698,0,"Amellaid",15.253,-60.391,0,"가앤슬_",44.087,-87.279,0,"shiro_シロ1004",-0.234,-105.545,0,"Gonyong",-38.367,-92.651,0,0,0,0,0,0,"",0,0,0,0,303.506,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,314.9,"소솨소솨",R,27,84,136,-1.242,-0.873,0.066,1.345,-0.622,0.977,-36.569,15.234,0,0,44.597,-102.136,3.429,-0.312,-18.57,0,0,9,L,"Pring__",172.9,87.814,0.485,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.314,-37.991,0,"아침땅_",0.013,-17.86,0,"Sabo_10",-20.185,-46.996,0,"Fresh825",-13.455,-64.322,0,"CoalCat",18.842,-46.47,0,"Amellaid",15.597,-61.161,0,"가앤슬_",49.66,-101.375,0,"shiro_シロ1004",-0.108,-105.594,0,"Gonyong",-40.39,-99.993,0,0,0,0,0,0,"",0,0,0,0,317.226,,,,0,0
3,1,1,0,0,1,1,0,0,0,0,255,255,255,2,327.534,"소솨소솨",R,28,87,140,-0.803,0.903,0.105,1.641,-0.441,2.032,-36.569,5.518,0,0,58.467,-74.865,-0.732,0,0,1,0,9,L,"Pring__",172.9,87.814,0.485,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136,-38.05,0,"아침땅_",0.133,-17.331,0,"Sabo_10",-20.76,-47.034,0,"Fresh825",-13.206,-64.538,0,"CoalCat",18.835,-46.47,0,"Amellaid",15.59,-61.185,0,"가앤슬_",49.658,-101.357,0,"shiro_シロ1004",-0.213,-114.031,0,"Gonyong",-40.405,-99.997,0,0,0,0,0,0,"",0,0,0,0,328.173,,,,0,0
4,1,1,0,0,1,2,0,0,0,0,255,255,255,3,343.454,"소솨소솨",R,10,67,111,-1.12,-2.12,0.092,1.308,-0.501,0.845,-36.569,18.896,2,0,0,347.127,1.958,0,0,1,0,9,L,"Pring__",172.9,87.814,0.485,3,34,344.687,217,174,45,93,67,134,100,-30,-7.082,0.92,0,0.649,-92.31,313.269,102.752,0.185,-37.907,119,"아침땅_",0.016,-17.542,0,"Sabo_10",-20.441,-47.112,103,"Fresh825",-13.151,-64.465,0,"CoalCat",18.927,-46.062,0,"Amellaid",12.924,-60.53,0,"가앤슬_",49.612,-104.526,0,"shiro_シロ1004",-0.054,-114.105,0,"Gonyong",-40.387,-99.995,0,343.999,-0.191,-20.338,345.213,0,"소솨소솨",1.803,-36.464,0,0,,,,,257,2
5,1,1,0,0,0,0,1,0,0,0,255,255,255,4,367.129,"소솨소솨",R,28,90,140,-0.669,0.519,0.116,1.58,-0.392,1.818,-36.569,6.182,0,0,69.543,-77.087,-0.646,0,0,1,1,6,L,"Kr_Luna",169.1,92.417,0.501,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.085,-38.018,0,"아침땅_",0.092,-17.384,0,"Sabo_10",-20.206,-47.062,0,"Fresh825",-13.143,-65.042,0,"CoalCat",20.005,-48.446,0,"Amellaid",15.55,-62.483,0,"가앤슬_",45.782,-99.595,0,"shiro_シロ1004",-0.082,-114.127,0,"Gonyong",-39.445,-91.981,0,0,0,0,0,0,"",0,0,0,0,367.613,,,,0,0
6,1,1,0,0,0,1,1,0,0,0,255,255,255,5,379.416,"소솨소솨",R,28,88,140,-1.704,-0.518,0.023,1.419,-0.825,1.23,-36.569,7.647,1,0,58.831,-87.719,0.385,0,0,0,1,6,L,"Kr_Luna",169.1,92.417,0.501,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083,-38.088,0,"아침땅_",0.042,-17.411,0,"Sabo_10",-20.225,-47.102,0,"Fresh825",-13.863,-64.892,0,"CoalCat",20.233,-48.592,0,"Amellaid",15.805,-61.998,0,"가앤슬_",45.79,-99.633,0,"shiro_シロ1004",-0.249,-114.041,0,"Gonyong",-38.037,-92.717,0,0,0,0,0,0,"",0,0,0,0,379.906,,,,0,0
7,1,1,0,0,1,1,1,0,0,0,255,255,255,6,390.801,"소솨소솨",R,28,86,139,-1.127,-0.698,0.083,1.391,-0.546,1.13,-36.569,12.12,2,0,37.356,-86.746,-1.304,0,0,1,1,6,L,"Kr_Luna",169.1,92.417,0.501,0,33,391.552,163,114,68,59,17,138,124,25.824,-3.637,0.39,0,0.074,-158.086,-162.79,4.008,0.303,-37.399,0,"아침땅_",0.012,-17.555,0,"Sabo_10",-20.248,-47.273,92,"Fresh825",-15.007,-64.073,0,"CoalCat",20.341,-48.715,0,"Amellaid",15.753,-61.904,0,"가앤슬_",45.777,-99.643,0,"shiro_シロ1004",-0.163,-114.017,88,"Gonyong",-43.153,-89.47,0,395.493,10.38,-123.808,397.706,7,"shiro_シロ1004",12.385,-131.788,1,0,,401.262,,,261,2
8,1,1,0,0,0,0,1,0,1,0,255,6,255,7,430.471,"소솨소솨",R,27,93,140,0.216,-0.437,0.202,1.407,0.01,1.238,-36.569,10.86,2,0,66.34,-120.637,0.605,0,0,1,2,7,R,"HANA_ARASHI",190,85.679,0.252,3,33,431.418,156,81,64,30,28,135,130,-30,32.477,0.52,0,0.462,62.282,53.367,-109.193,0.567,-37.57,0,"아침땅_",0.056,-17.572,0,"Sabo_10",-20.125,-46.033,108,"Fresh825",-15.139,-63.568,0,"CoalCat",19.517,-47.191,75,"Amellaid",5.885,-63.155,0,"가앤슬_",41.162,-97.047,0,"shiro_シロ1004",0.419,-112.993,0,"Gonyong",-43.41,-83.354,0,430.746,-0.794,-21.027,432.439,2,"Sabo_10",-15.774,-44.538,0,0,,,435.772,,289,2
9,1,1,0,0,0,0,2,0,0,1,255,255,6,8,457.459,"소솨소솨",R,33,85,138,1.524,1.301,0.292,1.817,0.529,2.343,-36.569,32.268,2,0,103.423,-91.961,-2.29,0,0,1,3,8,L,"encounter v",190,83.172,0.529,3,33,458.685,200,74,73,65,50,144,111,29.716,-42.13,0.09,0,0.333,232.402,-393.375,-9.444,0.134,-37.602,0,"아침땅_",0.007,-17.625,0,"Sabo_10",-19.834,-46.219,0,"Fresh825",-16.131,-63.248,0,"CoalCat",19.529,-47.284,0,"Amellaid",14.302,-61.526,0,"가앤슬_",51.016,-100.172,0,"shiro_シロ1004",0.882,-112.466,0,"Gonyong",-38.845,-75.804,0,462.773,71.811,-84.723,0,0,"",0,0,0,0,,,464.389,,256,3
10,1,1,0,0,0,1,2,0,0,1,255,255,6,9,479.764,"소솨소솨",R,27,91,140,-2.144,-0.336,-0.026,1.425,-1.051,1.296,-36.569,9.729,2,0,86.058,-124.433,-2.185,0,0,1,3,8,L,"encounter v",190,83.172,0.529,3,32,480.855,255,118,133,117,69,145,105,22.331,-1.017,-0.09,0,0.558,129.248,-196.895,-78.579,0.19,-37.514,0,"아침땅_",0.01,-17.594,0,"Sabo_10",-19.459,-46.881,0,"Fresh825",-12.756,-64.482,0,"CoalCat",20.061,-48.376,0,"Amellaid",15.099,-61.429,86,"가앤슬_",46.78,-101.516,0,"shiro_シロ1004",1.983,-116.682,81,"Gonyong",-38.874,-75.865,0,485.146,5.671,-115.011,490.213,7,"shiro_シロ1004",8.445,-133.252,1,0,,491.466,496.627,485.845,262,2
11,1,1,1,0,0,0,2,0,0,1,255,255,8,10,520.516,"소솨소솨",R,34,92,140,0.069,0.079,0.081,1.566,-0.555,1.755,-36.569,10.633,2,0,73.38,-64.15,-0.809,0,0,1,4,2,L,"눈꽃",190,90,0.6,3,32,521.623,254,68,137,80,24,145,130,1.582,-16.436,0.4,0,0.449,-172.907,-450.026,-160.628,0.034,-37.503,0,"아침땅_",0.018,-17.634,0,"Sabo_10",-20.248,-48.027,0,"Fresh825",-12.696,-64.04,0,"CoalCat",19.172,-46.734,0,"Amellaid",16.641,-59.289,95,"가앤슬_",39.921,-93.786,0,"shiro_シロ1004",1.885,-115.418,0,"Gonyong",-35.532,-77.356,0,521.786,8.694,-47.506,522.639,5,"Amellaid",12.461,-57.363,0,16,558.493,,,526.746,67,2
12,1,0,1,0,0,0,0,0,0,0,255,255,255,0,633.604,"mungjungh",R,32,87,140,2.027,0.925,0.728,1.658,0.61,2.012,-36.645,56.278,2,0,201.293,-154.407,0,0,0,1,0,6,R,"가앤슬_",180,90.352,0.4,3,31,634.649,46,20,49,37,18,42,47,100.059,-47.296,-0.68,0,0.212,205.942,-51.357,-516.807,0.527,-36.669,0,"甲斐野柊太",-0.04,-16.934,120,"눈꽃",-20.02,-46.05,0,"Rite_",-15.36,-62.42,0,"_이누_",21.487,-48.443,0,"SUGUN",11.413,-63.071,0,"Pring__",39.665,-103.035,0,"HANA_ARASHI",-3.269,-113.903,0,"encounter v",-46.89,-90.812,0,0,0,0,638.786,1,"甲斐野柊太",-5.451,-11.83,0,256,638.786,,,,65,1
13,1,0,1,0,0,0,1,0,0,0,255,255,255,1,660.679,"mungjungh",R,32,88,140,-0.468,-0.13,0.482,1.463,-0.53,1.307,-36.645,30.917,0,0,248.166,-200,0,-0.264,-11.239,1,1,8,L,"Gonyong",160,80,0.2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.074,-37.508,0,"甲斐野柊太",-0.217,-16.936,0,"눈꽃",-18.147,-43.903,0,"Rite_",-9.429,-63.41,0,"_이누_",22.196,-48.079,0,"SUGUN",13.3,-62.871,0,"Pring__",47.257,-93.766,0,"HANA_ARASHI",2.628,-103.871,0,"encounter v",-47.535,-92.262,0,0,0,0,0,0,"",0,0,0,0,661.946,,,,0,0
14,1,0,1,0,0,1,1,0,0,0,255,255,255,2,674.374,"mungjungh",R,26,85,138,0.53,0.135,0.593,1.499,-0.017,1.445,-36.645,34.844,2,0,157.146,-200,0,0,0,1,1,8,L,"Gonyong",160,80,0.2,3,39,675.336,22,5,18,10,5,6,30,4.513,-5.753,0.59,1,0.438,595.567,-45.661,56.701,0.596,-36.697,120,"甲斐野柊太",0.125,-16.951,0,"눈꽃",-18.017,-43.589,120,"Rite_",-12.196,-64.378,0,"_이누_",22.175,-48.048,0,"SUGUN",9.565,-63.197,0,"Pring__",48.607,-95.459,0,"HANA_ARASHI",0.752,-113.929,0,"encounter v",-39.167,-84.197,0,675.506,0.787,-27.196,676.786,0,"mungjungh",1.179,-30.262,0,0,,,,,17,2
