id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,188.997,"인생최패망자",R,32,90,140,0.189,0.31,0.969,1.503,-0.145,1.666,-36.744,33.228,0,0,158.429,-114.794,12.46,0,0,0,0,5,R,"Pugeuk",170.3,86.173,0.396,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43,-37.543,0,"ًً미소",-0.05,-17.956,0,"Sabo_10",-21.984,-46.068,0,"Ainy4／あいにゃ",-14.369,-62.712,0,"SUGUN",18.032,-43.774,0,"Multeinn",12.734,-63.761,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,190.271,,,,0,0
2,1,1,0,0,0,1,0,0,0,0,255,255,255,1,201.853,"인생최패망자",R,13,84,108,-0.514,-0.714,1.152,1.51,0.47,1.678,-36.744,58.042,0,0,-383.336,312.348,-18.701,-0.153,-18.74,0,0,5,R,"Pugeuk",170.3,86.173,0.396,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.382,-37.953,0,"ًً미소",-0.103,-18.028,0,"Sabo_10",-20.622,-46.979,0,"Ainy4／あいにゃ",-14.44,-62.628,0,"SUGUN",18.972,-45.095,0,"Multeinn",12.756,-63.377,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,204.764,,,,0,0
3,1,1,0,0,0,2,0,0,0,0,255,255,255,2,216.042,"인생최패망자",R,13,91,113,-4.061,-2.234,0.637,1.161,-1.125,0.837,-36.744,43.812,4,0,-368.872,337.54,-2.801,-1.066,-18.041,1,0,5,R,"Pugeuk",170.3,86.173,0.396,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.47,-37.813,0,"ًً미소",-0.388,-17.895,0,"Sabo_10",-21.008,-44.776,0,"Ainy4／あいにゃ",-14.428,-62.654,0,"SUGUN",19.039,-46.144,0,"Multeinn",13.218,-62.972,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,218.777,,,,0,0
4,1,1,0,0,0,0,1,0,0,0,255,255,255,3,238.154,"인생최패망자",R,32,87,140,-0.542,0.742,0.889,1.58,-0.515,1.912,-36.744,46.192,2,0,208.465,-193.982,5.386,0,0,1,1,4,L,"encounter v",190,83.172,0.529,2,44,239.193,255,83,115,89,51,145,91,101.551,23.592,-0.77,0,0.447,528.645,-56.264,29.35,0.748,-37.213,0,"ًً미소",0.024,-17.993,0,"Sabo_10",-20.909,-48.135,0,"Ainy4／あいにゃ",-14.306,-62.748,0,"SUGUN",20.061,-46.712,0,"Multeinn",13.299,-62.9,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,,,,1,3
5,1,1,0,0,0,1,1,0,0,0,255,255,255,4,253.73,"인생최패망자",R,13,81,106,-1.76,-0.84,0.972,1.461,-0.087,1.569,-36.744,58.776,4,0,-357.589,335.108,-17.994,-0.741,-18.966,1,1,4,L,"encounter v",190,83.172,0.529,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,-37.904,0,"ًً미소",-0.194,-18,0,"Sabo_10",-19.877,-44.963,0,"Ainy4／あいにゃ",-13.403,-63.215,0,"SUGUN",19.738,-46.741,0,"Multeinn",12.005,-63.026,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,262.271,,,,0,0
6,1,1,0,0,0,2,1,0,0,0,255,255,255,5,271.486,"인생최패망자",R,26,87,140,-0.524,0.564,0.887,1.544,-0.525,1.796,-36.744,44.309,2,0,194.927,-200,12.074,0,0,1,1,4,L,"encounter v",190,83.172,0.529,2,44,272.328,255,87,138,80,14,145,130,5.229,-29.835,0.31,0,0.397,-243.956,-112.621,5.089,0.632,-37.244,0,"ًً미소",-0.001,-17.863,119,"Sabo_10",-20.125,-46.475,0,"Ainy4／あいにゃ",-13.475,-63.185,84,"SUGUN",20.118,-46.276,0,"Multeinn",13.08,-63.216,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,273.417,22.46,-57.022,275.604,4,"SUGUN",16.828,-51.628,1,0,283.524,286.626,,,29,2
7,1,1,0,0,0,0,1,0,1,0,255,4,255,6,307.307,"인생최패망자",R,32,94,140,-2.106,0.427,0.735,1.519,-1.232,1.715,-36.744,29.71,1,0,250,-200,16.271,0,0,0,2,2,L,"신과함께1",190,91.814,0.2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,-38.205,0,"ًً미소",-0.196,-18.119,0,"Sabo_10",-18.492,-43.726,0,"Ainy4／あいにゃ",-7.78,-63.854,0,"SUGUN",20.099,-46.89,0,"Multeinn",13.552,-62.666,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,312.577,,,,0,0
8,1,1,0,0,1,0,1,0,1,0,255,4,255,7,324.438,"인생최패망자",R,13,84,108,-1.073,-1.026,0.992,1.422,-0.026,1.486,-36.744,51.938,4,0,-262.067,400,-2.829,0,0,1,2,2,L,"신과함께1",190,91.814,0.2,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166,-38.07,0,"ًً미소",-0.101,-18.009,0,"Sabo_10",-19.681,-45.381,0,"Ainy4／あいにゃ",-10.672,-62.659,0,"SUGUN",19.381,-45.96,0,"Multeinn",13.402,-61.977,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,325.684,326.782,,,0,0
9,1,1,0,0,1,1,1,0,1,0,255,4,255,8,337.815,"인생최패망자",R,32,91,140,-1.029,0.296,0.831,1.495,-0.786,1.637,-36.744,34.78,2,0,237.475,-200,16.609,0,0,1,2,2,L,"신과함께1",190,91.814,0.2,2,42,338.755,234,123,100,117,0,145,98,110.554,-1.629,-0.44,0,0.151,105.613,-83.973,15.814,0.666,-37.338,0,"ًً미소",-0.01,-17.945,0,"Sabo_10",-20.724,-46.449,0,"Ainy4／あいにゃ",-7.351,-64.081,0,"SUGUN",20.285,-46.367,0,"Multeinn",12.433,-61.505,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,0,0,0,0,0,"",0,0,0,0,,341.585,,,1,3
10,1,1,0,0,1,2,1,0,1,0,255,4,255,9,356.448,"인생최패망자",R,13,80,106,-1.604,-1.089,0.937,1.413,-0.195,1.467,-36.744,57.872,2,0,-287.096,400,-7.051,0,0,1,2,2,L,"신과함께1",190,91.814,0.2,2,50,357.486,255,220,115,148,130,145,88,-88.126,-84.714,-0.95,0,0.409,268.952,126.463,51.063,0.556,-37.251,0,"ًً미소",0.165,-17.822,0,"Sabo_10",-20.348,-46.294,0,"Ainy4／あいにゃ",-6.713,-63.924,0,"SUGUN",19.839,-46.25,0,"Multeinn",13.944,-62.179,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"AI",-40.8,-90.55,0,357.244,-0.1,-20.47,0,0,"",0,0,0,0,,363.985,,,1,3
