id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,1,0,0,0,0,255,255,255,0,287.305,"muyang_",R,32,72,124,-2.499,-0.115,-0.088,1.334,-1.34,1.466,-36.625,31.222,4,0,186.277,-80.897,-5.357,0,0,1,0,2,R,"magimari",190,85,0.504,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,-37.524,0,"mungjungh",-0.188,-17.257,0,"Yaksok~",-20.106,-52.327,0,"S̸p̸e̸c̸t̸r̸e̸",-13.245,-64.731,0,"-Alta-",21.589,-52.974,0,"ヒメ__",11.637,-65.369,0,"「론구」",41.377,-96.308,0,"AI",0,-109.84,0,"HANA_ARASHI",-45.304,-101.098,0,0,0,0,0,0,"",0,0,0,0,272.038,,,,0,0
2,1,1,0,0,0,2,0,0,0,0,255,255,255,1,303.569,"muyang_",R,15,40,81,0.81,-0.162,0.262,1.225,0.412,0.969,-36.625,72.66,0,0,-25.489,-400,-10.34,0.049,-12.33,1,0,2,R,"magimari",190,85,0.504,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.421,-37.095,0,"mungjungh",0.01,-16.44,0,"Yaksok~",-20.097,-52.336,0,"S̸p̸e̸c̸t̸r̸e̸",-13.012,-64.646,0,"-Alta-",21.798,-53.172,0,"ヒメ__",11.628,-65.439,0,"「론구」",41.702,-99.185,0,"AI",0,-109.84,0,"HANA_ARASHI",-47.061,-104.137,0,0,0,0,0,0,"",0,0,0,0,291.538,,,,0,0
3,1,1,0,0,0,0,1,0,0,0,255,255,255,2,333.285,"muyang_",R,32,60,101,0.942,0.417,0.245,1.461,0.138,1.83,-36.625,44.137,0,0,167.53,-13.611,-0.572,0,0,0,1,3,R,"_앰프_",160,80,0.4,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.073,-37.651,0,"mungjungh",0.104,-17.205,0,"Yaksok~",-19.326,-50.748,0,"S̸p̸e̸c̸t̸r̸e̸",-13.146,-64.806,0,"-Alta-",21.655,-53.853,0,"ヒメ__",8.656,-64.475,0,"「론구」",35.946,-93.3,0,"AI",0,-109.84,0,"HANA_ARASHI",-43.064,-103.828,0,0,0,0,0,0,"",0,0,0,0,318.238,,,,0,0
4,1,1,0,0,0,1,1,0,0,0,255,255,255,3,347.444,"muyang_",R,3,52,87,-0.761,-0.011,0.363,1.389,0.43,1.64,-36.625,61.5,2,0,-342.862,0,-13.34,0,0,1,1,3,R,"_앰프_",160,80,0.4,3,62,348.753,255,187,120,76,57,145,76,3.209,50.629,1,0,0.427,454.727,-322.66,-207.743,-0.212,-36.883,0,"mungjungh",-0.054,-17.296,0,"Yaksok~",-19.171,-50.508,0,"S̸p̸e̸c̸t̸r̸e̸",-13.174,-64.634,0,"-Alta-",22.081,-54.413,88,"ヒメ__",8.645,-64.456,0,"「론구」",35.856,-93.17,0,"AI",0,-109.84,0,"HANA_ARASHI",-45.199,-104.804,130,332.982,-15.836,-36.602,341.094,8,"HANA_ARASHI",-50.817,-64.103,1,2,,357.89,362.392,,13,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,380.255,"muyang_",R,2,68,97,-1.224,0.806,0.289,1.361,0.009,1.701,-36.625,43.854,2,0,-344.292,-312.348,-33.382,0,0,1,2,5,R,"k@ster",174.9,80,0.258,2,60,381.477,255,58,60,75,47,138,112,26.173,-30.8,0.78,0,0.123,311.384,-398.784,-179.354,-0.211,-37.499,0,"mungjungh",-0.15,-17.369,0,"Yaksok~",-19.377,-50.579,0,"S̸p̸e̸c̸t̸r̸e̸",-13.154,-64.681,0,"-Alta-",19.805,-50.78,0,"ヒメ__",10.712,-64.593,85,"「론구」",34.326,-91.974,95,"AI",0,-109.84,0,"HANA_ARASHI",-43.735,-98.722,0,369.305,58.059,-98.868,371.66,6,"「론구」",62.114,-101.323,1,0,,392.235,,,100,2
6,1,1,0,0,0,0,2,0,1,0,255,5,255,5,412.308,"muyang_",R,33,56,111,3.292,1.096,0.28,1.464,1.217,2.193,-36.625,89.723,1,0,136.747,-55.807,20.958,0,0,0,3,6,R,"CoalCat",174.9,85.186,0.503,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.343,-37.036,0,"mungjungh",0.09,-17.202,0,"Yaksok~",-20.383,-50.615,0,"S̸p̸e̸c̸t̸r̸e̸",-12.912,-65.02,0,"-Alta-",20.183,-48.958,0,"ヒメ__",6.434,-61.003,0,"「론구」",42.668,-97.22,0,"AI",0,-109.84,0,"HANA_ARASHI",-41.798,-100.902,0,0,0,0,0,0,"",0,0,0,0,397.027,412.372,,,0,0
7,1,1,0,0,1,0,2,0,1,0,255,5,255,6,584.768,"-Alta-",L,26,77,128,0.74,1.36,-0.112,1.903,0.41,2.174,-36.491,24.385,4,0,-55.815,-200,-15.489,0,0,1,3,6,R,"CoalCat",174.9,85.186,0.503,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-36.853,0,"mungjungh",0.178,-17.198,0,"Yaksok~",-19.928,-50.641,0,"S̸p̸e̸c̸t̸r̸e̸",-12.958,-64.861,0,"「론구」",18.661,-49.798,0,"ヒメ__",8.811,-63.034,0,"",0,0,0,"AI",0,-109.84,0,"HANA_ARASHI",-45.18,-110.078,0,0,0,0,0,0,"",0,0,0,0,569.26,587.368,,,0,0
8,1,1,0,0,1,1,2,0,1,0,255,5,255,7,637.395,"-Alta-",L,3,68,111,-1.533,1.424,-0.495,1.974,-1.374,2.426,-36.491,54.169,1,0,399.34,0,-3.209,0,0,0,3,6,R,"CoalCat",174.9,85.186,0.503,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143,-36.708,0,"mungjungh",-0.091,-17.114,0,"Yaksok~",-19.48,-50.244,0,"S̸p̸e̸c̸t̸r̸e̸",-13.002,-64.771,0,"「론구」",18.714,-49.809,0,"ヒメ__",6.273,-63.593,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"HANA_ARASHI",-42.398,-104.337,0,0,0,0,0,0,"",0,0,0,0,621.916,640.041,,,0,0
9,1,1,0,0,2,1,2,0,1,0,255,5,255,8,657.297,"-Alta-",L,3,73,115,-1.613,-0.02,-0.484,1.737,-1.321,1.59,-36.491,44.729,1,0,366.515,0,1.075,0,0,0,3,6,R,"CoalCat",174.9,85.186,0.503,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635,-36.873,0,"mungjungh",-0.33,-16.856,0,"Yaksok~",-19.497,-50.261,0,"S̸p̸e̸c̸t̸r̸e̸",-12.976,-64.831,0,"「론구」",18.741,-49.818,0,"ヒメ__",5.811,-63.529,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"HANA_ARASHI",-42.429,-104.233,0,0,0,0,0,0,"",0,0,0,0,641.782,659.665,,,0,0
10,1,1,0,0,3,1,2,0,1,0,255,5,255,9,674.515,"-Alta-",L,28,69,121,1.16,-0.174,-0.079,1.68,0.564,1.391,-36.491,18.087,2,0,-34.348,-95.245,-6.198,0,0,1,3,6,R,"CoalCat",174.9,85.186,0.503,1,58,675.512,221,168,102,66,50,145,102,25.878,-27.529,0.02,0,0.328,62.592,241.251,209.264,0.754,-37.276,0,"mungjungh",0.009,-17.459,0,"Yaksok~",-20.034,-51.124,0,"S̸p̸e̸c̸t̸r̸e̸",-12.907,-64.655,0,"「론구」",18.651,-49.725,0,"ヒメ__",8.192,-64.704,0,"AI",40.9,-90.65,0,"AI",0,-109.84,0,"HANA_ARASHI",-42.69,-104.369,0,663.493,37.16,-103.771,0,0,"",0,0,0,0,688.294,,681.284,,96,1
