id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,497.049,"Pugeuk",R,31,74,125,1.945,-0.028,0.406,1.52,0.959,1.556,-36.589,29.778,2,0,-94.062,-37.47,11.33,0,0,1,0,4,R,"Floră",190,86,0.403,5,60,497.923,119,66,98,75,0,137,82,-43.437,-10.46,-1,0,0.439,223.968,147.664,-310.143,0.159,-37.194,0,"Pring__",0.019,-17.166,0,"CoalCat",-19.861,-48.331,85,"_앰프_",-14.748,-60.235,0,"Kr_Luna",21.235,-51.473,0,"눈꽃",12.123,-65.342,100,"YukihiroD",42.597,-94.394,0,"Yaksok~",-1.995,-107.154,0,"SUGUN",-44.223,-92.105,0,497.596,0.515,-20.059,501.013,-1,"?fredo?",8.064,-56.898,0,0,,,,,273,2
2,1,1,0,0,0,0,1,0,0,0,255,255,255,1,524.132,"Pugeuk",R,29,85,137,-0.223,0.135,0.23,1.56,0.137,1.686,-36.589,24.261,0,0,-250,-12.626,33.698,0,0,0,1,8,L,"CAT tourniquet",190,84,0.501,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.036,-37.787,0,"Pring__",-0.075,-17.156,0,"CoalCat",-19.345,-45.198,0,"_앰프_",-9.503,-62.701,0,"Kr_Luna",19.047,-48.755,0,"눈꽃",12.384,-65.256,0,"YukihiroD",38.51,-90.465,0,"Yaksok~",0.053,-107.047,0,"SUGUN",-45.479,-93.041,0,0,0,0,0,0,"",0,0,0,0,525.571,,,,0,0
3,1,1,0,0,0,1,1,0,0,0,255,255,255,2,539.265,"Pugeuk",R,6,83,121,2.924,0.617,0.299,1.688,0.46,2.101,-36.589,27.035,1,0,491.591,91.314,29.774,1.98,-9.478,0,1,8,L,"CAT tourniquet",190,84,0.501,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.365,-37.56,0,"Pring__",0.217,-17.06,0,"CoalCat",-19.238,-45.177,0,"_앰프_",-10.769,-63.229,0,"Kr_Luna",17.088,-46.703,0,"눈꽃",12.846,-64.477,0,"YukihiroD",38.51,-90.465,0,"Yaksok~",0.076,-107.821,0,"SUGUN",-46.541,-91.705,0,0,0,0,0,0,"",0,0,0,0,,,,,0,0
4,1,1,0,0,1,1,1,0,0,0,255,255,255,3,554.341,"Pugeuk",R,29,85,138,-1.606,0.662,0.12,1.637,-0.372,1.936,-36.589,23.17,2,0,-250,-105.019,34.73,0,0,0,1,8,L,"CAT tourniquet",190,84,0.501,0,59,555.746,21,31,2,0,24,6,45,-2.478,10.128,0.42,0.238,0.208,-34.613,-260.515,-11.781,-0.088,-37.603,0,"Pring__",-0.088,-17.186,0,"CoalCat",-19.19,-45.176,86,"_앰프_",-10.606,-63.19,95,"Kr_Luna",18.582,-48.279,0,"눈꽃",14.503,-63.724,0,"YukihiroD",38.526,-90.451,0,"Yaksok~",-0.42,-109.685,0,"SUGUN",-46.516,-91.776,0,556.021,-1.566,-28.058,559.396,3,"_앰프_",-4.307,-48.783,0,0,,,,,19,2
5,1,1,0,0,0,0,2,0,0,0,255,255,255,4,578.56,"Pugeuk",R,10,62,94,2.197,0.478,0.504,1.894,0.942,2.496,-36.589,28.372,2,0,0,400,-3.571,0,0,1,2,7,R,"うよすま",167.7,92.834,0.601,3,60,579.794,222,70,136,84,31,145,79,39.473,-43.26,-1,0.143,0.625,195.978,-567.086,2.595,0.08,-37.292,0,"Pring__",0.038,-17.246,0,"CoalCat",-19.32,-45.372,0,"_앰프_",-14.369,-59.309,0,"Kr_Luna",20.111,-48.431,0,"눈꽃",10.52,-65.78,0,"YukihiroD",34.786,-86.085,0,"Yaksok~",-4.003,-105.331,0,"SUGUN",-47.044,-90.475,0,585.446,49.997,-60.02,0,0,"",0,0,0,0,,,,,1,3
6,1,1,0,0,0,1,2,0,0,0,255,255,255,5,599.037,"Pugeuk",R,10,80,119,1.402,-1.011,0.329,1.526,0.601,1.567,-36.589,20.015,2,0,0,400,14.774,0,0,1,2,7,R,"うよすま",167.7,92.834,0.601,3,48,600.158,207,54,89,69,7,145,99,25.747,47.64,0.03,0.004,0.301,246.769,517.309,-177.472,-0.137,-37.149,0,"Pring__",0,-17.302,0,"CoalCat",-19.239,-46.09,0,"_앰프_",-12.91,-59.509,0,"Kr_Luna",16.138,-43.445,0,"눈꽃",13.387,-64.085,0,"YukihiroD",38.756,-86.451,0,"Yaksok~",-2.789,-104.974,0,"SUGUN",-46.697,-90.153,0,603.996,-66.12,-68.215,0,0,"",0,0,0,0,,,,,1,3
7,1,1,0,0,0,2,2,0,0,0,255,255,255,6,618.92,"Pugeuk",R,3,63,93,-2.505,-0.485,0.15,1.434,-0.155,1.369,-36.589,23.461,1,0,-412.505,0,-14.792,0,0,0,2,7,R,"うよすま",167.7,92.834,0.601,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153,-36.944,0,"Pring__",-0.357,-17.595,0,"CoalCat",-20.552,-46.375,0,"_앰프_",-14.181,-59.731,0,"Kr_Luna",21.332,-49.48,0,"눈꽃",9.068,-66.625,0,"YukihiroD",37.174,-87.092,0,"Yaksok~",-3.203,-105.808,0,"SUGUN",-47.371,-88.579,0,0,0,0,0,0,"",0,0,0,0,620.405,,,,0,0
8,1,1,0,0,1,2,2,0,0,0,255,255,255,7,631.939,"Pugeuk",R,26,81,131,0.257,0.667,0.244,1.585,0.204,1.782,-36.589,22.829,2,0,-68.112,-181.574,3.109,0,0,1,2,7,R,"うよすま",167.7,92.834,0.601,3,48,633.028,221,36,110,52,6,145,81,26.906,62.655,0.99,0.048,0.366,391.341,286.408,-353.302,-0.372,-37.204,0,"Pring__",-0.053,-17.265,0,"CoalCat",-20.311,-45.916,0,"_앰프_",-12.989,-59.975,0,"Kr_Luna",20.359,-49.549,0,"눈꽃",7.872,-65.661,0,"YukihiroD",37.881,-86.021,0,"Yaksok~",-3.676,-107.062,0,"SUGUN",-45.397,-91.164,0,635.963,-41.087,-40.052,0,0,"",0,0,0,0,,,,,1,3
9,1,1,0,0,1,2,2,0,0,0,255,255,255,8,649.293,"Pugeuk",R,26,87,140,-0.524,0.499,0.193,1.559,-0.033,1.686,-36.589,17.487,0,0,-149.207,-200,15.694,0,0,1,2,7,R,"うよすま",167.7,92.834,0.601,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158,-37.36,0,"Pring__",-0.051,-17.185,0,"CoalCat",-20.359,-45.692,0,"_앰프_",-12.458,-59.301,0,"Kr_Luna",21.116,-45.941,0,"눈꽃",5.83,-64.204,0,"YukihiroD",34.847,-84.983,0,"Yaksok~",-2.04,-108.116,0,"SUGUN",-45.091,-90.869,0,0,0,0,0,0,"",0,0,0,0,650.496,,,,0,0
10,1,0,0,0,0,0,0,0,0,0,255,255,255,0,801.473,"shuwaYNZ",R,26,95,140,-2.7,-0.488,-0.072,1.648,-1.263,1.164,-36.707,7.762,1,0,74.547,-150.689,24.827,-1.291,-18.613,0,0,3,R,"_앰프_",160,80,0.4,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,-37.158,0,"소솨소솨",-0.654,-17.767,0,"schmoneymikey",-21.49,-47.839,0,"하루（Haru）",-15.363,-62.989,0,"Floră",20.788,-51.54,0,"mungjungh",11.685,-65.432,0,"아침땅_",36.824,-92.284,0,"うよすま",-4.366,-103.948,0,"Riyaj",-47.335,-83.047,0,0,0,0,0,0,"",0,0,0,0,804.196,,,,0,0
