id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,0,0,0,0,0,0,255,255,255,0,269.966,"_Chun",L,14,96,126,1.896,-0.204,0.089,1.778,1.342,1.907,-36.522,17.866,2,0,-346.055,360.896,-37.819,0,0,1,0,3,R,"Rite_",167.1,80,0.447,0,42,270.948,158,171,63,80,56,138,80,32.789,-11.609,-1,0,0.296,363.429,-71.269,461.908,0.02,-36.99,0,"Oort__Cloud",0.155,-17.437,0,"schmoneymikey",-20.474,-46.14,0,"TaeGeuk_",-9.258,-59.489,0,"인생최패망자",17.779,-47.175,0,"bdg06213",11.615,-61.962,0,"YukihiroD",39.769,-94.748,80,"Gonyong",-8.538,-103.694,0,"소솨소솨",-49.529,-92.784,0,275.698,12.876,-83.087,277.354,6,"YukihiroD",15.25,-93.174,1,0,,,,,128,2
2,1,1,0,0,0,0,0,1,0,0,3,255,255,1,295.622,"_Chun",L,26,93,140,0.693,0.308,-0.122,1.761,0.179,1.53,-36.611,24.472,2,0,109.814,-200,-15.887,0,0,1,1,6,R,"_송글_",160,91.844,0.315,5,78,296.576,95,52,160,55,8,135,75,-81.622,28.939,-0.8,0,0.399,-174.574,64.793,89.142,-0.169,-37.021,0,"Oort__Cloud",0.049,-17.492,107,"schmoneymikey",-19.502,-44.14,81,"TaeGeuk_",-7.198,-57.282,0,"인생최패망자",19.805,-48.789,0,"bdg06213",11.741,-63.078,0,"YukihiroD",39.783,-92.074,0,"Gonyong",12.632,-105.792,0,"소솨소솨",-51.804,-91.114,0,296.409,0.082,-19.858,299.198,1,"Oort__Cloud",-3.213,-25.811,1,1,299.198,,,,6,2
3,1,1,0,0,0,0,1,1,0,0,6,255,255,2,325.513,"_Chun",L,26,91,140,0.081,-0.183,-0.159,1.668,-0.088,1.326,-36.583,19.595,2,0,129.437,-179.236,-33.034,0,0,1,2,8,R,"SUGUN",181.4,81.662,0.502,5,78,326.887,194,147,103,103,33,145,113,-15.001,8.427,0.9,0,0.238,-54.547,262.138,-29.573,-0.099,-37.042,0,"Oort__Cloud",0.014,-17.433,0,"schmoneymikey",-20.776,-42.216,76,"TaeGeuk_",-10.135,-62.239,96,"인생최패망자",20.619,-50.613,0,"bdg06213",9.635,-61.399,0,"YukihiroD",34.814,-86.848,0,"Gonyong",-3.083,-103.129,0,"소솨소솨",-49.636,-90.255,0,326.787,-0.417,-22.858,328.676,3,"TaeGeuk_",-6.14,-61.403,0,0,,331.253,,,34,2
4,1,1,0,0,0,0,2,0,1,0,255,6,255,3,354.987,"_Chun",L,10,92,128,1.272,-1.493,-0.091,1.517,0.506,1.032,-36.522,15.134,4,0,38.524,400,-6.017,0.376,-18.054,0,3,9,L,"눈꽃",190,90,0.6,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.017,-37.127,0,"Oort__Cloud",0.114,-17.717,0,"schmoneymikey",-20.581,-44.75,0,"TaeGeuk_",-12.62,-64.133,0,"인생최패망자",19.766,-43.727,0,"bdg06213",14.109,-63.261,0,"YukihiroD",36.417,-91.978,0,"Gonyong",-0.411,-110.143,0,"소솨소솨",-46.817,-93.672,0,0,0,0,0,0,"",0,0,0,0,357.809,357.702,,,0,0
5,1,1,0,0,0,1,2,0,1,0,255,6,255,4,370.778,"_Chun",L,14,88,126,0.198,-0.55,-0.06,1.696,0.65,1.61,-36.522,19.65,2,0,-372.893,333.093,-35.595,0,0,0,3,9,L,"눈꽃",190,90,0.6,5,77,371.679,194,171,115,125,59,145,130,-13.996,5.915,0.53,0,0.39,-54.547,262.138,-29.573,0.374,-37.008,0,"Oort__Cloud",0.059,-17.175,100,"schmoneymikey",-20.426,-44.524,0,"TaeGeuk_",-11.458,-64.342,0,"인생최패망자",20.867,-46.436,0,"bdg06213",12.608,-64.341,0,"YukihiroD",36.401,-91.996,0,"Gonyong",-0.422,-110.049,90,"소솨소솨",-46.711,-93.201,0,371.432,-0.272,-23.822,375.332,7,"Gonyong",-13.856,-102.512,1,0,381.065,,376.434,,260,2
6,1,1,0,0,0,0,2,1,0,1,9,255,6,5,399.172,"_Chun",L,28,54,110,-0.214,1.375,-0.286,2.001,-0.168,2.277,-36.522,73.974,1,0,57.558,-90.133,0,0,0,0,4,5,L,"Pring__",172.5,87.818,0.485,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.089,-37.208,0,"Oort__Cloud",0.108,-17.609,0,"schmoneymikey",-20.01,-41.706,0,"TaeGeuk_",-6.1,-62.122,0,"인생최패망자",19.152,-40.898,0,"bdg06213",12.115,-63.829,0,"YukihiroD",39.311,-93.471,0,"Gonyong",26.592,-122.958,0,"소솨소솨",-46.258,-91.343,0,0,0,0,0,0,"",0,0,0,0,400.365,,402.182,,0,0
7,1,1,0,0,1,0,2,1,0,1,9,255,6,6,413.827,"_Chun",L,12,91,137,-0.443,0.368,-0.246,1.887,-0.166,1.899,-36.522,39.788,0,0,-13.386,100.396,0,0,0,1,4,5,L,"Pring__",172.5,87.818,0.485,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.023,-37.15,0,"Oort__Cloud",0.004,-17.599,0,"schmoneymikey",-19.279,-41.189,0,"TaeGeuk_",-7.975,-61.038,0,"인생최패망자",18.947,-41.731,0,"bdg06213",12.177,-65.109,0,"YukihiroD",40.221,-91.912,0,"Gonyong",37.488,-118.592,0,"소솨소솨",-47.278,-92.053,0,0,0,0,0,0,"",0,0,0,0,414.854,,417.182,,0,0
8,1,1,0,0,1,1,2,1,0,1,9,255,6,7,428.568,"_Chun",L,14,88,126,-0.99,-1.335,-0.171,1.581,0.135,1.196,-36.522,18.509,2,0,-374.297,331.515,0,0,0,1,4,5,L,"Pring__",172.5,87.818,0.485,5,78,429.406,230,190,62,122,74,139,82,-2.436,-14.114,0.98,0,0.726,185.551,-78.225,-128.759,-0.161,-37,0,"Oort__Cloud",-0.006,-17.428,0,"schmoneymikey",-19.026,-43.241,0,"TaeGeuk_",-8.077,-60.903,0,"인생최패망자",19.747,-44.973,0,"bdg06213",12.283,-65.512,116,"YukihiroD",40.221,-91.912,0,"Gonyong",37.463,-118.586,0,"소솨소솨",-36.385,-75.491,0,429.587,1.578,-27.766,431.843,5,"bdg06213",10.808,-58.8,0,16,483.165,433.921,,433.862,194,2
9,1,0,0,0,0,0,0,0,0,0,255,255,255,0,591.269,"ʚEveɞ",R,34,90,140,-2.456,0.469,-0.059,1.744,-1.203,1.815,-36.338,10.174,4,0,99.594,-71.723,17.714,0,0,1,0,8,R,"소솨소솨",180,80,0.405,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.251,-36.835,0,"mungjungh",-0.219,-17.233,0,"Muna_328",-24.184,-47.693,0,"Rite_",-15.778,-63.294,0,"Pugeuk",20.211,-48.56,0,"Pring__",13.247,-64.297,0,"_송글_",45.686,-91.945,0,"아침땅_",-11.279,-108.835,0,"SUGUN",-46.028,-94.203,0,0,0,0,0,0,"",0,0,0,0,592.387,,,,0,0
10,1,0,0,0,0,1,0,0,0,0,255,255,255,1,602.156,"ʚEveɞ",R,3,80,119,-2.905,-0.021,0.073,1.735,-0.59,1.787,-36.338,18.357,4,0,-408.119,161.081,27.955,0,0,1,0,8,R,"소솨소솨",180,80,0.405,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.128,-37.008,0,"mungjungh",-0.144,-17.225,0,"Muna_328",-24.309,-47.603,0,"Rite_",-15.936,-63.001,0,"Pugeuk",22.137,-48.942,0,"Pring__",13.268,-64.319,0,"_송글_",46.905,-90.447,0,"아침땅_",-11.97,-108.728,0,"SUGUN",-47.203,-93.785,0,0,0,0,0,0,"",0,0,0,0,603.354,,,,0,0
