id,inn,half,scoreA,scoreB,ball,strk,out,b1,b2,b3,b1Idx,b2Idx,b3Idx,pCnt,pSec,pName,pHand,pType,pPow,spdK,zoneX,zoneY,startX,startY,targetX,targetY,zDist,pitchAngle,call,balk,sH,sV,gyro,plx,plz,bSwing,bIdx,bPos,bZone,bName,bHCm,batLen,batCen,batType,bFps,bOS,bVR,hSec,rotS,rotL,shS,lgS,prepS,batSpd,ev,ldeg,sdeg,hPos,buntGrip,handDist,angVeloX,angVeloY,angVeloZ,PPosX,PPosY,PThrSpd,CName,CPosX,CPosY,CThrSpd,1BName,1BPosX,1BPosY,1BThrSpd,2BName,2BPosX,2BPosY,2BThrSpd,3BName,3BPosX,3BPosY,3BThrSpd,SSName,SSPosX,SSPosY,SSThrSpd,LFName,LFPosX,LFPosY,LFThrSpd,CFName,CFPosX,CFPosY,CFThrSpd,RFName,RFPosX,RFPosY,RFThrSpd,ltSec,lx,lz,cSec,cPos,cPlr,cx,cz,1BSafe,tag,cpSec,sb2Sec,sb3Sec,sbhSec,ass,result
1,1,1,0,0,1,0,0,0,0,0,255,255,255,0,204.968,"3Ducks",R,14,84,122,1.766,-0.761,0.185,1.761,0.179,1.564,-36.542,21.761,1,0,357.647,349.412,15.829,0,0,0,0,2,R,"가앤슬_",180,83.179,0.2,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011,-37.464,0,"Penguin_iDOL",0.226,-17.187,0,"Floră",-22.628,-53.7,0,"YukihiroD",-13.771,-63.56,0,"si_ho",20.736,-48.565,0,"schmoneymikey",12.794,-62.685,0,"shuwaYNZ",37.994,-90.614,0,"AI",0,-109.84,0,"Megarafa",-47.97,-96.576,0,0,0,0,0,0,"",0,0,0,0,206.084,,,,0,0
2,1,1,0,0,1,0,0,0,0,0,255,255,255,1,219.878,"3Ducks",R,28,45,103,-24.022,-2.661,0.019,1.481,-10.486,-5.339,-36.542,16.301,1,0,20.433,-99.99,2.301,-1.592,-30.822,0,0,2,R,"가앤슬_",180,83.179,0.2,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192,-36.99,0,"Penguin_iDOL",-0.786,-16.85,0,"Floră",-22.63,-54.214,0,"YukihiroD",-13.867,-63.693,0,"si_ho",20.741,-48.532,0,"schmoneymikey",12.358,-62.92,0,"shuwaYNZ",38.177,-90.745,0,"AI",0,-109.84,0,"Megarafa",-47.954,-96.595,0,0,0,0,0,0,"",0,0,0,0,225.284,,,,0,0
3,1,1,0,0,2,0,0,0,0,0,255,255,255,2,245.093,"3Ducks",R,27,77,127,1.423,1.428,0.22,1.791,0.503,2.299,-36.542,19.2,4,0,70.851,-149.617,7.562,0,0,1,0,2,R,"가앤슬_",180,83.179,0.2,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.257,-37.192,0,"Penguin_iDOL",0.063,-17.336,0,"Floră",-23.435,-53.394,0,"YukihiroD",-13.822,-63.574,0,"si_ho",21.519,-48.853,0,"schmoneymikey",13.649,-63.869,0,"shuwaYNZ",38.003,-90.795,0,"AI",0,-109.84,0,"Megarafa",-47.943,-96.577,0,0,0,0,0,0,"",0,0,0,0,246.19,,,,0,0
4,1,1,0,0,2,1,0,0,0,0,255,255,255,3,259.591,"3Ducks",R,26,84,136,0.753,0.184,0.284,1.721,0.263,1.52,-36.542,18.468,0,0,39.43,-200,18.306,0,0,0,0,2,R,"가앤슬_",180,83.179,0.2,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162,-37.291,0,"Penguin_iDOL",0.443,-17.129,0,"Floră",-23.754,-52.554,0,"YukihiroD",-13.377,-63.849,0,"si_ho",21.549,-48.559,0,"schmoneymikey",12.917,-64.052,0,"shuwaYNZ",37.999,-90.594,0,"AI",0,-109.84,0,"Megarafa",-47.973,-96.573,0,0,0,0,0,0,"",0,0,0,0,260.577,,,,0,0
5,1,1,0,0,2,2,0,0,0,0,255,255,255,4,274.036,"3Ducks",R,14,82,120,1.832,-0.952,0.258,1.771,0.209,1.472,-36.542,26.256,4,0,348.522,358.514,3.007,0,0,1,0,2,R,"가앤슬_",180,83.179,0.2,0,39,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111,-37.036,0,"Penguin_iDOL",0.269,-16.678,0,"Floră",-23.421,-52.174,0,"YukihiroD",-13.328,-63.868,0,"si_ho",21.122,-47.883,0,"schmoneymikey",12.365,-63.914,0,"shuwaYNZ",38.052,-90.805,0,"AI",0,-109.84,0,"Megarafa",-47.953,-96.559,0,0,0,0,0,0,"",0,0,0,0,275.19,,,,0,0
6,1,1,0,0,0,0,1,0,0,0,255,255,255,5,296.283,"3Ducks",R,26,84,136,-2.13,-1.386,0.122,1.705,-0.987,0.581,-36.542,16.709,1,0,43.464,-159.166,0.547,0,0,0,1,4,R,"인생최패망자",190,80,0.299,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,-37.506,0,"Penguin_iDOL",-0.243,-16.89,0,"Floră",-22.738,-51.629,0,"YukihiroD",-13.554,-63.675,0,"si_ho",21.51,-48.788,0,"schmoneymikey",13.303,-62.599,0,"shuwaYNZ",37.933,-90.224,0,"AI",0,-109.84,0,"Megarafa",-47.955,-96.579,0,0,0,0,0,0,"",0,0,0,0,297.204,,,,0,0
7,1,1,0,0,1,0,1,0,0,0,255,255,255,6,310.967,"3Ducks",R,26,79,129,-2.376,-1.281,0.037,1.589,-1.048,0.614,-36.542,13.231,1,0,7.463,-190.326,11.699,0,0,0,1,4,R,"인생최패망자",190,80,0.299,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,-37.529,0,"Penguin_iDOL",-0.497,-16.861,0,"Floră",-22.859,-51.805,0,"YukihiroD",-11.787,-63.717,0,"si_ho",21.694,-48.737,0,"schmoneymikey",10.24,-63.81,0,"shuwaYNZ",37.936,-90.246,0,"AI",0,-109.84,0,"Megarafa",-47.952,-96.591,0,0,0,0,0,0,"",0,0,0,0,311.937,,,,0,0
8,1,1,0,0,2,0,1,0,0,0,255,255,255,7,325.128,"3Ducks",R,26,84,136,1.237,0.435,0.336,1.843,0.469,1.694,-36.542,30.264,0,0,41.701,-200,5.856,0,0,0,1,4,R,"인생최패망자",190,80,0.299,0,38,W,Y,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.216,-37.293,0,"Penguin_iDOL",-0.072,-17.324,0,"Floră",-23.01,-52.014,0,"YukihiroD",-11.751,-63.701,0,"si_ho",21.701,-48.754,0,"schmoneymikey",13.147,-62.182,0,"shuwaYNZ",38.116,-90.347,0,"AI",0,-109.84,0,"Megarafa",-47.98,-96.547,0,0,0,0,0,0,"",0,0,0,0,325.937,,,,0,0
9,1,1,0,0,2,1,1,0,0,0,255,255,255,8,342.238,"3Ducks",R,10,82,123,-0.143,-1.461,0.117,1.749,-0.339,1.51,-36.542,18.634,2,0,0,400,13.81,0,0,1,1,4,R,"인생최패망자",190,80,0.299,3,38,W,Y,343.31,167,116,94,100,49,145,122,-15.147,-13.634,0.77,0,0.376,-237.211,-356.551,-65.624,-0.203,-37.182,0,"Penguin_iDOL",-0.268,-17.52,0,"Floră",-22.773,-52.477,85,"YukihiroD",-11.481,-63.591,0,"si_ho",21.574,-48.954,0,"schmoneymikey",11.382,-63.73,99,"shuwaYNZ",37.835,-90.511,0,"AI",0,-109.84,0,"Megarafa",-47.958,-96.596,0,342.777,0.339,-21.957,344.644,5,"schmoneymikey",9.455,-59.149,0,2,,,,,22,2
10,1,1,0,0,0,0,2,0,0,0,255,255,255,9,371.17,"3Ducks",R,26,79,129,1.529,-0.026,0.259,1.752,0.591,1.366,-36.542,16.475,2,0,52.603,-195.268,14.021,0,0,1,2,5,R,"Rite_",167.1,80,0.453,5,55,W,Y,372.563,63,98,77,84,40,103,64,100.996,1.055,-0.42,0,0.261,85.323,113.771,-439.921,0.27,-36.914,0,"Penguin_iDOL",0.121,-17.186,0,"Floră",-22.682,-51.272,0,"YukihiroD",-13.254,-62.349,0,"si_ho",21.245,-47.803,0,"schmoneymikey",12.042,-63.399,0,"shuwaYNZ",39.451,-86.334,0,"AI",0,-109.84,0,"Megarafa",-46.662,-95.078,0,0,0,0,377.244,1,"Penguin_iDOL",3.67,-7.121,0,0,377.244,,,,88,1
